ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000019.SZ,20150105,7.69,7.83,7.6,7.76,7.69,0.07,0.91,35968.58,27766.0771
000019.SZ,20150106,7.7,7.9,7.65,7.89,7.76,0.13,1.68,32110.0,25007.0044
000019.SZ,20150107,7.9,7.95,7.77,7.86,7.89,-0.03,-0.38,22370.83,17565.3588
000019.SZ,20150108,7.86,7.95,7.8,7.89,7.86,0.03,0.38,27548.44,21727.4304
000019.SZ,20150109,7.85,8.06,7.81,7.85,7.89,-0.04,-0.51,23898.38,19017.0008
000019.SZ,20150112,7.85,7.85,7.51,7.65,7.85,-0.2,-2.55,29305.57,22374.6028
000019.SZ,20150113,7.62,7.75,7.56,7.72,7.65,0.07,0.92,17434.58,13353.9967
000019.SZ,20150114,7.7,7.75,7.65,7.7,7.72,-0.02,-0.26,16305.46,12565.3249
000019.SZ,20150115,7.75,8.07,7.7,7.94,7.7,0.24,3.12,34326.08,27197.1681
000019.SZ,20150116,8.05,8.06,7.9,8.0,7.94,0.06,0.76,15624.59,12453.1103
000019.SZ,20150119,7.64,7.98,7.64,7.8,8.0,-0.2,-2.5,19127.25,14978.6252
000019.SZ,20150120,7.85,8.08,7.8,8.03,7.8,0.23,2.95,29548.09,23578.6747
000019.SZ,20150121,8.13,8.23,8.05,8.2,8.03,0.17,2.12,27016.38,22029.344
000019.SZ,20150122,8.24,8.32,8.18,8.26,8.2,0.06,0.73,29327.23,24176.6308
000019.SZ,20150123,8.26,8.3,8.17,8.2,8.26,-0.06,-0.73,20962.67,17233.7216
000019.SZ,20150126,8.21,8.48,8.19,8.39,8.2,0.19,2.32,26967.19,22465.299
000019.SZ,20150127,8.3,8.49,8.27,8.4,8.39,0.01,0.12,30593.84,25683.2886
000019.SZ,20150128,8.4,8.47,8.33,8.4,8.4,0.0,0.0,18827.45,15833.2764
000019.SZ,20150129,8.41,8.41,8.25,8.3,8.4,-0.1,-1.19,20420.77,16968.2881
000019.SZ,20150130,8.32,8.6,8.16,8.52,8.3,0.22,2.65,52816.32,44356.3437
000019.SZ,20150202,8.42,8.5,8.23,8.4,8.52,-0.12,-1.41,32136.71,26898.1866
000019.SZ,20150203,8.35,8.48,8.34,8.4,8.4,0.0,0.0,19076.23,16071.9124
000019.SZ,20150204,8.42,8.55,8.3,8.4,8.4,0.0,0.0,22283.87,18815.9645
000019.SZ,20150205,8.39,8.55,8.39,8.5,8.4,0.1,1.19,31024.93,26288.1303
000019.SZ,20150206,8.51,8.55,8.4,8.42,8.5,-0.08,-0.94,21176.35,17939.5706
000019.SZ,20150209,8.34,8.43,8.26,8.27,8.42,-0.15,-1.78,18094.4,15071.3264
000019.SZ,20150210,8.27,8.34,8.1,8.25,8.27,-0.02,-0.24,20143.54,16501.4651
000019.SZ,20150211,8.27,8.35,8.22,8.27,8.25,0.02,0.24,11631.12,9624.8439
000019.SZ,20150212,8.3,8.69,8.3,8.61,8.27,0.34,4.11,34430.14,29445.577
000019.SZ,20150213,8.68,8.7,8.56,8.61,8.61,0.0,0.0,28579.2,24619.6513
000019.SZ,20150216,8.59,8.84,8.54,8.79,8.61,0.18,2.09,31621.38,27654.5297
000019.SZ,20150217,8.78,8.88,8.72,8.79,8.79,0.0,0.0,21970.01,19336.0148
000019.SZ,20150225,8.82,8.92,8.71,8.78,8.79,-0.01,-0.11,19980.58,17553.8982
000019.SZ,20150226,8.78,8.84,8.71,8.79,8.78,0.01,0.11,21934.81,19272.8981
000019.SZ,20150227,8.79,8.83,8.68,8.73,8.79,-0.06,-0.68,31656.8,27692.424
000019.SZ,20150302,8.74,8.94,8.73,8.92,8.73,0.19,2.18,43965.15,38810.2435
000019.SZ,20150303,8.92,8.99,8.78,8.92,8.92,0.0,0.0,36644.07,32534.1853
000019.SZ,20150304,8.93,9.3,8.92,9.11,8.92,0.19,2.13,53535.27,48931.1962
000019.SZ,20150305,9.09,9.09,8.94,9.01,9.11,-0.1,-1.1,33754.35,30359.5826
000019.SZ,20150306,9.01,9.14,8.8,8.89,9.01,-0.12,-1.33,29907.76,26643.2137
000019.SZ,20150309,8.89,9.05,8.83,9.01,8.89,0.12,1.35,26565.8,23829.6501
000019.SZ,20150310,9.0,9.11,8.96,8.99,9.01,-0.02,-0.22,35831.14,32439.4496
