ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000422.SZ,20150105,7.52,7.96,7.43,7.84,7.49,0.35,4.67,511733.96,395806.5165
000422.SZ,20150106,7.8,8.25,7.75,8.07,7.84,0.23,2.93,605571.28,489256.5877
000422.SZ,20150107,8.07,8.18,7.85,8.04,8.07,-0.03,-0.37,312606.52,249596.8641
000422.SZ,20150108,8.0,8.03,7.79,7.82,8.04,-0.22,-2.74,230900.66,181995.8184
000422.SZ,20150109,7.8,7.88,7.65,7.65,7.82,-0.17,-2.17,206290.2,160627.8947
000422.SZ,20150112,7.65,7.7,7.1,7.31,7.65,-0.34,-4.44,303135.79,225312.5934
000422.SZ,20150113,7.31,7.43,7.24,7.36,7.31,0.05,0.68,140211.4,102972.9307
000422.SZ,20150114,7.35,7.38,7.05,7.16,7.36,-0.2,-2.72,163686.61,118431.3375
000422.SZ,20150115,7.18,7.34,7.17,7.33,7.16,0.17,2.37,128152.38,92735.1715
000422.SZ,20150116,7.3,7.42,7.3,7.34,7.33,0.01,0.14,148597.84,109357.6713
000422.SZ,20150119,7.15,7.16,6.64,6.73,7.34,-0.61,-8.31,366022.1,253035.4452
000422.SZ,20150120,6.79,6.98,6.77,6.95,6.73,0.22,3.27,218217.32,150589.0482
000422.SZ,20150121,6.96,7.15,6.93,7.13,6.95,0.18,2.59,162708.04,115016.5718
000422.SZ,20150122,7.14,7.19,7.08,7.16,7.13,0.03,0.42,184521.56,131591.5588
000422.SZ,20150123,7.17,7.21,7.1,7.12,7.16,-0.04,-0.56,160039.04,114620.0986
000422.SZ,20150126,7.12,7.41,7.08,7.38,7.12,0.26,3.65,231681.81,167869.9279
000422.SZ,20150127,7.35,7.54,7.26,7.45,7.38,0.07,0.95,291695.07,215886.475
000422.SZ,20150128,7.39,7.42,7.26,7.28,7.45,-0.17,-2.28,214160.36,156701.9536
000422.SZ,20150129,7.2,7.32,7.18,7.22,7.28,-0.06,-0.82,143654.32,104219.5426
000422.SZ,20150130,7.2,7.27,7.05,7.07,7.22,-0.15,-2.08,187739.22,133966.9958
000422.SZ,20150202,7.02,7.18,6.92,7.07,7.07,0.0,0.0,115732.72,82097.8829
000422.SZ,20150203,7.07,7.26,7.07,7.2,7.07,0.13,1.84,136110.11,97771.2328
000422.SZ,20150204,7.22,7.26,7.09,7.09,7.2,-0.11,-1.53,132606.7,95114.4907
000422.SZ,20150205,7.2,7.21,6.99,7.02,7.09,-0.07,-0.99,161295.83,114789.1614
000422.SZ,20150206,7.02,7.04,6.77,6.87,7.02,-0.15,-2.14,145634.13,100774.7108
000422.SZ,20150209,6.84,6.93,6.79,6.84,6.87,-0.03,-0.44,73152.49,50185.4259
000422.SZ,20150210,6.88,6.92,6.82,6.9,6.84,0.06,0.88,94793.0,65114.636
000422.SZ,20150211,6.9,6.95,6.88,6.92,6.9,0.02,0.29,82645.29,57215.353
000422.SZ,20150212,6.94,6.95,6.85,6.93,6.92,0.01,0.14,89129.24,61499.6682
000422.SZ,20150213,6.96,7.09,6.95,7.03,6.93,0.1,1.44,158231.52,111186.008
000422.SZ,20150216,7.07,7.12,7.02,7.11,7.03,0.08,1.14,151334.67,106927.7212
