ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000423.SZ,20150105,37.28,39.29,37.2,38.9,37.28,1.62,4.35,283455.33,1088581.5189
000423.SZ,20150106,38.87,42.69,38.71,41.22,38.9,2.32,5.96,408141.93,1667516.5312
000423.SZ,20150107,40.9,41.39,40.07,40.72,41.22,-0.5,-1.21,189874.63,775960.2115
000423.SZ,20150108,40.48,41.94,40.48,40.52,40.72,-0.2,-0.49,199056.66,816674.0627
000423.SZ,20150109,40.3,40.88,39.05,39.13,40.52,-1.39,-3.43,219167.27,873458.9375
000423.SZ,20150112,39.4,40.19,39.05,39.76,39.13,0.63,1.61,151903.04,602364.206
000423.SZ,20150113,39.92,40.63,39.49,39.84,39.76,0.08,0.2,124862.64,500234.0864
000423.SZ,20150114,39.84,40.08,38.69,38.97,39.84,-0.87,-2.18,132537.74,521029.9041
000423.SZ,20150115,38.95,39.54,38.72,39.4,38.97,0.43,1.1,87205.1,341406.3799
000423.SZ,20150116,39.5,40.06,39.23,39.96,39.4,0.56,1.42,124177.27,492060.0772
000423.SZ,20150119,39.0,39.88,37.56,37.94,39.96,-2.02,-5.06,222148.61,861998.4329
000423.SZ,20150120,38.41,38.97,38.0,38.82,37.94,0.88,2.32,140711.12,542748.7113
000423.SZ,20150121,38.86,39.54,38.52,39.54,38.82,0.72,1.85,156112.9,612547.6183
000423.SZ,20150122,39.54,39.93,39.46,39.83,39.54,0.29,0.73,107754.86,428017.8556
000423.SZ,20150123,39.88,40.12,38.92,39.11,39.83,-0.72,-1.81,123148.9,484807.4904
000423.SZ,20150126,39.11,40.11,39.1,40.0,39.11,0.89,2.28,130874.83,520094.624
000423.SZ,20150127,40.01,40.55,39.11,40.08,40.0,0.08,0.2,140938.33,562652.8097
000423.SZ,20150128,39.84,40.12,39.4,39.46,40.08,-0.62,-1.55,88284.19,350585.8859
000423.SZ,20150129,39.02,39.17,38.52,38.58,39.46,-0.88,-2.23,94023.19,364614.8899
000423.SZ,20150130,38.68,38.98,38.19,38.27,38.58,-0.31,-0.8,65507.4,252466.2221
000423.SZ,20150202,37.81,38.61,37.76,38.22,38.27,-0.05,-0.13,69967.56,267349.0056
000423.SZ,20150203,38.56,38.74,38.08,38.4,38.22,0.18,0.47,70600.81,270687.6637
000423.SZ,20150204,38.46,38.53,37.81,37.81,38.4,-0.59,-1.54,85642.95,326228.3197
000423.SZ,20150205,38.17,38.24,37.2,37.24,37.81,-0.57,-1.51,127865.62,480705.0738
000423.SZ,20150206,37.23,37.44,36.6,36.7,37.24,-0.54,-1.45,83736.53,309282.1377
000423.SZ,20150209,36.68,36.99,36.63,36.78,36.7,0.08,0.22,57798.73,212733.6029
000423.SZ,20150210,36.78,37.5,36.71,37.43,36.78,0.65,1.77,74474.04,277423.9766
000423.SZ,20150211,37.4,37.64,37.31,37.4,37.43,-0.03,-0.08,63283.96,236967.3729
000423.SZ,20150212,37.41,37.64,37.27,37.3,37.4,-0.1,-0.27,81550.81,304963.4273
000423.SZ,20150213,37.41,38.12,37.41,37.74,37.3,0.44,1.18,111956.61,424075.4429
000423.SZ,20150216,37.92,38.38,37.92,38.2,37.74,0.46,1.22,76335.28,291657.7681
000423.SZ,20150217,38.15,38.53,38.08,38.19,38.2,-0.01,-0.03,69659.06,266271.2813
000423.SZ,20150225,38.2,38.32,37.7,37.78,38.19,-0.41,-1.07,65270.07,247438.2238
000423.SZ,20150226,37.8,38.26,37.8,38.23,37.78,0.45,1.19,85059.3,323346.7261
000423.SZ,20150227,38.3,38.62,38.16,38.19,38.23,-0.04,-0.1,93347.51,358103.7457
000423.SZ,20150302,38.26,38.4,37.8,38.07,38.19,-0.12,-0.31,120110.97,456224.8352
000423.SZ,20150303,38.06,38.54,37.51,37.89,38.07,-0.18,-0.47,130182.23,496821.0011
000423.SZ,20150304,37.99,39.48,37.87,39.43,37.89,1.54,4.06,232175.54,901111.9242
