ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000520.SZ,20151218,18.0,21.6,16.96,21.2,2.53,18.67,737.94,3301866.38,6563643.126
000520.SZ,20151221,19.08,19.08,19.08,19.08,21.2,-2.12,-10.0,178960.0,341455.68
000520.SZ,20151222,17.17,17.17,17.17,17.17,19.08,-1.91,-10.01,42476.0,72931.292
000520.SZ,20151223,15.45,18.48,15.45,16.88,17.17,-0.29,-1.69,3764588.05,6154792.864
000520.SZ,20151224,15.82,16.14,15.19,15.19,16.88,-1.69,-10.01,2069684.52,3215813.9614
000520.SZ,20151225,14.6,15.15,14.22,14.52,15.19,-0.67,-4.41,1776873.55,2599994.1049
000520.SZ,20151228,14.59,14.65,13.32,13.33,14.52,-1.19,-8.2,1722917.93,2409819.9198
000520.SZ,20151229,13.41,13.78,13.2,13.58,13.33,0.25,1.88,1230764.79,1665825.1017
000520.SZ,20151230,13.55,13.57,12.94,13.02,13.58,-0.56,-4.12,1261441.96,1653613.3568
000520.SZ,20151231,13.04,13.15,12.13,12.17,13.02,-0.85,-6.53,1323628.04,1668879.1634
000520.SZ,20160104,12.17,12.68,11.66,11.81,12.17,-0.36,-2.96,1267920.07,1540984.7836
000520.SZ,20160105,11.87,12.99,11.66,12.99,11.81,1.18,9.99,2000423.76,2475258.5123
000520.SZ,20160106,12.9,13.59,12.6,13.11,12.99,0.12,0.92,2247325.32,2941751.4704
000520.SZ,20160107,12.67,12.69,11.8,11.8,13.11,-1.31,-9.99,545725.01,660577.9063
000520.SZ,20160108,11.96,12.78,10.68,12.32,11.8,0.52,4.41,1683691.56,2001441.808
000520.SZ,20160111,11.78,12.05,11.09,11.09,12.32,-1.23,-9.98,1010458.4,1161514.082
000520.SZ,20160112,10.75,11.42,10.53,10.91,11.09,-0.18,-1.62,954681.88,1047164.5713
000520.SZ,20160113,10.94,11.08,9.82,9.88,10.91,-1.03,-9.44,1123104.28,1171162.893
000520.SZ,20160114,9.42,10.42,9.41,10.31,9.88,0.43,4.35,1056392.44,1057586.9491
000520.SZ,20160115,10.09,10.2,9.43,9.84,10.31,-0.47,-4.56,1093458.9,1077558.277
000520.SZ,20160118,9.6,10.68,9.5,10.23,9.84,0.39,3.96,1157644.37,1180738.094
000520.SZ,20160119,10.11,10.59,9.95,10.45,10.23,0.22,2.15,1239680.23,1276106.4069
000520.SZ,20160120,10.33,11.18,10.24,10.62,10.45,0.17,1.63,1550163.41,1652096.1428
000520.SZ,20160121,10.25,10.48,9.61,9.67,10.62,-0.95,-8.95,1167357.24,1184845.0709
000520.SZ,20160122,9.88,10.19,9.44,10.0,9.67,0.33,3.41,937703.64,918817.79
000520.SZ,20160125,10.1,10.37,9.92,10.13,10.0,0.13,1.3,765872.47,776345.0949
000520.SZ,20160126,9.91,9.97,9.12,9.12,10.13,-1.01,-9.97,937281.32,891417.7384
000520.SZ,20160127,9.08,9.22,8.43,9.12,9.12,0.0,0.0,811746.22,722375.2263
000520.SZ,20160128,8.9,9.45,8.72,8.78,9.12,-0.34,-3.73,809306.89,732834.4222
000520.SZ,20160129,8.65,9.34,8.65,9.1,8.78,0.32,3.64,751877.46,683732.2344
000520.SZ,20160201,9.06,9.22,8.67,8.89,9.1,-0.21,-2.31,574154.76,516400.5721
000520.SZ,20160202,8.88,9.45,8.87,9.25,8.89,0.36,4.05,746687.43,690316.1724
000520.SZ,20160203,9.1,9.88,9.0,9.62,9.25,0.37,4.0,1077811.72,1016487.2783
000520.SZ,20160204,9.46,9.98,9.45,9.78,9.62,0.16,1.66,925228.88,904234.5705
000520.SZ,20160205,9.72,10.36,9.72,9.93,9.78,0.15,1.53,896657.42,900954.4353
000520.SZ,20160215,9.36,10.32,9.36,10.32,9.93,0.39,3.93,730544.99,716119.3404
000520.SZ,20160216,10.89,11.35,10.88,11.35,10.32,1.03,9.98,175248.88,196629.5838
000520.SZ,20160217,12.49,12.49,12.49,12.49,11.35,1.14,10.04,76368.85,95384.6937
