ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000546.SZ,20150105,7.67,7.84,7.66,7.81,7.63,0.18,2.36,20469.78,15837.4385
000546.SZ,20150106,7.96,8.18,7.9,7.99,7.81,0.18,2.3,27077.17,21748.6337
000546.SZ,20150107,7.99,8.09,7.84,7.9,7.99,-0.09,-1.13,15666.59,12417.7917
000546.SZ,20150108,7.9,7.99,7.86,7.89,7.9,-0.01,-0.13,12756.0,10082.225
000546.SZ,20150109,7.89,7.94,7.8,7.82,7.89,-0.07,-0.89,12903.75,10167.194
000546.SZ,20150112,7.75,7.75,7.48,7.54,7.82,-0.28,-3.58,14323.05,10840.0237
000546.SZ,20150113,7.48,7.65,7.48,7.62,7.54,0.08,1.06,9646.08,7296.9589
000546.SZ,20150114,7.58,7.68,7.53,7.6,7.62,-0.02,-0.26,13754.2,10469.3414
000546.SZ,20150115,7.57,7.62,7.53,7.6,7.6,0.0,0.0,11287.07,8557.1579
000546.SZ,20150116,7.67,7.67,7.57,7.65,7.6,0.05,0.66,10935.27,8325.3601
000546.SZ,20150119,7.55,7.63,7.4,7.5,7.65,-0.15,-1.96,24179.91,18090.738
000546.SZ,20150120,7.46,8.07,7.46,8.03,7.5,0.53,7.07,58241.31,45970.4989
000546.SZ,20150121,8.1,8.31,8.02,8.27,8.03,0.24,2.99,55903.24,45892.6337
000546.SZ,20150122,8.22,8.38,8.16,8.36,8.27,0.09,1.09,49423.18,40749.0129
000546.SZ,20150123,8.33,8.65,8.25,8.57,8.36,0.21,2.51,58378.14,49293.1353
000546.SZ,20150126,8.47,8.64,8.37,8.6,8.57,0.03,0.35,46555.13,39545.136
000546.SZ,20150127,8.5,8.66,8.5,8.62,8.6,0.02,0.23,33961.33,29109.7479
000546.SZ,20150128,8.5,9.05,8.5,8.94,8.62,0.32,3.71,110270.17,97784.9581
000546.SZ,20150129,8.92,9.13,8.8,9.11,8.94,0.17,1.9,94079.3,84706.4004
000546.SZ,20150130,9.04,9.04,8.6,8.71,9.11,-0.4,-4.39,76049.56,66929.6065
000546.SZ,20150202,8.16,8.21,7.84,8.0,8.71,-0.71,-8.15,102115.95,81967.5007
000546.SZ,20150203,8.01,8.08,7.87,8.04,8.0,0.04,0.5,47440.47,37867.9177
000546.SZ,20150204,8.06,8.07,7.88,7.92,8.04,-0.12,-1.49,45691.42,36418.4712
000546.SZ,20150205,8.05,8.07,7.78,7.8,7.92,-0.12,-1.52,38184.27,30162.7801
000546.SZ,20150206,7.8,7.81,7.58,7.63,7.8,-0.17,-2.18,28140.47,21622.5235
000546.SZ,20150209,7.58,7.77,7.55,7.7,7.63,0.07,0.92,18655.93,14277.4406
000546.SZ,20150210,7.7,7.86,7.7,7.8,7.7,0.1,1.3,21253.37,16561.8143
000546.SZ,20150211,7.79,7.91,7.75,7.82,7.8,0.02,0.26,18178.49,14233.0649
