ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000555.SZ,20150105,38.7,38.7,35.8,36.5,38.5,-2.0,-5.19,21121.39,77043.6275
000555.SZ,20150106,36.45,38.5,35.5,38.32,36.5,1.82,4.99,23635.88,87488.178
000555.SZ,20150107,38.0,38.45,36.9,38.1,38.32,-0.22,-0.57,11177.79,41992.9383
000555.SZ,20150108,38.0,40.4,37.46,38.81,38.1,0.71,1.86,14261.76,55208.7856
000555.SZ,20150109,38.8,39.37,38.3,38.3,38.81,-0.51,-1.31,13081.19,50968.5924
000555.SZ,20150112,38.0,41.5,37.5,41.03,38.3,2.73,7.13,25554.03,103500.9666
000555.SZ,20150113,40.99,45.13,40.3,45.13,41.03,4.1,9.99,37371.53,165199.2293
000555.SZ,20150114,45.24,45.98,43.2,43.95,45.13,-1.18,-2.61,21941.25,98406.2447
000555.SZ,20150115,44.23,44.48,41.6,43.53,43.95,-0.42,-0.96,13461.51,57956.2286
000555.SZ,20150116,43.13,45.4,41.9,44.6,43.53,1.07,2.46,23019.46,100842.9872
000555.SZ,20150119,43.0,45.88,42.0,43.05,44.6,-1.55,-3.48,18430.56,81691.9796
000555.SZ,20150120,44.29,47.36,42.7,47.36,43.05,4.31,10.01,42835.8,200863.068
000555.SZ,20150121,47.36,49.21,46.92,48.0,47.36,0.64,1.35,44105.87,212680.7974
000555.SZ,20150122,47.99,50.8,46.52,49.8,48.0,1.8,3.75,40474.09,198897.4004
000555.SZ,20150123,49.5,50.3,48.31,48.31,49.8,-1.49,-2.99,28473.38,140855.4232
000555.SZ,20150126,48.05,50.99,48.0,48.96,48.31,0.65,1.35,14534.97,71911.5107
000555.SZ,20150127,49.01,53.86,49.0,53.39,48.96,4.43,9.05,33221.62,173026.9519
000555.SZ,20150128,53.3,53.33,50.4,50.6,53.39,-2.79,-5.23,41115.02,213221.4722
000555.SZ,20150129,48.9,51.5,48.5,51.32,50.6,0.72,1.42,17647.26,87592.4559
000555.SZ,20150130,51.28,53.95,46.19,46.55,51.32,-4.77,-9.29,35993.98,176002.6266
000555.SZ,20150202,47.0,48.14,45.66,47.4,46.55,0.85,1.83,22542.17,106829.0387
000555.SZ,20150203,47.48,50.0,46.3,48.15,47.4,0.75,1.58,30639.97,148089.6287
000555.SZ,20150204,48.29,51.1,48.0,48.8,48.15,0.65,1.35,27322.57,135997.7847
000555.SZ,20150205,48.8,51.32,46.88,49.18,48.8,0.38,0.78,35229.34,175621.1722
000555.SZ,20150206,49.18,49.48,46.0,47.15,49.18,-2.03,-4.13,28424.55,135434.6995
000555.SZ,20150209,46.5,48.05,44.6,45.7,47.15,-1.45,-3.08,13597.65,62316.1948
000555.SZ,20150210,45.0,47.8,44.11,47.66,45.7,1.96,4.29,19259.66,88111.3694
000555.SZ,20150211,47.26,50.96,46.26,49.7,47.66,2.04,4.28,37448.81,186418.5011
000555.SZ,20150212,49.7,50.5,48.8,49.6,49.7,-0.1,-0.2,30987.07,153769.9108
000555.SZ,20150213,49.9,50.8,49.7,50.0,49.6,0.4,0.81,27990.38,140282.6942
000555.SZ,20150216,50.2,52.25,50.0,51.5,50.0,1.5,3.0,37970.37,194412.9767
000555.SZ,20150217,51.49,56.65,50.66,56.65,51.5,5.15,10.0,46264.3,257792.5209
000555.SZ,20150225,57.65,58.2,54.0,54.53,56.65,-2.12,-3.74,29753.82,164741.2606
000555.SZ,20150226,54.39,55.12,50.29,53.07,54.53,-1.46,-2.68,43180.96,227255.2368
000555.SZ,20150227,53.05,56.55,52.53,55.45,53.07,2.38,4.48,26187.02,143499.5506
000555.SZ,20150302,54.89,61.0,54.0,60.46,55.45,5.01,9.04,54766.89,324849.7023
000555.SZ,20150303,59.95,61.5,57.9,59.02,60.46,-1.44,-2.38,20548.28,123094.3934
000555.SZ,20150304,59.0,62.48,58.43,60.6,59.02,1.58,2.68,22866.33,140581.1535
000555.SZ,20150305,60.6,61.59,57.96,59.9,60.6,-0.7,-1.16,18503.02,109149.385
000555.SZ,20150306,59.41,59.61,55.05,56.0,59.9,-3.9,-6.51,28391.8,161714.4247
000555.SZ,20150309,55.96,57.7,54.5,57.15,56.0,1.15,2.05,16062.92,90412.9491
000555.SZ,20150310,57.0,59.6,56.5,59.4,57.15,2.25,3.94,14878.11,86282.6876
000555.SZ,20150311,58.5,61.1,57.6,57.78,59.4,-1.62,-2.73,13546.22,80285.4222
000555.SZ,20150312,58.13,58.32,54.82,55.79,57.78,-1.99,-3.44,24378.88,136081.9288
000555.SZ,20150313,56.08,59.0,55.86,56.5,55.79,0.71,1.27,21626.23,123277.3262
000555.SZ,20150316,56.98,62.15,56.9,62.15,56.5,5.65,10.0,35095.46,213710.167
000555.SZ,20150317,62.7,64.39,60.4,62.88,62.15,0.73,1.17,21813.65,135461.4061
000555.SZ,20150318,61.81,68.13,60.77,66.42,62.88,3.54,5.63,27820.78,179303.7585
000555.SZ,20150319,67.0,68.48,65.03,67.49,66.42,1.07,1.61,19489.87,129764.8141
000555.SZ,20150320,67.5,72.18,67.5,69.27,67.49,1.78,2.64,18230.39,127226.3015
000555.SZ,20150323,68.56,70.87,67.3,69.5,69.27,0.23,0.33,27380.61,188374.9989
000555.SZ,20150324,70.0,70.0,65.58,69.5,69.5,0.0,0.0,36030.83,243230.2476
000555.SZ,20150325,68.5,69.57,67.0,68.59,69.5,-0.91,-1.31,18574.5,127046.3885
000555.SZ,20150326,68.28,68.28,62.8,63.25,68.59,-5.34,-7.79,25740.68,166565.3386
000555.SZ,20150327,63.25,64.14,59.96,63.46,63.25,0.21,0.33,21975.71,136981.494
000555.SZ,20150330,63.46,64.9,61.08,62.99,63.46,-0.47,-0.74,23693.25,149053.4796
000555.SZ,20150331,61.99,63.6,60.31,62.35,62.99,-0.64,-1.02,30984.44,192406.4983
000555.SZ,20150401,62.4,64.1,61.86,62.97,62.35,0.62,0.99,24668.15,155532.4611
000555.SZ,20150402,65.12,69.27,64.13,69.27,62.97,6.3,10.0,60490.39,408679.0116
000555.SZ,20150403,71.5,75.0,70.5,74.05,69.27,4.78,6.9,56230.82,411027.5678
000555.SZ,20150511,81.46,81.46,81.46,81.46,74.05,7.41,10.01,2524.03,20560.7484
000555.SZ,20150512,89.61,89.61,89.61,89.61,81.46,8.15,10.0,12375.68,110898.4685
000555.SZ,20150513,98.57,98.57,98.57,98.57,89.61,8.96,10.0,2299.84,22669.5229
000555.SZ,20150514,108.43,108.43,98.56,108.43,98.57,9.86,10.0,86058.96,908215.3816
000555.SZ,20150515,108.43,109.68,97.59,102.48,108.43,-5.95,-5.49,87940.72,902132.654
