ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000576.SZ,20150105,12.08,12.18,11.89,11.92,12.09,-0.17,-1.41,35604.87,42858.7583
000576.SZ,20150106,11.92,12.05,11.72,12.0,11.92,0.08,0.67,36061.29,42681.3354
000576.SZ,20150107,11.99,11.99,11.72,11.86,12.0,-0.14,-1.17,25177.53,29729.673
000576.SZ,20150108,11.86,11.86,11.58,11.85,11.86,-0.01,-0.08,34054.58,39893.6727
000576.SZ,20150109,11.71,11.85,11.66,11.84,11.85,-0.01,-0.08,22182.91,26095.5079
000576.SZ,20150112,11.75,11.8,11.51,11.63,11.84,-0.21,-1.77,19723.96,22985.6584
000576.SZ,20150113,11.66,11.69,11.51,11.67,11.63,0.04,0.34,12020.02,13983.2031
000576.SZ,20150114,11.69,11.7,11.58,11.67,11.67,0.0,0.0,10970.0,12747.0628
000576.SZ,20150115,11.67,11.75,11.63,11.69,11.67,0.02,0.17,11195.32,13072.4833
000576.SZ,20150116,11.75,11.75,11.6,11.7,11.69,0.01,0.09,15503.21,18073.8254
000576.SZ,20150119,11.58,11.7,11.03,11.62,11.7,-0.08,-0.68,33127.68,37795.8642
000576.SZ,20150120,11.57,12.78,11.4,12.53,11.62,0.91,7.83,55548.57,67346.5349
000576.SZ,20150121,12.41,12.88,12.3,12.63,12.53,0.1,0.8,44249.62,55444.8638
000576.SZ,20150122,12.65,12.76,12.37,12.56,12.63,-0.07,-0.55,25722.41,32239.1335
000576.SZ,20150123,12.56,12.6,12.28,12.47,12.56,-0.09,-0.72,25957.43,32175.0813
000576.SZ,20150126,12.32,12.45,12.3,12.31,12.47,-0.16,-1.28,21045.68,25944.3631
000576.SZ,20150127,12.31,12.44,12.21,12.28,12.31,-0.03,-0.24,22491.39,27706.9167
000576.SZ,20150128,12.13,12.33,12.03,12.24,12.28,-0.04,-0.33,24321.4,29688.2755
000576.SZ,20150129,12.2,12.5,12.17,12.27,12.24,0.03,0.25,21488.73,26595.0737
000576.SZ,20150130,12.27,12.45,12.12,12.19,12.27,-0.08,-0.65,15312.06,18749.7554
000576.SZ,20150202,12.15,12.18,11.91,11.92,12.19,-0.27,-2.21,13126.03,15805.8265
000576.SZ,20150203,11.98,12.07,11.92,12.04,11.92,0.12,1.01,12623.46,15128.7291
000576.SZ,20150204,12.12,12.2,12.01,12.06,12.04,0.02,0.17,21698.79,26210.4866
000576.SZ,20150205,12.1,12.16,11.78,11.79,12.06,-0.27,-2.24,24416.47,29116.0407
000576.SZ,20150206,11.65,11.95,11.4,11.95,11.79,0.16,1.36,22396.69,25969.8832
000576.SZ,20150209,11.85,11.85,11.58,11.8,11.95,-0.15,-1.26,16109.48,18866.8732
000576.SZ,20150210,11.8,11.84,11.65,11.8,11.8,0.0,0.0,11267.48,13222.3837
000576.SZ,20150211,11.8,11.83,11.71,11.8,11.8,0.0,0.0,11172.93,13150.0527
000576.SZ,20150212,11.79,11.96,11.75,11.85,11.8,0.05,0.42,13415.57,15911.0022
000576.SZ,20150213,11.8,12.31,11.8,12.2,11.85,0.35,2.95,81434.11,98611.9399
000576.SZ,20150216,12.38,12.63,12.22,12.36,12.2,0.16,1.31,128064.0,158296.5452
000576.SZ,20150217,12.36,12.42,12.26,12.33,12.36,-0.03,-0.24,46889.62,57945.5007
000576.SZ,20150225,12.27,12.41,12.2,12.31,12.33,-0.02,-0.16,33268.73,40931.7683
000576.SZ,20150226,12.33,12.33,12.06,12.17,12.31,-0.14,-1.14,64200.1,78072.093
000576.SZ,20150227,12.19,12.23,12.13,12.19,12.17,0.02,0.16,24293.08,29573.6553
000576.SZ,20150302,12.23,12.5,12.17,12.44,12.19,0.25,2.05,64668.59,79679.8975
000576.SZ,20150303,12.38,12.45,12.2,12.24,12.44,-0.2,-1.61,70930.39,87134.6202
000576.SZ,20150304,12.2,12.32,12.18,12.28,12.24,0.04,0.33,43438.83,53237.8185
000576.SZ,20150305,12.21,12.27,11.98,12.08,12.28,-0.2,-1.63,48936.29,59329.1785
000576.SZ,20150306,12.11,12.17,11.85,11.92,12.08,-0.16,-1.32,31231.07,37655.4758
000576.SZ,20150309,11.99,12.17,11.9,12.15,11.92,0.23,1.93,39849.43,48123.1514
000576.SZ,20150310,12.2,12.43,12.16,12.4,12.15,0.25,2.06,66841.0,82417.2379
000576.SZ,20150311,12.42,12.48,12.21,12.26,12.4,-0.14,-1.13,63861.08,78772.0008
000576.SZ,20150312,12.28,12.41,12.18,12.25,12.26,-0.01,-0.08,51503.02,63299.6424
000576.SZ,20150313,12.25,12.42,12.25,12.42,12.25,0.17,1.39,59272.5,73219.1247
000576.SZ,20150316,12.47,13.29,12.35,13.03,12.42,0.61,4.91,131954.97,169546.7343
000576.SZ,20150317,13.08,13.24,12.88,13.03,13.03,0.0,0.0,102235.39,133747.4286
000576.SZ,20150318,13.03,13.5,13.0,13.18,13.03,0.15,1.15,70901.21,94092.4541
000576.SZ,20150319,13.23,13.57,13.07,13.55,13.18,0.37,2.81,97642.68,129893.3861
000576.SZ,20150320,13.55,14.65,13.38,14.16,13.55,0.61,4.5,139328.78,194455.2522
000576.SZ,20150323,14.02,15.48,14.02,15.24,14.16,1.08,7.63,171754.99,256004.6491
000576.SZ,20150324,15.22,15.22,14.2,14.75,15.24,-0.49,-3.22,210654.64,310021.492
000576.SZ,20150325,14.55,14.91,14.53,14.66,14.75,-0.09,-0.61,96189.11,141287.5979
000576.SZ,20150326,14.65,14.86,14.24,14.66,14.66,0.0,0.0,97658.07,141910.798
000576.SZ,20150327,14.62,14.8,14.62,14.7,14.66,0.04,0.27,46844.49,68855.5915
000576.SZ,20150330,14.75,15.47,14.72,15.21,14.7,0.51,3.47,176668.56,269857.6154
000576.SZ,20150331,15.2,15.71,15.02,15.39,15.21,0.18,1.18,127026.08,195214.2928
000576.SZ,20150401,15.55,15.97,15.4,15.58,15.39,0.19,1.23,118002.43,185793.205
000576.SZ,20150402,15.5,16.69,15.4,16.25,15.58,0.67,4.3,127041.34,203604.5568
000576.SZ,20150403,15.93,16.89,15.93,16.86,16.25,0.61,3.75,174949.24,291777.852
000576.SZ,20150407,16.88,17.09,16.35,16.65,16.86,-0.21,-1.25,160886.66,267489.9442
000576.SZ,20150408,16.68,16.83,15.55,16.2,16.65,-0.45,-2.7,173883.12,279891.4338
000576.SZ,20150409,16.1,16.5,15.0,16.25,16.2,0.05,0.31,143867.89,228384.1242
000576.SZ,20150410,16.0,16.47,16.0,16.27,16.25,0.02,0.12,183029.69,297653.7014
000576.SZ,20150413,16.2,16.48,15.9,16.05,16.27,-0.22,-1.35,153197.23,246907.1613
