ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000630.SZ,20150105,15.39,17.03,15.3,17.03,15.48,1.55,10.01,836107.97,1383632.5639
000630.SZ,20150106,17.64,17.85,16.58,16.62,17.03,-0.41,-2.41,949905.23,1626248.6017
000630.SZ,20150107,16.58,17.54,16.35,16.77,16.62,0.15,0.9,582130.19,988368.9373
000630.SZ,20150108,16.6,17.22,16.03,16.45,16.77,-0.32,-1.91,426616.19,707618.0528
000630.SZ,20150109,16.32,16.77,16.15,16.16,16.45,-0.29,-1.76,353744.4,581842.5901
000630.SZ,20150112,15.87,15.96,15.43,15.6,16.16,-0.56,-3.47,333341.61,520529.3412
000630.SZ,20150113,15.61,15.85,15.32,15.46,15.6,-0.14,-0.9,204240.05,317909.8148
000630.SZ,20150114,15.3,15.58,14.21,14.46,15.46,-1.0,-6.47,522922.05,774348.5042
000630.SZ,20150115,14.2,14.77,13.57,14.76,14.46,0.3,2.07,480266.68,677120.3485
000630.SZ,20150116,14.59,14.94,14.4,14.54,14.76,-0.22,-1.49,403071.83,589671.4269
000630.SZ,20150119,14.0,14.68,13.32,13.64,14.54,-0.9,-6.19,394814.13,556172.5114
000630.SZ,20150120,13.8,14.25,13.71,13.96,13.64,0.32,2.35,259705.9,361605.1303
000630.SZ,20150121,14.04,14.8,14.0,14.62,13.96,0.66,4.73,390979.01,565791.1739
000630.SZ,20150122,14.65,15.55,14.55,15.04,14.62,0.42,2.87,539859.12,817459.1319
000630.SZ,20150123,15.35,15.36,14.67,14.72,15.04,-0.32,-2.13,333286.28,497469.1947
000630.SZ,20150126,14.5,15.05,14.44,14.89,14.72,0.17,1.15,208722.19,310201.8094
000630.SZ,20150127,14.86,15.27,14.65,14.96,14.89,0.07,0.47,256387.23,383812.4543
000630.SZ,20150128,14.75,14.83,14.42,14.52,14.96,-0.44,-2.94,202015.62,295859.9309
000630.SZ,20150129,14.36,14.5,14.03,14.23,14.52,-0.29,-2.0,251013.87,357282.9218
000630.SZ,20150130,14.24,14.53,14.05,14.14,14.23,-0.09,-0.63,182846.41,260357.6096
000630.SZ,20150202,14.04,14.29,13.91,14.15,14.14,0.01,0.07,135582.91,191932.6815
000630.SZ,20150203,14.31,14.47,14.13,14.46,14.15,0.31,2.19,156641.58,224311.7195
000630.SZ,20150204,14.9,15.1,14.55,14.56,14.46,0.1,0.69,327481.86,487019.3849
000630.SZ,20150205,14.9,14.98,14.19,14.21,14.56,-0.35,-2.4,244326.93,355108.0415
000630.SZ,20150206,14.05,14.33,13.75,13.83,14.21,-0.38,-2.67,151533.54,212596.9029
000630.SZ,20150209,13.64,13.95,13.61,13.73,13.83,-0.1,-0.72,122245.82,168229.1548
000630.SZ,20150210,13.72,14.19,13.7,14.03,13.73,0.3,2.19,126570.4,176540.5614
000630.SZ,20150211,13.96,14.14,13.92,14.0,14.03,-0.03,-0.21,89413.14,125160.885
000630.SZ,20150212,14.0,14.09,13.91,14.01,14.0,0.01,0.07,86312.08,120930.2604
000630.SZ,20150213,14.19,14.62,14.16,14.3,14.01,0.29,2.07,195080.67,280943.9276
000630.SZ,20150216,14.35,14.62,14.29,14.58,14.3,0.28,1.96,145100.33,210803.8649
000630.SZ,20150217,14.59,14.76,14.56,14.7,14.58,0.12,0.82,135365.58,198321.6187
000630.SZ,20150225,14.8,14.8,14.32,14.37,14.7,-0.33,-2.24,122006.15,176832.66
000630.SZ,20150226,14.39,15.52,14.39,15.42,14.37,1.05,7.31,420123.15,632233.4463
000630.SZ,20150227,15.42,15.72,15.1,15.6,15.42,0.18,1.17,358781.43,553993.8934
000630.SZ,20150302,15.88,16.78,15.86,16.58,15.6,0.98,6.28,590817.42,971768.9732
000630.SZ,20150303,16.58,17.53,16.38,16.53,16.58,-0.05,-0.3,634795.83,1075995.4571
000630.SZ,20150304,16.53,16.9,16.08,16.31,16.53,-0.22,-1.33,351539.49,574499.3281
000630.SZ,20150305,16.17,16.73,16.01,16.52,16.31,0.21,1.29,328927.12,535341.3642
000630.SZ,20150306,16.55,17.3,16.42,16.93,16.52,0.41,2.48,491576.38,833036.4801
000630.SZ,20151023,3.6,3.69,3.6,3.69,3.35,0.34,10.15,6460781.49,2374659.3525
000630.SZ,20151026,4.06,4.06,4.06,4.06,3.69,0.37,10.03,1024746.64,416047.1358
000630.SZ,20151027,4.47,4.47,4.22,4.47,4.06,0.41,10.1,20822405.38,9291261.5852
000630.SZ,20151028,4.4,4.54,4.05,4.13,4.47,-0.34,-7.61,15222577.11,6534837.7173
000630.SZ,20151029,4.0,4.2,3.91,4.09,4.13,-0.04,-0.97,9340189.48,3759674.894
000630.SZ,20151030,4.02,4.02,3.86,3.9,4.09,-0.19,-4.65,5377890.62,2113243.7187
000630.SZ,20151102,3.75,3.83,3.63,3.65,3.9,-0.25,-6.41,5258618.2,1958098.1986
000630.SZ,20151103,3.67,3.77,3.63,3.68,3.65,0.03,0.82,3218907.24,1191755.1639
000630.SZ,20151104,3.69,3.9,3.65,3.9,3.68,0.22,5.98,5301473.83,1994792.9368
000630.SZ,20151105,3.84,3.91,3.78,3.81,3.9,-0.09,-2.31,5590652.76,2143008.5699
000630.SZ,20151106,3.78,3.84,3.76,3.82,3.81,0.01,0.26,4387449.45,1666608.6803
000630.SZ,20151109,3.77,3.82,3.7,3.78,3.82,-0.04,-1.05,4118597.24,1551842.3316
000630.SZ,20151110,3.75,4.16,3.73,4.16,3.78,0.38,10.05,8223954.9,3217887.3743
000630.SZ,20151111,4.16,4.16,3.99,4.03,4.16,-0.13,-3.13,7463955.43,3033114.1641
000630.SZ,20151112,4.0,4.23,3.98,4.06,4.03,0.03,0.74,6031564.98,2479524.6623
000630.SZ,20151113,4.0,4.0,3.82,3.89,4.06,-0.17,-4.19,4190650.56,1641980.6366
000630.SZ,20151116,3.8,3.98,3.77,3.93,3.89,0.04,1.03,2329263.27,909516.6182
000630.SZ,20151117,3.93,3.97,3.87,3.88,3.93,-0.05,-1.27,3174117.99,1242473.6597
000630.SZ,20151118,3.9,3.96,3.82,3.85,3.88,-0.03,-0.77,2421937.27,939991.9464
000630.SZ,20151119,3.85,3.94,3.82,3.91,3.85,0.06,1.56,2417813.53,939922.3635
000630.SZ,20151120,3.92,4.2,3.86,4.09,3.91,0.18,4.6,8367166.84,3412280.9766
000630.SZ,20151123,4.05,4.24,4.01,4.09,4.09,0.0,0.0,6466688.99,2667575.4578
000630.SZ,20151124,4.1,4.15,4.01,4.08,4.09,-0.01,-0.24,3552478.92,1442186.5985
000630.SZ,20151125,4.13,4.13,4.04,4.06,4.08,-0.02,-0.49,2909734.87,1183549.5594
000630.SZ,20151126,4.05,4.22,4.01,4.09,4.06,0.03,0.74,5634926.7,2320073.7214
000630.SZ,20151127,4.04,4.08,3.78,3.83,4.09,-0.26,-6.36,4769522.41,1887433.6978
000630.SZ,20151130,3.81,3.87,3.6,3.8,3.83,-0.03,-0.78,2973062.66,1120780.6043
000630.SZ,20151201,3.82,3.83,3.75,3.79,3.8,-0.01,-0.26,1886403.42,713479.2376
000630.SZ,20151202,3.8,3.87,3.76,3.86,3.79,0.07,1.85,2279383.45,870333.8835
000630.SZ,20151203,3.83,3.92,3.82,3.88,3.86,0.02,0.52,1985160.83,768742.6137
000630.SZ,20151204,3.86,3.88,3.78,3.8,3.88,-0.08,-2.06,2201511.34,839807.4234
000630.SZ,20151207,3.82,3.84,3.78,3.79,3.8,-0.01,-0.26,1346918.07,512582.0997
000630.SZ,20151208,3.78,3.78,3.7,3.71,3.79,-0.08,-2.11,1723433.55,641621.8245
000630.SZ,20151209,3.69,3.72,3.67,3.68,3.71,-0.03,-0.81,1149793.31,423770.443
000630.SZ,20151210,3.68,3.75,3.65,3.68,3.68,0.0,0.0,1412158.47,521717.7136
000630.SZ,20151211,3.66,3.85,3.63,3.77,3.68,0.09,2.45,2363277.75,881024.6838
000630.SZ,20151214,3.7,3.96,3.68,3.88,3.77,0.11,2.92,3832970.38,1477733.512
000630.SZ,20151215,3.91,3.92,3.78,3.8,3.88,-0.08,-2.06,2370457.21,905942.6497
000630.SZ,20151216,3.79,3.86,3.76,3.81,3.8,0.01,0.26,2304847.76,878721.1208
000630.SZ,20151217,3.83,3.84,3.77,3.81,3.81,0.0,0.0,4702920.58,1789601.6271
000630.SZ,20151218,3.77,3.83,3.71,3.78,3.81,-0.03,-0.79,3062021.39,1150853.4993
000630.SZ,20151221,3.76,3.79,3.73,3.75,3.78,-0.03,-0.79,2858983.13,1072972.6372
000630.SZ,20151222,3.76,3.81,3.73,3.77,3.75,0.02,0.53,3286928.24,1238166.1849
000630.SZ,20151223,3.76,3.77,3.7,3.7,3.77,-0.07,-1.86,3021137.08,1123556.336
000630.SZ,20151224,3.7,3.7,3.65,3.66,3.7,-0.04,-1.08,2223604.3,815032.1306
