ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000665.SZ,20150105,13.93,13.99,13.77,13.86,13.93,-0.07,-0.5,21189.14,29436.7775
000665.SZ,20150106,13.83,14.07,13.76,14.05,13.86,0.19,1.37,26124.82,36408.7091
000665.SZ,20150107,14.05,14.07,13.68,13.78,14.05,-0.27,-1.92,22760.05,31520.6152
000665.SZ,20150108,13.68,13.8,13.46,13.53,13.78,-0.25,-1.81,19785.12,26849.5624
000665.SZ,20150109,13.51,13.77,13.41,13.51,13.53,-0.02,-0.15,15391.71,20918.1343
000665.SZ,20150112,13.52,13.52,13.27,13.33,13.51,-0.18,-1.33,9717.63,12988.0551
000665.SZ,20150113,13.38,13.5,13.21,13.45,13.33,0.12,0.9,15007.51,20056.6244
000665.SZ,20150114,13.47,13.62,13.33,13.35,13.45,-0.1,-0.74,12147.41,16319.7504
000665.SZ,20150115,13.35,13.5,13.35,13.43,13.35,0.08,0.6,9286.88,12445.9727
000665.SZ,20150116,13.49,13.85,13.45,13.76,13.43,0.33,2.46,19840.23,27060.3278
000665.SZ,20150119,13.57,14.35,13.51,13.89,13.76,0.13,0.94,37945.83,53024.4736
000665.SZ,20150120,13.9,14.27,13.82,14.27,13.89,0.38,2.74,27247.72,38488.3176
000665.SZ,20150121,14.28,14.56,14.13,14.37,14.27,0.1,0.7,37645.0,54054.0592
000665.SZ,20150122,14.38,14.47,14.27,14.36,14.37,-0.01,-0.07,20848.19,29933.153
000665.SZ,20150123,14.37,14.41,14.08,14.08,14.36,-0.28,-1.95,24861.41,35308.494
000665.SZ,20150126,14.1,14.34,14.02,14.34,14.08,0.26,1.85,20625.77,29388.7056
000665.SZ,20150127,14.35,14.43,14.07,14.34,14.34,0.0,0.0,21016.9,30029.3668
000665.SZ,20150128,14.34,14.69,14.23,14.52,14.34,0.18,1.26,36753.31,53512.8802
000665.SZ,20150129,14.47,14.69,14.28,14.53,14.52,0.01,0.07,24451.83,35457.4388
000665.SZ,20150130,14.54,14.75,14.38,14.55,14.53,0.02,0.14,33082.34,48267.2933
000665.SZ,20150202,14.37,14.56,14.08,14.21,14.55,-0.34,-2.34,23053.96,33006.9874
000665.SZ,20150203,14.14,14.45,14.11,14.22,14.21,0.01,0.07,15872.41,22613.278
000665.SZ,20150204,14.22,14.45,14.04,14.04,14.22,-0.18,-1.27,24540.5,34691.2972
000665.SZ,20150205,14.15,15.44,14.01,15.44,14.04,1.4,9.97,95436.22,143260.3094
000665.SZ,20150206,15.58,15.76,15.07,15.26,15.44,-0.18,-1.17,125115.83,191848.3896
000665.SZ,20150209,15.11,15.29,14.8,15.2,15.26,-0.06,-0.39,64180.25,96434.1017
000665.SZ,20150210,14.95,15.08,14.68,14.96,15.2,-0.24,-1.58,38268.91,56870.7229
000665.SZ,20150211,15.0,15.34,14.8,14.9,14.96,-0.06,-0.4,50073.16,75517.3588
000665.SZ,20150212,14.91,16.39,14.85,16.39,14.9,1.49,10.0,247225.93,398634.1943
000665.SZ,20150213,16.3,17.94,15.9,17.15,16.39,0.76,4.64,354882.65,588140.5865
000665.SZ,20150216,16.85,18.77,16.8,18.08,17.15,0.93,5.42,292685.41,525337.6588
