ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000702.SZ,20150105,9.68,9.68,9.36,9.43,9.71,-0.28,-2.88,49842.19,47084.004
000702.SZ,20150106,9.4,9.63,9.19,9.59,9.43,0.16,1.7,48016.26,45241.1202
000702.SZ,20150107,9.54,9.59,9.33,9.42,9.59,-0.17,-1.77,23706.98,22282.5276
000702.SZ,20150108,9.42,9.5,9.19,9.34,9.42,-0.08,-0.85,29331.14,27288.9887
000702.SZ,20150109,9.27,9.38,9.18,9.19,9.34,-0.15,-1.61,26317.35,24378.1387
000702.SZ,20150112,9.11,9.12,8.66,8.81,9.19,-0.38,-4.13,40025.62,35367.8168
000702.SZ,20150113,8.81,8.99,8.7,8.92,8.81,0.11,1.25,17502.12,15573.9363
000702.SZ,20150114,8.85,8.98,8.71,8.78,8.92,-0.14,-1.57,15254.23,13430.3637
000702.SZ,20150115,8.78,8.86,8.62,8.83,8.78,0.05,0.57,39197.67,34218.6271
000702.SZ,20150116,8.83,9.1,8.75,9.06,8.83,0.23,2.6,26500.25,23661.5228
000702.SZ,20150119,8.81,9.19,8.69,8.89,9.06,-0.17,-1.88,26253.55,23438.1204
000702.SZ,20150120,8.89,9.46,8.87,9.4,8.89,0.51,5.74,53099.32,49248.6026
000702.SZ,20150121,9.31,9.56,9.3,9.49,9.4,0.09,0.96,37782.64,35843.6522
000702.SZ,20150122,9.49,9.62,9.4,9.57,9.49,0.08,0.84,29388.53,27997.3356
000702.SZ,20150123,9.57,9.57,9.35,9.37,9.57,-0.2,-2.09,21871.35,20598.3151
000702.SZ,20150126,9.4,9.45,9.26,9.42,9.37,0.05,0.53,24758.6,23209.3221
000702.SZ,20150127,9.38,9.69,9.36,9.59,9.42,0.17,1.8,36025.18,34369.2749
000702.SZ,20150128,9.63,9.83,9.61,9.79,9.59,0.2,2.09,40960.91,39733.6075
000702.SZ,20150129,9.73,9.8,9.41,9.62,9.79,-0.17,-1.74,31392.31,30389.5134
000702.SZ,20150130,9.62,9.72,9.4,9.42,9.62,-0.2,-2.08,17025.54,16291.7127
000702.SZ,20150202,9.57,9.57,9.25,9.29,9.42,-0.13,-1.38,18620.83,17493.5145
000702.SZ,20150203,9.3,9.45,9.29,9.42,9.29,0.13,1.4,18237.39,17092.6954
000702.SZ,20150204,9.42,9.5,9.33,9.35,9.42,-0.07,-0.74,12153.75,11431.827
000702.SZ,20150205,9.4,9.48,9.12,9.16,9.35,-0.19,-2.03,24205.22,22383.0719
000702.SZ,20150206,9.12,9.21,8.99,9.0,9.16,-0.16,-1.75,16788.65,15287.7209
000702.SZ,20150209,8.98,9.06,8.75,8.84,9.0,-0.16,-1.78,22087.59,19564.2092
000702.SZ,20150210,8.84,9.02,8.83,8.87,8.84,0.03,0.34,12607.96,11233.7733
000702.SZ,20150211,8.9,9.18,8.8,9.14,8.87,0.27,3.04,15600.71,14085.5447
000702.SZ,20150212,9.14,9.18,8.98,9.13,9.14,-0.01,-0.11,15759.59,14303.1978
000702.SZ,20150213,9.21,9.49,9.16,9.27,9.13,0.14,1.53,31441.92,29352.9991
000702.SZ,20150216,9.27,9.43,9.27,9.4,9.27,0.13,1.4,17200.14,16141.6213
000702.SZ,20150217,9.4,9.53,9.31,9.33,9.4,-0.07,-0.74,16172.18,15202.0923
000702.SZ,20150225,9.36,9.36,9.19,9.24,9.33,-0.09,-0.96,14679.99,13572.3191
000702.SZ,20150226,9.29,9.29,9.19,9.28,9.24,0.04,0.43,23611.08,21791.274
000702.SZ,20150227,9.3,9.4,9.23,9.28,9.28,0.0,0.0,33618.51,31338.5647
