ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000708.SZ,20150105,9.89,10.26,9.84,10.23,9.87,0.36,3.65,100507.15,101724.4107
000708.SZ,20150106,10.17,10.48,10.11,10.36,10.23,0.13,1.27,104484.09,107604.2771
000708.SZ,20150107,10.34,10.64,10.3,10.48,10.36,0.12,1.16,90785.06,95127.4413
000708.SZ,20150108,10.41,10.5,10.13,10.15,10.48,-0.33,-3.15,58479.08,60127.7038
000708.SZ,20150109,10.11,11.17,9.99,10.53,10.15,0.38,3.74,176144.65,188501.0402
000708.SZ,20150112,10.38,10.49,10.19,10.34,10.53,-0.19,-1.8,69704.2,71765.3686
000708.SZ,20150113,10.3,10.35,10.16,10.24,10.34,-0.1,-0.97,40708.75,41723.7276
000708.SZ,20150114,10.23,10.63,10.14,10.41,10.24,0.17,1.66,102618.09,106803.1393
000708.SZ,20150115,10.34,10.64,10.21,10.61,10.41,0.2,1.92,112161.79,117764.29
000708.SZ,20150116,10.61,10.91,10.61,10.69,10.61,0.08,0.75,110637.69,118848.1455
000708.SZ,20150119,10.35,10.48,9.62,9.7,10.69,-0.99,-9.26,109369.06,110178.6598
000708.SZ,20150120,9.85,10.06,9.75,9.98,9.7,0.28,2.89,77564.35,77210.3268
000708.SZ,20150121,10.08,10.28,9.95,10.27,9.98,0.29,2.91,77385.56,78816.8977
000708.SZ,20150122,10.25,10.45,10.21,10.37,10.27,0.1,0.97,66589.91,68802.9414
000708.SZ,20150123,10.4,10.43,10.18,10.21,10.37,-0.16,-1.54,62933.54,64465.9133
000708.SZ,20150126,10.22,10.41,10.12,10.41,10.21,0.2,1.96,65681.42,67776.7803
000708.SZ,20150127,10.45,10.86,10.37,10.68,10.41,0.27,2.59,116032.86,123124.6823
000708.SZ,20150128,10.59,10.66,10.35,10.45,10.68,-0.23,-2.15,65624.64,68969.9068
000708.SZ,20150129,10.36,10.53,10.2,10.34,10.45,-0.11,-1.05,60284.1,62603.925
000708.SZ,20150130,10.37,10.45,10.28,10.3,10.34,-0.04,-0.39,45320.49,47008.5708
000708.SZ,20150202,10.22,10.27,10.03,10.14,10.3,-0.16,-1.55,44139.22,44839.7774
000708.SZ,20150203,10.16,10.24,9.88,10.17,10.14,0.03,0.3,70442.54,70773.8573
000708.SZ,20150204,10.18,10.46,10.16,10.31,10.17,0.14,1.38,76807.48,79586.9502
000708.SZ,20150205,10.39,10.4,10.0,10.01,10.31,-0.3,-2.91,54535.01,55469.0471
000708.SZ,20150206,9.98,10.04,9.72,9.76,10.01,-0.25,-2.5,45573.75,45039.9846
000708.SZ,20150209,9.76,9.85,9.6,9.7,9.76,-0.06,-0.61,26822.57,26127.8354
000708.SZ,20150210,9.7,9.84,9.66,9.8,9.7,0.1,1.03,22712.57,22188.2296
000708.SZ,20150211,9.8,9.89,9.74,9.87,9.8,0.07,0.71,20142.11,19779.6445
000708.SZ,20150212,9.88,9.95,9.82,9.95,9.87,0.08,0.81,20792.24,20579.2253
000708.SZ,20150213,9.98,10.28,9.98,10.2,9.95,0.25,2.51,51164.41,52091.2044
000708.SZ,20150216,10.18,10.29,10.14,10.24,10.2,0.04,0.39,31522.09,32246.4429
000708.SZ,20150217,10.29,10.33,10.21,10.23,10.24,-0.01,-0.1,25746.91,26432.2409
000708.SZ,20150225,10.24,10.3,10.16,10.23,10.23,0.0,0.0,32509.23,33304.4801
000708.SZ,20150226,10.24,10.34,10.14,10.34,10.23,0.11,1.08,40164.71,41129.047
000708.SZ,20150227,10.31,10.53,10.29,10.42,10.34,0.08,0.77,59906.7,62426.0661
000708.SZ,20150302,10.47,10.72,10.36,10.65,10.42,0.23,2.21,96076.67,101833.5564
000708.SZ,20150303,10.58,10.82,10.45,10.63,10.65,-0.02,-0.19,92548.48,98344.0826
000708.SZ,20150304,10.6,10.72,10.48,10.59,10.63,-0.04,-0.38,70240.43,74426.0149
000708.SZ,20150305,10.59,10.63,10.29,10.35,10.59,-0.24,-2.27,65292.19,67998.3286
000708.SZ,20150306,10.33,10.56,10.22,10.41,10.35,0.06,0.58,49242.62,51166.3701
000708.SZ,20150309,10.36,10.63,10.25,10.63,10.41,0.22,2.11,67149.16,70444.1758
000708.SZ,20150310,10.62,10.83,10.57,10.65,10.63,0.02,0.19,84665.99,90886.0866
000708.SZ,20150311,10.65,10.89,10.59,10.87,10.65,0.22,2.07,90080.57,96893.6753
000708.SZ,20150312,10.88,10.97,10.68,10.78,10.87,-0.09,-0.83,71647.65,77408.9385
000708.SZ,20150313,10.79,11.0,10.76,10.91,10.78,0.13,1.21,75633.52,82272.2875
000708.SZ,20150316,11.01,11.77,11.0,11.44,10.91,0.53,4.86,129840.13,148497.5657
000708.SZ,20150317,11.46,12.16,11.39,12.02,11.44,0.58,5.07,186610.47,220555.3498
000708.SZ,20150318,12.1,13.22,12.1,13.22,12.02,1.2,9.98,237132.39,303025.0497
000708.SZ,20150319,13.3,13.3,12.52,12.64,13.22,-0.58,-4.39,253054.54,323513.2028
000708.SZ,20150320,12.55,12.84,12.4,12.67,12.64,0.03,0.24,151428.06,190725.8857
000708.SZ,20150323,12.48,12.82,12.45,12.62,12.67,-0.05,-0.39,239580.92,301630.5909
000708.SZ,20150324,12.62,13.39,12.47,12.8,12.62,0.18,1.43,253177.2,325252.6105
000708.SZ,20150325,12.78,12.79,12.41,12.56,12.8,-0.24,-1.88,149851.28,187491.3622
000708.SZ,20150326,12.45,12.73,12.3,12.44,12.56,-0.12,-0.96,103858.31,129845.3141
000708.SZ,20150327,12.42,12.62,12.36,12.45,12.44,0.01,0.08,78435.96,97712.9278
000708.SZ,20150330,12.56,12.82,12.44,12.73,12.45,0.28,2.25,150698.8,191205.3211
000708.SZ,20150331,12.8,13.1,12.45,12.53,12.73,-0.2,-1.57,139841.83,179557.5761
000708.SZ,20150401,12.43,12.77,12.43,12.66,12.53,0.13,1.04,92644.72,116878.665
000708.SZ,20150402,12.75,13.19,12.66,13.1,12.66,0.44,3.48,160078.34,207596.3156
000708.SZ,20150403,13.03,13.68,12.87,13.53,13.1,0.43,3.28,171901.88,230665.3436
000708.SZ,20150407,13.68,14.1,13.48,13.57,13.53,0.04,0.3,185615.73,252979.438
000708.SZ,20150408,13.66,13.66,12.92,13.35,13.57,-0.22,-1.62,163105.45,217314.239
000708.SZ,20150409,13.41,13.61,12.85,13.18,13.35,-0.17,-1.27,149015.77,196490.974
000708.SZ,20150410,13.1,13.43,13.0,13.32,13.18,0.14,1.06,131132.42,173738.6417
000708.SZ,20150413,13.32,13.69,13.18,13.6,13.32,0.28,2.1,165863.4,222354.738
000708.SZ,20150414,13.62,14.36,13.52,14.18,13.6,0.58,4.26,201960.48,282203.5861
000708.SZ,20150415,14.16,14.16,13.25,13.34,14.18,-0.84,-5.92,136791.93,186651.8611
000708.SZ,20150416,13.11,13.42,13.02,13.34,13.34,0.0,0.0,139717.16,184798.8682
000708.SZ,20150417,13.41,13.96,13.35,13.79,13.34,0.45,3.37,212975.19,291513.2461
000708.SZ,20150420,13.8,14.1,13.4,13.48,13.79,-0.31,-2.25,209905.85,287835.6679
000708.SZ,20150421,13.47,14.35,13.28,14.23,13.48,0.75,5.56,212544.87,293840.0673
000708.SZ,20150422,14.68,15.65,14.35,15.61,14.23,1.38,9.7,398776.33,599341.8658
000708.SZ,20150423,15.7,16.68,15.25,15.73,15.61,0.12,0.77,457411.2,735329.0953
000708.SZ,20150424,15.4,15.49,14.89,15.21,15.73,-0.52,-3.31,215121.72,326287.5138
000708.SZ,20150427,15.24,15.5,15.02,15.27,15.21,0.06,0.39,189135.71,288167.0956
000708.SZ,20150428,15.17,15.26,14.46,14.5,15.27,-0.77,-5.04,192292.76,283992.8268
000708.SZ,20150429,14.41,14.79,14.28,14.7,14.5,0.2,1.38,97900.41,142762.5603
000708.SZ,20150430,14.64,14.81,14.55,14.55,14.7,-0.15,-1.02,91084.48,133607.7607
000708.SZ,20150504,14.59,15.25,14.38,15.15,14.55,0.6,4.12,139572.61,208608.1394
000708.SZ,20150505,15.16,15.16,14.0,14.45,15.15,-0.7,-4.62,136458.81,197893.2965
000708.SZ,20150506,14.33,14.52,13.5,13.66,14.45,-0.79,-5.47,124190.42,175067.1443
000708.SZ,20150507,13.6,13.63,12.87,12.94,13.66,-0.72,-5.27,120920.69,158640.1549
000708.SZ,20150508,13.13,13.32,13.06,13.31,12.94,0.37,2.86,89087.0,117605.702
000708.SZ,20150511,13.49,14.1,13.35,14.03,13.31,0.72,5.41,102913.47,141244.4833
000708.SZ,20150512,14.03,14.21,13.81,14.12,14.03,0.09,0.64,105373.5,147993.6487
000708.SZ,20151020,12.53,12.53,12.53,12.53,13.92,-1.39,-9.99,12674.0,15880.522
000708.SZ,20151021,11.8,12.38,11.28,11.28,12.53,-1.25,-9.98,432710.38,507630.4329
000708.SZ,20151022,10.81,11.12,10.19,11.0,11.28,-0.28,-2.48,341001.72,362278.2769
000708.SZ,20151023,10.7,11.01,10.66,10.9,11.0,-0.1,-0.91,209765.3,227207.6003
000708.SZ,20151026,11.0,11.06,10.82,10.95,10.9,0.05,0.46,159455.72,174138.0925
000708.SZ,20151027,10.9,11.44,10.73,11.36,10.95,0.41,3.74,202623.28,225754.4824
000708.SZ,20151028,11.24,11.34,10.87,10.92,11.36,-0.44,-3.87,132590.81,147381.2005
000708.SZ,20151029,10.92,11.03,10.7,10.83,10.92,-0.09,-0.82,98532.93,106989.0206
000708.SZ,20151030,10.82,10.88,10.62,10.84,10.83,0.01,0.09,85442.72,92008.8678
000708.SZ,20151102,10.7,10.81,10.55,10.55,10.84,-0.29,-2.68,77433.79,82683.7056
000708.SZ,20151103,10.55,10.64,10.26,10.3,10.55,-0.25,-2.37,77772.09,81021.5076
000708.SZ,20151104,10.4,10.75,10.32,10.73,10.3,0.43,4.17,102368.97,108190.5606
000708.SZ,20151105,10.7,11.08,10.69,10.86,10.73,0.13,1.21,164591.43,179144.98
000708.SZ,20151106,10.89,11.14,10.89,11.06,10.86,0.2,1.84,167570.36,184966.356
000708.SZ,20151109,11.11,11.27,11.03,11.19,11.06,0.13,1.18,129968.24,145075.156
000708.SZ,20151110,11.11,11.17,11.01,11.11,11.19,-0.08,-0.71,114266.59,126703.5745
000708.SZ,20151111,11.19,11.45,11.16,11.27,11.11,0.16,1.44,142177.34,160835.4758
000708.SZ,20151112,11.3,11.3,11.04,11.14,11.27,-0.13,-1.15,110849.94,123560.6052
000708.SZ,20151113,11.06,11.16,10.9,10.99,11.14,-0.15,-1.35,87007.81,95979.2269
000708.SZ,20151116,10.84,11.09,10.75,11.08,10.99,0.09,0.82,57417.35,62888.178
000708.SZ,20151117,11.15,11.4,11.1,11.18,11.08,0.1,0.9,129588.6,145541.9609
000708.SZ,20151118,11.18,11.25,10.86,10.9,11.18,-0.28,-2.5,73290.31,81195.5414
000708.SZ,20151119,10.95,11.02,10.79,11.01,10.9,0.11,1.01,62976.63,68710.0548
000708.SZ,20151120,11.02,11.2,10.98,11.11,11.01,0.1,0.91,79636.48,88452.58
000708.SZ,20151123,11.1,11.35,11.08,11.18,11.11,0.07,0.63,110883.01,124567.1581
000708.SZ,20151124,11.23,11.81,11.19,11.67,11.18,0.49,4.38,190338.86,218983.9203
000708.SZ,20151125,11.59,11.79,11.5,11.62,11.67,-0.05,-0.43,119833.01,139199.7029
000708.SZ,20151126,11.67,11.72,11.46,11.48,11.62,-0.14,-1.2,98098.04,113652.9984
000708.SZ,20151127,11.44,11.7,10.69,10.88,11.48,-0.6,-5.23,136535.16,155573.6153
000708.SZ,20151130,10.97,11.2,10.49,11.13,10.88,0.25,2.3,114724.63,125323.9443
000708.SZ,20151201,11.15,11.15,10.92,11.03,11.13,-0.1,-0.9,74430.68,82092.2802
