ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000727.SZ,20150105,7.65,7.82,7.62,7.79,7.61,0.18,2.37,60713.77,46819.6937
000727.SZ,20150106,7.8,7.95,7.7,7.92,7.79,0.13,1.67,55253.37,43404.0761
000727.SZ,20150107,7.94,7.96,7.77,7.84,7.92,-0.08,-1.01,40553.29,31740.4525
000727.SZ,20150108,7.85,7.9,7.73,7.77,7.84,-0.07,-0.89,35670.6,27802.1746
000727.SZ,20150109,7.77,7.83,7.63,7.63,7.77,-0.14,-1.8,48858.21,37792.2643
000727.SZ,20150112,7.61,7.62,7.2,7.27,7.63,-0.36,-4.72,80666.64,59052.618
000727.SZ,20150113,7.27,7.47,7.17,7.45,7.27,0.18,2.48,65824.17,47986.1455
000727.SZ,20150114,7.34,7.43,7.2,7.24,7.45,-0.21,-2.82,37206.88,27191.5106
000727.SZ,20150115,7.25,7.41,7.25,7.3,7.24,0.06,0.83,40492.6,29665.1413
000727.SZ,20150116,7.33,7.57,7.32,7.55,7.3,0.25,3.42,58513.79,43670.9911
000727.SZ,20150119,7.38,7.6,7.21,7.25,7.55,-0.3,-3.97,69774.96,51719.3878
000727.SZ,20150120,7.26,7.72,7.26,7.67,7.25,0.42,5.79,82808.6,62521.24
000727.SZ,20150121,7.61,7.93,7.61,7.88,7.67,0.21,2.74,92967.0,73099.8346
000727.SZ,20150122,7.89,8.31,7.74,8.25,7.88,0.37,4.7,122014.61,98942.2607
000727.SZ,20150123,8.25,8.3,8.0,8.06,8.25,-0.19,-2.3,87201.02,70729.8479
000727.SZ,20150126,8.07,8.2,8.07,8.17,8.06,0.11,1.36,58294.83,47460.874
000727.SZ,20150127,8.18,8.25,8.01,8.11,8.17,-0.06,-0.73,65375.41,52953.2754
000727.SZ,20150128,8.1,8.26,8.02,8.14,8.11,0.03,0.37,60930.54,49754.6694
000727.SZ,20150129,8.2,8.25,8.04,8.11,8.14,-0.03,-0.37,71377.04,58206.6162
000727.SZ,20150130,8.18,8.19,7.89,7.89,8.11,-0.22,-2.71,57200.47,45870.5219
000727.SZ,20150202,7.79,8.01,7.72,7.86,7.89,-0.03,-0.38,45058.11,35642.8096
000727.SZ,20150203,7.9,8.04,7.86,7.97,7.86,0.11,1.4,40395.02,32178.9168
000727.SZ,20150204,8.0,8.05,7.82,7.83,7.97,-0.14,-1.76,45393.55,35896.4433
000727.SZ,20150205,7.91,7.97,7.7,7.71,7.83,-0.12,-1.53,42822.43,33566.0318
000727.SZ,20150206,7.71,7.78,7.5,7.69,7.71,-0.02,-0.26,53323.06,40710.2009
000727.SZ,20150209,7.67,7.83,7.6,7.66,7.69,-0.03,-0.39,28530.44,22078.9086
