ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000733.SZ,20150105,13.96,14.06,13.7,13.95,13.93,0.02,0.14,52533.9,72899.887
000733.SZ,20150106,13.8,14.66,13.66,14.62,13.95,0.67,4.8,90536.93,129820.1375
000733.SZ,20150107,14.51,14.51,14.12,14.3,14.62,-0.32,-2.19,59231.97,84630.819
000733.SZ,20150108,14.28,14.55,14.21,14.23,14.3,-0.07,-0.49,36386.14,52253.0648
000733.SZ,20150109,14.2,14.43,14.14,14.19,14.23,-0.04,-0.28,27144.54,38810.3134
000733.SZ,20150112,14.28,14.35,13.91,13.96,14.19,-0.23,-1.62,29687.07,41823.9332
000733.SZ,20150113,13.91,14.65,13.91,14.63,13.96,0.67,4.8,69328.91,100583.1516
000733.SZ,20150114,14.63,14.74,14.51,14.57,14.63,-0.06,-0.41,31463.53,46017.9373
000733.SZ,20150115,14.57,14.78,14.44,14.53,14.57,-0.04,-0.27,24392.56,35613.4831
000733.SZ,20150116,14.6,14.66,14.45,14.62,14.53,0.09,0.62,31330.24,45673.2362
000733.SZ,20150119,14.5,15.32,14.13,14.92,14.62,0.3,2.05,92415.97,138153.3258
000733.SZ,20150120,14.91,15.5,14.85,15.47,14.92,0.55,3.69,91977.53,140916.373
000733.SZ,20150121,15.48,16.08,15.48,15.73,15.47,0.26,1.68,90394.72,142953.1943
000733.SZ,20150122,15.73,16.28,15.66,16.2,15.73,0.47,2.99,72713.87,116421.9378
000733.SZ,20150123,16.19,16.2,15.7,15.99,16.2,-0.21,-1.3,72514.93,115324.9007
000733.SZ,20150126,16.52,17.5,16.52,17.24,15.99,1.25,7.82,137012.88,234823.7624
000733.SZ,20150127,17.08,18.0,16.92,17.58,17.24,0.34,1.97,118012.29,207269.4672
000733.SZ,20150128,17.6,17.63,16.98,17.4,17.58,-0.18,-1.02,70540.69,122344.4681
000733.SZ,20150129,17.09,17.38,16.75,17.03,17.4,-0.37,-2.13,58254.24,99188.2359
