ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000757.SZ,20150105,7.24,7.48,7.15,7.45,7.15,0.3,4.2,68673.13,50494.4774
000757.SZ,20150106,7.39,7.57,7.3,7.45,7.45,0.0,0.0,46484.0,34658.505
000757.SZ,20150107,7.38,7.55,7.35,7.37,7.45,-0.08,-1.07,25164.41,18635.3615
000757.SZ,20150108,7.37,7.47,7.22,7.3,7.37,-0.07,-0.95,33885.28,24780.6623
000757.SZ,20150109,7.33,7.33,7.13,7.15,7.3,-0.15,-2.05,44689.75,32212.9919
000757.SZ,20150112,7.1,7.21,7.1,7.11,7.15,-0.04,-0.56,22841.55,16319.6752
000757.SZ,20150113,7.16,7.21,7.05,7.19,7.11,0.08,1.13,22490.87,16122.0311
000757.SZ,20150114,7.19,7.22,6.98,7.01,7.19,-0.18,-2.5,45471.07,32114.7915
000757.SZ,20150115,7.03,7.1,6.95,7.04,7.01,0.03,0.43,25758.46,18069.2015
000757.SZ,20150116,7.06,7.24,6.84,7.23,7.04,0.19,2.7,101098.79,70536.6873
000757.SZ,20150119,7.2,7.32,6.98,7.15,7.23,-0.08,-1.11,93110.81,66604.8259
000757.SZ,20150120,7.34,7.34,7.1,7.22,7.15,0.07,0.98,74289.87,53452.953
000757.SZ,20150121,7.22,7.48,7.17,7.22,7.22,0.0,0.0,158250.13,114892.9896
000757.SZ,20150122,7.25,7.47,7.01,7.47,7.22,0.25,3.46,278934.25,201104.6809
000757.SZ,20150123,7.34,7.66,7.3,7.49,7.47,0.02,0.27,211321.57,159012.1641
000757.SZ,20150126,7.49,7.57,7.35,7.52,7.49,0.03,0.4,122227.05,91180.2765
000757.SZ,20150127,7.48,7.65,7.44,7.57,7.52,0.05,0.66,110189.66,83188.6533
000757.SZ,20150128,7.57,7.88,7.55,7.78,7.57,0.21,2.77,142639.87,110437.884
000757.SZ,20150129,7.65,7.73,7.6,7.62,7.78,-0.16,-2.06,74911.6,57375.5969
000757.SZ,20150130,7.55,7.56,7.3,7.35,7.62,-0.27,-3.54,103628.85,76546.3815
000757.SZ,20150202,7.25,7.44,7.12,7.36,7.35,0.01,0.14,57172.62,41942.4775
000757.SZ,20150203,7.38,7.58,7.36,7.55,7.36,0.19,2.58,52322.18,39208.3122
000757.SZ,20150204,7.61,7.61,7.41,7.41,7.55,-0.14,-1.85,51002.32,38265.8055
000757.SZ,20150205,7.44,7.51,7.34,7.34,7.41,-0.07,-0.94,41012.0,30310.9714
000757.SZ,20150206,7.35,7.41,7.2,7.24,7.34,-0.1,-1.36,38449.77,27957.7915
000757.SZ,20150209,7.22,7.4,7.21,7.33,7.24,0.09,1.24,32627.11,23848.2
000757.SZ,20150210,7.32,7.4,7.27,7.4,7.33,0.07,0.96,31434.57,23006.0226
000757.SZ,20150211,7.41,7.78,7.33,7.52,7.4,0.12,1.62,76398.35,57610.1819
000757.SZ,20150212,7.52,7.53,7.42,7.52,7.52,0.0,0.0,46411.47,34676.8203
000757.SZ,20150213,7.58,7.65,7.55,7.58,7.52,0.06,0.8,49103.34,37282.4874
000757.SZ,20150216,7.66,7.75,7.59,7.73,7.58,0.15,1.98,61458.83,47316.2857
000757.SZ,20150217,7.8,7.98,7.76,7.87,7.73,0.14,1.81,112792.5,88813.042
000757.SZ,20150225,7.94,8.0,7.72,7.8,7.87,-0.07,-0.89,51205.42,40042.9129
000757.SZ,20150226,7.8,7.85,7.72,7.78,7.8,-0.02,-0.26,70427.61,54764.2632
000757.SZ,20150227,7.8,7.8,7.66,7.78,7.78,0.0,0.0,78106.44,60358.2055
000757.SZ,20150302,7.78,7.96,7.71,7.94,7.78,0.16,2.06,83131.17,65507.1248
000757.SZ,20150303,7.92,8.19,7.85,8.11,7.94,0.17,2.14,131231.72,105325.6137
000757.SZ,20150304,8.1,8.19,8.06,8.18,8.11,0.07,0.86,75671.68,61592.3774
000757.SZ,20150305,8.18,8.5,8.05,8.39,8.18,0.21,2.57,102713.18,85235.3567
000757.SZ,20150306,8.46,8.57,8.22,8.26,8.39,-0.13,-1.55,94901.37,79648.1081
000757.SZ,20150309,8.14,8.17,7.81,8.07,8.26,-0.19,-2.3,102595.72,82562.6472
000757.SZ,20150310,8.07,8.16,8.01,8.09,8.07,0.02,0.25,68294.29,55361.4746
000757.SZ,20150311,8.1,8.14,7.9,7.95,8.09,-0.14,-1.73,76061.43,60988.3768
000757.SZ,20150312,7.95,8.0,7.77,7.84,7.95,-0.11,-1.38,99172.68,77872.2448
000757.SZ,20150313,7.85,8.14,7.81,8.1,7.84,0.26,3.32,101300.74,80506.354
000757.SZ,20150316,8.05,8.35,8.04,8.32,8.1,0.22,2.72,160243.54,131605.6488
000757.SZ,20150317,8.32,8.39,8.23,8.35,8.32,0.03,0.36,123384.92,102533.0973
000757.SZ,20150318,8.36,8.67,8.24,8.62,8.35,0.27,3.23,174950.01,147798.1584
000757.SZ,20150319,8.63,9.18,8.49,9.06,8.62,0.44,5.1,214203.09,187529.2347
000757.SZ,20150320,9.06,9.15,8.86,8.92,9.06,-0.14,-1.55,167466.24,150435.4803
000757.SZ,20150323,8.92,9.03,8.88,8.99,8.92,0.07,0.78,120172.1,107756.3827
000757.SZ,20150324,8.97,9.89,8.95,9.89,8.99,0.9,10.01,292256.08,280569.0018
000757.SZ,20150325,10.01,10.43,9.94,10.13,9.89,0.24,2.43,237568.01,241588.1977
