ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000776.SZ,20150105,26.17,26.5,25.2,26.06,25.95,0.11,0.42,1497336.81,3880722.4882
000776.SZ,20150106,25.7,27.88,25.45,26.91,26.06,0.85,3.26,2107070.1,5614209.6156
000776.SZ,20150107,26.92,28.69,26.75,27.5,26.91,0.59,2.19,2214494.17,6167899.5033
000776.SZ,20150108,27.5,27.89,25.88,26.23,27.5,-1.27,-4.62,1547785.93,4112974.2455
000776.SZ,20150109,26.15,27.46,25.7,25.9,26.23,-0.33,-1.26,1628161.99,4307552.5415
000776.SZ,20150112,26.39,27.0,25.7,26.28,25.9,0.38,1.47,1578900.18,4170890.2767
000776.SZ,20150113,26.05,26.3,25.02,25.19,26.28,-1.09,-4.15,1150244.33,2939296.6828
000776.SZ,20150114,25.25,25.91,24.9,25.41,25.19,0.22,0.87,1117448.98,2834361.765
000776.SZ,20150115,25.39,26.39,24.75,26.27,25.41,0.86,3.38,1397997.06,3584642.8782
000776.SZ,20150116,26.3,26.47,25.68,25.94,26.27,-0.33,-1.26,1110553.33,2891835.7911
000776.SZ,20150119,23.35,23.35,23.35,23.35,25.94,-2.59,-9.98,245190.0,572518.65
000776.SZ,20150120,21.4,22.45,21.11,21.61,23.35,-1.74,-7.45,2303609.14,5003960.8065
000776.SZ,20150121,22.02,23.55,21.91,23.16,21.61,1.55,7.17,1645795.58,3719140.1264
000776.SZ,20150122,23.16,24.0,23.0,23.6,23.16,0.44,1.9,1092921.47,2569989.3257
000776.SZ,20150123,23.87,24.97,23.73,23.97,23.6,0.37,1.57,1117206.71,2712701.7271
000776.SZ,20150126,23.9,23.98,23.11,23.5,23.97,-0.47,-1.96,968335.4,2272555.428
000776.SZ,20150127,23.38,23.68,22.64,23.15,23.5,-0.35,-1.49,945149.57,2188436.6812
000776.SZ,20150128,23.0,23.75,22.78,23.0,23.15,-0.15,-0.65,861348.87,1998575.2317
000776.SZ,20150129,22.38,22.66,22.01,22.31,23.0,-0.69,-3.0,864777.2,1927584.5921
000776.SZ,20150130,22.56,22.67,21.9,21.9,22.31,-0.41,-1.84,638114.28,1417187.986
000776.SZ,20150202,21.21,21.81,20.83,21.25,21.9,-0.65,-2.97,842637.78,1790254.8951
000776.SZ,20150203,21.65,22.42,21.35,22.3,21.25,1.05,4.94,867407.93,1892767.0844
000776.SZ,20150204,22.38,23.16,22.11,22.14,22.3,-0.16,-0.72,1098650.8,2494558.7799
000776.SZ,20150205,23.19,23.25,22.3,22.32,22.14,0.18,0.81,1294945.98,2950490.2685
000776.SZ,20150206,22.0,22.75,21.62,22.21,22.32,-0.11,-0.49,715867.05,1594587.4021
000776.SZ,20150209,22.01,23.36,22.0,22.96,22.21,0.75,3.38,1212566.24,2769961.1559
000776.SZ,20150210,23.0,23.7,22.88,23.28,22.96,0.32,1.39,977955.16,2278087.3396
000776.SZ,20150211,23.38,23.67,23.04,23.4,23.28,0.12,0.52,676092.58,1578340.0012
000776.SZ,20150212,23.56,23.57,22.91,23.27,23.4,-0.13,-0.56,564972.4,1311313.0917
000776.SZ,20150213,23.37,24.27,23.37,23.66,23.27,0.39,1.68,1160821.4,2770242.9746
000776.SZ,20150216,23.38,23.59,23.11,23.32,23.66,-0.34,-1.44,921661.08,2147233.8742
000776.SZ,20150217,23.4,23.89,23.26,23.37,23.32,0.05,0.21,750965.11,1768976.8203
000776.SZ,20150225,23.4,23.41,22.8,22.82,23.37,-0.55,-2.35,596129.55,1371906.0758
000776.SZ,20150226,22.81,23.95,22.37,23.84,22.82,1.02,4.47,1105706.98,2584381.2238
