ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000798.SZ,20150105,9.33,9.5,9.07,9.23,9.28,-0.05,-0.54,35679.41,32976.9205
000798.SZ,20150106,9.22,9.38,9.04,9.15,9.23,-0.08,-0.87,40842.04,37448.945
000798.SZ,20150107,9.14,9.26,9.1,9.25,9.15,0.1,1.09,24490.85,22510.3831
000798.SZ,20150108,9.25,9.35,9.2,9.25,9.25,0.0,0.0,27280.71,25244.8138
000798.SZ,20150109,9.23,9.29,9.13,9.15,9.25,-0.1,-1.08,31514.26,29001.0366
000798.SZ,20150112,9.16,9.16,8.81,8.85,9.15,-0.3,-3.28,29202.41,26046.6285
000798.SZ,20150113,8.9,8.98,8.85,8.92,8.85,0.07,0.79,13815.55,12314.7253
000798.SZ,20150114,8.89,8.95,8.69,8.76,8.92,-0.16,-1.79,20940.99,18391.9895
000798.SZ,20150115,8.83,9.07,8.73,8.99,8.76,0.23,2.63,43332.87,38636.6649
000798.SZ,20150116,8.91,9.4,8.9,9.25,8.99,0.26,2.89,87075.55,79774.4255
000798.SZ,20150119,8.86,9.2,8.8,8.97,9.25,-0.28,-3.03,74145.22,66536.4923
000798.SZ,20150120,8.97,9.17,8.97,9.16,8.97,0.19,2.12,41934.46,38134.6976
000798.SZ,20150121,9.19,9.56,9.15,9.47,9.16,0.31,3.38,66358.97,62179.2063
000798.SZ,20150122,9.53,10.26,9.4,10.18,9.47,0.71,7.5,120008.26,119374.1802
000798.SZ,20150123,10.02,10.75,9.94,10.65,10.18,0.47,4.62,140607.42,145835.1284
000798.SZ,20150126,10.55,10.55,10.28,10.47,10.65,-0.18,-1.69,85450.79,88789.5312
000798.SZ,20150127,10.39,10.55,10.25,10.45,10.47,-0.02,-0.19,55825.39,57879.1387
000798.SZ,20150128,10.38,10.73,10.15,10.68,10.45,0.23,2.2,93154.77,97649.547
000798.SZ,20150129,10.68,10.78,10.42,10.68,10.68,0.0,0.0,59747.39,63401.7899
000798.SZ,20150130,10.55,10.88,10.49,10.74,10.68,0.06,0.56,71347.14,76508.2569
000798.SZ,20150202,10.63,10.63,10.22,10.27,10.74,-0.47,-4.38,41687.58,43394.6724
000798.SZ,20150203,10.29,10.49,10.17,10.34,10.27,0.07,0.68,30231.9,31198.465
000798.SZ,20150204,10.35,10.51,10.2,10.49,10.34,0.15,1.45,36325.64,37715.6143
000798.SZ,20150205,10.6,10.62,10.25,10.25,10.49,-0.24,-2.29,22939.09,23766.1186
