ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000800.SZ,20150105,15.14,16.4,15.14,15.96,15.14,0.82,5.42,384832.48,610098.2386
000800.SZ,20150106,15.75,17.5,15.72,16.95,15.96,0.99,6.2,692646.15,1171218.8225
000800.SZ,20150107,16.66,17.38,16.44,17.03,16.95,0.08,0.47,398780.2,678595.5143
000800.SZ,20150108,16.96,17.59,16.68,16.97,17.03,-0.06,-0.35,342815.36,587781.3918
000800.SZ,20150109,16.95,17.5,16.56,16.97,16.97,0.0,0.0,396682.16,678959.1622
000800.SZ,20150112,16.9,17.51,16.61,17.4,16.97,0.43,2.53,359825.86,616743.1586
000800.SZ,20150113,17.33,17.33,16.91,16.98,17.4,-0.42,-2.41,227087.16,389363.2162
000800.SZ,20150114,16.98,17.02,16.39,16.41,16.98,-0.57,-3.36,167787.0,279294.7728
000800.SZ,20150115,16.36,16.86,16.32,16.78,16.41,0.37,2.25,122678.73,204701.9977
000800.SZ,20150116,16.91,17.58,16.9,17.06,16.78,0.28,1.67,183926.2,317171.4383
000800.SZ,20150119,16.27,17.06,15.35,15.68,17.06,-1.38,-8.09,308289.48,494405.0709
000800.SZ,20150120,15.68,16.58,15.68,16.18,15.68,0.5,3.19,199044.57,321582.8755
000800.SZ,20150121,16.25,16.7,16.12,16.64,16.18,0.46,2.84,175306.27,288051.4403
000800.SZ,20150122,16.7,16.97,16.38,16.55,16.64,-0.09,-0.54,123007.39,204530.7581
000800.SZ,20150123,16.59,16.86,16.2,16.31,16.55,-0.24,-1.45,137907.89,227233.173
000800.SZ,20150126,16.32,16.74,16.19,16.74,16.31,0.43,2.64,123394.47,203231.4887
000800.SZ,20150127,16.81,18.16,16.81,17.91,16.74,1.17,6.99,441077.42,784706.2036
000800.SZ,20150128,17.65,18.05,17.5,17.73,17.91,-0.18,-1.01,154307.24,274353.5916
000800.SZ,20150129,17.47,17.85,17.36,17.6,17.73,-0.13,-0.73,118061.77,207871.7293
000800.SZ,20150130,17.7,18.35,17.61,17.78,17.6,0.18,1.02,161871.23,291326.7305
000800.SZ,20150202,17.05,17.7,17.05,17.2,17.78,-0.58,-3.26,151436.76,262827.3956
000800.SZ,20150203,17.46,17.5,16.56,17.01,17.2,-0.19,-1.1,188912.22,318745.1708
000800.SZ,20150204,16.99,17.3,16.81,16.88,17.01,-0.13,-0.76,77481.18,131843.5378
000800.SZ,20150205,17.1,17.15,16.56,16.58,16.88,-0.3,-1.78,109792.21,184421.1963
000800.SZ,20150206,16.58,16.8,16.3,16.4,16.58,-0.18,-1.09,85910.82,142084.8279
000800.SZ,20150209,16.2,16.54,16.19,16.25,16.4,-0.15,-0.91,68980.68,112725.3652
000800.SZ,20150210,16.5,17.88,16.25,17.88,16.25,1.63,10.03,294269.1,512786.3498
000800.SZ,20150211,18.05,18.5,17.86,18.01,17.88,0.13,0.73,252919.91,460930.7448
000800.SZ,20150212,18.02,18.19,17.64,17.95,18.01,-0.06,-0.33,101448.88,181566.0501
000800.SZ,20150213,18.01,18.6,17.9,18.11,17.95,0.16,0.89,194828.24,354799.6084
000800.SZ,20150216,18.08,18.27,17.7,18.12,18.11,0.01,0.06,132674.89,238188.7536
000800.SZ,20150217,18.2,18.84,17.96,18.22,18.12,0.1,0.55,146743.42,270571.3479
000800.SZ,20150225,18.25,18.54,17.9,18.48,18.22,0.26,1.43,132418.3,240684.7618
000800.SZ,20150226,18.42,18.47,18.0,18.4,18.48,-0.08,-0.43,111928.58,204295.6637
000800.SZ,20150227,18.37,18.85,18.19,18.57,18.4,0.17,0.92,169686.57,315163.5451
000800.SZ,20150302,18.58,19.78,18.47,19.63,18.57,1.06,5.71,310092.9,599768.3387
000800.SZ,20150303,19.4,19.44,18.7,18.75,19.63,-0.88,-4.48,284753.03,542920.6162
000800.SZ,20150304,18.8,19.37,18.79,18.95,18.75,0.2,1.07,145188.04,277165.0544
000800.SZ,20150305,18.95,18.96,18.5,18.76,18.95,-0.19,-1.0,130784.58,244201.156
000800.SZ,20150306,18.75,19.2,18.5,18.78,18.76,0.02,0.11,117089.68,221219.807
000800.SZ,20150309,18.7,19.2,18.3,19.01,18.78,0.23,1.22,129226.17,242165.8679
000800.SZ,20150310,19.0,19.75,18.76,19.56,19.01,0.55,2.89,176475.58,342031.4597
000800.SZ,20150311,19.35,19.77,19.07,19.27,19.56,-0.29,-1.48,122080.35,236737.6516
000800.SZ,20150312,19.25,19.39,19.01,19.24,19.27,-0.03,-0.16,111281.13,213873.7597
000800.SZ,20150313,19.26,19.38,19.1,19.27,19.24,0.03,0.16,84992.47,163323.7484
000800.SZ,20150316,18.61,19.23,18.18,18.9,19.27,-0.37,-1.92,655484.67,1223950.4362
000800.SZ,20150317,18.9,19.09,18.48,18.96,18.9,0.06,0.32,561638.1,1047291.854
000800.SZ,20150318,18.8,18.99,18.6,18.85,18.96,-0.11,-0.58,341765.49,642356.3126
000800.SZ,20150319,18.8,18.85,18.46,18.6,18.85,-0.25,-1.33,294500.95,549258.3595
000800.SZ,20150320,18.6,18.77,18.25,18.37,18.6,-0.23,-1.24,379010.15,697328.8549
000800.SZ,20150323,18.36,18.69,18.36,18.62,18.37,0.25,1.36,356182.06,661038.2411
000800.SZ,20150324,18.64,18.67,18.05,18.35,18.62,-0.27,-1.45,445749.9,815638.4007
000800.SZ,20150325,18.22,18.57,18.2,18.48,18.35,0.13,0.71,337205.1,620969.1763
000800.SZ,20150326,18.55,18.56,18.12,18.31,18.48,-0.17,-0.92,348435.84,636787.2689
000800.SZ,20150327,18.31,18.44,18.11,18.25,18.31,-0.06,-0.33,236607.26,430969.4643
000800.SZ,20150330,18.4,18.99,18.31,18.97,18.25,0.72,3.95,564976.5,1060991.8581
000800.SZ,20150331,19.0,19.99,18.64,19.6,18.97,0.63,3.32,725987.12,1403227.5974
000800.SZ,20150401,19.9,20.19,19.45,19.72,19.6,0.12,0.61,489759.48,969209.8476
000800.SZ,20150402,19.85,19.91,19.3,19.64,19.72,-0.08,-0.41,335192.12,656602.5663
000800.SZ,20150403,19.52,19.76,19.25,19.52,19.64,-0.12,-0.61,297551.06,579731.9266
000800.SZ,20150407,19.51,19.51,18.6,19.17,19.52,-0.35,-1.79,708294.34,1343340.2205
000800.SZ,20150408,19.0,19.0,18.5,18.75,19.17,-0.42,-2.19,491565.59,921060.9887
000800.SZ,20150409,18.71,19.25,18.52,19.25,18.75,0.5,2.67,485618.61,920081.3183
000800.SZ,20150410,19.12,19.35,19.0,19.23,19.25,-0.02,-0.1,351487.68,672366.759
000800.SZ,20150413,19.85,20.28,18.99,19.11,19.23,-0.12,-0.62,1058379.28,2061596.8443
000800.SZ,20150414,19.09,19.15,18.51,18.8,19.11,-0.31,-1.62,499102.76,935810.2688
000800.SZ,20150415,18.74,18.75,18.15,18.21,18.8,-0.59,-3.14,404719.95,744317.9636
000800.SZ,20150416,18.19,18.67,18.02,18.47,18.21,0.26,1.43,458467.18,841063.6178
000800.SZ,20150417,18.47,19.18,18.41,18.86,18.47,0.39,2.11,572759.47,1079402.7608
000800.SZ,20150420,18.86,20.75,18.46,20.75,18.86,1.89,10.02,1282826.34,2579670.2255
000800.SZ,20150421,21.3,22.7,21.0,21.68,20.75,0.93,4.48,1005043.12,2190046.8975
000800.SZ,20150422,21.65,23.42,21.4,22.95,21.68,1.27,5.86,755648.55,1716961.0628
000800.SZ,20150423,22.91,23.33,22.06,22.78,22.95,-0.17,-0.74,613073.8,1390081.5154
000800.SZ,20150424,22.36,24.24,22.11,24.15,22.78,1.37,6.01,674223.1,1579821.5207
000800.SZ,20150427,24.0,24.38,23.33,23.67,24.15,-0.48,-1.99,572156.36,1357084.9495
000800.SZ,20150428,23.45,23.47,21.53,21.79,23.67,-1.88,-7.94,755245.5,1681129.7127
000800.SZ,20150429,21.5,23.97,21.5,23.97,21.79,2.18,10.0,807680.72,1881751.0174
000800.SZ,20150430,24.5,24.8,23.52,23.52,23.97,-0.45,-1.88,561841.3,1355072.7935
000800.SZ,20150504,24.99,25.87,24.4,25.87,23.52,2.35,9.99,686860.77,1750452.6174
000800.SZ,20150508,23.47,24.6,23.47,24.2,25.87,-1.67,-6.46,837561.77,2010195.5824
000800.SZ,20150511,24.1,26.36,24.1,25.68,24.2,1.48,6.12,577942.35,1477439.3908
000800.SZ,20150512,25.41,27.28,24.6,26.16,25.68,0.48,1.87,768473.62,1988723.7588
000800.SZ,20150513,25.61,27.0,25.38,25.62,26.16,-0.54,-2.06,626823.68,1648975.8584
000800.SZ,20150514,25.85,26.9,25.65,25.95,25.62,0.33,1.29,475930.03,1245909.4892
000800.SZ,20150515,25.8,25.85,24.35,24.96,25.95,-0.99,-3.82,519222.32,1298483.3007
000800.SZ,20150518,24.51,24.55,23.73,23.79,24.96,-1.17,-4.69,445612.7,1068315.5405
000800.SZ,20150519,23.57,24.18,23.51,23.83,23.79,0.04,0.17,507296.53,1211478.254
000800.SZ,20150520,23.7,24.77,23.65,24.18,23.83,0.35,1.47,476945.7,1155679.4948
000800.SZ,20150521,24.4,24.4,23.75,24.1,24.18,-0.08,-0.33,399420.11,960396.8062
000800.SZ,20150522,24.42,24.88,24.21,24.8,24.1,0.7,2.9,490561.92,1205871.2333
000800.SZ,20150525,25.07,26.57,25.07,25.9,24.8,1.1,4.44,609919.06,1586345.1229
000800.SZ,20150526,25.96,26.65,25.2,26.46,25.9,0.56,2.16,627993.62,1623992.6618
000800.SZ,20150527,26.26,26.26,25.5,25.67,26.46,-0.79,-2.99,510032.16,1314192.7258
000800.SZ,20150528,25.42,26.1,23.2,23.25,25.67,-2.42,-9.43,590075.53,1471040.9098
000800.SZ,20150529,23.27,23.77,21.5,22.74,23.25,-0.51,-2.19,418475.96,952661.7493
000800.SZ,20150601,22.78,23.95,22.74,23.76,22.74,1.02,4.49,352829.35,821668.1416
000800.SZ,20150602,23.9,23.9,23.1,23.64,23.76,-0.12,-0.51,387883.44,911718.2219
000800.SZ,20150603,23.93,25.67,23.6,25.61,23.64,1.97,8.33,606682.54,1513823.0756
000800.SZ,20150604,25.64,25.8,23.3,25.0,25.61,-0.61,-2.38,453589.87,1119755.6473
000800.SZ,20150605,25.11,26.95,24.8,26.18,25.0,1.18,4.72,789411.08,2033024.1783
000800.SZ,20150608,25.78,28.8,25.6,28.8,26.18,2.62,10.01,1076305.01,2957484.6926
000800.SZ,20150609,29.25,30.5,28.14,29.0,28.8,0.2,0.69,958593.75,2825802.2271
000800.SZ,20150610,28.23,29.29,27.89,28.39,29.0,-0.61,-2.1,551513.03,1572166.8386
000800.SZ,20150611,28.1,28.57,27.27,27.67,28.39,-0.72,-2.54,441258.94,1224348.7438
000800.SZ,20150612,27.47,28.88,27.39,28.2,27.67,0.53,1.92,511244.71,1437142.2552
000800.SZ,20150615,28.16,29.4,28.0,28.3,28.2,0.1,0.35,541307.19,1549707.7026
000800.SZ,20150616,27.5,27.95,26.06,26.16,28.3,-2.14,-7.56,433581.92,1165295.3044
000800.SZ,20150617,26.16,26.89,24.88,26.58,26.16,0.42,1.61,423134.93,1098326.2899
000800.SZ,20150618,26.6,27.4,25.7,26.0,26.58,-0.58,-2.18,364797.25,976222.6473
000800.SZ,20150619,25.03,25.57,23.5,23.52,26.0,-2.48,-9.54,412225.06,1007601.5098
000800.SZ,20150623,23.7,25.87,22.01,25.87,23.52,2.35,9.99,544088.66,1300079.418
000800.SZ,20150624,26.18,27.98,25.92,27.81,25.87,1.94,7.5,725804.59,1951050.2209
000800.SZ,20150625,27.31,28.59,26.21,26.59,27.81,-1.22,-4.39,652318.1,1806008.6104
000800.SZ,20150626,25.3,25.99,23.93,23.93,26.59,-2.66,-10.0,511739.76,1265390.3861
000800.SZ,20150629,24.87,24.99,21.54,23.41,23.93,-0.52,-2.17,591893.02,1401984.8348
000800.SZ,20150630,22.99,25.03,21.47,24.88,23.41,1.47,6.28,689364.41,1626116.568
000800.SZ,20150701,24.2,25.24,22.39,22.39,24.88,-2.49,-10.01,491750.44,1179395.6198
000800.SZ,20150702,22.5,22.68,20.15,20.15,22.39,-2.24,-10.0,508101.16,1059928.1799
000800.SZ,20150703,19.01,20.4,18.14,18.14,20.15,-2.01,-9.98,489627.09,913879.3505
000800.SZ,20150706,19.89,19.89,16.33,16.47,18.14,-1.67,-9.21,708700.79,1233766.0073
000800.SZ,20150707,15.38,15.6,14.82,14.82,16.47,-1.65,-10.02,570278.53,850291.8438
000800.SZ,20150708,13.34,13.57,13.34,13.34,14.82,-1.48,-9.99,656483.58,876528.1795
000800.SZ,20150709,13.34,14.67,12.25,14.67,13.34,1.33,9.97,551356.07,766041.6916
000800.SZ,20150710,15.02,16.14,15.01,16.14,14.67,1.47,10.02,512620.6,821196.2397
