ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000856.SZ,20150105,7.72,7.88,7.5,7.8,7.69,0.11,1.43,29696.35,22911.808
000856.SZ,20150106,7.72,7.85,7.68,7.83,7.8,0.03,0.38,25887.36,20085.5783
000856.SZ,20150107,7.86,7.89,7.75,7.86,7.83,0.03,0.38,25160.74,19731.0848
000856.SZ,20150108,7.89,8.15,7.83,8.1,7.86,0.24,3.05,48193.65,38567.5645
000856.SZ,20150109,8.18,8.91,8.18,8.91,8.1,0.81,10.0,257681.52,227453.7748
000856.SZ,20150112,8.59,8.73,8.4,8.45,8.91,-0.46,-5.16,140961.67,120562.683
000856.SZ,20150113,8.65,8.65,8.43,8.54,8.45,0.09,1.07,74696.98,63705.2955
000856.SZ,20150114,8.54,8.54,8.19,8.32,8.54,-0.22,-2.58,61340.5,50907.8655
000856.SZ,20150115,8.35,8.75,8.25,8.5,8.32,0.18,2.16,84032.95,71264.2922
000856.SZ,20150116,8.46,8.55,8.33,8.4,8.5,-0.1,-1.18,48358.36,40519.4028
000856.SZ,20150119,8.23,8.39,7.8,7.93,8.4,-0.47,-5.6,55354.81,44948.8317
000856.SZ,20150120,8.08,8.35,8.02,8.27,7.93,0.34,4.29,51402.17,42077.615
000856.SZ,20150121,8.25,8.43,8.18,8.4,8.27,0.13,1.57,58854.51,48670.3211
000856.SZ,20150122,8.38,8.69,8.35,8.48,8.4,0.08,0.95,53508.81,45365.2653
000856.SZ,20150123,8.51,8.59,8.34,8.37,8.48,-0.11,-1.3,45234.06,38129.1826
000856.SZ,20150126,8.37,8.66,8.33,8.6,8.37,0.23,2.75,55669.96,47445.8629
000856.SZ,20150127,8.58,8.75,8.43,8.6,8.6,0.0,0.0,39827.89,34285.9417
000856.SZ,20150128,8.56,8.68,8.5,8.57,8.6,-0.03,-0.35,29363.99,25198.6517
000856.SZ,20150129,8.45,8.52,8.4,8.45,8.57,-0.12,-1.4,31051.24,26240.6383
000856.SZ,20150130,8.42,8.55,8.4,8.43,8.45,-0.02,-0.24,25173.25,21314.5067
000856.SZ,20150202,8.43,8.45,8.2,8.4,8.43,-0.03,-0.36,17005.43,14200.405
000856.SZ,20150203,8.46,8.65,8.45,8.53,8.4,0.13,1.55,28307.53,24216.5485
000856.SZ,20150204,8.51,8.84,8.5,8.78,8.53,0.25,2.93,75068.48,65699.4968
000856.SZ,20150205,8.7,8.85,8.66,8.67,8.78,-0.11,-1.25,47032.95,41129.1407
000856.SZ,20150206,8.66,8.67,8.28,8.35,8.67,-0.32,-3.69,34923.65,29304.1031
000856.SZ,20150209,8.37,8.4,8.27,8.33,8.35,-0.02,-0.24,13426.71,11157.9911
000856.SZ,20150210,8.33,8.33,8.07,8.16,8.33,-0.17,-2.04,28713.89,23509.3027
000856.SZ,20150211,8.29,8.33,8.13,8.23,8.16,0.07,0.86,19183.91,15757.7437
000856.SZ,20150212,8.23,8.29,8.2,8.25,8.23,0.02,0.24,25305.48,20861.045
000856.SZ,20150213,8.29,8.41,8.29,8.39,8.25,0.14,1.7,24886.71,20800.5855
000856.SZ,20150216,8.4,8.5,8.35,8.48,8.39,0.09,1.07,20277.89,17126.2308
000856.SZ,20150217,8.5,8.67,8.45,8.61,8.48,0.13,1.53,25273.61,21577.8662
000856.SZ,20150225,8.62,8.65,8.53,8.6,8.61,-0.01,-0.12,23449.66,20150.8008
000856.SZ,20150226,8.62,8.69,8.58,8.65,8.6,0.05,0.58,26595.4,22960.1587
000856.SZ,20150227,8.61,8.72,8.61,8.68,8.65,0.03,0.35,30361.71,26338.2939
000856.SZ,20150302,8.7,8.94,8.7,8.88,8.68,0.2,2.3,52008.35,45908.0493
000856.SZ,20150303,8.89,8.94,8.72,8.74,8.88,-0.14,-1.58,47153.75,41540.2293
000856.SZ,20150304,8.61,8.85,8.61,8.84,8.74,0.1,1.14,36636.34,32128.9632
000856.SZ,20150305,8.81,9.15,8.76,9.05,8.84,0.21,2.38,73738.28,66191.8744
000856.SZ,20150306,8.95,9.13,8.87,9.03,9.05,-0.02,-0.22,48033.24,43228.7825
000856.SZ,20150309,9.0,9.25,8.93,9.25,9.03,0.22,2.44,55618.12,50730.9275
000856.SZ,20150310,9.28,9.9,9.2,9.61,9.25,0.36,3.89,100603.86,95802.9623
000856.SZ,20150311,9.63,10.28,9.55,9.9,9.61,0.29,3.02,112993.48,112314.1811
000856.SZ,20150312,9.75,9.89,9.51,9.66,9.9,-0.24,-2.42,64676.87,62596.7161
000856.SZ,20150313,9.7,9.87,8.69,9.83,9.66,0.17,1.76,96380.0,93084.6414
000856.SZ,20150316,9.9,10.16,9.73,10.04,9.83,0.21,2.14,96308.9,96187.7524
000856.SZ,20150317,10.15,10.99,10.09,10.25,10.04,0.21,2.09,116377.15,121308.9532
000856.SZ,20150318,10.3,10.74,10.11,10.48,10.25,0.23,2.24,84631.1,88386.7052
000856.SZ,20150319,10.55,10.61,10.33,10.54,10.48,0.06,0.57,69896.09,73136.2892
000856.SZ,20150320,10.46,10.95,10.46,10.57,10.54,0.03,0.28,79245.47,84849.3333
000856.SZ,20150323,10.58,10.9,10.58,10.73,10.57,0.16,1.51,71624.28,76578.246
