ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000883.SZ,20150511,7.07,7.07,7.07,7.07,6.43,0.64,9.95,8233.68,5821.2118
000883.SZ,20150512,7.78,7.78,7.78,7.78,7.07,0.71,10.04,16030.9,12472.0402
000883.SZ,20150513,8.56,8.56,8.56,8.56,7.78,0.78,10.03,9378.4,8027.9104
000883.SZ,20150514,9.42,9.42,9.42,9.42,8.56,0.86,10.05,7655.22,7211.2172
000883.SZ,20150515,10.36,10.36,10.01,10.36,9.42,0.94,9.98,1497431.86,1550611.683
000883.SZ,20150518,10.5,11.4,10.4,11.4,10.36,1.04,10.04,4984155.41,5623658.0252
000883.SZ,20150519,11.35,11.35,10.6,10.91,11.4,-0.49,-4.3,3148160.11,3455769.4865
000883.SZ,20150520,10.9,11.74,10.65,10.9,10.91,-0.01,-0.09,2608336.89,2910940.8764
000883.SZ,20150521,10.7,11.19,10.61,11.03,10.9,0.13,1.19,1686292.04,1840671.2628
000883.SZ,20150522,11.09,11.43,10.8,11.1,11.03,0.07,0.63,2468929.51,2750051.8637
000883.SZ,20150525,11.12,11.37,10.8,11.26,11.1,0.16,1.44,2402700.01,2673747.1995
000883.SZ,20150526,11.3,12.39,11.0,12.39,11.26,1.13,10.04,2740503.69,3213927.8681
000883.SZ,20150527,12.8,13.63,12.71,13.63,12.39,1.24,10.01,3456524.42,4600588.4784
000883.SZ,20150528,14.0,14.79,12.28,12.34,13.63,-1.29,-9.46,3712290.65,5110447.3454
000883.SZ,20150529,12.29,13.45,11.35,13.03,12.34,0.69,5.59,2986229.23,3758272.567
000883.SZ,20150601,13.36,13.62,13.0,13.51,13.03,0.48,3.68,2557922.47,3408422.914
000883.SZ,20150602,13.6,13.6,12.7,13.2,13.51,-0.31,-2.29,2236095.52,2935099.827
000883.SZ,20150603,13.18,13.18,12.22,12.62,13.2,-0.58,-4.39,2230717.25,2813645.9161
000883.SZ,20150604,12.59,12.59,11.37,12.22,12.62,-0.4,-3.17,1532335.56,1841851.665
000883.SZ,20150605,12.55,13.15,12.0,13.0,12.22,0.78,6.38,2237062.05,2833356.9578
000883.SZ,20150608,13.13,13.47,12.74,12.85,13.0,-0.15,-1.15,1973830.46,2578094.3182
000883.SZ,20150609,12.85,13.56,12.61,13.39,12.85,0.54,4.2,2152691.32,2803428.3965
000883.SZ,20150610,13.0,13.18,12.8,12.94,13.39,-0.45,-3.36,1570142.41,2039276.397
000883.SZ,20150611,12.94,13.06,12.5,12.62,12.94,-0.32,-2.47,1355210.96,1720918.3826
000883.SZ,20150612,12.7,13.09,12.41,12.83,12.62,0.21,1.66,1686983.96,2147254.0885
000883.SZ,20150615,12.83,13.82,12.71,13.3,12.83,0.47,3.66,2632977.14,3478789.1008
000883.SZ,20150616,13.18,13.75,13.02,13.13,13.3,-0.17,-1.28,2428862.66,3260841.9479
000883.SZ,20150617,13.11,13.3,12.0,12.62,13.08,-0.46,-3.52,1872435.09,2325074.7415
000883.SZ,20150618,12.58,12.58,11.68,11.89,12.62,-0.73,-5.78,1312292.36,1597429.2934
000883.SZ,20150619,11.49,11.68,10.7,10.7,11.89,-1.19,-10.01,1121762.6,1241057.7887
000883.SZ,20150623,10.6,10.71,9.63,10.24,10.7,-0.46,-4.3,1374412.8,1378487.2833
000883.SZ,20150624,10.32,10.97,10.25,10.65,10.24,0.41,4.0,1389465.45,1471636.37
000883.SZ,20150625,10.73,11.15,10.0,10.3,10.65,-0.35,-3.29,1430484.81,1527503.6539
000883.SZ,20150626,9.95,10.15,9.27,9.27,10.3,-1.03,-10.0,1029616.93,987216.7442
000883.SZ,20150629,9.5,9.7,8.34,8.34,9.27,-0.93,-10.03,1562017.36,1353345.02
000883.SZ,20150630,8.02,8.78,7.51,8.72,8.34,0.38,4.56,1798295.74,1445733.1053
000883.SZ,20150701,8.5,9.0,7.85,7.85,8.72,-0.87,-9.98,1562552.51,1324106.6947
000883.SZ,20150702,7.65,7.96,7.07,7.07,7.85,-0.78,-9.94,1405409.12,1032748.1748
000883.SZ,20150703,6.6,7.26,6.36,6.36,7.07,-0.71,-10.04,1424400.49,936225.2582
000883.SZ,20150706,7.0,7.0,5.85,6.13,6.36,-0.23,-3.62,1676970.57,1068742.2246
000883.SZ,20150707,5.78,5.96,5.52,5.57,6.13,-0.56,-9.14,1942332.52,1085740.4185
000883.SZ,20150708,5.05,5.5,5.01,5.03,5.57,-0.54,-9.69,2666455.2,1371317.9347
000883.SZ,20150709,5.1,5.53,5.1,5.53,5.03,0.5,9.94,1358668.05,735003.6836
000883.SZ,20150710,6.03,6.08,5.8,6.08,5.53,0.55,9.95,539391.72,324225.9036
000883.SZ,20150713,6.69,6.69,6.55,6.69,6.08,0.61,10.03,638771.28,426725.1288
000883.SZ,20150714,7.33,7.36,7.09,7.36,6.69,0.67,10.01,870078.46,635557.9205
000883.SZ,20150715,7.9,7.9,6.65,6.66,7.36,-0.7,-9.51,2643724.67,1908279.6839
000883.SZ,20150716,6.66,7.33,6.11,7.33,6.66,0.67,10.06,2165815.79,1508096.2674
000883.SZ,20150717,7.33,8.06,7.33,8.03,7.33,0.7,9.55,1905264.14,1477302.413
000883.SZ,20150720,8.08,8.54,7.72,8.16,8.03,0.13,1.62,2072595.19,1697800.1173
000883.SZ,20150721,8.0,8.36,7.8,8.12,8.16,-0.04,-0.49,1313090.62,1064333.9882
000883.SZ,20150722,8.11,8.25,7.82,8.13,8.12,0.01,0.12,1286818.59,1037153.3114
000883.SZ,20150723,8.12,8.45,8.02,8.32,8.13,0.19,2.34,1503060.99,1238600.2741
000883.SZ,20150724,8.42,9.0,8.31,8.48,8.32,0.16,1.92,2077750.29,1793771.3812
000883.SZ,20150727,8.19,8.62,7.63,7.63,8.48,-0.85,-10.02,1836220.63,1493498.9016
000883.SZ,20150728,7.05,7.77,6.87,7.19,7.63,-0.44,-5.77,1577965.37,1130288.3954
000883.SZ,20150729,7.36,7.86,7.05,7.79,7.19,0.6,8.34,1173986.16,865888.6784
000883.SZ,20150730,7.8,8.13,7.44,7.51,7.79,-0.28,-3.59,1358216.54,1072423.8611
000883.SZ,20150731,7.4,7.77,7.35,7.45,7.51,-0.06,-0.8,902646.11,682086.2338
000883.SZ,20150803,7.39,7.49,6.86,6.97,7.45,-0.48,-6.44,810926.63,577498.3432
000883.SZ,20150804,7.06,7.61,7.06,7.6,6.97,0.63,9.04,1013368.55,740953.5187
000883.SZ,20150805,7.6,7.86,7.4,7.57,7.6,-0.03,-0.39,1177359.64,899555.8474
000883.SZ,20150806,7.38,7.74,7.3,7.56,7.57,-0.01,-0.13,717485.65,540481.7327
000883.SZ,20150807,7.65,7.85,7.63,7.76,7.56,0.2,2.65,894920.47,693964.5387
000883.SZ,20150810,7.91,8.37,7.82,8.21,7.76,0.45,5.8,1404462.6,1135733.6705
000883.SZ,20150811,8.2,8.27,8.02,8.08,8.21,-0.13,-1.58,1267776.71,1032513.3043
000883.SZ,20150812,8.01,8.11,7.8,7.81,8.08,-0.27,-3.34,834916.57,663738.3676
000883.SZ,20150813,7.81,8.08,7.77,8.07,7.81,0.26,3.33,833834.05,662658.364
000883.SZ,20150814,8.36,8.36,8.03,8.03,8.07,-0.04,-0.5,1090818.49,890996.1218
000883.SZ,20150817,8.0,8.83,7.9,8.83,8.03,0.8,9.96,2139882.11,1833340.7402
000883.SZ,20150818,8.9,8.97,7.95,7.95,8.83,-0.88,-9.97,2257464.18,1918604.2285
000883.SZ,20150819,7.59,8.31,7.36,8.24,7.95,0.29,3.65,1430294.54,1123329.646
