ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000892.SZ,20150105,7.09,7.47,6.99,7.29,7.19,0.1,1.39,62256.82,45227.8082
000892.SZ,20150106,7.37,7.46,7.24,7.45,7.29,0.16,2.19,66947.36,49289.9415
000892.SZ,20150107,7.49,7.61,7.37,7.43,7.45,-0.02,-0.27,61676.91,45960.6176
000892.SZ,20150108,7.43,7.57,7.31,7.43,7.43,0.0,0.0,60277.0,44994.0744
000892.SZ,20150109,7.4,7.52,7.26,7.43,7.43,0.0,0.0,43734.03,32360.6847
000892.SZ,20150112,7.37,7.37,7.11,7.26,7.43,-0.17,-2.29,35704.0,25843.3847
000892.SZ,20150113,7.27,7.34,7.14,7.26,7.26,0.0,0.0,27222.26,19750.0832
000892.SZ,20150114,7.27,7.7,7.22,7.5,7.26,0.24,3.31,80866.06,60705.0993
000892.SZ,20150115,7.5,7.52,7.29,7.42,7.5,-0.08,-1.07,36228.28,26754.7494
000892.SZ,20150116,7.4,7.41,7.27,7.33,7.42,-0.09,-1.21,39405.57,28877.7943
000892.SZ,20150119,7.34,7.5,7.18,7.33,7.33,0.0,0.0,70036.89,51579.4008
000892.SZ,20150120,7.35,7.56,7.3,7.43,7.33,0.1,1.36,55297.3,41187.5249
000892.SZ,20150121,7.49,7.7,7.44,7.7,7.43,0.27,3.63,93526.39,71015.595
000892.SZ,20150122,7.65,8.47,7.55,8.26,7.7,0.56,7.27,171946.09,141056.4335
000892.SZ,20150123,8.18,8.38,8.14,8.18,8.26,-0.08,-0.97,95969.48,79198.0842
000892.SZ,20150126,8.18,8.53,8.14,8.38,8.18,0.2,2.45,86082.84,72009.1541
000892.SZ,20150127,8.33,8.33,8.1,8.22,8.38,-0.16,-1.91,74584.19,61151.0659
000892.SZ,20150211,7.4,7.65,7.4,7.4,8.22,-0.82,-9.98,139857.0,103702.8069
000892.SZ,20150212,7.4,7.96,7.23,7.88,7.4,0.48,6.49,188339.91,141500.5029
000892.SZ,20150213,7.7,8.07,7.67,7.89,7.88,0.01,0.13,112128.37,88542.5441
000892.SZ,20150216,7.89,7.92,7.78,7.89,7.89,0.0,0.0,66860.52,52565.6236
000892.SZ,20150217,7.94,7.96,7.83,7.91,7.89,0.02,0.25,58666.19,46327.7079
000892.SZ,20150225,7.9,8.56,7.83,8.55,7.91,0.64,8.09,115693.35,95878.8654
000892.SZ,20150226,8.55,8.55,8.25,8.38,8.55,-0.17,-1.99,75364.72,62997.587
000892.SZ,20150227,8.44,8.44,8.22,8.29,8.38,-0.09,-1.07,100086.49,83024.6145
000892.SZ,20150302,8.25,8.38,8.19,8.24,8.29,-0.05,-0.6,127013.63,104751.1395
000892.SZ,20150303,8.23,8.29,8.11,8.13,8.24,-0.11,-1.34,101773.4,83368.0108
000892.SZ,20150304,8.1,8.21,7.91,8.2,8.13,0.07,0.86,114775.29,92646.2496
000892.SZ,20150305,8.19,8.45,8.18,8.41,8.2,0.21,2.56,132215.85,110005.2669
000892.SZ,20150306,8.37,8.47,8.12,8.17,8.41,-0.24,-2.85,118905.23,98897.6105
000892.SZ,20150309,8.14,8.24,7.98,8.19,8.17,0.02,0.24,56778.86,46154.6671
000892.SZ,20150310,8.17,8.38,8.17,8.33,8.19,0.14,1.71,83230.74,69056.9902
000892.SZ,20150311,8.31,8.76,8.26,8.66,8.33,0.33,3.96,155457.98,132195.6481
000892.SZ,20150312,8.62,8.95,8.4,8.78,8.66,0.12,1.39,173570.01,151054.8696
000892.SZ,20150313,8.82,8.88,8.61,8.72,8.78,-0.06,-0.68,80012.39,69847.7657
000892.SZ,20150316,8.71,8.97,8.68,8.91,8.72,0.19,2.18,138565.34,122208.6067
000892.SZ,20150317,8.86,9.34,8.83,9.2,8.91,0.29,3.25,203115.77,184612.0575
000892.SZ,20150318,9.12,9.28,9.01,9.18,9.2,-0.02,-0.22,124781.4,114022.1416
000892.SZ,20150319,9.18,9.22,8.96,9.04,9.18,-0.14,-1.53,131995.99,119888.1026
000892.SZ,20150320,9.03,9.29,8.95,9.11,9.04,0.07,0.77,142129.12,129875.9163
000892.SZ,20150323,9.13,9.19,8.96,9.18,9.11,0.07,0.77,145181.86,132087.6979
000892.SZ,20150324,9.46,9.46,8.6,9.04,9.18,-0.14,-1.53,190980.47,173636.1026
000892.SZ,20150325,9.02,9.02,8.8,8.88,9.04,-0.16,-1.77,139815.04,124292.0542
000892.SZ,20150326,8.83,9.05,8.68,8.94,8.88,0.06,0.68,119530.87,106139.472
000892.SZ,20150327,8.94,9.16,8.83,9.11,8.94,0.17,1.9,105324.62,94673.4072
000892.SZ,20150330,9.18,9.42,8.94,9.28,9.11,0.17,1.87,298049.49,274819.9361
000892.SZ,20150331,9.25,9.36,9.06,9.16,9.28,-0.12,-1.29,181858.34,166983.037
000892.SZ,20150401,9.16,9.31,9.14,9.24,9.16,0.08,0.87,131880.21,121645.6584
000892.SZ,20150402,9.25,9.64,9.22,9.55,9.24,0.31,3.36,220943.55,209446.3266
000892.SZ,20150403,9.45,9.62,9.32,9.57,9.55,0.02,0.21,211121.41,200052.108
000892.SZ,20150407,9.57,9.79,9.47,9.72,9.57,0.15,1.57,215832.65,208657.2353
000892.SZ,20150408,9.72,9.79,9.36,9.46,9.72,-0.26,-2.67,194099.05,185456.7559
000892.SZ,20150409,9.42,9.48,8.71,9.24,9.46,-0.22,-2.33,200310.85,183066.5916
000892.SZ,20150410,9.21,9.44,9.02,9.38,9.24,0.14,1.52,157608.38,147111.7177
000892.SZ,20150413,9.28,9.6,9.08,9.52,9.38,0.14,1.49,258388.73,240940.5239
000892.SZ,20150414,9.35,10.47,9.35,10.47,9.52,0.95,9.98,243914.59,247872.5625
000892.SZ,20150415,10.81,11.52,10.5,11.0,10.47,0.53,5.06,566148.06,624670.7043
000892.SZ,20150416,11.0,11.47,10.02,11.32,11.0,0.32,2.91,330434.36,362612.1576
