ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000949.SZ,20150105,4.4,4.64,4.4,4.56,4.43,0.13,2.93,241062.66,109445.0856
000949.SZ,20150106,4.53,4.79,4.52,4.78,4.56,0.22,4.82,475654.15,222691.3367
000949.SZ,20150107,4.76,4.83,4.65,4.78,4.78,0.0,0.0,272431.98,128734.861
000949.SZ,20150108,4.8,4.83,4.65,4.71,4.78,-0.07,-1.46,191396.55,90299.5443
000949.SZ,20150109,4.72,4.95,4.65,4.73,4.71,0.02,0.42,415297.8,201452.4799
000949.SZ,20150112,4.73,4.73,4.51,4.55,4.73,-0.18,-3.81,207123.3,95198.176
000949.SZ,20150113,4.48,4.6,4.45,4.53,4.55,-0.02,-0.44,121640.1,55015.4666
000949.SZ,20150114,4.5,4.54,4.34,4.39,4.53,-0.14,-3.09,132955.67,59034.6708
000949.SZ,20150115,4.38,4.49,4.38,4.48,4.39,0.09,2.05,87262.87,38861.4741
000949.SZ,20150116,4.5,4.56,4.45,4.51,4.48,0.03,0.67,103323.33,46618.8744
000949.SZ,20150119,4.29,4.43,4.06,4.17,4.51,-0.34,-7.54,197498.17,85007.3976
000949.SZ,20150120,4.19,4.32,4.19,4.29,4.17,0.12,2.88,97931.39,41789.8707
000949.SZ,20150121,4.29,4.44,4.29,4.42,4.29,0.13,3.03,108700.99,47694.8097
000949.SZ,20150122,4.42,4.54,4.41,4.49,4.42,0.07,1.58,118889.2,53140.2647
000949.SZ,20150123,4.52,4.53,4.42,4.45,4.49,-0.04,-0.89,94907.16,42362.2282
000949.SZ,20150126,4.47,4.6,4.42,4.6,4.45,0.15,3.37,148642.1,67221.2466
000949.SZ,20150127,4.57,4.85,4.57,4.78,4.6,0.18,3.91,463909.67,219962.9797
000949.SZ,20150128,4.73,4.77,4.63,4.74,4.78,-0.04,-0.84,281177.94,132199.2163
000949.SZ,20150129,4.73,4.92,4.69,4.75,4.74,0.01,0.21,382262.76,184071.8338
000949.SZ,20150130,4.7,4.9,4.62,4.64,4.75,-0.11,-2.32,202892.04,95758.1539
000949.SZ,20150202,4.58,4.9,4.53,4.9,4.64,0.26,5.6,309294.01,147673.6221
000949.SZ,20150203,5.05,5.25,4.91,5.08,4.9,0.18,3.67,615109.57,311863.9538
000949.SZ,20150204,5.06,5.19,4.96,5.16,5.08,0.08,1.57,405052.25,205971.3535
000949.SZ,20150205,5.19,5.33,5.0,5.01,5.16,-0.15,-2.91,356562.44,184111.456
000949.SZ,20150206,4.94,5.14,4.9,4.99,5.01,-0.02,-0.4,264473.77,132146.4158
000949.SZ,20150209,4.98,5.13,4.93,5.13,4.99,0.14,2.81,219590.77,111099.0145
000949.SZ,20150210,5.19,5.29,5.02,5.03,5.13,-0.1,-1.95,227576.79,116382.1662
000949.SZ,20150211,4.97,5.09,4.95,5.01,5.03,-0.02,-0.4,129341.97,64940.2098
000949.SZ,20150212,5.01,5.19,5.0,5.19,5.01,0.18,3.59,174842.68,89391.5411
000949.SZ,20150213,5.19,5.32,5.14,5.19,5.19,0.0,0.0,245255.65,128122.0781
000949.SZ,20150216,5.2,5.38,5.2,5.26,5.19,0.07,1.35,215954.75,114419.3017
000949.SZ,20150217,5.27,5.31,5.19,5.26,5.26,0.0,0.0,134587.86,70530.6271
000949.SZ,20150225,5.29,5.3,5.17,5.18,5.26,-0.08,-1.52,117499.69,61249.7358
000949.SZ,20150226,5.16,5.2,5.06,5.17,5.18,-0.01,-0.19,164039.24,83992.9514
000949.SZ,20150227,5.17,5.26,5.15,5.18,5.17,0.01,0.19,139227.62,72263.5939
000949.SZ,20150302,5.2,5.23,5.13,5.19,5.18,0.01,0.19,166822.29,86269.5003
000949.SZ,20150303,5.16,5.17,5.05,5.06,5.19,-0.13,-2.5,208645.76,106576.7314
000949.SZ,20150304,5.06,5.15,5.05,5.15,5.06,0.09,1.78,146027.81,74475.6276
000949.SZ,20150305,5.16,5.18,5.06,5.15,5.15,0.0,0.0,186174.19,95477.6525
000949.SZ,20150306,5.15,5.15,5.07,5.1,5.15,-0.05,-0.97,113944.57,58196.5391
000949.SZ,20150309,5.14,5.35,5.08,5.33,5.1,0.23,4.51,340171.23,177970.5069
000949.SZ,20150310,5.3,5.35,5.23,5.28,5.33,-0.05,-0.94,183099.14,96867.1944
000949.SZ,20150311,5.28,5.33,5.23,5.33,5.28,0.05,0.95,164695.1,87068.2465
000949.SZ,20150312,5.35,5.61,5.3,5.53,5.33,0.2,3.75,332114.95,181533.6985
000949.SZ,20150313,5.55,5.59,5.44,5.5,5.53,-0.03,-0.54,195744.58,107696.3426
000949.SZ,20150316,5.52,5.6,5.51,5.57,5.5,0.07,1.27,196915.75,109380.8928
000949.SZ,20150317,5.57,5.76,5.5,5.61,5.57,0.04,0.72,271835.51,153119.1219
000949.SZ,20150318,5.65,5.75,5.55,5.71,5.61,0.1,1.78,243748.7,138008.6222
000949.SZ,20150319,5.71,5.89,5.62,5.82,5.71,0.11,1.93,267024.68,154073.9656
000949.SZ,20150320,5.78,6.09,5.77,5.93,5.82,0.11,1.89,292976.96,173117.5546
000949.SZ,20150323,5.93,6.0,5.9,5.98,5.93,0.05,0.84,217237.94,129322.2506
000949.SZ,20150324,5.99,6.0,5.65,5.82,5.98,-0.16,-2.68,305022.72,177906.5937
000949.SZ,20150325,5.78,5.88,5.75,5.84,5.82,0.02,0.34,193825.47,112950.0174
000949.SZ,20150326,5.82,5.93,5.76,5.83,5.84,-0.01,-0.17,187891.87,109686.3728
000949.SZ,20150327,5.82,6.07,5.79,5.97,5.83,0.14,2.4,273426.77,161904.1697
000949.SZ,20150330,5.95,6.2,5.92,6.18,5.97,0.21,3.52,329437.1,199059.08
000949.SZ,20150331,6.26,6.36,6.15,6.2,6.18,0.02,0.32,313035.25,195163.4698
000949.SZ,20150401,6.26,6.55,6.26,6.36,6.2,0.16,2.58,313953.87,200113.4687
000949.SZ,20150402,6.44,6.46,6.2,6.36,6.36,0.0,0.0,324994.86,205108.1689
000949.SZ,20150403,6.29,6.45,6.22,6.39,6.36,0.03,0.47,271092.53,172319.881
000949.SZ,20150407,6.4,6.52,6.36,6.5,6.39,0.11,1.72,286254.85,184701.4916
000949.SZ,20150408,6.52,6.55,6.23,6.31,6.5,-0.19,-2.92,266970.36,170350.0626
000949.SZ,20150409,6.29,6.29,5.97,6.1,6.31,-0.21,-3.33,341233.94,207525.4584
000949.SZ,20150410,6.1,6.27,6.07,6.26,6.1,0.16,2.62,253502.37,157257.8544
000949.SZ,20150413,6.42,6.47,6.3,6.38,6.26,0.12,1.92,279758.69,178430.0956
000949.SZ,20150414,6.38,6.98,6.3,6.85,6.38,0.47,7.37,533797.64,353482.9214
000949.SZ,20150415,6.75,6.95,6.39,6.48,6.85,-0.37,-5.4,367155.7,244360.2106
000949.SZ,20150416,6.35,6.6,6.2,6.5,6.48,0.02,0.31,216148.37,139063.7753
000949.SZ,20150417,6.61,6.8,6.46,6.7,6.5,0.2,3.08,375061.95,248257.4293
000949.SZ,20150420,6.74,6.87,6.52,6.75,6.7,0.05,0.75,467116.37,312912.0564
000949.SZ,20150421,6.67,7.09,6.65,7.02,6.75,0.27,4.0,428615.74,294748.8628
000949.SZ,20150422,7.05,7.16,6.99,7.05,7.02,0.03,0.43,420279.65,297021.8225
000949.SZ,20150423,7.06,7.4,7.01,7.21,7.05,0.16,2.27,489666.8,352901.3577
000949.SZ,20150424,7.08,7.18,6.86,7.0,7.21,-0.21,-2.91,368443.9,259206.4617
000949.SZ,20150427,7.03,7.14,6.94,7.09,7.0,0.09,1.29,301661.89,212480.3517
000949.SZ,20150428,7.11,7.32,6.99,7.23,7.09,0.14,1.97,442290.04,316977.0708
000949.SZ,20150429,7.11,7.2,7.01,7.12,7.23,-0.11,-1.52,247168.83,175816.446
000949.SZ,20150430,7.08,7.17,6.97,6.97,7.12,-0.15,-2.11,262849.47,185229.9024
000949.SZ,20150504,6.94,6.94,6.76,6.92,6.97,-0.05,-0.72,211205.61,144927.1839
000949.SZ,20150505,7.16,7.16,6.79,6.84,6.92,-0.08,-1.16,285280.36,199924.4933
000949.SZ,20150506,6.84,6.89,6.36,6.42,6.84,-0.42,-6.14,287189.24,191592.9263
000949.SZ,20150507,6.4,6.48,6.07,6.13,6.42,-0.29,-4.52,246906.26,153502.5855
000949.SZ,20150508,6.2,6.3,6.15,6.3,6.13,0.17,2.77,207264.37,128976.2744
000949.SZ,20150511,6.33,6.57,6.31,6.56,6.3,0.26,4.13,231169.94,148979.9307
000949.SZ,20150512,6.56,6.57,6.43,6.52,6.53,-0.01,-0.15,231908.27,150453.2483
000949.SZ,20150513,6.46,6.5,6.42,6.48,6.52,-0.04,-0.61,226798.51,146361.9977
000949.SZ,20150514,6.49,6.65,6.44,6.6,6.48,0.12,1.85,282178.62,184730.1655
000949.SZ,20150515,6.57,6.57,6.33,6.38,6.6,-0.22,-3.33,221113.15,141690.843
000949.SZ,20150518,6.33,6.55,6.26,6.42,6.38,0.04,0.63,209711.35,134622.4583
000949.SZ,20150519,6.42,6.61,6.4,6.6,6.42,0.18,2.8,285552.94,186614.2301
000949.SZ,20150520,6.65,6.84,6.59,6.62,6.6,0.02,0.3,343599.71,231003.3129
000949.SZ,20150521,6.64,6.79,6.54,6.79,6.62,0.17,2.57,317477.58,212563.6992
000949.SZ,20150522,6.87,7.43,6.79,7.34,6.79,0.55,8.1,696315.91,491658.2434
000949.SZ,20150525,7.27,7.56,7.14,7.45,7.34,0.11,1.5,673901.81,498632.3438
000949.SZ,20150526,7.5,7.68,7.27,7.58,7.45,0.13,1.75,599642.24,449346.691
000949.SZ,20150527,7.57,7.7,7.4,7.59,7.58,0.01,0.13,506301.96,382305.2533
000949.SZ,20150528,7.6,7.95,7.01,7.08,7.59,-0.51,-6.72,648065.62,497442.8343
