ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000952.SZ,20150105,10.95,10.99,10.64,10.8,10.93,-0.13,-1.19,50512.25,54475.5899
000952.SZ,20150106,10.74,11.07,10.62,11.03,10.8,0.23,2.13,58513.98,63795.9935
000952.SZ,20150107,11.02,11.02,10.75,10.82,11.03,-0.21,-1.9,38020.01,41319.2647
000952.SZ,20150108,10.78,10.91,10.68,10.69,10.82,-0.13,-1.2,32316.76,34805.662
000952.SZ,20150109,10.64,10.74,10.51,10.52,10.69,-0.17,-1.59,41912.39,44468.0073
000952.SZ,20150112,10.49,10.49,9.99,10.04,10.52,-0.48,-4.56,64778.12,65629.5455
000952.SZ,20150113,10.08,10.2,9.98,10.15,10.04,0.11,1.1,66659.97,66947.8929
000952.SZ,20150114,10.05,10.23,10.05,10.11,10.15,-0.04,-0.39,37255.24,37800.9492
000952.SZ,20150115,10.16,10.22,10.05,10.17,10.11,0.06,0.59,26799.56,27203.9059
000952.SZ,20150116,9.98,10.55,9.9,10.54,10.17,0.37,3.64,115537.2,117932.1935
000952.SZ,20150119,10.32,10.95,10.21,10.68,10.54,0.14,1.33,138605.96,148465.721
000952.SZ,20150120,10.67,11.2,10.57,10.93,10.68,0.25,2.34,98074.97,107084.4528
000952.SZ,20150121,11.0,11.04,10.75,10.96,10.93,0.03,0.27,84502.75,92202.0974
000952.SZ,20150122,11.0,11.28,10.89,11.21,10.96,0.25,2.28,98787.44,109902.0117
000952.SZ,20150123,11.15,11.16,10.83,10.88,11.21,-0.33,-2.94,81433.19,89472.5673
000952.SZ,20150126,10.95,11.04,10.85,10.99,10.88,0.11,1.01,48974.38,53585.7901
000952.SZ,20150127,11.02,11.24,10.92,11.13,10.99,0.14,1.27,67094.82,74450.8007
000952.SZ,20150128,11.13,11.36,11.0,11.29,11.13,0.16,1.44,71503.26,80270.071
000952.SZ,20150129,11.19,11.63,11.1,11.48,11.29,0.19,1.68,129535.48,148411.1325
000952.SZ,20150130,11.49,11.98,11.35,11.85,11.48,0.37,3.22,139526.27,164484.1653
000952.SZ,20150202,11.89,12.04,11.4,11.59,11.85,-0.26,-2.19,101099.43,118579.9253
000952.SZ,20150203,11.61,11.69,11.39,11.58,11.59,-0.01,-0.09,78486.34,90366.1102
000952.SZ,20150204,11.58,11.65,11.43,11.57,11.58,-0.01,-0.09,55717.36,64236.8242
000952.SZ,20150205,11.56,11.86,11.4,11.58,11.57,0.01,0.09,63393.85,73594.6071
000952.SZ,20150206,11.53,11.67,11.35,11.59,11.58,0.01,0.09,55460.05,63875.4738
000952.SZ,20150209,11.59,11.64,10.98,11.11,11.59,-0.48,-4.14,86731.85,96392.5432
000952.SZ,20150210,10.92,11.25,10.71,11.19,11.11,0.08,0.72,49246.77,53839.2295
000952.SZ,20150211,11.2,11.59,11.05,11.3,11.19,0.11,0.98,33014.63,37429.8148
000952.SZ,20150212,11.33,11.47,11.19,11.3,11.3,0.0,0.0,27987.22,31647.964
000952.SZ,20150213,11.32,12.08,11.31,11.99,11.3,0.69,6.11,115828.65,136948.403
000952.SZ,20150216,12.09,12.21,11.9,12.16,11.99,0.17,1.42,62393.72,75548.0691
000952.SZ,20150217,12.15,12.68,12.05,12.44,12.16,0.28,2.3,84502.33,105280.6639
000952.SZ,20150225,12.44,13.0,12.02,12.96,12.44,0.52,4.18,115440.48,146762.32
000952.SZ,20150226,12.9,13.35,12.78,12.95,12.96,-0.01,-0.08,138832.54,180994.2912
000952.SZ,20150227,12.8,13.0,12.71,12.96,12.95,0.01,0.08,68458.19,87891.6582
000952.SZ,20150302,12.95,13.29,12.75,12.93,12.96,-0.03,-0.23,84268.12,109643.2685
000952.SZ,20150303,12.86,13.07,12.7,12.8,12.93,-0.13,-1.01,61149.63,78811.106
000952.SZ,20150304,12.81,13.18,12.72,13.01,12.8,0.21,1.64,65801.56,85373.2935
