ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
001212.SZ,20210823,38.0,45.6,38.0,45.6,31.67,13.93,43.9848,4173.46,18994.735
001212.SZ,20210824,50.16,50.16,41.5,42.02,45.6,-3.58,-7.8509,108872.64,492877.194
001212.SZ,20210825,38.66,40.0,37.83,37.88,42.02,-4.14,-9.8525,68002.14,262101.872
001212.SZ,20210826,37.33,41.67,35.61,41.67,37.88,3.79,10.0053,93754.62,360649.875
001212.SZ,20210827,41.18,44.55,39.97,40.0,41.67,-1.67,-4.0077,89473.91,379606.84
001212.SZ,20210830,37.72,37.8,36.1,36.81,40.0,-3.19,-7.975,65449.29,241257.849
001212.SZ,20210831,35.93,36.5,35.36,35.74,36.81,-1.07,-2.9068,38743.74,138900.704
001212.SZ,20210901,35.75,35.75,34.66,34.91,35.74,-0.83,-2.3223,29535.44,103203.29
001212.SZ,20210902,34.98,35.61,34.78,35.21,34.91,0.3,0.8594,23891.79,84148.573
001212.SZ,20210903,35.0,35.12,34.62,34.92,35.21,-0.29,-0.8236,22876.04,79811.096
001212.SZ,20210906,34.95,35.48,34.9,35.4,34.92,0.48,1.3746,19225.33,67739.677
001212.SZ,20210907,35.3,35.36,35.03,35.18,35.4,-0.22,-0.6215,17668.97,62158.023
001212.SZ,20210908,34.96,36.99,34.9,36.24,35.18,1.06,3.0131,34803.28,125039.918
001212.SZ,20210909,36.24,36.24,35.51,35.52,36.24,-0.72,-1.9868,19182.51,68558.371
001212.SZ,20210910,35.49,35.8,35.04,35.09,35.52,-0.43,-1.2106,16532.67,58261.878
001212.SZ,20210913,35.0,35.34,34.99,35.29,35.09,0.2,0.57,11552.72,40613.469
001212.SZ,20210914,35.01,36.3,35.01,36.08,35.29,0.79,2.2386,28807.11,103074.118
001212.SZ,20210915,35.78,36.87,35.44,35.48,36.08,-0.6,-1.663,25805.14,92947.841
001212.SZ,20210916,35.01,35.15,34.34,34.39,35.48,-1.09,-3.0722,23602.18,82119.582
001212.SZ,20210917,34.28,34.47,33.31,33.47,34.39,-0.92,-2.6752,15835.27,53467.028
001212.SZ,20210922,33.3,33.3,32.8,32.98,33.47,-0.49,-1.464,11703.34,38556.946
001212.SZ,20210923,32.98,33.27,32.96,33.17,32.98,0.19,0.5761,8369.83,27721.268
001212.SZ,20210924,33.16,33.16,32.5,32.5,33.17,-0.67,-2.0199,11794.08,38520.876
001212.SZ,20210927,32.5,32.68,31.68,31.71,32.5,-0.79,-2.4308,9952.54,31930.157
001212.SZ,20210928,31.71,31.94,31.68,31.74,31.71,0.03,0.0946,5601.54,17803.59
001212.SZ,20210929,31.76,32.25,31.65,31.66,31.74,-0.08,-0.252,8842.59,28231.933
