ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
001217.SZ,20210929,12.55,15.06,12.55,15.06,10.46,4.6,43.9771,10132.56,15210.718
001217.SZ,20210930,16.57,16.57,16.57,16.57,15.06,1.51,10.0266,2172.5,3599.832
001217.SZ,20211008,18.23,18.23,18.23,18.23,16.57,1.66,10.0181,2433.71,4436.653
001217.SZ,20211011,20.05,20.05,20.05,20.05,18.23,1.82,9.9835,6978.59,13992.072
001217.SZ,20211012,22.06,22.06,22.06,22.06,20.05,2.01,10.0249,5382.02,11872.736
001217.SZ,20211013,22.0,22.0,19.85,19.85,22.06,-2.21,-10.0181,370791.72,753841.513
001217.SZ,20211014,17.88,18.55,17.87,17.87,19.85,-1.98,-9.9748,121144.67,217776.529
001217.SZ,20211015,17.67,18.88,17.65,18.33,17.87,0.46,2.5741,247545.73,454323.487
001217.SZ,20211018,17.93,18.5,16.92,18.25,18.33,-0.08,-0.4364,194072.01,344826.383
001217.SZ,20211019,18.01,19.34,17.91,18.88,18.25,0.63,3.4521,216659.73,404891.738
001217.SZ,20211020,18.5,19.51,18.01,19.06,18.88,0.18,0.9534,213210.24,399193.396
001217.SZ,20211021,19.06,19.66,18.53,18.65,19.06,-0.41,-2.1511,214086.8,410705.792
001217.SZ,20211022,18.15,19.15,17.81,17.83,18.65,-0.82,-4.3968,191207.78,349963.169
001217.SZ,20211025,17.56,18.37,17.36,18.2,17.83,0.37,2.0752,142517.01,257725.221
001217.SZ,20211026,18.08,18.5,17.59,17.85,18.2,-0.35,-1.9231,158632.76,284902.363
001217.SZ,20211027,17.71,19.64,17.63,19.64,17.85,1.79,10.028,259066.02,497348.947
001217.SZ,20211028,19.51,20.08,18.45,19.01,19.64,-0.63,-3.2077,296235.52,566428.396
001217.SZ,20211029,18.66,19.78,18.46,19.06,19.01,0.05,0.263,211444.96,405396.091
001217.SZ,20211101,18.7,19.48,18.01,19.43,19.06,0.37,1.9412,176925.51,331443.645
001217.SZ,20211102,19.41,21.37,19.2,21.37,19.43,1.94,9.9846,341780.46,711798.165
001217.SZ,20211103,21.54,21.8,20.51,20.55,21.37,-0.82,-3.8372,274214.24,574964.03
001217.SZ,20211104,20.96,21.35,20.4,21.2,20.55,0.65,3.163,221090.81,463707.619
001217.SZ,20211105,20.86,22.15,19.9,20.03,21.2,-1.17,-5.5189,245286.19,514808.04
001217.SZ,20211108,20.38,20.75,19.91,20.52,20.03,0.49,2.4463,136832.61,278660.998
001217.SZ,20211109,20.33,20.75,19.68,20.08,20.52,-0.44,-2.1442,152666.26,307037.769
001217.SZ,20211110,20.0,20.1,19.3,19.6,20.08,-0.48,-2.3904,122757.77,240409.52
001217.SZ,20211111,19.55,20.47,19.55,19.95,19.6,0.35,1.7857,144095.69,289311.707
001217.SZ,20211112,20.35,21.16,20.21,20.77,19.95,0.82,4.1103,169994.83,351754.418
001217.SZ,20211115,20.65,21.07,20.12,20.3,20.77,-0.47,-2.2629,139738.1,286168.898
001217.SZ,20211116,20.2,21.65,19.81,21.26,20.3,0.96,4.7291,209162.05,435983.763
001217.SZ,20211117,21.0,21.39,20.76,21.33,21.26,0.07,0.3293,149675.08,315426.39
001217.SZ,20211118,21.33,23.43,21.0,22.36,21.33,1.03,4.8289,257626.23,567346.188
001217.SZ,20211119,22.0,22.88,21.6,22.2,22.36,-0.16,-0.7156,196700.38,438484.478
001217.SZ,20211122,22.7,23.28,22.33,22.98,22.2,0.78,3.5135,175777.0,400777.172
001217.SZ,20211123,22.7,22.87,21.82,21.82,22.98,-1.16,-5.0479,158244.0,353042.498
001217.SZ,20211124,21.6,22.4,21.48,21.74,21.82,-0.08,-0.3666,123172.73,270674.66
001217.SZ,20211125,22.0,22.14,21.51,21.87,21.74,0.13,0.598,94771.05,207050.652
001217.SZ,20211126,21.77,23.89,21.21,22.96,21.87,1.09,4.984,218541.15,493050.446
001217.SZ,20211129,23.0,23.43,22.71,23.11,22.96,0.15,0.6533,130897.07,302020.636
001217.SZ,20211130,22.98,24.28,22.8,23.7,23.11,0.59,2.553,169894.36,400360.845
001217.SZ,20211201,23.5,23.61,22.74,22.97,23.6,-0.63,-2.6695,125222.73,288615.862
001217.SZ,20211202,22.82,22.9,22.0,22.06,22.97,-0.91,-3.9617,108404.64,242597.558
001217.SZ,20211203,22.07,22.62,22.05,22.07,22.06,0.01,0.0453,83241.85,185044.231
001217.SZ,20211206,22.28,23.08,21.81,22.87,22.07,0.8,3.6248,128977.48,292486.696
001217.SZ,20211207,22.88,23.2,20.58,21.2,22.87,-1.67,-7.3021,175926.01,378284.096
001217.SZ,20211208,21.08,21.42,20.61,21.07,21.2,-0.13,-0.6132,88785.78,186840.176
001217.SZ,20211209,21.01,21.16,20.2,20.51,21.07,-0.56,-2.6578,98460.23,202919.622
001217.SZ,20211210,20.38,20.86,20.3,20.64,20.51,0.13,0.6338,54785.36,113001.544
001217.SZ,20211213,20.47,21.0,20.02,20.72,20.64,0.08,0.3876,76766.63,157351.599
001217.SZ,20211214,20.48,21.09,20.31,20.89,20.72,0.17,0.8205,73074.7,151655.006
001217.SZ,20211215,20.97,21.25,20.8,21.02,20.89,0.13,0.6223,79057.08,166647.578
001217.SZ,20211216,20.96,21.12,20.5,20.61,21.02,-0.41,-1.9505,65227.45,134981.612
001217.SZ,20211217,20.54,20.72,19.81,19.83,20.61,-0.78,-3.7846,88718.71,178416.548
001217.SZ,20211220,19.58,19.9,19.3,19.44,19.83,-0.39,-1.9667,48737.72,95037.986
001217.SZ,20211221,19.43,19.84,19.37,19.83,19.44,0.39,2.0062,36362.1,71243.584
001217.SZ,20211222,19.98,20.05,19.64,19.7,19.83,-0.13,-0.6556,32046.73,63361.89
001217.SZ,20211223,19.64,19.7,19.26,19.27,19.7,-0.43,-2.1827,44013.35,85569.556
001217.SZ,20211224,19.27,19.3,18.48,18.48,19.27,-0.79,-4.0996,53179.08,100026.032
001217.SZ,20211227,18.49,18.88,18.39,18.67,18.48,0.19,1.0281,30234.62,56367.171
001217.SZ,20211228,18.75,18.82,18.58,18.79,18.67,0.12,0.6427,24497.1,45771.514
001217.SZ,20211229,18.8,19.08,18.63,18.88,18.79,0.09,0.479,30055.05,56816.702
001217.SZ,20211230,18.88,18.99,18.71,18.78,18.88,-0.1,-0.5297,22504.83,42360.592
