ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
001238.SZ,20220919,19.26,23.11,19.26,23.11,16.05,7.06,43.9875,13969.86,32180.821
001238.SZ,20220920,25.42,25.42,25.42,25.42,23.11,2.31,9.9957,2106.51,5354.748
001238.SZ,20220921,27.96,27.96,27.96,27.96,25.42,2.54,9.9921,1860.39,5201.65
001238.SZ,20220922,30.76,30.76,30.76,30.76,27.96,2.8,10.0143,2911.46,8955.651
001238.SZ,20220923,33.84,33.84,33.84,33.84,30.76,3.08,10.013,7193.14,24341.586
001238.SZ,20220926,37.22,37.22,37.22,37.22,33.84,3.38,9.9882,92023.4,342511.095
001238.SZ,20220927,38.02,40.94,36.19,40.94,37.22,3.72,9.9946,142786.31,551410.094
001238.SZ,20220928,42.0,43.44,36.85,36.85,40.94,-4.09,-9.9902,201003.75,817354.983
001238.SZ,20220929,33.17,34.3,33.17,33.17,36.85,-3.68,-9.9864,61942.93,207653.126
001238.SZ,20220930,30.04,31.44,29.85,29.85,33.17,-3.32,-10.009,146172.96,441417.487
001238.SZ,20221010,29.2,29.85,27.8,27.89,29.85,-1.96,-6.5662,106386.52,304426.426
001238.SZ,20221011,27.81,28.7,27.46,28.38,27.89,0.49,1.7569,85665.0,240646.196
001238.SZ,20221012,28.1,28.27,26.67,27.64,28.38,-0.74,-2.6075,86757.9,236921.822
001238.SZ,20221013,27.6,28.35,26.79,27.86,27.64,0.22,0.7959,104509.17,289062.811
001238.SZ,20221014,27.59,28.28,27.28,27.6,27.86,-0.26,-0.9332,95264.55,265291.78
001238.SZ,20221017,27.0,27.86,26.32,27.77,27.6,0.17,0.6159,82515.01,223137.535
001238.SZ,20221018,27.68,30.55,27.3,30.55,27.77,2.78,10.0108,114293.97,329398.625
001238.SZ,20221019,30.55,31.39,28.45,28.62,30.55,-1.93,-6.3175,149168.82,444308.555
001238.SZ,20221020,27.45,27.95,26.88,26.92,28.62,-1.7,-5.9399,95667.0,261675.741
001238.SZ,20221021,26.5,26.91,25.54,25.54,26.92,-1.38,-5.1263,74235.38,193646.14
001238.SZ,20221024,26.0,26.58,25.23,25.53,25.54,-0.01,-0.0392,58486.66,151580.011
001238.SZ,20221025,25.24,25.25,24.08,24.73,25.53,-0.8,-3.1336,53279.66,131152.314
001238.SZ,20221026,24.72,25.89,24.58,25.56,24.73,0.83,3.3562,53142.42,134964.267
001238.SZ,20221027,24.98,25.44,24.2,24.22,25.56,-1.34,-5.2426,52182.17,128996.307
001238.SZ,20221028,24.1,26.64,23.5,26.64,24.22,2.42,9.9917,123974.81,321319.782
001238.SZ,20221031,26.69,26.69,25.38,25.61,26.64,-1.03,-3.8664,97844.24,252792.562
001238.SZ,20221101,25.38,26.03,25.3,25.82,25.61,0.21,0.82,60839.27,156377.349
001238.SZ,20221102,25.39,26.16,25.39,25.83,25.82,0.01,0.0387,63009.01,162384.362
001238.SZ,20221103,25.5,28.19,25.4,26.36,25.83,0.53,2.0519,119709.11,320694.083
001238.SZ,20221104,26.7,26.7,25.56,26.13,26.36,-0.23,-0.8725,68347.36,177594.245
001238.SZ,20221107,25.96,28.74,25.87,28.74,26.13,2.61,9.9885,155912.72,432472.588
001238.SZ,20221108,28.14,30.85,28.0,28.48,28.74,-0.26,-0.9047,165623.15,487181.381
001238.SZ,20221109,28.59,30.88,28.14,30.3,28.48,1.82,6.3904,141832.87,417466.169
001238.SZ,20221110,29.02,29.7,27.75,28.2,30.3,-2.1,-6.9307,110353.98,317713.238
001238.SZ,20221111,28.39,28.68,27.53,27.77,28.2,-0.43,-1.5248,73553.02,205768.346
001238.SZ,20221114,27.8,30.55,27.8,30.55,27.77,2.78,10.0108,118452.45,346671.447
001238.SZ,20221115,30.55,30.88,29.43,29.63,30.55,-0.92,-3.0115,125436.48,374530.56
001238.SZ,20221116,29.61,30.77,29.36,29.69,29.63,0.06,0.2025,99370.28,298032.066
001238.SZ,20221117,29.29,30.88,28.91,30.13,29.69,0.44,1.482,89989.02,269861.694
001238.SZ,20221118,30.0,30.01,28.41,28.73,30.13,-1.4,-4.6465,72673.09,210668.919
001238.SZ,20221121,28.73,29.98,27.0,29.06,28.73,0.33,1.1486,85317.32,240121.187
001238.SZ,20221122,28.6,28.88,27.19,27.19,29.06,-1.87,-6.435,59992.36,168150.936
001238.SZ,20221123,27.19,27.35,25.9,26.24,27.19,-0.95,-3.4939,45800.73,120173.468
001238.SZ,20221124,26.3,26.65,26.08,26.29,26.24,0.05,0.1905,33780.62,89082.898
001238.SZ,20221125,26.4,27.37,26.3,26.99,26.29,0.7,2.6626,53077.35,142595.323
001238.SZ,20221128,26.0,26.45,25.5,26.09,26.99,-0.9,-3.3346,31563.66,82330.527
001238.SZ,20221129,26.41,27.32,26.0,27.07,26.09,0.98,3.7562,46513.69,124428.568
001238.SZ,20221130,26.81,27.01,26.23,26.47,27.07,-0.6,-2.2165,35610.34,94957.626
001238.SZ,20221201,26.57,27.71,26.56,27.19,26.47,0.72,2.7201,51236.52,139345.052
001238.SZ,20221202,26.91,27.47,26.89,27.34,27.19,0.15,0.5517,33428.41,91033.637
001238.SZ,20221205,27.31,27.86,26.97,27.7,27.34,0.36,1.3168,55035.39,150981.89
001238.SZ,20221206,27.4,27.88,27.13,27.32,27.7,-0.38,-1.3718,38242.69,104840.038
