ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
001301.SZ,20221228,40.66,48.79,40.66,48.79,33.88,14.91,44.0083,28455.26,137975.537
001301.SZ,20221229,53.67,53.67,53.67,53.67,48.79,4.88,10.002,5415.98,29067.565
001301.SZ,20221230,59.04,59.04,59.04,59.04,53.67,5.37,10.0056,5325.6,31442.342
001301.SZ,20230103,64.94,64.94,64.94,64.94,59.04,5.9,9.9932,4449.51,28895.118
001301.SZ,20230104,71.43,71.43,65.02,71.43,64.94,6.49,9.9938,329625.81,2312792.864
001301.SZ,20230105,73.43,78.57,73.3,78.57,71.43,7.14,9.9958,321787.41,2463535.195
001301.SZ,20230106,75.5,79.4,75.5,75.81,78.57,-2.76,-3.5128,251609.85,1940626.595
001301.SZ,20230109,76.52,82.99,74.8,80.84,75.81,5.03,6.635,176657.62,1400605.241
001301.SZ,20230110,79.0,86.8,78.56,85.14,80.84,4.3,5.3191,147242.98,1206956.348
001301.SZ,20230111,84.8,87.77,82.39,86.98,85.14,1.84,2.1611,129471.35,1105694.379
001301.SZ,20230112,86.28,93.0,86.2,90.92,86.98,3.94,4.5298,117978.06,1057934.264
001301.SZ,20230113,91.96,94.91,84.37,86.6,90.92,-4.32,-4.7514,166548.78,1482673.168
001301.SZ,20230116,87.3,95.26,87.3,93.72,86.6,7.12,8.2217,170861.71,1591331.093
001301.SZ,20230117,92.98,96.2,91.38,92.58,93.72,-1.14,-1.2164,98146.28,917886.425
001301.SZ,20230118,92.18,92.86,88.35,88.48,92.58,-4.1,-4.4286,85890.84,775397.743
001301.SZ,20230119,89.24,89.6,87.21,88.0,88.48,-0.48,-0.5425,52409.03,462256.418
001301.SZ,20230120,85.0,85.0,79.2,82.27,88.0,-5.73,-6.5114,142436.49,1160686.595
001301.SZ,20230130,85.01,89.19,84.48,85.06,82.27,2.79,3.3913,114477.83,991673.364
001301.SZ,20230131,83.51,86.04,81.68,82.14,85.06,-2.92,-3.4329,86744.43,723945.638
001301.SZ,20230201,83.01,87.39,81.92,86.38,82.14,4.24,5.1619,88938.63,755855.474
001301.SZ,20230202,86.38,88.13,85.25,88.02,86.38,1.64,1.8986,74530.01,648497.415
001301.SZ,20230203,88.03,88.53,83.22,86.41,88.02,-1.61,-1.8291,92065.43,787254.517
001301.SZ,20230206,85.38,86.37,82.52,82.99,86.41,-3.42,-3.9579,50613.39,424852.725
