ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
001379.SZ,20240119,28.0,28.82,23.88,24.23,16.98,7.25,42.6973,338907.92,905508.696
001379.SZ,20240122,23.0,26.38,22.22,25.11,24.23,0.88,3.6319,274898.96,674090.84
001379.SZ,20240123,25.2,27.18,23.52,23.63,25.11,-1.48,-5.8941,300725.79,775827.527
001379.SZ,20240124,21.38,23.5,21.11,22.05,23.63,-1.58,-6.6864,253863.08,560538.566
001379.SZ,20240125,21.6,22.18,20.37,21.25,22.05,-0.8,-3.6281,221968.53,470877.201
001379.SZ,20240126,20.76,23.38,20.42,23.38,21.25,2.13,10.0235,278973.76,618578.676
001379.SZ,20240129,25.72,25.72,25.72,25.72,23.38,2.34,10.0086,24631.18,63351.395
001379.SZ,20240130,25.21,25.94,23.15,23.15,25.72,-2.57,-9.9922,259592.65,630581.967
001379.SZ,20240131,21.5,21.89,20.84,20.84,23.15,-2.31,-9.9784,144103.07,302286.207
001379.SZ,20240201,18.8,19.31,18.76,18.76,20.84,-2.08,-9.9808,172441.28,325819.637
001379.SZ,20240202,18.24,18.69,16.88,17.1,18.76,-1.66,-8.8486,161897.42,285554.108
001379.SZ,20240205,17.1,17.27,15.39,15.39,17.1,-1.71,-10.0,116539.98,183980.884
001379.SZ,20240206,14.9,16.93,14.5,16.17,15.39,0.78,5.0682,162063.33,255396.568
001379.SZ,20240207,16.1,16.25,14.55,14.55,16.17,-1.62,-10.0186,138840.26,213487.963
001379.SZ,20240208,14.23,15.2,14.18,15.04,14.55,0.49,3.3677,97705.44,144903.418
001379.SZ,20240219,15.13,15.88,14.9,15.5,15.04,0.46,3.0585,119520.45,183431.935
001379.SZ,20240220,15.55,16.16,15.45,15.98,15.5,0.48,3.0968,105882.55,168460.498
001379.SZ,20240221,15.6,16.78,15.55,16.18,15.98,0.2,1.2516,128558.09,209260.118
001379.SZ,20240222,16.3,16.66,16.16,16.53,16.18,0.35,2.1632,100918.2,165384.657
001379.SZ,20240223,16.5,18.18,16.28,18.18,16.53,1.65,9.9819,105397.02,179981.53
001379.SZ,20240226,19.11,19.11,17.86,18.18,18.18,0.0,0.0,215911.6,397492.692
001379.SZ,20240227,17.98,18.41,17.7,18.41,18.18,0.23,1.2651,146341.04,265665.617
001379.SZ,20240228,18.28,18.58,16.58,16.64,18.41,-1.77,-9.6143,161698.08,286482.783
001379.SZ,20240229,16.25,17.1,16.11,17.08,16.64,0.44,2.6442,85285.99,143455.961
001379.SZ,20240301,17.1,17.54,16.81,17.11,17.08,0.03,0.1756,76999.67,132050.782
001379.SZ,20240304,17.17,17.19,16.51,16.88,17.11,-0.23,-1.3442,57089.36,96004.991
001379.SZ,20240305,16.83,17.39,16.59,17.06,16.88,0.18,1.0664,91328.86,155338.981
001379.SZ,20240306,17.0,18.18,16.82,17.55,17.06,0.49,2.8722,127267.27,223454.754
001379.SZ,20240307,17.78,18.51,17.34,18.21,17.55,0.66,3.7607,175537.28,316205.742
001379.SZ,20240308,17.88,18.1,17.48,17.72,18.21,-0.49,-2.6908,110159.82,195008.286
001379.SZ,20240311,17.69,17.69,17.2,17.65,17.72,-0.07,-0.395,77009.15,134549.335
001379.SZ,20240312,17.65,17.95,17.42,17.79,17.65,0.14,0.7932,79186.4,140240.752
001379.SZ,20240313,17.68,18.06,17.6,17.66,17.79,-0.13,-0.7307,72027.06,128371.914
001379.SZ,20240314,17.5,19.09,17.37,18.07,17.66,0.41,2.3216,143981.54,260560.979
001379.SZ,20240315,17.73,17.98,17.48,17.95,18.07,-0.12,-0.6641,82777.29,147067.119
001379.SZ,20240318,17.99,18.43,17.99,18.38,17.95,0.43,2.3955,95595.79,174412.051
001379.SZ,20240319,18.2,18.4,18.1,18.18,18.38,-0.2,-1.0881,71064.29,129680.507
001379.SZ,20240320,18.18,18.31,18.08,18.19,18.18,0.01,0.055,57388.72,104393.563
001379.SZ,20240321,18.1,18.33,17.71,17.98,18.19,-0.21,-1.1545,75481.49,135890.098
