ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002019.SZ,20150105,22.55,23.2,22.37,22.5,22.41,0.09,0.4,66346.61,149881.7598
002019.SZ,20150106,22.49,23.68,22.06,23.45,22.5,0.95,4.22,96704.04,223070.3235
002019.SZ,20150107,23.4,23.63,22.88,23.44,23.45,-0.01,-0.04,54484.73,126749.1643
002019.SZ,20150108,23.4,23.57,23.0,23.17,23.44,-0.27,-1.15,48336.48,112878.9058
002019.SZ,20150109,23.12,23.42,22.95,23.08,23.17,-0.09,-0.39,41710.1,96674.3303
002019.SZ,20150112,23.07,23.07,22.13,22.21,23.08,-0.87,-3.77,54803.32,122946.6274
002019.SZ,20150113,22.26,22.98,22.26,22.84,22.21,0.63,2.84,39475.55,89374.9883
002019.SZ,20150114,22.92,23.55,22.76,23.53,22.84,0.69,3.02,59336.26,138081.7355
002019.SZ,20150115,23.71,24.77,23.55,23.68,23.53,0.15,0.64,106199.19,256531.5912
002019.SZ,20150116,23.68,24.41,23.3,24.19,23.68,0.51,2.15,70000.67,168105.4412
002019.SZ,20150119,23.71,25.48,23.4,24.78,24.19,0.59,2.44,130978.42,323109.3945
002019.SZ,20150120,24.73,26.61,24.71,26.4,24.78,1.62,6.54,148158.67,385406.7749
002019.SZ,20150121,26.65,28.0,26.65,27.4,26.4,1.0,3.79,146909.82,400179.5356
002019.SZ,20150122,27.23,27.61,26.7,27.38,27.4,-0.02,-0.07,93147.67,253499.989
002019.SZ,20150123,27.07,27.65,26.6,26.76,27.38,-0.62,-2.26,64819.58,174865.6582
002019.SZ,20150126,26.8,27.48,26.79,27.14,26.76,0.38,1.42,51767.35,140180.433
002019.SZ,20150127,27.18,28.48,27.11,28.31,27.14,1.17,4.31,93254.35,258015.2806
002019.SZ,20150128,28.2,28.75,27.16,27.38,28.31,-0.93,-3.29,76707.12,214753.1096
002019.SZ,20150129,27.31,27.31,26.19,26.71,27.38,-0.67,-2.45,59892.99,159530.9451
002019.SZ,20150130,26.7,27.58,25.8,27.29,26.71,0.58,2.17,75719.09,202942.2145
002019.SZ,20150202,26.1,27.2,25.6,25.9,27.29,-1.39,-5.09,81081.12,212973.8487
002019.SZ,20150203,26.04,26.3,25.35,25.97,25.9,0.07,0.27,97872.47,250400.9543
002019.SZ,20150204,25.8,26.16,25.6,25.7,25.97,-0.27,-1.04,55394.54,143080.4872
002019.SZ,20150205,25.85,26.9,25.49,26.25,25.7,0.55,2.14,94975.36,247833.3704
002019.SZ,20150206,26.25,27.3,26.1,26.29,26.25,0.04,0.15,82949.55,221459.4825
002019.SZ,20150209,26.18,27.1,26.15,26.49,26.29,0.2,0.76,51451.74,137022.8742
002019.SZ,20150210,26.55,26.79,25.2,25.75,26.49,-0.74,-2.79,82937.3,211797.9058
002019.SZ,20150211,25.7,25.82,25.17,25.65,25.75,-0.1,-0.39,50415.15,128363.2066
002019.SZ,20150212,25.7,26.09,25.66,25.91,25.65,0.26,1.01,44302.05,114754.164
002019.SZ,20150213,26.27,26.92,26.01,26.7,25.91,0.79,3.05,56214.12,149173.9916
002019.SZ,20150216,26.72,27.11,26.37,26.83,26.7,0.13,0.49,63813.27,170447.8208
002019.SZ,20150217,26.88,27.96,26.6,27.82,26.83,0.99,3.69,115841.44,317640.4738
002019.SZ,20150225,28.08,28.2,27.44,27.6,27.82,-0.22,-0.79,67413.46,186964.5925
002019.SZ,20150226,27.5,27.86,26.73,27.26,27.6,-0.34,-1.23,71667.9,194769.2248
002019.SZ,20150227,27.4,27.81,27.1,27.36,27.26,0.1,0.37,74845.3,205780.8947
002019.SZ,20150302,27.4,27.9,26.8,27.89,27.36,0.53,1.94,96151.0,262740.2884
002019.SZ,20150303,27.89,28.29,27.45,27.5,27.89,-0.39,-1.4,89395.3,248078.7885
002019.SZ,20150304,27.4,28.64,26.95,28.56,27.5,1.06,3.85,148806.45,418064.68
002019.SZ,20150305,28.67,29.8,28.4,28.47,28.56,-0.09,-0.32,155831.86,452387.7298
002019.SZ,20150306,28.5,28.79,27.3,27.4,28.47,-1.07,-3.76,88957.27,247679.1072
002019.SZ,20150309,27.2,27.77,26.88,27.62,27.4,0.22,0.8,58303.89,160049.3902
002019.SZ,20150310,27.63,28.27,27.6,27.7,27.62,0.08,0.29,64116.72,178736.5226
