ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002028.SZ,20150105,12.48,12.88,12.4,12.82,12.45,0.37,2.97,139728.24,177600.4629
002028.SZ,20150106,12.85,13.65,12.76,13.3,12.82,0.48,3.74,280797.47,373382.894
002028.SZ,20150107,13.15,13.4,13.04,13.34,13.3,0.04,0.3,167197.56,220735.5006
002028.SZ,20150108,13.39,13.45,13.07,13.12,13.34,-0.22,-1.65,134642.95,178003.7993
002028.SZ,20150109,13.13,13.54,13.07,13.4,13.12,0.28,2.13,219996.51,293270.2619
002028.SZ,20150112,13.45,13.9,13.37,13.38,13.4,-0.02,-0.15,308572.89,421427.5144
002028.SZ,20150113,13.34,13.34,13.0,13.26,13.38,-0.12,-0.9,178638.98,234794.163
002028.SZ,20150114,13.13,13.23,12.83,12.83,13.26,-0.43,-3.24,136089.06,177780.4088
002028.SZ,20150115,12.87,13.11,12.73,13.08,12.83,0.25,1.95,93556.5,121292.6868
002028.SZ,20150116,13.18,13.66,13.07,13.59,13.08,0.51,3.9,247872.33,332399.5849
002028.SZ,20150119,13.21,14.2,13.2,13.42,13.59,-0.17,-1.25,409672.29,564091.0723
002028.SZ,20150120,13.58,14.76,13.58,14.63,13.42,1.21,9.02,571459.15,816209.8976
002028.SZ,20150121,14.64,14.87,14.38,14.8,14.63,0.17,1.16,430099.25,627880.0877
002028.SZ,20150122,14.69,14.83,14.42,14.65,14.8,-0.15,-1.01,293982.75,429508.6341
002028.SZ,20150123,14.65,14.9,14.43,14.5,14.65,-0.15,-1.02,250915.6,367111.4757
002028.SZ,20150126,14.49,14.85,14.35,14.68,14.5,0.18,1.24,211316.89,308978.1272
002028.SZ,20150127,14.69,15.16,14.41,14.87,14.68,0.19,1.29,268897.19,398956.8434
002028.SZ,20150128,14.79,14.93,14.45,14.5,14.87,-0.37,-2.49,179492.97,263433.7751
002028.SZ,20150129,14.4,14.5,14.1,14.13,14.5,-0.37,-2.55,167433.64,239188.6554
002028.SZ,20150130,14.13,14.31,14.02,14.06,14.13,-0.07,-0.5,122764.46,173899.4706
002028.SZ,20150202,13.9,14.34,13.8,14.04,14.06,-0.02,-0.14,162142.64,229313.3396
002028.SZ,20150203,14.05,14.38,14.05,14.35,14.04,0.31,2.21,122241.97,174397.7327
002028.SZ,20150204,14.33,14.57,14.06,14.1,14.35,-0.25,-1.74,147850.99,211963.4892
002028.SZ,20150205,14.26,14.3,13.75,13.8,14.1,-0.3,-2.13,193545.23,270738.6254
002028.SZ,20150206,13.75,13.91,13.33,13.42,13.8,-0.38,-2.75,131846.28,179504.8672
002028.SZ,20150209,13.42,13.71,13.36,13.55,13.42,0.13,0.97,78182.55,106286.0992
002028.SZ,20150210,13.56,13.78,13.5,13.78,13.55,0.23,1.7,72892.35,99599.2107
002028.SZ,20150211,13.83,13.88,13.71,13.82,13.78,0.04,0.29,66044.95,91098.7887
002028.SZ,20150212,13.94,14.3,13.86,14.17,13.82,0.35,2.53,125175.68,176701.6111
002028.SZ,20150213,14.25,14.34,14.15,14.2,14.17,0.03,0.21,137174.98,195254.8077
002028.SZ,20150216,14.2,14.38,14.11,14.38,14.2,0.18,1.27,125808.6,179550.4347
002028.SZ,20150217,14.38,14.48,14.21,14.22,14.38,-0.16,-1.11,111288.22,158939.3899
002028.SZ,20150225,14.25,14.32,13.96,13.96,14.22,-0.26,-1.83,118180.18,167069.7807
002028.SZ,20150226,13.95,14.35,13.9,14.35,13.96,0.39,2.79,117422.0,166335.7604
002028.SZ,20150227,14.38,14.92,14.36,14.66,14.35,0.31,2.16,227389.72,332234.5332
002028.SZ,20150302,14.7,15.07,14.56,14.98,14.66,0.32,2.18,230734.53,342931.1879
002028.SZ,20150303,14.88,14.94,14.52,14.52,14.98,-0.46,-3.07,197710.25,291384.2727
