ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002038.SZ,20150105,39.73,40.28,39.16,40.24,39.6,0.64,1.62,63085.89,251416.4883
002038.SZ,20150106,40.19,41.75,40.0,41.31,40.24,1.07,2.66,116330.31,477250.6421
002038.SZ,20150107,41.25,41.25,40.47,40.58,41.31,-0.73,-1.77,49212.47,200377.4714
002038.SZ,20150108,40.63,41.18,40.5,40.5,40.58,-0.08,-0.2,52144.25,212642.4187
002038.SZ,20150109,40.48,40.84,39.91,39.95,40.5,-0.55,-1.36,59787.14,241460.7218
002038.SZ,20150112,39.99,40.2,39.5,40.05,39.95,0.1,0.25,41064.69,163753.6824
002038.SZ,20150113,39.98,41.15,39.81,40.83,40.05,0.78,1.95,63724.61,259287.6507
002038.SZ,20150114,40.83,41.3,40.55,40.62,40.83,-0.21,-0.51,41671.82,169976.1288
002038.SZ,20150115,40.55,40.96,40.45,40.77,40.62,0.15,0.37,31298.12,127436.6939
002038.SZ,20150116,40.94,41.07,40.55,40.87,40.77,0.1,0.25,43256.46,176440.2607
002038.SZ,20150119,40.53,41.69,40.0,40.3,40.87,-0.57,-1.39,86598.78,355314.1223
002038.SZ,20150120,40.6,41.48,40.45,41.34,40.3,1.04,2.58,62569.27,256742.5841
002038.SZ,20150121,41.37,42.28,41.37,42.12,41.34,0.78,1.89,91993.08,386376.0335
002038.SZ,20150122,42.18,42.6,42.05,42.18,42.12,0.06,0.14,83234.13,352350.8077
002038.SZ,20150123,42.2,42.35,41.55,41.76,42.18,-0.42,-1.0,57387.62,240420.8578
002038.SZ,20150126,41.5,42.9,41.5,42.6,41.76,0.84,2.01,72754.01,309851.4324
002038.SZ,20150127,42.79,42.79,41.91,42.31,42.6,-0.29,-0.68,63333.08,268320.199
002038.SZ,20150128,42.25,42.56,42.0,42.0,42.31,-0.31,-0.73,43405.67,183689.8
002038.SZ,20150129,41.8,42.3,41.71,41.97,42.0,-0.03,-0.07,43897.45,184217.5655
002038.SZ,20150130,42.0,42.12,41.18,41.35,41.97,-0.62,-1.48,43251.12,179559.6865
002038.SZ,20150202,41.0,41.53,40.9,41.11,41.35,-0.24,-0.58,32177.34,132886.5453
002038.SZ,20150203,41.36,41.76,41.29,41.61,41.11,0.5,1.22,32665.59,135658.6067
002038.SZ,20150204,41.67,41.89,40.97,40.98,41.61,-0.63,-1.51,35396.41,146476.5485
002038.SZ,20150205,41.21,41.3,40.01,40.1,40.98,-0.88,-2.15,47746.77,194351.5788
002038.SZ,20150206,40.11,40.35,39.83,40.0,40.1,-0.1,-0.25,33320.14,133638.0375
002038.SZ,20150209,39.95,40.35,39.9,40.01,40.0,0.01,0.03,26153.34,105023.799
002038.SZ,20150210,40.0,40.22,39.9,40.19,40.01,0.18,0.45,33362.07,133597.5944
002038.SZ,20150211,40.21,40.49,40.19,40.36,40.19,0.17,0.42,27153.33,109498.5457
002038.SZ,20150212,40.48,40.79,40.24,40.67,40.36,0.31,0.77,31386.1,127061.882
002038.SZ,20150213,40.8,41.58,40.79,41.12,40.67,0.45,1.11,43381.71,179009.3729
002038.SZ,20150216,41.2,41.8,41.13,41.61,41.12,0.49,1.19,49237.4,204642.0779
002038.SZ,20150217,41.79,41.89,41.36,41.56,41.61,-0.05,-0.12,36372.4,151311.3845
002038.SZ,20150225,41.72,43.06,41.5,42.58,41.56,1.02,2.45,91659.62,388996.4074
002038.SZ,20150226,42.61,42.88,42.18,42.49,42.58,-0.09,-0.21,56882.02,241723.0063
002038.SZ,20150227,42.49,43.01,42.36,42.41,42.49,-0.08,-0.19,55233.71,235422.232
002038.SZ,20150302,42.44,44.15,42.2,43.95,42.41,1.54,3.63,165096.66,716155.4419
002038.SZ,20150303,43.86,46.11,43.8,44.72,43.95,0.77,1.75,174902.01,789728.9041
002038.SZ,20150304,44.95,45.88,44.49,45.41,44.72,0.69,1.54,105529.09,477499.0463
002038.SZ,20150305,45.43,45.8,44.62,45.17,45.41,-0.24,-0.53,82497.49,371590.7515
002038.SZ,20150306,45.21,45.27,43.58,43.79,45.17,-1.38,-3.06,78723.49,348229.642
002038.SZ,20150309,43.75,44.17,43.11,44.03,43.79,0.24,0.55,64377.53,282233.8764
002038.SZ,20150310,44.0,46.0,43.82,45.52,44.03,1.49,3.38,98507.1,440310.8784
002038.SZ,20150311,45.53,45.96,44.35,44.5,45.52,-1.02,-2.24,78192.96,353344.8246
