ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002086.SZ,20150105,10.43,10.83,10.41,10.72,10.46,0.26,2.49,33181.99,35210.7519
002086.SZ,20150106,10.6,10.78,10.5,10.78,10.72,0.06,0.56,28081.15,29839.8889
002086.SZ,20150107,10.98,11.26,10.9,10.94,10.78,0.16,1.48,84279.7,93325.9013
002086.SZ,20150108,10.85,11.18,10.82,10.98,10.94,0.04,0.37,46708.21,51604.6422
002086.SZ,20150109,10.9,11.26,10.9,10.98,10.98,0.0,0.0,36391.79,40325.364
002086.SZ,20150112,11.0,11.03,10.57,10.68,10.98,-0.3,-2.73,26564.78,28438.4806
002086.SZ,20150113,10.57,10.97,10.56,10.97,10.68,0.29,2.72,20776.02,22323.3828
002086.SZ,20150114,10.91,11.55,10.86,11.52,10.97,0.55,5.01,104497.63,118472.8629
002086.SZ,20150115,11.4,11.55,11.32,11.41,11.52,-0.11,-0.95,52385.31,59882.0475
002086.SZ,20150116,11.31,12.55,11.3,12.55,11.41,1.14,9.99,149062.01,180752.7225
002086.SZ,20150119,12.71,13.81,12.3,13.18,12.55,0.63,5.02,335499.16,441479.3724
002086.SZ,20150120,13.05,13.68,12.86,13.53,13.18,0.35,2.66,178298.25,237585.8915
002086.SZ,20150121,13.29,13.6,13.02,13.51,13.53,-0.02,-0.15,169091.0,225321.738
002086.SZ,20150122,13.38,13.66,13.13,13.65,13.51,0.14,1.04,128970.82,172538.1762
002086.SZ,20150123,13.51,13.58,12.86,12.89,13.65,-0.76,-5.57,126533.89,166434.9481
002086.SZ,20150126,12.88,13.28,12.8,13.02,12.89,0.13,1.01,88126.65,114859.2479
002086.SZ,20150127,13.08,13.32,12.75,13.26,13.02,0.24,1.84,81153.32,106231.5989
002086.SZ,20150128,13.23,14.59,13.03,14.16,13.26,0.9,6.79,217512.53,304287.312
002086.SZ,20150129,13.88,14.35,13.85,14.2,14.16,0.04,0.28,115631.84,163139.37
002086.SZ,20150130,14.3,14.35,13.55,13.55,14.2,-0.65,-4.58,70345.01,97624.4131
002086.SZ,20150202,13.38,13.4,12.8,13.15,13.55,-0.4,-2.95,57027.09,74967.4694
002086.SZ,20150203,13.15,13.95,13.15,13.9,13.15,0.75,5.7,93796.92,128070.6377
002086.SZ,20150204,13.9,14.47,13.82,13.86,13.9,-0.04,-0.29,68518.16,96412.3804
002086.SZ,20150205,13.89,14.06,13.68,13.85,13.86,-0.01,-0.07,47810.09,66373.0551
002086.SZ,20150206,13.83,14.49,13.66,13.83,13.85,-0.02,-0.14,61589.16,86600.6567
002086.SZ,20150209,13.7,13.83,13.2,13.31,13.83,-0.52,-3.76,53609.91,71580.2563
002086.SZ,20150210,13.25,13.4,13.03,13.4,13.31,0.09,0.68,25506.44,33698.1817
002086.SZ,20150211,13.5,13.56,13.25,13.31,13.4,-0.09,-0.67,27274.31,36503.4946
002086.SZ,20150212,13.31,14.29,12.32,14.13,13.31,0.82,6.16,71615.65,98471.3891
002086.SZ,20150213,14.0,14.41,13.8,14.14,14.13,0.01,0.07,52605.87,74250.4248
002086.SZ,20150216,14.1,14.32,13.9,14.3,14.14,0.16,1.13,51494.11,73019.6548
002086.SZ,20150217,14.3,14.45,14.0,14.23,14.3,-0.07,-0.49,42790.14,60754.3167
002086.SZ,20150225,14.21,15.19,14.06,15.05,14.23,0.82,5.76,92782.72,137721.2895
002086.SZ,20150226,14.97,15.55,14.84,14.98,15.05,-0.07,-0.47,74353.02,112998.6765
002086.SZ,20150227,14.95,15.38,14.88,15.23,14.98,0.25,1.67,39469.58,59740.1344
002086.SZ,20150302,15.18,15.38,15.08,15.28,15.23,0.05,0.33,47032.62,71651.3701
002086.SZ,20150303,15.2,15.39,14.68,14.72,15.28,-0.56,-3.66,69307.64,103331.9345
002086.SZ,20150304,14.75,15.04,14.75,14.9,14.72,0.18,1.22,54024.97,80555.4353
002086.SZ,20150305,14.84,16.38,14.7,15.81,14.9,0.91,6.11,81328.7,125289.0031
002086.SZ,20150306,15.79,15.97,15.26,15.92,15.81,0.11,0.7,45095.78,70166.4636
002086.SZ,20150309,15.86,15.96,15.41,15.71,15.92,-0.21,-1.32,48991.24,77017.8673
002086.SZ,20150310,15.8,15.8,15.3,15.4,15.71,-0.31,-1.97,52486.7,81272.488
002086.SZ,20150311,15.4,15.55,14.76,15.0,15.4,-0.4,-2.6,61945.47,93603.9881
002086.SZ,20150312,14.9,15.25,14.7,14.95,15.0,-0.05,-0.33,52881.86,79375.014
002086.SZ,20150313,15.1,15.12,14.84,14.95,14.95,0.0,0.0,31120.26,46527.3261
002086.SZ,20150316,15.1,15.66,15.0,15.47,14.95,0.52,3.48,113053.65,172486.3731
002086.SZ,20150317,15.5,15.6,15.1,15.3,15.47,-0.17,-1.1,71529.23,109352.5731
002086.SZ,20150318,15.26,15.66,15.26,15.61,15.3,0.31,2.03,79292.12,122677.6229
002086.SZ,20150319,15.6,16.35,15.21,16.03,15.61,0.42,2.69,107862.11,169909.1195
002086.SZ,20150320,15.95,16.33,15.81,16.28,16.03,0.25,1.56,88542.88,142571.8216
002086.SZ,20150401,16.99,17.9,16.66,17.5,16.28,1.22,7.49,311217.35,543555.0016
002086.SZ,20150402,17.4,17.77,17.02,17.59,17.5,0.09,0.51,179712.38,312708.3147
002086.SZ,20150403,17.44,17.77,17.21,17.59,17.59,0.0,0.0,114523.46,200963.6197
002086.SZ,20150407,17.59,17.75,17.07,17.34,17.59,-0.25,-1.42,130571.96,227232.0183
002086.SZ,20150408,17.21,17.45,16.58,16.61,17.34,-0.73,-4.21,128495.18,217829.4088
