ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002091.SZ,20150105,14.48,14.9,14.4,14.88,14.47,0.41,2.83,50466.02,74237.7923
002091.SZ,20150106,14.87,15.38,14.65,15.25,14.88,0.37,2.49,76865.75,116265.1382
002091.SZ,20150107,15.16,15.25,14.9,15.05,15.25,-0.2,-1.31,47241.87,71298.7828
002091.SZ,20150108,15.0,15.49,14.91,15.15,15.05,0.1,0.66,63524.21,96607.4187
002091.SZ,20150109,15.15,15.36,15.0,15.0,15.15,-0.15,-0.99,39085.9,59381.6251
002091.SZ,20150112,14.99,15.4,14.58,15.28,15.0,0.28,1.87,86290.5,130993.9228
002091.SZ,20150113,15.28,15.61,15.19,15.57,15.28,0.29,1.9,80290.27,124224.4921
002091.SZ,20150114,15.45,15.62,15.16,15.26,15.57,-0.31,-1.99,48536.56,74777.9031
002091.SZ,20150115,15.21,15.48,15.17,15.29,15.26,0.03,0.2,35729.4,54681.9257
002091.SZ,20150116,15.29,15.62,15.18,15.57,15.29,0.28,1.83,67060.92,103674.7026
002091.SZ,20150119,15.2,15.76,14.83,15.23,15.57,-0.34,-2.18,74525.29,114858.8884
002091.SZ,20150120,15.3,15.83,15.3,15.79,15.23,0.56,3.68,78999.87,123210.6783
002091.SZ,20150121,15.84,16.06,15.7,15.94,15.79,0.15,0.95,94272.7,150074.0033
002091.SZ,20150122,15.96,16.07,15.8,16.05,15.94,0.11,0.69,78231.05,124846.8597
002091.SZ,20150123,16.09,16.09,15.72,15.81,16.05,-0.24,-1.5,59367.1,94384.5589
002091.SZ,20150126,15.77,15.99,15.76,15.95,15.81,0.14,0.89,51389.53,81706.3774
002091.SZ,20150127,16.0,16.1,15.69,16.04,15.95,0.09,0.56,63562.77,101114.7572
002091.SZ,20150128,16.13,16.48,16.13,16.37,16.04,0.33,2.06,118854.76,194035.651
002091.SZ,20150129,16.17,16.3,15.96,16.06,16.37,-0.31,-1.89,55247.19,89010.5523
002091.SZ,20150130,16.07,16.21,15.71,15.72,16.06,-0.34,-2.12,46954.3,74566.919
002091.SZ,20150202,15.61,15.9,15.51,15.76,15.72,0.04,0.25,28517.43,44924.9075
002091.SZ,20150203,15.78,16.16,15.78,16.08,15.76,0.32,2.03,44195.24,70773.4977
002091.SZ,20150204,16.12,16.62,16.12,16.32,16.08,0.24,1.49,120039.21,197064.2839
