ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002092.SZ,20150105,7.88,8.21,7.87,8.14,7.75,0.39,5.03,441601.87,357172.2441
002092.SZ,20150106,8.09,8.34,8.03,8.26,8.14,0.12,1.47,387488.13,317342.1304
002092.SZ,20150107,8.27,8.33,8.11,8.19,8.26,-0.07,-0.85,279760.29,229878.06
002092.SZ,20150108,8.2,8.26,8.04,8.05,8.19,-0.14,-1.71,273943.92,222504.2592
002092.SZ,20150109,8.08,8.3,8.08,8.12,8.05,0.07,0.87,383674.6,314953.1596
002092.SZ,20150112,8.17,8.18,7.78,7.88,8.12,-0.24,-2.96,289371.05,231368.1161
002092.SZ,20150113,7.91,8.33,7.91,8.32,7.88,0.44,5.58,483143.58,395805.6433
002092.SZ,20150114,8.3,8.45,8.19,8.21,8.32,-0.11,-1.32,385643.16,320042.892
002092.SZ,20150115,8.24,8.28,8.09,8.27,8.21,0.06,0.73,301963.61,247352.2397
002092.SZ,20150116,8.28,8.52,8.21,8.46,8.27,0.19,2.3,469438.61,394403.7421
002092.SZ,20150119,8.19,8.49,7.85,7.99,8.46,-0.47,-5.56,522513.55,429450.68
002092.SZ,20150120,8.09,8.58,8.03,8.52,7.99,0.53,6.63,550126.5,456593.6858
002092.SZ,20150121,8.58,8.77,8.48,8.66,8.52,0.14,1.64,660927.16,571646.0187
002092.SZ,20150122,8.62,9.14,8.57,8.97,8.66,0.31,3.58,834036.98,741992.978
002092.SZ,20150123,8.99,9.03,8.72,8.79,8.97,-0.18,-2.01,515075.57,456229.5501
002092.SZ,20150126,8.82,9.25,8.82,9.18,8.79,0.39,4.44,534572.55,486141.386
002092.SZ,20150127,9.2,9.21,8.91,9.11,9.18,-0.07,-0.76,485195.86,439654.422
002092.SZ,20150128,9.02,9.05,8.83,8.84,9.11,-0.27,-2.96,429358.04,382197.0658
002092.SZ,20150129,8.78,8.95,8.74,8.78,8.84,-0.06,-0.68,298111.38,263796.4614
002092.SZ,20150130,8.92,8.99,8.75,8.76,8.78,-0.02,-0.23,267597.38,237206.4359
002092.SZ,20150202,8.7,8.75,8.56,8.65,8.76,-0.11,-1.26,189439.92,164121.056
002092.SZ,20150203,8.7,8.91,8.65,8.9,8.65,0.25,2.89,238682.78,209865.2504
002092.SZ,20150204,8.94,8.98,8.58,8.63,8.9,-0.27,-3.03,256960.2,225120.3886
002092.SZ,20150205,8.73,8.76,8.4,8.43,8.63,-0.2,-2.32,254975.45,219208.1624
002092.SZ,20150206,8.43,8.51,8.13,8.17,8.43,-0.26,-3.08,290103.17,240122.6425
002092.SZ,20150209,8.19,8.31,8.14,8.21,8.17,0.04,0.49,137819.67,113444.6835
002092.SZ,20150210,8.21,8.33,8.18,8.33,8.21,0.12,1.46,159903.22,132160.6953
002092.SZ,20150211,8.3,8.37,8.28,8.33,8.33,0.0,0.0,148078.91,123109.1144
002092.SZ,20150212,8.33,8.44,8.32,8.36,8.33,0.03,0.36,156970.23,131299.4971
002092.SZ,20150213,8.38,8.52,8.38,8.44,8.36,0.08,0.96,180762.21,152916.6019
002092.SZ,20150216,8.47,8.66,8.45,8.6,8.44,0.16,1.9,197946.4,169684.337
002092.SZ,20150217,8.63,8.65,8.51,8.57,8.6,-0.03,-0.35,192988.77,165195.663
002092.SZ,20150225,8.58,8.61,8.46,8.48,8.57,-0.09,-1.05,187040.75,159781.2604
002092.SZ,20150226,8.47,8.6,8.38,8.6,8.48,0.12,1.42,280678.92,237835.2816
002092.SZ,20150227,8.6,8.82,8.56,8.75,8.6,0.15,1.74,318845.48,277968.5621
002092.SZ,20150302,8.88,9.07,8.88,8.99,8.75,0.24,2.74,393176.94,352802.2404
002092.SZ,20150303,8.99,9.14,8.81,8.87,8.99,-0.12,-1.33,419080.37,377120.8513
002092.SZ,20150304,8.85,9.05,8.82,8.96,8.87,0.09,1.01,283536.94,254057.3032
002092.SZ,20150305,8.96,9.04,8.78,8.85,8.96,-0.11,-1.23,286969.0,254964.3814
002092.SZ,20150306,8.85,9.15,8.83,9.15,8.85,0.3,3.39,445706.23,401589.7339
002092.SZ,20150309,9.1,9.43,9.02,9.2,9.15,0.05,0.55,460162.07,426449.4784
