ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002114.SZ,20150105,14.19,15.61,14.0,15.39,14.19,1.2,8.46,97570.89,146502.5342
002114.SZ,20150106,14.95,15.2,14.66,15.0,15.39,-0.39,-2.53,55358.51,82827.7336
002114.SZ,20150107,15.0,15.48,14.9,15.09,15.0,0.09,0.6,38293.52,58151.5659
002114.SZ,20150108,15.08,15.08,14.61,14.66,15.09,-0.43,-2.85,33285.03,49212.5086
002114.SZ,20150109,14.63,14.76,14.5,14.5,14.66,-0.16,-1.09,27732.91,40505.5
002114.SZ,20150112,14.38,14.38,14.11,14.17,14.5,-0.33,-2.28,21202.11,30126.0266
002114.SZ,20150113,14.17,14.46,14.15,14.29,14.17,0.12,0.85,15451.3,22067.5476
002114.SZ,20150114,14.26,14.34,13.8,13.98,14.29,-0.31,-2.17,27870.98,39202.7892
002114.SZ,20150115,13.98,14.15,13.89,14.0,13.98,0.02,0.14,25627.76,35956.0707
002114.SZ,20150116,14.1,14.33,13.94,14.2,14.0,0.2,1.43,33095.61,46776.26
002114.SZ,20150119,14.0,14.18,13.4,13.88,14.2,-0.32,-2.25,38842.8,54108.0265
002114.SZ,20150120,13.85,14.34,13.78,14.29,13.88,0.41,2.95,33516.62,47525.0123
002114.SZ,20150121,14.27,15.0,14.27,14.85,14.29,0.56,3.92,57450.98,84759.6116
002114.SZ,20150122,14.96,16.34,14.95,16.34,14.85,1.49,10.03,143670.17,230348.8243
002114.SZ,20150123,17.0,17.04,15.9,16.01,16.34,-0.33,-2.02,195826.0,324239.3641
002114.SZ,20150126,15.73,16.84,15.72,16.4,16.01,0.39,2.44,101600.21,165816.8894
002114.SZ,20150127,16.31,16.94,16.18,16.45,16.4,0.05,0.3,82415.92,136060.5794
002114.SZ,20150128,16.13,16.29,15.83,16.04,16.45,-0.41,-2.49,57205.58,91851.5254
002114.SZ,20150129,15.95,16.36,15.74,16.04,16.04,0.0,0.0,43051.79,69208.9606
002114.SZ,20150130,15.9,16.11,15.65,15.65,16.04,-0.39,-2.43,35451.72,56150.0723
002114.SZ,20150202,15.4,15.9,15.15,15.64,15.65,-0.01,-0.06,24152.76,37552.3303
002114.SZ,20150203,15.74,15.9,15.55,15.7,15.64,0.06,0.38,23597.39,37122.856
002114.SZ,20150204,15.86,16.29,15.86,15.87,15.7,0.17,1.08,42389.53,68160.7208
002114.SZ,20150205,16.07,16.19,15.27,15.58,15.87,-0.29,-1.83,37140.25,58543.3639
002114.SZ,20150206,15.57,15.57,15.1,15.2,15.58,-0.38,-2.44,24900.45,38108.9998
002114.SZ,20150209,15.28,15.28,14.85,14.87,15.2,-0.33,-2.17,22064.94,33122.8896
002114.SZ,20150210,14.88,15.1,14.7,15.1,14.87,0.23,1.55,19743.03,29368.2142
002114.SZ,20150211,15.1,15.88,14.9,15.66,15.1,0.56,3.71,39102.26,60465.2901
002114.SZ,20150212,15.7,15.8,15.35,15.39,15.66,-0.27,-1.72,23529.24,36361.1014
002114.SZ,20150213,15.52,16.3,15.46,15.86,15.39,0.47,3.05,45461.61,72282.669
002114.SZ,20150216,15.89,16.06,15.68,15.96,15.86,0.1,0.63,31384.18,49848.2876
002114.SZ,20150217,16.0,16.72,15.76,16.43,15.96,0.47,2.94,65984.24,107985.4201
002114.SZ,20150225,16.2,16.38,15.88,16.0,16.43,-0.43,-2.62,36942.1,59450.2433
002114.SZ,20150226,15.88,16.47,15.8,16.37,16.0,0.37,2.31,61573.83,99718.7651
002114.SZ,20150227,16.27,16.81,16.11,16.46,16.37,0.09,0.55,71730.2,118146.6269
002114.SZ,20150302,16.58,17.25,16.5,17.0,16.46,0.54,3.28,90798.46,153368.3829
002114.SZ,20150303,16.89,17.65,16.63,17.09,17.0,0.09,0.53,122394.54,209872.782
002114.SZ,20150304,17.1,17.16,16.78,16.94,17.09,-0.15,-0.88,65466.45,110531.4101
002114.SZ,20150305,16.91,16.91,16.52,16.72,16.94,-0.22,-1.3,48481.5,80831.5787
002114.SZ,20150306,16.61,18.39,16.49,17.65,16.72,0.93,5.56,171655.5,302295.3547
002114.SZ,20150309,17.55,17.55,17.0,17.34,17.65,-0.31,-1.76,87639.58,150552.2989
002114.SZ,20150310,17.28,17.68,17.18,17.27,17.34,-0.07,-0.4,64168.07,111569.3316
002114.SZ,20150311,17.18,17.58,16.88,16.93,17.27,-0.34,-1.97,62606.09,107472.9047
002114.SZ,20150312,16.74,17.21,16.74,16.88,16.93,-0.05,-0.3,50806.92,86232.5926
002114.SZ,20150313,16.88,18.57,16.75,18.17,16.88,1.29,7.64,251458.4,460650.3089
002114.SZ,20150316,18.0,18.54,17.7,18.45,18.17,0.28,1.54,214127.48,390039.8591
002114.SZ,20150317,18.25,18.98,18.18,18.68,18.45,0.23,1.25,171990.73,319539.9792
002114.SZ,20150318,18.63,18.8,18.36,18.69,18.68,0.01,0.05,112192.16,208565.8591
002114.SZ,20150618,20.56,20.56,20.56,20.56,18.69,1.87,10.01,581.75,1196.078
002114.SZ,20150619,22.62,22.62,21.8,22.62,20.56,2.06,10.02,60556.19,136478.115
002114.SZ,20150623,23.9,24.88,23.0,24.88,22.62,2.26,9.99,88612.71,215103.2273
002114.SZ,20150624,26.8,27.37,23.5,24.19,24.88,-0.69,-2.77,332423.56,842763.1997
