ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002121.SZ,20150105,12.2,12.53,12.11,12.45,12.15,0.3,2.47,42782.61,52773.2443
002121.SZ,20150106,12.33,13.04,12.3,13.01,12.45,0.56,4.5,70567.18,89870.6427
002121.SZ,20150107,13.01,13.03,12.74,12.88,13.01,-0.13,-1.0,28522.68,36621.9274
002121.SZ,20150108,12.87,12.92,12.69,12.79,12.88,-0.09,-0.7,23703.65,30374.3965
002121.SZ,20150109,12.79,13.4,12.7,13.16,12.79,0.37,2.89,65219.62,85866.2663
002121.SZ,20150112,13.3,13.6,13.19,13.28,13.16,0.12,0.91,63190.18,84649.5011
002121.SZ,20150113,13.3,13.68,13.3,13.54,13.28,0.26,1.96,54300.95,73384.6718
002121.SZ,20150114,13.41,13.85,13.4,13.62,13.54,0.08,0.59,51351.33,70188.9996
002121.SZ,20150115,13.65,14.04,13.6,13.83,13.62,0.21,1.54,57581.72,79758.9822
002121.SZ,20150116,13.84,14.1,13.65,13.68,13.83,-0.15,-1.08,50326.88,69655.3127
002121.SZ,20150119,13.6,13.99,12.91,13.71,13.68,0.03,0.22,83094.41,113808.5689
002121.SZ,20150120,13.8,14.75,13.8,14.7,13.71,0.99,7.22,123569.2,178287.9729
002121.SZ,20150121,14.81,15.15,14.79,14.95,14.7,0.25,1.7,114363.83,171377.9331
002121.SZ,20150122,14.89,15.24,14.68,15.02,14.95,0.07,0.47,84648.11,127147.221
002121.SZ,20150123,14.99,15.39,14.94,15.09,15.02,0.07,0.47,80619.6,122165.9972
002121.SZ,20150126,15.3,16.28,15.3,16.2,15.09,1.11,7.36,156344.49,249785.7296
002121.SZ,20150127,16.15,16.15,15.74,15.94,16.2,-0.26,-1.6,92593.86,146722.0524
002121.SZ,20150128,15.94,16.3,15.6,15.66,15.94,-0.28,-1.76,97009.64,155227.4056
002121.SZ,20150129,15.66,16.05,15.5,15.52,15.66,-0.14,-0.89,55129.11,86559.6841
002121.SZ,20150130,15.52,15.77,14.92,15.24,15.52,-0.28,-1.8,62353.16,95207.4186
002121.SZ,20150202,15.1,15.26,14.75,15.0,15.24,-0.24,-1.57,45376.36,68154.5843
002121.SZ,20150203,15.07,15.38,15.0,15.3,15.0,0.3,2.0,49952.87,75749.0635
002121.SZ,20150204,15.5,16.07,15.5,15.81,15.3,0.51,3.33,94351.34,149943.6194
002121.SZ,20150205,15.78,16.01,15.61,15.68,15.81,-0.13,-0.82,51172.74,81102.7035
002121.SZ,20150206,15.6,15.79,15.0,15.21,15.68,-0.47,-3.0,63223.28,95819.6852
002121.SZ,20150209,15.11,15.53,14.84,14.88,15.21,-0.33,-2.17,42850.94,65068.8999
002121.SZ,20150210,14.88,15.13,14.53,15.1,14.88,0.22,1.48,49028.3,72566.2184
002121.SZ,20150211,14.98,15.33,14.98,15.1,15.1,0.0,0.0,39621.15,59853.2516
002121.SZ,20150212,15.15,15.73,15.05,15.7,15.1,0.6,3.97,55595.84,85673.8468
002121.SZ,20150213,15.85,16.16,15.8,15.89,15.7,0.19,1.21,68699.49,109691.7015
002121.SZ,20150216,15.96,16.21,15.91,16.04,15.89,0.15,0.94,103361.65,165629.1064
002121.SZ,20150217,16.25,17.09,16.04,16.78,16.04,0.74,4.61,108501.61,179892.3756
002121.SZ,20150225,16.78,16.97,16.09,16.21,16.78,-0.57,-3.4,86648.77,143343.6808
002121.SZ,20150226,16.21,16.5,16.09,16.24,16.21,0.03,0.19,65082.0,105893.8272
002121.SZ,20150227,16.18,17.05,16.1,17.02,16.24,0.78,4.8,111869.04,187632.5951
002121.SZ,20150302,17.41,18.38,17.41,18.27,17.02,1.25,7.34,140373.42,251388.6762
002121.SZ,20150303,18.28,18.62,17.65,17.75,18.27,-0.52,-2.85,162334.79,292534.8706
002121.SZ,20150304,17.75,18.09,17.45,17.97,17.75,0.22,1.24,79487.41,140938.8462
002121.SZ,20150305,17.87,18.22,17.68,17.88,17.97,-0.09,-0.5,66081.22,118509.6683
002121.SZ,20150306,18.1,18.75,17.71,17.72,17.88,-0.16,-0.89,84432.41,153321.3633
002121.SZ,20150309,17.54,17.88,17.1,17.88,17.72,0.16,0.9,89066.29,155390.0156
002121.SZ,20150310,17.88,18.72,17.71,18.32,17.88,0.44,2.46,119004.86,218910.776
002121.SZ,20150311,18.71,19.75,18.71,19.22,18.32,0.9,4.91,149330.9,287615.2671
002121.SZ,20150312,19.23,20.6,19.13,20.29,19.22,1.07,5.57,176481.9,356301.251
002121.SZ,20150313,20.17,21.14,19.82,20.31,20.29,0.02,0.1,98124.74,198816.1802
002121.SZ,20150316,20.41,21.76,20.41,21.19,20.31,0.88,4.33,111672.62,234816.3575
002121.SZ,20150317,21.2,21.36,20.3,20.64,21.19,-0.55,-2.6,130933.89,270525.3787
002121.SZ,20150318,20.6,21.1,20.2,20.72,20.64,0.08,0.39,94658.38,196388.2633
002121.SZ,20150319,20.71,20.71,20.16,20.41,20.72,-0.31,-1.5,99932.54,203546.0628
002121.SZ,20150320,20.5,20.84,20.39,20.84,20.41,0.43,2.11,76382.79,157467.4965
002121.SZ,20150323,20.88,22.92,20.88,22.92,20.84,2.08,9.98,181085.59,408482.9232
002121.SZ,20150324,23.4,24.99,22.33,24.23,22.92,1.31,5.72,208335.96,490551.2766
002121.SZ,20150325,24.23,26.65,23.81,26.65,24.23,2.42,9.99,349539.04,904388.6795
002121.SZ,20150326,26.66,28.98,25.3,27.33,26.65,0.68,2.55,299725.76,826498.484
002121.SZ,20150327,27.2,28.18,25.87,27.0,27.33,-0.33,-1.21,158215.22,428106.4754
002121.SZ,20150330,27.28,28.6,27.0,27.18,27.0,0.18,0.67,142217.16,394123.0225
002121.SZ,20150331,27.09,28.25,25.5,27.41,27.18,0.23,0.85,187268.83,503229.2147
002121.SZ,20150401,27.01,30.15,27.01,30.15,27.41,2.74,10.0,203982.4,595153.2267
002121.SZ,20150402,30.85,32.99,30.15,31.49,30.15,1.34,4.44,242729.54,757333.7336
002121.SZ,20150403,31.45,31.63,30.33,31.2,31.49,-0.29,-0.92,161541.99,501484.6635
002121.SZ,20150407,31.23,32.3,29.91,31.14,31.2,-0.06,-0.19,163734.94,505759.7722
002121.SZ,20150408,30.49,32.7,29.6,30.58,31.14,-0.56,-1.8,221755.13,683375.8488
002121.SZ,20150409,30.57,30.57,27.52,29.09,30.58,-1.49,-4.87,254314.41,720158.9242
002121.SZ,20150410,28.29,29.9,28.18,29.45,29.09,0.36,1.24,107275.35,314454.2134
002121.SZ,20150413,29.46,31.93,28.4,30.65,29.45,1.2,4.07,172103.51,521646.2137
002121.SZ,20150414,30.6,31.3,29.51,29.7,30.65,-0.95,-3.1,104412.76,316712.1878
002121.SZ,20150415,30.45,30.48,27.8,28.0,29.7,-1.7,-5.72,130430.6,372601.6845
002121.SZ,20150416,27.3,28.85,27.0,27.83,28.0,-0.17,-0.61,88041.77,246825.5269
002121.SZ,20150417,28.44,28.85,28.1,28.18,27.83,0.35,1.26,106529.61,302494.0791
002121.SZ,20150420,28.18,28.18,25.36,25.81,28.18,-2.37,-8.41,162600.0,435916.373
002121.SZ,20150421,25.72,27.28,25.72,27.17,25.81,1.36,5.27,119771.93,321837.0029
002121.SZ,20150422,27.38,29.18,27.38,28.45,27.17,1.28,4.71,149099.48,425282.4701
002121.SZ,20150423,28.81,29.8,28.6,28.75,28.45,0.3,1.05,150065.63,436239.9604
002121.SZ,20150424,28.91,30.63,28.9,29.52,28.75,0.77,2.68,245044.24,724506.8291
002121.SZ,20150427,30.0,30.3,28.21,28.79,29.52,-0.73,-2.47,227066.97,655139.5652
002121.SZ,20150428,28.33,28.33,25.91,26.14,28.79,-2.65,-9.2,267356.27,714560.0774
002121.SZ,20150429,26.14,26.8,25.15,26.4,26.14,0.26,0.99,93142.26,245886.1656
002121.SZ,20150430,26.4,26.82,25.85,26.15,26.4,-0.25,-0.95,125200.22,330418.4573
002121.SZ,20150504,27.1,27.5,26.8,26.96,26.15,0.81,3.1,178494.98,484348.6837
002121.SZ,20150505,27.0,27.0,26.15,26.17,26.96,-0.79,-2.93,109408.78,290450.8432
002121.SZ,20150526,28.79,28.79,28.79,28.79,26.17,2.62,10.01,1702.77,4902.2748
002121.SZ,20150527,31.67,31.67,31.67,31.67,28.79,2.88,10.0,1840.68,5829.4336
002121.SZ,20150528,34.84,34.84,34.84,34.84,31.67,3.17,10.01,18960.99,66060.0892
002121.SZ,20150529,38.32,38.32,38.32,38.32,34.84,3.48,9.99,45829.71,175619.4487
002121.SZ,20150601,42.15,42.15,41.06,42.15,38.32,3.83,9.99,213696.62,900144.2097
002121.SZ,20150602,44.0,44.25,40.0,41.6,42.15,-0.55,-1.3,573863.04,2368756.9389
002121.SZ,20150603,41.9,43.81,40.51,43.2,41.6,1.6,3.85,522739.88,2200125.7782
002121.SZ,20150604,43.2,45.25,38.88,41.95,43.2,-1.25,-2.89,447435.64,1863261.1677
002121.SZ,20150605,41.2,42.45,38.95,39.95,41.95,-2.0,-4.77,334649.54,1360477.2889
002121.SZ,20150608,39.91,41.28,38.1,38.5,39.95,-1.45,-3.63,225788.23,884906.6691
002121.SZ,20150609,38.6,39.61,38.2,38.83,38.5,0.33,0.86,184898.13,717762.505
002121.SZ,20150610,38.65,40.43,38.64,39.6,38.83,0.77,1.98,201253.32,799933.0823
002121.SZ,20150611,39.38,40.2,39.01,39.65,39.6,0.05,0.13,142886.56,565118.7316
002121.SZ,20150612,39.75,41.65,39.2,40.43,39.65,0.78,1.97,253174.91,1024929.9532
002121.SZ,20150615,40.4,41.28,37.8,38.1,40.43,-2.33,-5.76,213556.59,833746.7329
002121.SZ,20150616,37.45,37.45,34.9,36.3,38.1,-1.8,-4.72,173375.32,628212.4108
002121.SZ,20150617,36.6,37.61,34.95,37.3,36.3,1.0,2.75,134977.36,489830.8042
002121.SZ,20150618,37.28,37.28,35.0,35.2,37.3,-2.1,-5.63,105318.25,383213.0788
002121.SZ,20150619,34.4,34.93,31.68,31.7,35.2,-3.5,-9.94,116964.35,393498.783
002121.SZ,20150623,32.26,34.48,30.01,34.28,31.7,2.58,8.14,154710.43,507312.687
002121.SZ,20150624,35.0,36.67,34.44,35.29,34.28,1.01,2.95,182961.86,651300.2774
002121.SZ,20150625,36.5,36.5,32.1,33.1,35.29,-2.19,-6.21,141299.32,493183.4981
002121.SZ,20150626,32.0,32.5,29.79,29.79,33.1,-3.31,-10.0,153185.74,474995.1948
002121.SZ,20150629,30.5,30.99,26.81,27.3,29.79,-2.49,-8.36,246105.24,699580.8024
002121.SZ,20150630,27.41,30.03,27.41,30.03,27.3,2.73,10.0,284594.84,819580.5169
002121.SZ,20150701,30.9,32.99,28.9,30.36,30.03,0.33,1.1,304784.95,962121.5739
002121.SZ,20150702,30.9,31.48,27.4,27.92,30.36,-2.44,-8.04,218782.47,644196.1358
002121.SZ,20150703,26.45,29.97,25.13,26.2,27.92,-1.72,-6.16,237765.58,634739.2727
002121.SZ,20150706,28.82,28.82,25.5,27.7,26.2,1.5,5.73,344169.06,952848.8558
002121.SZ,20150707,26.0,27.3,24.93,24.93,27.7,-2.77,-10.0,146525.03,374006.8263
002121.SZ,20150713,27.42,27.42,27.42,27.42,24.93,2.49,9.99,11815.29,32397.5252
002121.SZ,20150714,30.16,30.16,30.16,30.16,27.42,2.74,9.99,20655.45,62296.8372
002121.SZ,20150715,30.97,30.97,27.14,27.14,30.16,-3.02,-10.01,231913.91,661675.1782
002121.SZ,20150716,26.0,28.25,24.54,27.93,27.14,0.79,2.91,221121.61,593536.5265
002121.SZ,20150717,27.96,29.95,27.72,29.3,27.9,1.4,5.02,218776.74,636513.1667
002121.SZ,20150720,29.18,31.25,28.89,30.11,29.3,0.81,2.76,267641.82,804758.8582
