ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002123.SZ,20150326,10.14,10.14,10.14,10.14,9.22,0.92,9.98,2072.92,2101.9409
002123.SZ,20150327,11.15,11.15,11.15,11.15,10.14,1.01,9.96,1882.29,2098.7534
002123.SZ,20150330,12.27,12.27,12.27,12.27,11.15,1.12,10.04,1712.1,2100.7467
002123.SZ,20150331,13.5,13.5,13.5,13.5,12.27,1.23,10.02,3620.92,4888.242
002123.SZ,20150401,14.85,14.85,14.85,14.85,13.5,1.35,10.0,9181.98,13635.2403
002123.SZ,20150402,16.34,16.34,16.34,16.34,14.85,1.49,10.03,10568.38,17268.7329
002123.SZ,20150403,17.97,17.97,17.97,17.97,16.34,1.63,9.98,13698.65,24616.4741
002123.SZ,20150407,19.77,19.77,19.77,19.77,17.97,1.8,10.02,47146.01,93207.6618
002123.SZ,20150408,21.5,21.5,20.15,20.33,19.77,0.56,2.83,1378995.56,2867193.0058
002123.SZ,20150409,20.48,20.73,19.11,20.27,20.33,-0.06,-0.3,655017.46,1318338.7111
002123.SZ,20150410,20.0,20.6,19.75,20.34,20.27,0.07,0.35,425224.95,862189.7558
002123.SZ,20150413,20.44,20.86,19.76,20.37,20.34,0.03,0.15,424408.78,861995.3353
002123.SZ,20150414,20.0,20.3,19.51,19.61,20.37,-0.76,-3.73,321954.78,638746.8243
002123.SZ,20150415,19.89,19.89,17.79,17.79,19.61,-1.82,-9.28,365312.58,691406.267
002123.SZ,20150416,17.46,18.31,17.16,17.7,17.79,-0.09,-0.51,278740.76,497250.26
002123.SZ,20150417,17.76,18.63,17.76,18.1,17.7,0.4,2.26,268361.67,487440.0935
002123.SZ,20150420,17.62,18.9,17.5,18.54,18.1,0.44,2.43,343419.29,623061.7678
002123.SZ,20150421,18.35,18.96,18.2,18.7,18.54,0.16,0.86,213772.17,397120.608
002123.SZ,20150422,18.72,20.32,18.61,19.64,18.7,0.94,5.03,364356.57,711388.0603
002123.SZ,20150423,19.62,19.9,19.21,19.46,19.64,-0.18,-0.92,267448.24,521461.1394
002123.SZ,20150424,19.39,19.4,18.3,18.67,19.46,-0.79,-4.06,248395.38,469689.5638
002123.SZ,20150427,19.2,19.28,18.35,18.6,18.67,-0.07,-0.37,173603.31,324695.7712
002123.SZ,20150428,18.62,19.28,18.47,18.98,18.6,0.38,2.04,237714.64,449287.9728
002123.SZ,20150429,18.9,18.9,18.36,18.71,18.98,-0.27,-1.42,166900.63,311498.5635
002123.SZ,20150430,18.71,19.31,18.62,18.65,18.71,-0.06,-0.32,174161.32,329918.4032
