ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002177.SZ,20150105,7.01,7.21,7.01,7.12,6.96,0.16,2.3,205779.15,146157.0597
002177.SZ,20150106,7.05,7.2,6.92,7.17,7.12,0.05,0.7,246451.09,174742.1448
002177.SZ,20150107,7.17,7.19,7.05,7.1,7.17,-0.07,-0.98,150779.58,107167.3057
002177.SZ,20150108,7.1,7.13,6.99,7.0,7.1,-0.1,-1.41,138672.24,97706.3055
002177.SZ,20150109,6.98,7.06,6.95,6.95,7.0,-0.05,-0.71,127878.02,89586.7322
002177.SZ,20150112,6.91,6.98,6.76,6.78,6.95,-0.17,-2.45,135056.15,92644.0042
002177.SZ,20150113,6.78,6.96,6.78,6.92,6.78,0.14,2.06,109449.85,75518.008
002177.SZ,20150114,6.9,6.97,6.81,6.83,6.92,-0.09,-1.3,89888.81,61854.6672
002177.SZ,20150115,6.79,6.92,6.79,6.88,6.83,0.05,0.73,88276.56,60596.368
002177.SZ,20150116,6.88,7.1,6.88,7.04,6.88,0.16,2.33,185345.34,129851.2185
002177.SZ,20150122,7.35,7.48,7.2,7.31,7.04,0.27,3.84,462558.13,338525.5271
002177.SZ,20150123,7.38,7.41,7.14,7.16,7.31,-0.15,-2.05,252761.49,182830.1361
002177.SZ,20150126,7.17,7.63,7.17,7.55,7.16,0.39,5.45,542128.73,404268.7465
002177.SZ,20150127,7.5,7.52,7.32,7.46,7.55,-0.09,-1.19,334827.8,248484.3242
002177.SZ,20150128,7.39,7.53,7.33,7.39,7.46,-0.07,-0.94,206388.92,153419.2574
002177.SZ,20150129,7.32,7.47,7.28,7.4,7.39,0.01,0.14,169108.81,124968.7807
002177.SZ,20150130,7.45,7.47,7.24,7.24,7.4,-0.16,-2.16,154216.89,113029.8395
002177.SZ,20150202,7.16,7.31,7.12,7.24,7.24,0.0,0.0,107830.5,77926.1222
002177.SZ,20150203,7.25,7.77,7.25,7.61,7.24,0.37,5.11,565054.65,426633.1095
002177.SZ,20150204,7.58,8.18,7.53,7.9,7.61,0.29,3.81,754750.45,591007.8624
002177.SZ,20150205,8.03,8.69,7.9,8.69,7.9,0.79,10.0,724335.27,604309.9624
002177.SZ,20150206,8.8,8.94,8.19,8.27,8.69,-0.42,-4.83,1029422.05,876182.2656
002177.SZ,20150209,8.2,8.42,7.88,7.97,8.27,-0.3,-3.63,515951.41,419433.0139
002177.SZ,20150210,7.92,8.23,7.89,8.23,7.97,0.26,3.26,405051.58,327402.0365
002177.SZ,20150211,8.22,8.74,8.17,8.33,8.23,0.1,1.22,565978.46,476081.0571
002177.SZ,20150212,8.37,8.55,8.15,8.24,8.33,-0.09,-1.08,446808.85,371680.2784
