ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002181.SZ,20150105,15.37,15.68,15.19,15.6,15.36,0.24,1.56,67254.49,103985.7709
002181.SZ,20150106,15.46,16.36,15.29,16.1,15.6,0.5,3.21,126577.84,198942.1085
002181.SZ,20150107,16.07,16.16,15.65,15.7,16.1,-0.4,-2.48,75732.68,120225.3457
002181.SZ,20150108,15.6,15.95,15.6,15.68,15.7,-0.02,-0.13,51306.53,80975.5534
002181.SZ,20150109,15.6,15.89,15.6,15.6,15.68,-0.08,-0.51,48897.66,77111.1028
002181.SZ,20150112,15.5,15.87,15.31,15.5,15.6,-0.1,-0.64,47478.21,73929.9116
002181.SZ,20150113,15.55,16.18,15.55,15.98,15.5,0.48,3.1,92035.06,146655.9528
002181.SZ,20150114,16.0,16.07,15.76,15.88,15.98,-0.1,-0.63,55597.69,88232.7634
002181.SZ,20150115,15.92,15.97,15.82,15.88,15.88,0.0,0.0,43656.77,69293.5527
002181.SZ,20150116,15.88,16.37,15.83,16.2,15.88,0.32,2.02,83394.56,134549.0343
002181.SZ,20150119,15.84,16.65,15.62,16.1,16.2,-0.1,-0.62,146766.75,239228.047
002181.SZ,20150120,16.15,17.08,16.15,16.98,16.1,0.88,5.47,179353.18,299037.4508
002181.SZ,20150121,17.13,17.46,16.8,17.46,16.98,0.48,2.83,246979.25,423322.778
002181.SZ,20150122,17.15,17.45,17.1,17.18,17.46,-0.28,-1.6,145707.58,250890.3346
002181.SZ,20150123,17.25,17.41,16.71,16.76,17.18,-0.42,-2.44,108356.94,184650.7119
002181.SZ,20150126,16.85,17.21,16.75,17.12,16.76,0.36,2.15,86040.27,146855.4173
002181.SZ,20150127,17.22,17.26,16.62,16.87,17.12,-0.25,-1.46,98907.52,167450.9661
002181.SZ,20150128,16.88,18.05,16.74,17.61,16.87,0.74,4.39,255331.48,448328.7881
002181.SZ,20150129,17.36,17.46,16.92,17.1,17.61,-0.51,-2.9,110716.4,189855.6427
002181.SZ,20150130,17.11,17.38,16.68,16.68,17.1,-0.42,-2.46,85603.16,145306.187
002181.SZ,20150202,16.4,16.54,16.02,16.05,16.68,-0.63,-3.78,77367.91,125297.548
002181.SZ,20150203,16.2,16.39,15.99,16.29,16.05,0.24,1.5,74221.89,120396.366
002181.SZ,20150204,16.29,16.3,16.04,16.11,16.29,-0.18,-1.11,72829.06,117432.4645
002181.SZ,20150205,16.6,17.72,16.39,17.72,16.11,1.61,9.99,270135.92,466982.2596
002181.SZ,20150206,17.94,18.08,17.09,17.31,17.72,-0.41,-2.31,290233.43,510555.2901
002181.SZ,20150209,17.21,17.49,16.82,16.92,17.31,-0.39,-2.25,110048.98,187752.2428
002181.SZ,20150210,16.77,17.45,16.69,17.39,16.92,0.47,2.78,123860.08,212795.2808
002181.SZ,20150211,17.3,17.5,17.05,17.22,17.39,-0.17,-0.98,98588.94,170135.3481
002181.SZ,20150212,17.24,17.97,17.21,17.77,17.22,0.55,3.19,202745.51,359751.4647
002181.SZ,20150213,17.77,18.33,17.4,18.05,17.77,0.28,1.58,233338.88,417723.766
002181.SZ,20150216,18.15,18.88,18.13,18.64,18.05,0.59,3.27,262254.09,487859.2122
002181.SZ,20150217,18.56,18.6,17.8,17.99,18.64,-0.65,-3.49,183470.89,332190.9576
002181.SZ,20150225,18.09,18.17,17.8,17.87,17.99,-0.12,-0.67,86324.66,155069.5172
002181.SZ,20150226,17.86,17.92,17.4,17.71,17.87,-0.16,-0.9,106275.12,187781.4992
002181.SZ,20150227,17.71,18.13,17.51,17.98,17.71,0.27,1.52,139350.45,249640.434
002181.SZ,20150302,18.01,18.14,17.72,18.12,17.98,0.14,0.78,159928.77,287032.6022
002181.SZ,20150303,18.19,18.42,17.83,17.85,18.12,-0.27,-1.49,183032.79,331732.8684
002181.SZ,20150304,17.82,18.6,17.79,18.4,17.85,0.55,3.08,212826.62,388866.5161
002181.SZ,20150305,18.68,18.85,18.11,18.29,18.4,-0.11,-0.6,176955.48,325907.7435
002181.SZ,20150306,18.29,18.47,17.66,17.66,18.29,-0.63,-3.44,115558.45,207194.9863
002181.SZ,20150309,17.71,18.08,17.52,17.95,17.66,0.29,1.64,79568.83,141947.7911
002181.SZ,20150310,17.95,18.5,17.95,18.25,17.95,0.3,1.67,139331.83,254957.5009
002181.SZ,20150311,18.25,18.86,17.94,18.62,18.25,0.37,2.03,248899.34,459625.1582
002181.SZ,20150312,19.29,20.48,18.8,19.75,18.62,1.13,6.07,597258.85,1189276.7326
002181.SZ,20150313,19.59,19.92,18.9,19.49,19.75,-0.26,-1.32,323133.19,624327.995
002181.SZ,20150316,19.51,20.48,19.35,20.35,19.49,0.86,4.41,387475.36,775430.5312
002181.SZ,20150317,20.42,20.78,19.94,20.23,20.35,-0.12,-0.59,308723.71,627680.0411
002181.SZ,20150318,20.05,20.77,19.87,20.37,20.23,0.14,0.69,251649.17,510319.132
002181.SZ,20150319,20.3,20.44,19.9,20.06,20.37,-0.31,-1.52,192804.95,387873.3805
002181.SZ,20150320,20.0,20.67,20.0,20.19,20.06,0.13,0.65,240890.08,488740.0622
002181.SZ,20150323,20.07,20.6,19.97,20.58,20.19,0.39,1.93,256036.82,519849.5313
002181.SZ,20150324,20.6,21.58,19.98,21.05,20.58,0.47,2.28,350204.37,733483.7087
002181.SZ,20150325,21.05,22.5,20.81,21.45,21.05,0.4,1.9,302442.31,652783.511
002181.SZ,20150326,21.45,21.77,20.49,20.72,21.45,-0.73,-3.4,232556.9,489737.0599
002181.SZ,20150327,20.72,21.18,20.59,20.8,20.72,0.08,0.39,128615.14,267523.2887
002181.SZ,20150330,20.75,21.15,20.45,20.7,20.8,-0.1,-0.48,168472.04,348787.7969
002181.SZ,20150331,20.76,20.95,20.39,20.46,20.7,-0.24,-1.16,160638.07,331837.1275
002181.SZ,20150401,20.5,20.99,20.34,20.97,20.46,0.51,2.49,169614.54,351597.1608
002181.SZ,20150402,20.9,22.51,20.71,22.26,20.97,1.29,6.15,405169.8,888157.4961
002181.SZ,20150403,21.85,22.75,21.71,22.39,22.26,0.13,0.58,283323.36,629523.1991
002181.SZ,20150407,22.1,23.91,21.72,23.32,22.39,0.93,4.15,325993.95,737629.5732
002181.SZ,20150408,23.86,24.9,22.63,23.86,23.32,0.54,2.32,308040.21,742621.9958
002181.SZ,20150409,24.2,26.25,23.3,26.25,23.86,2.39,10.02,423941.33,1049939.3703
002181.SZ,20150410,25.7,26.77,25.5,25.9,26.25,-0.35,-1.33,294098.01,767503.4561
002181.SZ,20150413,25.81,26.47,25.2,26.19,25.9,0.29,1.12,214628.82,553135.839
002181.SZ,20150414,26.0,26.19,24.71,25.09,26.19,-1.1,-4.2,199102.45,507428.1649
002181.SZ,20150415,25.0,25.01,23.61,23.65,25.09,-1.44,-5.74,159715.86,386167.2728
002181.SZ,20150416,23.4,24.22,23.11,23.9,23.65,0.25,1.06,127099.8,303018.0323
002181.SZ,20150417,23.92,24.7,23.68,23.85,23.9,-0.05,-0.21,165490.03,398497.076
002181.SZ,20150420,23.75,24.0,22.88,22.96,23.85,-0.89,-3.73,155347.73,363402.1297
002181.SZ,20150421,22.97,24.19,22.97,24.13,22.96,1.17,5.1,126896.42,300942.8555
002181.SZ,20150422,24.13,24.68,24.01,24.5,24.13,0.37,1.53,176621.33,430351.71
002181.SZ,20150423,24.66,24.71,24.0,24.66,24.5,0.16,0.65,180701.86,439796.6272
