ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002189.SZ,20150105,19.4,19.96,18.55,19.96,19.3,0.66,3.42,59525.3,113437.2899
002189.SZ,20150106,19.88,20.65,19.34,20.39,19.96,0.43,2.15,72597.88,145469.123
002189.SZ,20150107,20.03,20.39,19.63,20.02,20.39,-0.37,-1.81,42588.69,85107.7912
002189.SZ,20150108,19.62,20.78,19.6,20.3,20.02,0.28,1.4,67493.44,137176.9253
002189.SZ,20150109,20.1,22.33,20.1,22.33,20.3,2.03,10.0,199513.4,437759.5089
002189.SZ,20150112,22.09,23.78,21.48,23.3,22.33,0.97,4.34,243017.65,548226.9205
002189.SZ,20150113,23.0,23.5,22.81,23.02,23.3,-0.28,-1.2,106387.92,246354.7813
002189.SZ,20150114,23.03,23.05,21.41,21.88,23.02,-1.14,-4.95,108519.58,239050.2996
002189.SZ,20150115,21.6,22.28,21.45,21.73,21.88,-0.15,-0.69,53331.18,115844.4696
002189.SZ,20150116,21.68,22.36,21.43,22.3,21.73,0.57,2.62,81849.24,179942.8236
002189.SZ,20150119,21.65,22.79,21.0,21.35,22.3,-0.95,-4.26,82261.3,181507.6114
002189.SZ,20150120,21.54,23.49,21.2,23.49,21.35,2.14,10.02,148448.13,342159.9183
002189.SZ,20150121,24.1,25.5,23.84,25.0,23.49,1.51,6.43,235048.22,577432.0028
002189.SZ,20150122,24.5,26.1,24.3,25.87,25.0,0.87,3.48,158290.22,398751.7473
002189.SZ,20150123,25.5,25.88,24.88,24.9,25.87,-0.97,-3.75,101015.82,254932.7807
002189.SZ,20150126,24.6,25.49,24.6,25.04,24.9,0.14,0.56,71410.11,178914.2418
002189.SZ,20150127,24.99,26.46,24.7,26.03,25.04,0.99,3.95,124189.83,319819.7028
002189.SZ,20150128,25.97,27.45,25.66,26.33,26.03,0.3,1.15,121044.88,324106.5542
002189.SZ,20150129,25.75,26.19,24.88,25.24,26.33,-1.09,-4.14,71931.5,183075.1194
002189.SZ,20150130,25.4,25.6,24.0,24.15,25.24,-1.09,-4.32,69876.6,171710.3345
002189.SZ,20150202,23.7,24.8,23.37,24.57,24.15,0.42,1.74,55142.09,133580.6421
002189.SZ,20150203,24.62,24.98,24.47,24.61,24.57,0.04,0.16,52152.39,128956.9682
002189.SZ,20150204,24.63,25.6,24.48,25.21,24.61,0.6,2.44,74361.21,186815.1373
002189.SZ,20150205,25.16,26.48,24.81,25.46,25.21,0.25,0.99,111954.88,288843.9746
002189.SZ,20150206,25.48,26.07,23.8,24.0,25.46,-1.46,-5.73,77690.91,193796.5544
002189.SZ,20150209,23.86,24.28,22.4,22.7,24.0,-1.3,-5.42,58216.94,135082.6806
002189.SZ,20150210,22.5,23.3,21.61,22.99,22.7,0.29,1.28,59425.61,132821.4068
002189.SZ,20150211,22.99,23.75,22.75,22.99,22.99,0.0,0.0,43171.66,100517.3707
002189.SZ,20150212,23.0,23.7,21.94,22.29,22.99,-0.7,-3.04,75958.73,169834.2198
002189.SZ,20150213,22.32,22.76,22.1,22.76,22.29,0.47,2.11,73529.58,165260.4735
002189.SZ,20150216,23.0,24.0,22.83,23.97,22.76,1.21,5.32,73518.9,173116.3045
002189.SZ,20150217,24.04,24.2,23.37,23.5,23.97,-0.47,-1.96,48382.92,114171.1455
002189.SZ,20150225,23.72,25.39,23.38,24.84,23.5,1.34,5.7,94027.29,232428.5006
002189.SZ,20150226,25.05,25.84,24.6,25.11,24.84,0.27,1.09,72536.66,182560.1409
002189.SZ,20150227,25.11,25.5,24.8,25.04,25.11,-0.07,-0.28,53388.69,134050.618
002189.SZ,20150302,25.05,25.42,24.58,25.25,25.04,0.21,0.84,99765.94,249326.2569
002189.SZ,20150303,25.27,25.3,24.33,24.39,25.25,-0.86,-3.41,74471.37,184887.003
002189.SZ,20150304,24.36,24.9,24.22,24.82,24.39,0.43,1.76,44455.83,109774.2987
002189.SZ,20150305,25.0,25.15,24.23,24.47,24.82,-0.35,-1.41,59210.43,145537.5399
002189.SZ,20150306,24.64,26.22,24.6,25.82,24.47,1.35,5.52,161394.84,412094.2028
002189.SZ,20150309,25.5,27.06,24.91,26.71,25.82,0.89,3.45,137605.61,358590.8487
002189.SZ,20150310,26.7,27.42,26.2,26.45,26.71,-0.26,-0.97,117836.42,315063.5208
002189.SZ,20150311,26.45,27.69,25.6,27.69,26.45,1.24,4.69,154035.08,410669.5974
002189.SZ,20150312,27.58,29.48,27.28,28.96,27.69,1.27,4.59,194437.66,556880.3226
002189.SZ,20150313,28.9,29.5,28.3,28.97,28.96,0.01,0.03,85405.94,246163.8596
002189.SZ,20150316,29.2,30.25,28.52,29.1,28.97,0.13,0.45,130630.29,382335.5853
002189.SZ,20150317,29.64,29.64,27.74,28.37,29.1,-0.73,-2.51,112921.52,322406.7199
002189.SZ,20150318,28.37,28.98,27.81,28.8,28.37,0.43,1.52,84003.44,239099.474
