ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002216.SZ,20150105,19.39,20.21,19.2,19.92,19.41,0.51,2.63,32736.75,64716.4332
002216.SZ,20150106,19.89,20.27,19.51,20.11,19.92,0.19,0.95,47711.33,95390.9401
002216.SZ,20150107,19.99,20.54,19.85,19.99,20.11,-0.12,-0.6,31505.41,63679.5115
002216.SZ,20150108,20.0,20.24,19.8,20.11,19.99,0.12,0.6,23351.12,46754.6399
002216.SZ,20150109,20.05,20.42,19.98,19.99,20.11,-0.12,-0.6,28142.24,56761.0039
002216.SZ,20150112,19.9,19.9,19.22,19.35,19.99,-0.64,-3.2,25282.53,49291.025
002216.SZ,20150113,19.3,19.75,19.26,19.58,19.35,0.23,1.19,22513.23,43767.0174
002216.SZ,20150114,19.5,19.75,19.25,19.36,19.58,-0.22,-1.12,19928.87,38778.3443
002216.SZ,20150115,19.49,19.71,19.3,19.61,19.36,0.25,1.29,17484.48,34172.6552
002216.SZ,20150116,19.6,19.9,19.45,19.86,19.61,0.25,1.27,22093.34,43347.4748
002216.SZ,20150119,19.54,20.5,19.4,19.67,19.86,-0.19,-0.96,41813.97,83752.2443
002216.SZ,20150120,19.75,20.33,19.64,20.23,19.67,0.56,2.85,36056.82,72357.1267
002216.SZ,20150121,20.48,21.13,20.3,21.12,20.23,0.89,4.4,78018.13,162768.4528
002216.SZ,20150122,21.13,21.36,20.9,21.12,21.12,0.0,0.0,39791.41,83895.3341
002216.SZ,20150123,21.12,21.2,20.3,20.43,21.12,-0.69,-3.27,54120.41,111224.906
002216.SZ,20150126,20.55,21.29,20.15,21.28,20.43,0.85,4.16,89223.89,185590.8395
002216.SZ,20150127,21.2,22.22,21.07,21.66,21.28,0.38,1.79,95017.66,205742.6734
002216.SZ,20150128,21.31,22.39,21.31,21.89,21.66,0.23,1.06,85716.87,189955.2643
002216.SZ,20150129,22.0,22.3,21.42,21.74,21.89,-0.15,-0.69,43899.0,96428.291
002216.SZ,20150130,21.98,22.03,21.37,21.38,21.74,-0.36,-1.66,27519.89,59604.1776
002216.SZ,20150202,21.38,22.2,20.8,21.96,21.38,0.58,2.71,50215.12,108902.7177
002216.SZ,20150203,21.95,22.75,21.9,22.4,21.96,0.44,2.0,42647.98,95858.7098
002216.SZ,20150204,23.05,23.3,22.15,22.2,22.4,-0.2,-0.89,54159.03,123146.5327
002216.SZ,20150205,22.46,22.65,22.0,22.24,22.2,0.04,0.18,37897.18,84729.012
002216.SZ,20150206,22.26,22.3,21.32,21.4,22.24,-0.84,-3.78,38116.65,82366.3725
002216.SZ,20150209,21.4,21.66,20.91,21.4,21.4,0.0,0.0,29341.44,62347.2092
