ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002224.SZ,20150105,8.7,8.73,8.43,8.59,8.68,-0.09,-1.04,64292.61,54943.5003
002224.SZ,20150106,8.59,8.66,8.42,8.59,8.59,0.0,0.0,119551.47,101817.6702
002224.SZ,20150107,8.5,8.65,8.34,8.5,8.59,-0.09,-1.05,140506.99,118780.0371
002224.SZ,20150108,8.51,8.53,8.31,8.4,8.5,-0.1,-1.18,135958.89,114492.9395
002224.SZ,20150109,8.41,8.45,8.3,8.41,8.4,0.01,0.12,76301.41,64075.5828
002224.SZ,20150112,8.39,8.63,8.37,8.58,8.41,0.17,2.02,91481.86,78256.1641
002224.SZ,20150113,8.64,8.87,8.64,8.82,8.58,0.24,2.8,89590.74,78376.299
002224.SZ,20150114,8.81,8.91,8.59,8.72,8.82,-0.1,-1.13,85070.24,74666.1224
002224.SZ,20150115,8.75,8.89,8.68,8.79,8.72,0.07,0.8,66401.12,58163.5612
002224.SZ,20150116,8.8,9.27,8.8,9.2,8.79,0.41,4.66,164647.25,149170.3939
002224.SZ,20150119,9.16,9.36,8.8,8.93,9.2,-0.27,-2.93,160075.65,144846.795
002224.SZ,20150120,9.0,9.3,9.0,9.26,8.93,0.33,3.7,126191.49,116337.7054
002224.SZ,20150121,9.3,9.89,9.3,9.63,9.26,0.37,4.0,172802.27,166447.3738
002224.SZ,20150122,9.68,9.9,9.6,9.71,9.63,0.08,0.83,110768.86,107761.1909
002224.SZ,20150123,9.88,9.97,9.34,9.95,9.71,0.24,2.47,183943.9,177232.2777
002224.SZ,20150126,9.9,9.95,9.68,9.79,9.95,-0.16,-1.61,135155.72,132140.2648
002224.SZ,20150127,9.87,9.92,9.54,9.75,9.79,-0.04,-0.41,116248.19,112905.4888
002224.SZ,20150128,9.71,9.71,9.45,9.52,9.75,-0.23,-2.36,80870.32,77034.8763
002224.SZ,20150129,9.51,9.51,9.37,9.44,9.52,-0.08,-0.84,61393.79,57889.6243
002224.SZ,20150130,9.46,9.59,9.39,9.43,9.44,-0.01,-0.11,72407.89,68348.5088
002224.SZ,20150202,9.42,9.6,9.37,9.55,9.43,0.12,1.27,60279.74,57289.6349
002224.SZ,20150203,9.58,9.79,9.58,9.71,9.55,0.16,1.68,48765.0,47374.8548
002224.SZ,20150204,9.73,9.94,9.6,9.7,9.71,-0.01,-0.1,60464.34,59158.5873
002224.SZ,20150205,9.73,9.93,9.48,9.77,9.7,0.07,0.72,125881.01,122142.5388
002224.SZ,20150206,9.77,9.82,9.64,9.71,9.77,-0.06,-0.61,46963.6,45525.366
002224.SZ,20150209,9.72,9.78,9.62,9.71,9.71,0.0,0.0,42892.34,41645.3538
002224.SZ,20150210,9.71,9.77,9.64,9.71,9.71,0.0,0.0,34630.34,33603.2835
002224.SZ,20150211,9.7,9.95,9.7,9.92,9.71,0.21,2.16,70057.29,69057.8785
002224.SZ,20150212,9.92,10.1,9.9,10.03,9.92,0.11,1.11,71395.38,71586.5255
002224.SZ,20150213,10.06,10.24,10.03,10.19,10.03,0.16,1.6,74203.24,75488.6171
002224.SZ,20150216,10.23,10.35,10.19,10.28,10.19,0.09,0.88,62481.8,64246.838
002224.SZ,20150217,10.28,10.47,10.23,10.28,10.28,0.0,0.0,80455.2,83140.1984
002224.SZ,20150225,10.34,10.34,9.98,10.01,10.28,-0.27,-2.63,59258.0,59729.3029
002224.SZ,20150226,10.03,10.34,10.02,10.22,10.01,0.21,2.1,52232.4,53280.4401
002224.SZ,20150227,10.22,10.82,10.22,10.54,10.22,0.32,3.13,88142.8,93387.7329
002224.SZ,20150302,10.64,11.58,10.64,10.95,10.54,0.41,3.89,103281.57,112711.8961
002224.SZ,20150303,10.63,11.09,10.63,10.98,10.95,0.03,0.27,110989.31,121484.8267
002224.SZ,20150304,11.0,11.11,10.75,10.96,10.98,-0.02,-0.18,80281.37,87571.2029
002224.SZ,20150305,10.97,11.35,10.8,11.25,10.96,0.29,2.65,129857.56,144021.1627
002224.SZ,20150306,11.3,11.69,11.3,11.44,11.25,0.19,1.69,113776.28,130382.9146
002224.SZ,20150309,11.46,11.52,11.24,11.44,11.44,0.0,0.0,84966.62,96968.1533
002224.SZ,20150310,11.46,11.75,11.26,11.33,11.44,-0.11,-0.96,72642.22,82705.2483
002224.SZ,20150311,11.33,11.34,11.07,11.08,11.33,-0.25,-2.21,63712.7,70983.2206
002224.SZ,20150312,11.1,12.1,11.1,11.75,11.08,0.67,6.05,176547.55,207287.7836
002224.SZ,20150313,11.85,11.85,11.56,11.77,11.75,0.02,0.17,73364.97,85736.8938
002224.SZ,20150316,11.77,11.98,11.77,11.84,11.77,0.07,0.59,67059.02,79568.11
002224.SZ,20150317,11.84,12.14,11.77,11.88,11.84,0.04,0.34,74384.81,88848.75
002224.SZ,20150318,11.85,11.98,11.67,11.81,11.88,-0.07,-0.59,73707.75,86442.4124
002224.SZ,20150319,11.76,11.77,11.6,11.67,11.81,-0.14,-1.19,98313.32,114508.1572
002224.SZ,20150320,11.75,11.95,11.66,11.85,11.67,0.18,1.54,114380.22,135413.1009
002224.SZ,20150323,12.04,12.22,11.82,12.0,11.85,0.15,1.27,122928.33,147242.8317
002224.SZ,20150324,12.01,12.04,11.39,11.99,12.0,-0.01,-0.08,130587.13,153348.0373
002224.SZ,20150325,11.98,12.0,11.73,11.84,11.99,-0.15,-1.25,83098.07,98232.8798
002224.SZ,20150326,11.85,12.05,11.68,11.88,11.84,0.04,0.34,111775.34,132389.3042
002224.SZ,20150327,11.8,11.95,11.64,11.81,11.88,-0.07,-0.59,89036.94,104839.3536
002224.SZ,20150330,11.87,12.06,11.74,11.8,11.81,-0.01,-0.08,96916.44,114688.6704
002224.SZ,20150331,11.85,12.13,11.69,12.07,11.8,0.27,2.29,178401.52,212942.2589
002224.SZ,20150401,12.06,13.28,12.05,13.28,12.07,1.21,10.02,245285.58,314889.6881
002224.SZ,20150402,13.75,14.58,13.51,14.48,13.28,1.2,9.04,304085.63,429345.5194
002224.SZ,20150403,14.6,14.61,14.05,14.4,14.48,-0.08,-0.55,204281.51,292204.3689
002224.SZ,20150407,14.39,15.81,14.03,15.79,14.4,1.39,9.65,232913.64,342842.2647
002224.SZ,20150408,15.71,16.05,15.13,15.6,15.79,-0.19,-1.2,180856.01,280244.6052
002224.SZ,20150409,15.65,15.98,14.81,15.66,15.6,0.06,0.38,149159.45,229677.0011
002224.SZ,20150410,15.6,15.77,15.2,15.61,15.66,-0.05,-0.32,168775.64,260429.0707
002224.SZ,20150413,15.58,16.8,15.36,16.37,15.61,0.76,4.87,208148.12,329144.1312
002224.SZ,20150414,16.38,17.38,16.18,17.11,16.37,0.74,4.52,170644.83,289037.4728
002224.SZ,20150415,17.5,17.5,16.39,16.84,17.11,-0.27,-1.58,133563.63,226467.5455
002224.SZ,20150416,16.84,18.52,16.51,18.17,16.84,1.33,7.9,233573.47,406374.7049
002224.SZ,20150417,18.3,18.68,17.76,17.84,18.17,-0.33,-1.82,158025.36,285521.1818
002224.SZ,20150420,17.84,18.25,17.4,17.65,17.84,-0.19,-1.07,145950.52,258289.6567
002224.SZ,20150421,17.7,18.1,17.48,17.94,17.65,0.29,1.64,139607.2,247781.6577
002224.SZ,20150422,18.2,18.99,18.03,18.68,17.94,0.74,4.12,151581.34,278801.7533
002224.SZ,20150423,18.68,18.87,18.2,18.37,18.68,-0.31,-1.66,120386.77,221726.9671
002224.SZ,20150424,18.48,18.48,17.65,17.86,18.37,-0.51,-2.78,117693.82,211445.2156
002224.SZ,20150427,18.1,18.64,17.55,17.65,17.86,-0.21,-1.18,109436.26,195578.5578
002224.SZ,20150428,17.79,18.06,17.32,17.68,17.65,0.03,0.17,112020.1,198136.3591
002224.SZ,20150429,17.75,17.95,17.0,17.79,17.68,0.11,0.62,143036.89,248443.4454
002224.SZ,20150430,17.8,18.1,17.57,17.79,17.79,0.0,0.0,120542.06,214463.853
002224.SZ,20150504,17.81,17.94,17.2,17.3,17.79,-0.49,-2.75,116827.8,204360.2284
002224.SZ,20150505,17.33,17.5,16.41,16.87,17.3,-0.43,-2.49,133866.5,227450.6676
002224.SZ,20150506,16.97,17.19,16.75,16.88,16.87,0.01,0.06,73265.81,124364.7454
002224.SZ,20150507,16.9,17.04,16.47,16.8,16.88,-0.08,-0.47,49530.96,82780.5249
002224.SZ,20150508,16.85,17.25,16.8,17.17,16.8,0.37,2.2,111597.45,190024.1316
002224.SZ,20150511,17.32,18.7,17.13,18.36,17.17,1.19,6.93,203804.04,360453.9859
002224.SZ,20150512,18.68,19.98,18.3,19.67,18.36,1.31,7.14,193915.09,369700.5571
002224.SZ,20150513,19.7,19.9,19.19,19.33,19.67,-0.34,-1.73,131595.65,256247.6197
002224.SZ,20150514,19.36,19.73,18.86,19.04,19.33,-0.29,-1.5,113277.48,217343.4693
002224.SZ,20150515,19.09,19.16,18.36,18.39,19.04,-0.65,-3.41,87089.76,162486.5624
002224.SZ,20150518,18.38,18.78,18.1,18.39,18.39,0.0,0.0,81666.07,150469.3335
002224.SZ,20150519,18.48,19.14,18.04,19.0,18.39,0.61,3.32,164201.59,304984.4369
002224.SZ,20150520,19.06,19.91,18.4,18.52,19.0,-0.48,-2.53,248548.22,476524.7039
002224.SZ,20150521,18.53,18.89,17.95,18.49,18.52,-0.03,-0.16,207793.77,381863.5083
002224.SZ,20150522,18.57,18.77,18.3,18.48,18.49,-0.01,-0.05,169857.46,314429.1159
002224.SZ,20150525,18.5,19.99,18.3,19.85,18.48,1.37,7.41,291327.43,562202.0079
002224.SZ,20150526,19.91,20.49,19.55,20.13,19.85,0.28,1.41,241646.13,483884.5122
002224.SZ,20150527,20.17,20.39,19.25,19.45,20.13,-0.68,-3.38,250205.82,488699.6732
002224.SZ,20150528,19.38,19.39,18.01,18.14,19.45,-1.31,-6.74,251446.91,471466.2526
002224.SZ,20150529,18.08,18.6,17.03,18.3,18.14,0.16,0.88,171521.58,310658.4979
002224.SZ,20150601,18.32,19.0,18.25,18.72,18.3,0.42,2.3,143894.31,268829.2716
002224.SZ,20150602,18.85,19.13,18.4,19.08,18.72,0.36,1.92,177594.76,333848.5051
002224.SZ,20150603,19.11,19.32,18.71,19.13,19.08,0.05,0.26,237420.86,452036.1326
002224.SZ,20150604,19.13,20.43,18.55,20.32,19.13,1.19,6.22,312567.09,608359.6439
002224.SZ,20150605,20.58,20.98,19.35,19.98,20.32,-0.34,-1.67,482394.2,966950.2029
002224.SZ,20150608,19.9,19.9,18.94,19.1,19.98,-0.88,-4.4,262707.38,505404.24
002224.SZ,20150609,19.11,19.48,18.75,19.14,19.1,0.04,0.21,155381.96,296566.8683
002224.SZ,20150610,19.18,19.47,19.0,19.29,19.14,0.15,0.78,169848.08,328259.1666
002224.SZ,20150611,19.32,19.5,18.88,19.32,19.29,0.03,0.16,190018.37,363425.4976
002224.SZ,20150612,19.4,19.7,19.29,19.63,19.32,0.31,1.6,286594.06,559845.0366
002224.SZ,20150615,19.7,21.58,19.66,21.05,19.63,1.42,7.23,578642.0,1209924.6638
002224.SZ,20150616,21.53,22.55,20.63,21.69,20.95,0.74,3.53,504528.95,1087306.3801
002224.SZ,20150617,21.71,22.4,20.0,21.68,21.69,-0.01,-0.05,350215.1,741934.5593
002224.SZ,20150618,21.77,22.22,21.22,21.64,21.68,-0.04,-0.18,349480.91,758387.5583
002224.SZ,20150619,21.3,21.3,19.48,19.87,21.64,-1.77,-8.18,241433.5,484294.9087
002224.SZ,20150623,19.76,19.86,17.92,19.29,19.87,-0.58,-2.92,195549.03,369534.1276
002224.SZ,20150624,19.32,19.75,18.7,19.29,19.29,0.0,0.0,188036.56,359395.7813
002224.SZ,20150625,19.32,19.49,18.0,18.18,19.29,-1.11,-5.75,162056.15,303906.4479
