ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002234.SZ,20150105,8.67,8.84,8.58,8.78,8.7,0.08,0.92,35385.62,30880.6944
002234.SZ,20150106,8.71,9.02,8.66,8.96,8.78,0.18,2.05,34557.82,30670.781
002234.SZ,20150107,8.92,9.15,8.91,9.01,8.96,0.05,0.56,33560.73,30356.9184
002234.SZ,20150108,9.02,9.17,9.02,9.05,9.01,0.04,0.44,30401.54,27655.5685
002234.SZ,20150109,9.01,9.18,9.01,9.1,9.05,0.05,0.55,30294.88,27663.3921
002234.SZ,20150112,9.04,9.04,8.85,8.9,9.1,-0.2,-2.2,25674.06,22898.5369
002234.SZ,20150113,8.93,9.08,8.83,9.03,8.9,0.13,1.46,25118.14,22506.1234
002234.SZ,20150114,9.04,9.35,8.96,9.26,9.03,0.23,2.55,56291.84,51802.2703
002234.SZ,20150115,9.24,9.37,9.15,9.23,9.26,-0.03,-0.32,44049.62,40835.7699
002234.SZ,20150116,9.21,9.41,9.19,9.36,9.23,0.13,1.41,28858.74,26938.9976
002234.SZ,20150119,9.2,9.41,8.9,9.11,9.36,-0.25,-2.67,43200.29,39738.8914
002234.SZ,20150120,9.09,9.36,9.09,9.36,9.11,0.25,2.74,35895.97,33175.6136
002234.SZ,20150121,9.38,9.52,9.33,9.5,9.36,0.14,1.5,39847.73,37614.0948
002234.SZ,20150122,9.5,9.61,9.43,9.58,9.5,0.08,0.84,29419.03,28063.6599
002234.SZ,20150123,9.58,9.63,9.31,9.39,9.58,-0.19,-1.98,42342.47,40192.7939
002234.SZ,20150126,9.35,9.65,9.35,9.58,9.39,0.19,2.02,47272.2,45061.9071
002234.SZ,20150127,9.58,9.85,9.56,9.65,9.58,0.07,0.73,64138.5,62062.825
002234.SZ,20150128,9.67,9.94,9.61,9.81,9.65,0.16,1.66,56658.41,55477.369
002234.SZ,20150129,9.8,9.89,9.65,9.69,9.81,-0.12,-1.22,36017.82,35050.1168
002234.SZ,20150130,9.7,9.83,9.66,9.78,9.69,0.09,0.93,29972.09,29175.2178
002234.SZ,20150202,9.84,10.12,9.75,9.77,9.78,-0.01,-0.1,54842.54,54473.632
002234.SZ,20150203,9.72,9.88,9.65,9.85,9.77,0.08,0.82,31661.49,30842.2241
002234.SZ,20150204,9.9,9.9,9.75,9.76,9.85,-0.09,-0.91,18944.58,18560.2352
002234.SZ,20150205,9.84,9.85,9.59,9.6,9.76,-0.16,-1.64,24644.01,23902.4909
002234.SZ,20150206,9.58,9.65,9.38,9.41,9.6,-0.19,-1.98,23668.62,22506.0792
002234.SZ,20150209,9.32,9.53,9.31,9.49,9.41,0.08,0.85,17343.16,16419.4251
002234.SZ,20150210,9.48,9.74,9.38,9.72,9.49,0.23,2.42,27949.3,26892.9153
002234.SZ,20150211,9.72,9.88,9.72,9.73,9.72,0.01,0.1,23339.02,22835.0618
002234.SZ,20150212,9.74,9.79,9.66,9.79,9.73,0.06,0.62,15593.55,15162.9425
002234.SZ,20150213,9.8,10.04,9.8,9.95,9.79,0.16,1.63,42468.19,42254.6641
