ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002261.SZ,20150105,17.1,17.28,16.73,17.19,16.79,0.4,2.38,51846.47,88313.5193
002261.SZ,20150106,17.0,18.18,17.0,18.08,17.19,0.89,5.18,100644.03,178714.8129
002261.SZ,20150107,18.19,18.19,17.81,17.91,18.08,-0.17,-0.94,56038.32,100692.3383
002261.SZ,20150108,17.91,18.23,17.83,17.95,17.91,0.04,0.22,65675.27,118813.843
002261.SZ,20150109,18.13,18.48,17.95,18.2,17.95,0.25,1.39,89938.18,164134.9206
002261.SZ,20150420,20.02,20.02,20.02,20.02,18.2,1.82,10.0,709.29,1419.9986
002261.SZ,20150421,22.02,22.02,22.02,22.02,20.02,2.0,9.99,3387.62,7459.5392
002261.SZ,20150422,24.22,24.22,24.22,24.22,22.02,2.2,9.99,2898.65,7020.5303
002261.SZ,20150423,26.64,26.64,26.64,26.64,24.22,2.42,9.99,2447.85,6521.0724
002261.SZ,20150424,29.3,29.3,29.3,29.3,26.64,2.66,9.99,9523.52,27903.9136
002261.SZ,20150427,32.23,32.23,32.23,32.23,29.3,2.93,10.0,6825.28,21997.8774
002261.SZ,20150428,35.45,35.45,35.45,35.45,32.23,3.22,9.99,12904.15,45745.2118
002261.SZ,20150429,39.0,39.0,36.51,39.0,35.45,3.55,10.01,615705.5,2372255.4786
002261.SZ,20150430,41.0,42.9,40.58,42.9,39.0,3.9,10.0,179195.86,750609.6346
002261.SZ,20150504,47.19,47.19,46.01,47.19,42.9,4.29,10.0,310472.93,1463167.2474
002261.SZ,20150505,46.7,46.85,43.63,44.6,47.19,-2.59,-5.49,449446.29,2015024.6956
002261.SZ,20150506,40.14,43.5,40.14,40.14,44.6,-4.46,-10.0,506837.72,2074129.3005
002261.SZ,20150507,38.22,41.24,37.49,40.15,40.14,0.01,0.02,380724.22,1486643.7429
002261.SZ,20150508,41.0,42.65,40.0,41.07,40.15,0.92,2.29,314578.4,1296807.8233
002261.SZ,20150511,40.04,45.18,39.86,45.18,41.07,4.11,10.01,418847.1,1808085.6093
002261.SZ,20150512,47.0,49.7,46.5,49.7,45.18,4.52,10.0,453187.14,2215341.9103
002261.SZ,20150513,49.3,54.67,48.5,54.67,49.7,4.97,10.0,364914.41,1928103.757
002261.SZ,20150514,57.0,60.13,51.8,51.98,54.67,-2.69,-4.92,574722.74,3255613.5062
002261.SZ,20150515,50.06,57.18,49.01,57.18,51.98,5.2,10.0,411744.47,2236880.6624
002261.SZ,20150518,58.0,62.9,57.26,62.9,57.18,5.72,10.0,363277.7,2243595.6071
002261.SZ,20150519,65.0,68.9,61.5,67.7,62.9,4.8,7.63,427263.37,2794434.685
002261.SZ,20150520,67.87,70.0,65.01,65.57,67.7,-2.13,-3.15,325822.26,2202646.5233
002261.SZ,20150521,64.0,70.0,63.52,66.6,65.57,1.03,1.57,289182.53,1937825.2046
002261.SZ,20150522,66.67,68.0,61.0,63.13,66.6,-3.47,-5.21,335432.95,2138085.9326
002261.SZ,20150525,61.06,65.97,59.85,63.3,63.13,0.17,0.27,237325.18,1487241.7873
002261.SZ,20150526,63.1,65.0,62.0,63.92,63.25,0.67,1.06,205201.19,1310863.0088
