ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002269.SZ,20150105,10.81,11.61,10.8,11.25,10.55,0.7,6.64,289058.52,325517.417
002269.SZ,20150106,11.04,11.32,10.92,11.28,11.25,0.03,0.27,169232.82,187578.6823
002269.SZ,20150107,11.19,11.4,11.14,11.24,11.28,-0.04,-0.35,110516.78,124227.7183
002269.SZ,20150108,11.25,11.56,11.2,11.2,11.24,-0.04,-0.36,131967.15,149593.2958
002269.SZ,20150109,11.3,11.37,11.14,11.19,11.2,-0.01,-0.09,109158.21,122878.782
002269.SZ,20150112,11.2,11.29,10.77,10.9,11.19,-0.29,-2.59,103362.1,113578.889
002269.SZ,20150113,10.9,11.11,10.85,11.05,10.9,0.15,1.38,69219.04,76094.0061
002269.SZ,20150114,11.05,11.25,11.03,11.15,11.05,0.1,0.91,83911.08,93439.8365
002269.SZ,20150115,11.17,11.28,11.13,11.17,11.15,0.02,0.18,63170.51,70673.6919
002269.SZ,20150116,11.18,11.33,11.05,11.24,11.17,0.07,0.63,76532.52,85710.2542
002269.SZ,20150119,10.85,11.19,10.64,10.8,11.24,-0.44,-3.91,115345.97,126145.6853
002269.SZ,20150120,10.8,11.1,10.8,11.09,10.8,0.29,2.69,94068.11,103473.7244
002269.SZ,20150121,11.11,11.42,11.11,11.4,11.09,0.31,2.8,137208.24,154984.8381
002269.SZ,20150122,11.41,11.66,11.33,11.57,11.4,0.17,1.49,144760.43,166473.4173
002269.SZ,20150123,11.57,11.78,11.46,11.78,11.57,0.21,1.82,150950.31,175226.0704
002269.SZ,20150126,11.76,12.26,11.71,12.09,11.78,0.31,2.63,198872.78,239191.4775
002269.SZ,20150127,12.0,12.32,11.77,12.25,12.09,0.16,1.32,184848.61,223030.1112
002269.SZ,20150128,12.18,12.36,11.95,12.28,12.25,0.03,0.24,179602.19,217702.2587
002269.SZ,20150129,12.4,12.4,11.86,11.9,12.28,-0.38,-3.09,196852.91,237328.761
002269.SZ,20150130,11.9,11.99,11.71,11.82,11.9,-0.08,-0.67,107971.62,128042.8506
002269.SZ,20150202,11.61,11.95,11.55,11.85,11.82,0.03,0.25,79256.38,93711.012
002269.SZ,20150203,11.85,12.0,11.77,11.95,11.85,0.1,0.84,94761.31,112663.0957
002269.SZ,20150204,11.9,12.12,11.72,11.72,11.95,-0.23,-1.92,87476.15,104370.6428
002269.SZ,20150205,11.89,11.92,11.61,11.62,11.72,-0.1,-0.85,87746.77,103102.1562
002269.SZ,20150206,11.62,11.78,11.44,11.48,11.62,-0.14,-1.2,93637.31,108966.5553
002269.SZ,20150209,11.4,11.54,11.3,11.4,11.48,-0.08,-0.7,60253.71,68717.9492
002269.SZ,20150210,11.38,11.5,11.35,11.49,11.4,0.09,0.79,57411.31,65494.7922
002269.SZ,20150211,11.49,11.85,11.48,11.82,11.49,0.33,2.87,96617.12,112532.2456
002269.SZ,20150212,11.8,11.93,11.75,11.77,11.82,-0.05,-0.42,75206.17,89065.9833
002269.SZ,20150213,11.84,12.08,11.8,11.9,11.77,0.13,1.1,110814.37,132582.091
002269.SZ,20150216,11.8,12.28,11.79,12.14,11.9,0.24,2.02,144934.21,174090.53
002269.SZ,20150217,12.08,12.19,12.01,12.05,12.14,-0.09,-0.74,95179.43,115099.0218
002269.SZ,20150225,12.05,12.31,11.97,12.02,12.05,-0.03,-0.25,131647.25,160089.9565
002269.SZ,20150226,12.02,12.19,11.96,12.19,12.02,0.17,1.41,93289.56,112721.2303
002269.SZ,20150227,12.19,12.19,11.99,12.15,12.19,-0.04,-0.33,97616.15,117990.441
002269.SZ,20150302,12.17,12.48,12.05,12.42,12.15,0.27,2.22,171704.25,210878.4427
002269.SZ,20150303,12.38,12.81,12.32,12.6,12.42,0.18,1.45,240804.79,303410.1353
002269.SZ,20150304,12.61,12.77,12.49,12.73,12.6,0.13,1.03,147864.31,186813.0066
002269.SZ,20150305,12.68,13.72,12.62,13.45,12.73,0.72,5.66,316828.17,421035.2091
002269.SZ,20150306,13.43,13.84,13.17,13.5,13.45,0.05,0.37,224862.7,302898.0104
002269.SZ,20150309,13.45,14.45,13.35,13.94,13.5,0.44,3.26,255496.46,357548.3441
002269.SZ,20150310,14.17,14.37,13.78,14.06,13.94,0.12,0.86,188947.06,265537.6193
002269.SZ,20150311,13.96,14.23,13.85,13.98,14.06,-0.08,-0.57,154840.4,216990.7383
002269.SZ,20150312,13.96,14.5,13.39,13.45,13.98,-0.53,-3.79,264324.57,368334.4412
002269.SZ,20150313,13.52,13.74,13.21,13.67,13.45,0.22,1.64,163492.51,221333.7875
002269.SZ,20150316,13.79,14.26,13.75,14.25,13.67,0.58,4.24,192211.62,270821.1923
002269.SZ,20150317,14.3,14.49,13.95,14.11,14.25,-0.14,-0.98,207623.39,293892.6296
002269.SZ,20150318,14.15,14.91,14.05,14.77,14.11,0.66,4.68,244325.53,352084.7644
002269.SZ,20150319,14.82,15.44,14.6,15.24,14.77,0.47,3.18,223114.1,336825.3173
002269.SZ,20150320,15.2,15.38,15.0,15.13,15.24,-0.11,-0.72,164327.66,248841.6988
002269.SZ,20150323,15.15,15.86,15.01,15.67,15.13,0.54,3.57,256554.22,397601.9334
002269.SZ,20150324,15.8,16.08,15.18,15.95,15.67,0.28,1.79,292132.82,458825.8069
002269.SZ,20150325,16.0,16.16,15.7,15.9,15.95,-0.05,-0.31,239102.64,379171.3208
002269.SZ,20150326,15.8,17.23,15.68,16.8,15.9,0.9,5.66,382865.0,632163.3393
002269.SZ,20150327,16.4,16.79,15.68,16.3,16.8,-0.5,-2.98,281565.05,457980.3839
002269.SZ,20150330,16.3,16.7,15.57,16.22,16.3,-0.08,-0.49,361573.97,579917.7661
002269.SZ,20150331,16.31,17.84,16.31,17.84,16.22,1.62,9.99,600836.75,1031182.2241
002269.SZ,20150401,17.84,18.33,17.0,17.65,17.84,-0.19,-1.07,1091280.64,1941708.3607
002269.SZ,20150402,17.9,17.9,17.15,17.65,17.65,0.0,0.0,778651.63,1357794.4684
002269.SZ,20150403,17.55,19.42,17.36,19.42,17.65,1.77,10.03,869039.71,1626896.1048
002269.SZ,20150407,20.3,21.36,19.6,21.36,19.42,1.94,9.99,503561.67,1027939.1533
002269.SZ,20150408,22.5,23.5,22.28,23.5,21.36,2.14,10.02,808616.13,1883782.1021
002269.SZ,20150409,24.3,25.85,22.6,25.85,23.5,2.35,10.0,932875.12,2253084.2007
002269.SZ,20150410,25.0,28.35,24.43,26.44,25.85,0.59,2.28,1117272.63,2883685.7847
002269.SZ,20150413,26.01,28.1,25.39,26.49,26.44,0.05,0.19,779915.54,2101897.665
002269.SZ,20150414,25.96,26.98,24.32,24.88,26.49,-1.61,-6.08,604326.81,1558495.3493
002269.SZ,20150415,24.2,24.68,22.4,23.59,24.88,-1.29,-5.18,648712.87,1521569.8766
002269.SZ,20150416,22.6,23.59,21.91,22.2,23.59,-1.39,-5.89,986894.19,2256525.2009
002269.SZ,20150417,22.3,22.79,21.99,22.11,22.2,-0.09,-0.41,677658.43,1513311.7364
002269.SZ,20150420,21.7,22.6,21.5,22.37,22.11,0.26,1.18,597510.42,1321974.4765
002269.SZ,20150421,22.09,23.48,22.03,22.92,22.37,0.55,2.46,604690.96,1389600.829
002269.SZ,20150422,22.1,23.35,21.83,23.29,22.92,0.37,1.61,780188.45,1759991.0726
002269.SZ,20150423,23.25,23.49,22.0,22.28,23.29,-1.01,-4.34,710207.72,1606118.3387
002269.SZ,20150424,21.9,21.94,20.53,21.09,22.28,-1.19,-5.34,667483.83,1424532.7891
002269.SZ,20150427,21.1,22.0,21.1,21.49,21.09,0.4,1.9,452446.93,975021.295
002269.SZ,20150428,21.54,21.6,20.0,20.5,21.49,-0.99,-4.61,444683.18,922533.8032
002269.SZ,20150429,20.3,21.48,20.25,21.33,20.5,0.83,4.05,337692.7,709171.527
002269.SZ,20150430,21.0,21.65,20.99,20.99,21.33,-0.34,-1.59,306857.21,652947.0396
002269.SZ,20150504,21.0,21.68,20.65,21.5,20.99,0.51,2.43,298487.51,637175.3166
002269.SZ,20150505,21.51,21.56,20.08,20.09,21.5,-1.41,-6.56,291701.28,607240.4609
002269.SZ,20150506,20.5,21.14,19.91,20.16,20.09,0.07,0.35,251119.99,517449.2702
002269.SZ,20150507,20.19,20.75,20.18,20.5,20.16,0.34,1.69,189148.59,387117.4778
002269.SZ,20150508,20.83,22.11,20.45,21.82,20.5,1.32,6.44,471316.28,1005233.005
002269.SZ,20150511,22.0,22.81,21.8,22.2,21.82,0.38,1.74,672499.3,1503342.8461
002269.SZ,20150512,8.76,9.25,8.6,9.13,8.84,0.29,3.28,1600500.03,1443573.9703
002269.SZ,20150513,9.12,9.13,8.75,8.85,9.13,-0.28,-3.07,1160574.19,1033566.1774
002269.SZ,20150514,8.91,9.15,8.82,9.12,8.85,0.27,3.05,1119411.97,1010589.7023
002269.SZ,20150515,9.12,9.15,8.76,8.84,9.12,-0.28,-3.07,785449.53,698759.2036
002269.SZ,20150518,8.8,9.64,8.69,9.4,8.84,0.56,6.33,1459544.23,1337762.5442
002269.SZ,20150519,9.35,9.85,9.2,9.8,9.4,0.4,4.26,1742025.69,1665992.8043
002269.SZ,20150520,9.85,10.78,9.76,10.78,9.8,0.98,10.0,2066958.02,2181098.1424
002269.SZ,20150521,11.3,11.86,10.8,11.86,10.78,1.08,10.02,2421758.38,2801447.762
002269.SZ,20150702,10.67,10.67,10.67,10.67,11.86,-1.19,-10.03,73669.0,78604.823
002269.SZ,20150703,9.6,9.6,9.6,9.6,10.67,-1.07,-10.03,56075.0,53832.0
002269.SZ,20150706,8.64,9.59,8.64,8.64,9.6,-0.96,-10.0,1914325.85,1680118.0396
002269.SZ,20150707,7.78,7.78,7.78,7.78,8.64,-0.86,-9.95,137109.0,106670.802
002269.SZ,20150708,7.0,8.56,7.0,8.22,7.78,0.44,5.66,5213745.95,3825816.5077
002269.SZ,20150709,7.62,9.04,7.5,9.04,8.22,0.82,9.98,1256509.1,1070223.1341
002269.SZ,20150710,9.35,9.94,9.0,9.94,9.04,0.9,9.96,1331851.17,1300392.4023
002269.SZ,20150713,10.21,10.93,9.6,10.93,9.94,0.99,9.96,1520580.07,1591569.5599
002269.SZ,20150714,10.5,11.28,9.84,9.86,10.93,-1.07,-9.79,1621237.89,1699267.4753
002269.SZ,20150715,9.28,9.7,8.87,8.87,9.86,-0.99,-10.04,666527.04,604461.8744
002269.SZ,20150716,8.87,9.36,8.0,8.77,8.87,-0.1,-1.13,823453.57,719945.8229
002269.SZ,20150717,8.85,9.52,8.8,9.35,8.77,0.58,6.61,741716.92,679349.554
002269.SZ,20150720,9.48,9.65,8.88,9.14,9.35,-0.21,-2.25,761999.49,709375.0204
002269.SZ,20150721,8.9,9.25,8.75,9.07,9.14,-0.07,-0.77,557259.7,503424.193
002269.SZ,20150722,9.03,9.17,8.7,9.02,9.07,-0.05,-0.55,570674.17,510857.695
002269.SZ,20150723,9.02,9.92,8.92,9.92,9.02,0.9,9.98,811166.91,758447.1922
002269.SZ,20150724,10.0,10.75,9.63,9.79,9.92,-0.13,-1.31,1376934.62,1410055.0065
002269.SZ,20150727,9.5,10.24,8.81,8.81,9.79,-0.98,-10.01,1079221.26,1047820.4342
002269.SZ,20150728,8.3,8.98,7.93,8.36,8.81,-0.45,-5.11,967314.2,803313.0241
002269.SZ,20150729,8.6,9.14,7.79,9.11,8.36,0.75,8.97,667018.68,560886.9942
002269.SZ,20150730,8.9,9.38,8.4,8.55,9.11,-0.56,-6.15,616939.4,551952.3387
002269.SZ,20150731,8.37,8.9,8.37,8.79,8.55,0.24,2.81,542309.73,468979.1038
002269.SZ,20150803,8.61,9.08,8.4,9.03,8.79,0.24,2.73,444116.66,383046.3694
002269.SZ,20150804,9.19,9.64,9.0,9.57,9.03,0.54,5.98,642936.42,602838.8756
002269.SZ,20150805,9.53,9.58,9.03,9.14,9.57,-0.43,-4.49,552880.4,514956.7736
002269.SZ,20150806,9.0,9.25,8.78,8.96,9.14,-0.18,-1.97,308537.82,277977.3532
002269.SZ,20150807,9.1,9.27,9.02,9.15,8.96,0.19,2.12,370529.33,338971.0227
002269.SZ,20150810,9.17,9.98,9.13,9.68,9.15,0.53,5.79,664848.58,634248.3157
002269.SZ,20150811,9.6,10.65,9.51,10.65,9.68,0.97,10.02,1415708.61,1473751.6758
002269.SZ,20150812,10.89,11.72,10.75,11.72,10.65,1.07,10.05,1210208.99,1376665.093
002269.SZ,20150813,12.0,12.65,11.5,12.26,11.72,0.54,4.61,2332770.28,2826448.0981
002269.SZ,20150814,12.12,13.37,12.01,12.02,12.26,-0.24,-1.96,2073703.09,2635974.3788
002269.SZ,20150817,11.91,12.5,11.65,12.04,12.02,0.02,0.17,1538779.17,1855253.4016
002269.SZ,20150818,12.07,12.08,10.84,10.84,12.04,-1.2,-9.97,1127297.18,1265914.3328
002269.SZ,20150819,10.15,11.24,9.76,10.93,10.84,0.09,0.83,1186934.99,1210017.3319
002269.SZ,20150820,10.51,12.0,10.22,10.9,10.93,-0.03,-0.27,1326191.37,1492988.2973
002269.SZ,20150821,10.8,11.29,9.81,9.81,10.9,-1.09,-10.0,958932.1,1011229.214
002269.SZ,20150824,9.08,9.39,8.83,8.83,9.81,-0.98,-9.99,384263.05,341146.928
002269.SZ,20150825,7.95,8.25,7.95,7.95,8.83,-0.88,-9.97,325283.81,259894.2496
002269.SZ,20150826,7.69,8.2,7.16,7.16,7.95,-0.79,-9.94,842688.85,634383.7014
002269.SZ,20150827,7.2,7.5,6.44,7.08,7.16,-0.08,-1.12,764531.66,535294.3366
002269.SZ,20150828,7.21,7.79,6.98,7.79,7.08,0.71,10.03,876578.83,641354.8457
002269.SZ,20150831,7.56,7.7,7.01,7.01,7.79,-0.78,-10.01,682828.48,498584.0661
002269.SZ,20150901,6.62,6.79,6.31,6.31,7.01,-0.7,-9.99,576999.68,368330.183
002269.SZ,20150902,5.91,6.47,5.68,5.68,6.31,-0.63,-9.98,646522.54,381402.3551
002269.SZ,20150907,5.8,6.11,5.7,5.84,5.68,0.16,2.82,476755.31,281492.9708
002269.SZ,20150908,5.87,6.42,5.74,6.42,5.84,0.58,9.93,510209.96,310036.2318
002269.SZ,20150909,6.48,6.76,6.27,6.62,6.42,0.2,3.12,761301.54,497807.7071
002269.SZ,20150910,6.4,6.54,6.26,6.28,6.62,-0.34,-5.14,423647.34,271406.7216
002269.SZ,20150911,6.26,6.45,6.16,6.38,6.28,0.1,1.59,315195.58,198957.0458
002269.SZ,20150914,6.38,6.42,5.74,5.74,6.38,-0.64,-10.03,427306.51,255469.681
002269.SZ,20150915,5.3,5.52,5.17,5.17,5.74,-0.57,-9.93,411002.61,217169.9068
002269.SZ,20150916,5.15,5.69,5.04,5.6,5.17,0.43,8.32,523964.65,280760.8717
002269.SZ,20150917,5.5,5.68,5.21,5.26,5.6,-0.34,-6.07,563076.02,307905.041
002269.SZ,20150918,5.28,5.36,5.15,5.23,5.26,-0.03,-0.57,319235.62,167155.971
002269.SZ,20150921,5.22,5.49,5.12,5.45,5.23,0.22,4.21,344713.69,183925.5883
002269.SZ,20150922,5.46,6.0,5.33,6.0,5.45,0.55,10.09,562314.09,313966.2883
002269.SZ,20150923,5.69,6.04,5.63,5.8,6.0,-0.2,-3.33,623278.86,365476.9669
002269.SZ,20150924,5.82,6.09,5.73,5.97,5.8,0.17,2.93,475856.7,280879.9618
002269.SZ,20150925,5.88,5.91,5.42,5.49,5.97,-0.48,-8.04,398334.99,225046.0662
002269.SZ,20150928,5.49,5.64,5.3,5.57,5.49,0.08,1.46,250621.28,137857.442
002269.SZ,20150929,5.47,5.47,5.29,5.32,5.57,-0.25,-4.49,240739.28,129159.6673
002269.SZ,20150930,5.37,5.79,5.3,5.46,5.32,0.14,2.63,323705.71,178337.86
002269.SZ,20151008,5.65,5.8,5.53,5.69,5.46,0.23,4.21,345682.56,196819.294
002269.SZ,20151009,5.71,5.84,5.56,5.78,5.69,0.09,1.58,395085.85,226502.8242
002269.SZ,20151012,5.78,6.18,5.72,6.11,5.78,0.33,5.71,622070.58,373721.4525
002269.SZ,20151013,6.08,6.44,5.98,6.3,6.11,0.19,3.11,658362.05,409560.9476
002269.SZ,20151014,6.25,6.3,6.01,6.07,6.3,-0.23,-3.65,481908.41,295775.6209
002269.SZ,20151015,6.03,6.63,6.01,6.48,6.07,0.41,6.75,712013.83,451031.5193
002269.SZ,20151016,6.58,7.0,6.31,6.83,6.48,0.35,5.4,924480.16,609862.7174
002269.SZ,20151019,6.82,7.51,6.62,7.51,6.83,0.68,9.96,1049287.39,744800.762
002269.SZ,20151020,7.6,7.6,7.08,7.37,7.51,-0.14,-1.86,845323.44,619109.031
002269.SZ,20151021,7.3,7.64,6.63,6.63,7.37,-0.74,-10.04,949864.14,678014.2802
002269.SZ,20151022,6.6,7.17,6.43,6.89,6.63,0.26,3.92,812451.69,546813.4151
002269.SZ,20151023,6.88,7.1,6.7,6.98,6.89,0.09,1.31,703893.02,485093.038
002269.SZ,20151026,7.02,7.08,6.71,6.91,6.98,-0.07,-1.0,502117.76,348382.333
002269.SZ,20151027,6.81,7.07,6.5,7.0,6.91,0.09,1.3,496949.16,338550.2065
002269.SZ,20151028,6.96,6.99,6.53,6.63,7.0,-0.37,-5.29,488539.99,331893.5442
002269.SZ,20151029,6.66,6.8,6.59,6.66,6.63,0.03,0.45,293670.0,196904.6543
002269.SZ,20151030,6.88,6.88,6.63,6.64,6.66,-0.02,-0.3,432948.73,293204.1179
002269.SZ,20151102,6.22,6.48,6.1,6.15,6.64,-0.49,-7.38,502326.26,316646.8346
002269.SZ,20151103,6.18,6.25,5.93,6.04,6.15,-0.11,-1.79,330956.47,201103.1098
002269.SZ,20151104,6.08,6.33,6.05,6.32,6.04,0.28,4.64,364183.64,226273.3574
002269.SZ,20151105,6.35,6.65,6.24,6.55,6.32,0.23,3.64,581604.35,372011.5295
002269.SZ,20151106,6.48,6.69,6.43,6.58,6.55,0.03,0.46,471722.43,309896.9707
002269.SZ,20151109,6.53,6.69,6.37,6.57,6.58,-0.01,-0.15,473845.28,309751.4141
002269.SZ,20151110,6.5,6.8,6.46,6.72,6.57,0.15,2.28,520077.93,348155.0909
002269.SZ,20151111,6.73,6.94,6.65,6.88,6.72,0.16,2.38,535822.13,363709.8043
002269.SZ,20151112,6.9,6.9,6.57,6.65,6.88,-0.23,-3.34,528517.2,354065.5155
002269.SZ,20151113,6.6,6.62,6.39,6.42,6.65,-0.23,-3.46,399107.82,259279.5213
002269.SZ,20151116,6.25,6.5,6.22,6.49,6.42,0.07,1.09,223151.08,142363.4925
002269.SZ,20151117,6.54,6.66,6.4,6.47,6.49,-0.02,-0.31,364245.23,238785.9551
002269.SZ,20151118,6.43,6.51,6.31,6.32,6.47,-0.15,-2.32,223222.83,143100.5376
002269.SZ,20151119,6.33,6.46,6.29,6.46,6.32,0.14,2.22,221371.76,141282.0131
002269.SZ,20151120,6.48,6.95,6.46,6.87,6.46,0.41,6.35,738831.82,498276.3603
002269.SZ,20151123,6.87,7.36,6.81,7.1,6.87,0.23,3.35,791462.4,564310.4776
002269.SZ,20151124,7.3,7.3,6.81,7.01,7.1,-0.09,-1.27,480444.64,337783.8005
002269.SZ,20151125,6.95,7.05,6.81,6.95,7.01,-0.06,-0.86,411699.61,284801.8309
002269.SZ,20151126,6.95,6.97,6.72,6.78,6.95,-0.17,-2.45,414772.23,283743.6448
002269.SZ,20151127,6.73,6.78,6.1,6.17,6.78,-0.61,-9.0,474947.57,306409.3203
002269.SZ,20151130,6.17,6.25,5.7,6.22,6.17,0.05,0.81,385476.09,233470.5567
002269.SZ,20151201,6.22,6.25,6.09,6.16,6.22,-0.06,-0.96,226596.2,139704.9238
002269.SZ,20151202,6.13,6.23,6.0,6.21,6.16,0.05,0.81,223205.5,136967.4147
002269.SZ,20151203,6.21,6.38,6.18,6.33,6.21,0.12,1.93,228529.05,143718.299
002269.SZ,20151204,6.28,6.3,6.17,6.25,6.33,-0.08,-1.26,242921.96,151304.4331
002269.SZ,20151207,6.28,6.29,6.2,6.28,6.25,0.03,0.48,168825.28,105513.1018
002269.SZ,20151208,6.28,6.91,6.25,6.91,6.28,0.63,10.03,739699.21,504401.489
002269.SZ,20151209,7.0,7.1,6.63,6.69,6.91,-0.22,-3.18,845608.05,581218.7742
002269.SZ,20151210,6.68,6.69,6.38,6.41,6.69,-0.28,-4.19,578288.34,376308.1829
002269.SZ,20151211,6.39,6.62,6.31,6.43,6.41,0.02,0.31,335416.54,217227.376
002269.SZ,20151214,6.41,6.52,6.2,6.49,6.43,0.06,0.93,307982.01,195856.189
002269.SZ,20151215,6.45,6.67,6.4,6.54,6.49,0.05,0.77,330907.8,216608.7355
002269.SZ,20151216,6.55,6.64,6.43,6.47,6.54,-0.07,-1.07,293629.5,192015.0918
002269.SZ,20151217,6.56,6.73,6.52,6.72,6.47,0.25,3.86,465883.3,308436.4901
002269.SZ,20151218,6.69,6.69,6.5,6.54,6.72,-0.18,-2.68,341616.88,225039.6293
002269.SZ,20151221,6.5,6.62,6.45,6.58,6.54,0.04,0.61,264278.05,173445.8662
002269.SZ,20151222,6.6,6.98,6.57,6.86,6.58,0.28,4.26,586270.14,398901.1676
002269.SZ,20151223,6.9,6.91,6.6,6.67,6.86,-0.19,-2.77,444652.04,299128.3721
002269.SZ,20151224,6.67,6.84,6.51,6.77,6.67,0.1,1.5,312542.43,208688.9986
002269.SZ,20151225,6.76,6.82,6.7,6.78,6.77,0.01,0.15,236973.37,160418.446
002269.SZ,20151228,6.82,6.87,6.55,6.55,6.78,-0.23,-3.39,334655.65,223614.3815
002269.SZ,20151229,6.6,6.76,6.55,6.75,6.55,0.2,3.05,226811.88,150459.1774
002269.SZ,20151230,6.75,6.77,6.63,6.74,6.75,-0.01,-0.15,225047.05,150978.3307
002269.SZ,20151231,6.71,6.85,6.66,6.71,6.74,-0.03,-0.45,283915.61,191984.9899
002269.SZ,20160104,6.67,6.71,6.04,6.05,6.71,-0.66,-9.84,276555.31,175157.1817
002269.SZ,20160105,5.75,6.08,5.53,5.85,6.05,-0.2,-3.31,307598.73,179586.5984
002269.SZ,20160106,5.9,6.09,5.85,6.07,5.85,0.22,3.76,234749.24,140145.8727
002269.SZ,20160201,5.46,5.46,5.46,5.46,6.07,-0.61,-10.05,18516.0,10109.736
002269.SZ,20160202,4.91,5.18,4.91,5.06,5.46,-0.4,-7.33,743457.68,372137.9064
002269.SZ,20160203,4.8,4.89,4.61,4.76,5.06,-0.3,-5.93,457475.27,216585.9595
002269.SZ,20160204,4.74,4.87,4.72,4.8,4.76,0.04,0.84,360813.26,173080.9749
002269.SZ,20160205,4.81,4.81,4.68,4.7,4.8,-0.1,-2.08,240511.98,113724.1401
002269.SZ,20160215,4.45,4.63,4.43,4.56,4.7,-0.14,-2.98,186213.77,84381.4151
002269.SZ,20160216,4.62,4.81,4.58,4.78,4.56,0.22,4.82,290570.59,137479.565
002269.SZ,20160217,4.74,5.13,4.72,4.99,4.78,0.21,4.39,417180.55,205466.1008
002269.SZ,20160218,4.98,5.02,4.83,4.89,4.99,-0.1,-2.0,313351.72,154329.9632
002269.SZ,20160219,4.83,4.94,4.83,4.91,4.89,0.02,0.41,188337.18,92320.4065
002269.SZ,20160222,4.95,5.02,4.92,5.0,4.91,0.09,1.83,264565.63,131547.1251
002269.SZ,20160223,5.05,5.06,4.83,4.92,5.0,-0.08,-1.6,216535.89,106937.2974
002269.SZ,20160224,4.93,4.95,4.77,4.95,4.92,0.03,0.61,227987.27,111448.6321
002269.SZ,20160225,4.95,4.96,4.46,4.46,4.95,-0.49,-9.9,330684.74,154980.8122
002269.SZ,20160226,4.46,4.54,4.22,4.36,4.46,-0.1,-2.24,245123.51,107949.3113
002269.SZ,20160229,4.32,4.32,3.92,3.98,4.36,-0.38,-8.72,270218.3,109114.8486
002269.SZ,20160301,3.99,4.09,3.9,4.06,3.98,0.08,2.01,217803.65,87141.0469
002269.SZ,20160302,4.06,4.27,4.02,4.26,4.06,0.2,4.93,273417.78,113703.5081
002269.SZ,20160303,4.23,4.35,4.2,4.26,4.26,0.0,0.0,262942.12,112671.9755
002269.SZ,20160304,4.24,4.28,4.01,4.1,4.26,-0.16,-3.76,245582.09,102020.7065
002269.SZ,20160307,4.11,4.31,4.11,4.25,4.1,0.15,3.66,188406.86,79556.1012
002269.SZ,20160308,4.25,4.25,4.06,4.24,4.25,-0.01,-0.24,199438.06,83135.0763
002269.SZ,20160309,4.17,4.21,4.08,4.15,4.24,-0.09,-2.12,153181.47,63554.1702
002269.SZ,20160310,4.15,4.27,4.1,4.15,4.15,0.0,0.0,177894.99,74434.4171
002269.SZ,20160311,4.1,4.17,4.06,4.14,4.15,-0.01,-0.24,117859.01,48511.7229
002269.SZ,20160314,4.18,4.42,4.17,4.4,4.14,0.26,6.28,365334.77,157315.0416
002269.SZ,20160315,4.34,4.41,4.26,4.3,4.4,-0.1,-2.27,231166.05,100080.7703
002269.SZ,20160316,4.34,4.34,4.21,4.21,4.3,-0.09,-2.09,129833.45,55416.0464
002269.SZ,20160317,4.25,4.34,4.15,4.31,4.21,0.1,2.38,208425.41,89178.5847
002269.SZ,20160318,4.35,4.51,4.31,4.45,4.31,0.14,3.25,310671.54,137317.8645
002269.SZ,20160321,4.51,4.9,4.48,4.9,4.45,0.45,10.11,343979.77,161536.2526
002269.SZ,20160322,5.08,5.39,5.03,5.39,4.9,0.49,10.0,1183887.92,623911.0167
002269.SZ,20160323,5.37,5.51,5.22,5.46,5.39,0.07,1.3,945550.3,507043.3153
002269.SZ,20160324,5.3,5.41,5.21,5.21,5.46,-0.25,-4.58,570599.12,301609.8126
