ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002331.SZ,20150325,16.96,16.96,16.96,16.96,15.42,1.54,9.99,9392.11,15929.0186
002331.SZ,20150326,15.5,15.5,15.5,15.5,14.09,1.41,10.01,2870.78,4449.709
002331.SZ,20150327,17.05,17.05,16.0,17.05,15.5,1.55,10.0,505614.83,851443.9618
002331.SZ,20150330,17.09,17.85,16.56,16.65,17.05,-0.4,-2.35,478650.92,816627.5545
002331.SZ,20150331,16.98,17.5,16.7,17.1,16.65,0.45,2.7,387940.96,663703.3383
002331.SZ,20150401,16.88,18.56,16.66,18.09,17.1,0.99,5.79,447769.43,777504.0652
002331.SZ,20150402,18.15,19.9,17.85,19.9,18.09,1.81,10.01,447455.1,855070.4418
002331.SZ,20150403,19.77,20.95,19.5,20.27,19.9,0.37,1.86,334172.26,677378.9134
002331.SZ,20150407,20.0,20.71,19.7,20.23,20.27,-0.04,-0.2,271528.38,544020.7113
002331.SZ,20150408,20.23,20.23,18.8,19.16,20.23,-1.07,-5.29,268188.79,519769.0356
002331.SZ,20150409,18.9,19.0,17.51,18.63,19.16,-0.53,-2.77,185372.99,340512.2911
002331.SZ,20150410,18.31,19.13,18.2,18.9,18.63,0.27,1.45,191475.48,359471.8865
002331.SZ,20150413,19.0,19.67,18.4,19.34,18.9,0.44,2.33,228193.75,435938.8278
002331.SZ,20150414,19.1,19.24,18.5,18.5,19.34,-0.84,-4.34,179222.59,336365.8728
002331.SZ,20150415,18.4,18.4,17.6,17.65,18.5,-0.85,-4.59,128752.24,231191.8895
002331.SZ,20150416,17.12,18.2,17.12,17.79,17.65,0.14,0.79,105897.1,188927.712
002331.SZ,20150417,18.0,18.29,17.8,18.0,17.79,0.21,1.18,128718.45,232250.2487
002331.SZ,20150420,17.8,17.88,17.26,17.5,18.0,-0.5,-2.78,129145.75,227061.8801
002331.SZ,20150421,17.45,18.78,17.37,18.68,17.5,1.18,6.74,148490.34,270461.7708
002331.SZ,20150422,18.8,19.98,18.8,19.85,18.68,1.17,6.26,266163.25,520809.04
002331.SZ,20150423,19.9,20.9,19.9,20.15,19.85,0.3,1.51,274966.08,563707.1824
002331.SZ,20150424,19.8,21.98,19.51,21.6,20.15,1.45,7.2,262452.93,555919.804
002331.SZ,20150427,21.61,23.5,21.61,22.01,21.6,0.41,1.9,229920.27,519843.8508
002331.SZ,20150428,21.86,22.68,20.06,21.2,22.01,-0.81,-3.68,209552.72,446061.6083
002331.SZ,20150429,21.21,23.32,20.82,23.32,21.2,2.12,10.0,189086.21,428207.0391
002331.SZ,20150430,24.77,25.65,23.53,25.65,23.32,2.33,9.99,271831.97,679405.8068
002331.SZ,20150504,25.93,28.22,25.41,26.48,25.65,0.83,3.24,275404.53,737918.3847
002331.SZ,20150505,27.1,27.25,24.62,25.11,26.48,-1.37,-5.17,171214.59,436522.2318
002331.SZ,20150506,24.95,27.62,24.43,26.38,25.11,1.27,5.06,235233.86,624808.2696
002331.SZ,20150507,25.9,29.02,25.7,29.02,26.38,2.64,10.01,298786.66,840410.7984
002331.SZ,20150508,28.86,31.4,28.6,30.77,29.02,1.75,6.03,267651.84,803723.6964
002331.SZ,20150511,30.48,33.8,29.56,32.98,30.77,2.21,7.18,250229.78,803077.9302
002331.SZ,20150512,33.0,33.9,31.6,32.97,32.98,-0.01,-0.03,152453.06,500868.091
002331.SZ,20150513,32.02,32.74,30.5,30.59,32.97,-2.38,-7.22,201026.16,634361.5505
002331.SZ,20150514,31.21,33.65,30.6,33.65,30.59,3.06,10.0,192919.54,628111.991
002331.SZ,20150515,33.9,37.02,33.5,36.03,33.65,2.38,7.07,217177.75,766022.2846
002331.SZ,20150518,36.03,39.57,34.85,38.46,36.03,2.43,6.74,148321.1,565595.4435
002331.SZ,20150519,38.5,42.31,38.5,42.31,38.46,3.85,10.01,100518.73,409671.3803
002331.SZ,20150520,44.08,46.54,44.07,46.54,42.31,4.23,10.0,96307.71,444907.4999
002331.SZ,20150521,47.56,49.88,44.01,48.1,46.54,1.56,3.35,209201.94,982639.713
002331.SZ,20150522,47.3,48.2,44.1,47.09,48.1,-1.01,-2.1,165960.65,773178.3491
002331.SZ,20150525,44.78,47.33,42.65,45.5,47.09,-1.59,-3.38,196605.54,890423.5083
002331.SZ,20150526,44.65,47.0,44.07,45.27,45.5,-0.23,-0.51,170304.06,765864.658
002331.SZ,20150527,45.45,49.8,44.3,49.8,45.27,4.53,10.01,162884.93,767089.6061
002331.SZ,20150528,50.0,51.79,45.0,45.41,49.8,-4.39,-8.82,132296.04,635792.2495
002331.SZ,20150529,42.5,46.31,41.0,45.1,45.41,-0.31,-0.68,111914.6,488355.7275
002331.SZ,20150601,44.61,48.18,44.01,48.0,45.1,2.9,6.43,95145.32,443891.3232
002331.SZ,20150602,47.5,49.0,45.5,46.6,48.0,-1.4,-2.92,93530.47,432483.4612
002331.SZ,20150603,46.0,47.5,44.07,44.65,46.6,-1.95,-4.18,89325.21,405854.7385
002331.SZ,20150604,45.6,47.63,42.3,47.63,44.65,2.98,6.67,125905.83,581857.8034
002331.SZ,20150605,48.11,52.39,48.11,52.39,47.63,4.76,9.99,173386.57,895569.7444
002331.SZ,20150608,53.76,53.76,47.15,47.15,52.39,-5.24,-10.0,169342.59,816966.759
002331.SZ,20150609,45.0,47.68,42.45,47.04,47.15,-0.11,-0.23,77939.22,354661.6255
002331.SZ,20150610,45.77,48.0,45.04,47.36,47.04,0.32,0.68,57859.56,271356.0811
002331.SZ,20150611,48.6,51.45,48.6,48.62,47.36,1.26,2.66,95787.24,476016.5944
002331.SZ,20150612,50.1,52.81,50.09,50.49,48.62,1.87,3.85,88705.18,455365.8541
002331.SZ,20150615,49.11,50.0,47.0,47.43,50.49,-3.06,-6.06,58472.04,279911.3347
002331.SZ,20150616,46.5,50.65,43.33,49.05,47.43,1.62,3.42,65048.31,315014.9667
002331.SZ,20150617,50.2,53.96,49.2,53.96,49.05,4.91,10.01,124855.13,654678.2107
002331.SZ,20150618,53.88,56.2,48.8,49.01,53.96,-4.95,-9.17,137930.98,728282.9145
002331.SZ,20150619,44.11,48.21,44.11,44.11,49.01,-4.9,-10.0,93313.74,415847.0648
002331.SZ,20150623,40.02,42.99,39.7,39.7,44.11,-4.41,-10.0,88349.67,352554.5506
002331.SZ,20150624,40.55,42.88,38.5,41.4,39.7,1.7,4.28,125308.8,517986.9934
002331.SZ,20150625,41.4,42.0,37.26,37.26,41.4,-4.14,-10.0,158474.12,598997.03
002331.SZ,20150626,34.5,34.5,33.53,33.53,37.26,-3.73,-10.01,39353.96,132154.5518
002331.SZ,20150629,32.46,32.46,30.18,30.18,33.53,-3.35,-9.99,26052.92,79174.2965
002331.SZ,20150630,27.16,31.98,27.16,29.38,30.18,-0.8,-2.65,232251.51,658550.1623
002331.SZ,20150701,27.88,32.09,26.44,28.0,29.38,-1.38,-4.7,206921.39,613950.6663
002331.SZ,20150702,27.3,27.9,25.2,25.2,28.0,-2.8,-10.0,108509.42,281102.158
002331.SZ,20150703,22.68,24.66,22.68,22.68,25.2,-2.52,-10.0,123477.2,283901.0623
002331.SZ,20150706,24.84,24.84,20.41,20.41,22.68,-2.27,-10.01,138664.09,300008.0694
002331.SZ,20150707,18.37,18.37,18.37,18.37,20.41,-2.04,-10.0,10470.0,19233.39
002331.SZ,20150714,20.21,20.21,20.21,20.21,18.37,1.84,10.02,2745.37,5548.3928
002331.SZ,20150715,22.23,22.23,19.0,19.62,20.21,-0.59,-2.92,429201.8,904393.8599
002331.SZ,20150716,19.01,21.5,17.66,20.26,19.62,0.64,3.26,424565.58,823511.2197
002331.SZ,20150717,20.45,22.29,20.26,22.29,20.26,2.03,10.02,291327.86,628980.123
002331.SZ,20150720,23.81,24.52,23.0,24.52,22.29,2.23,10.0,477256.12,1144652.3401
002331.SZ,20150721,24.52,26.97,23.91,26.97,24.52,2.45,9.99,377773.85,972260.3462
002331.SZ,20150722,27.51,27.95,25.21,26.41,26.97,-0.56,-2.08,424708.6,1124032.3238
002331.SZ,20150723,26.42,28.88,25.66,28.33,26.41,1.92,7.27,335916.6,905456.0753
002331.SZ,20150724,28.4,29.66,26.8,27.89,28.33,-0.44,-1.55,349721.71,996602.3096
