ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002335.SZ,20150130,22.0,23.48,21.45,22.46,21.41,1.05,4.9,116481.17,262507.1113
002335.SZ,20150202,21.79,21.79,20.21,20.4,22.46,-2.06,-9.17,69325.52,143548.4256
002335.SZ,20150203,21.18,21.19,20.31,20.9,20.4,0.5,2.45,35470.64,73514.4316
002335.SZ,20150204,20.8,20.8,20.09,20.29,20.9,-0.61,-2.92,31471.59,64009.7407
002335.SZ,20150205,20.3,20.77,19.73,20.16,20.29,-0.13,-0.64,50636.66,102659.0947
002335.SZ,20150206,20.09,20.09,19.51,19.52,20.16,-0.64,-3.17,34692.78,68587.6068
002335.SZ,20150209,19.4,21.18,19.15,20.9,19.52,1.38,7.07,41035.2,84303.0638
002335.SZ,20150210,20.72,21.15,20.57,20.61,20.9,-0.29,-1.39,21205.77,44304.3033
002335.SZ,20150211,20.9,20.99,20.2,20.82,20.61,0.21,1.02,17928.84,37088.012
002335.SZ,20150212,20.72,22.0,20.4,21.51,20.82,0.69,3.31,23098.6,48677.8033
002335.SZ,20150213,21.4,22.1,21.33,21.52,21.51,0.01,0.05,25540.26,55313.4291
002335.SZ,20150216,21.52,21.65,21.3,21.45,21.52,-0.07,-0.33,17653.16,37959.118
002335.SZ,20150217,21.53,22.01,21.36,21.63,21.45,0.18,0.84,15922.25,34654.6705
002335.SZ,20150225,21.59,21.89,21.06,21.1,21.63,-0.53,-2.45,13390.6,28524.8821
002335.SZ,20150226,20.98,21.99,20.9,21.97,21.1,0.87,4.12,19471.07,42092.9321
002335.SZ,20150227,22.05,24.17,22.05,23.18,21.97,1.21,5.51,71942.2,167732.1282
002335.SZ,20150302,24.0,24.88,23.5,24.5,23.18,1.32,5.69,56954.81,139318.0721
002335.SZ,20150303,24.5,24.8,23.75,23.95,24.5,-0.55,-2.24,29132.66,70464.9451
002335.SZ,20150304,23.86,25.95,23.8,25.52,23.95,1.57,6.56,27944.65,69596.3688
002335.SZ,20150305,25.56,27.38,24.5,26.9,25.52,1.38,5.41,47419.89,122697.6461
002335.SZ,20150306,26.81,29.0,26.71,27.21,26.9,0.31,1.15,71655.48,200767.7699
002335.SZ,20150309,27.8,28.98,27.8,28.3,27.21,1.09,4.01,41307.44,117491.3578
002335.SZ,20150310,28.36,30.6,27.9,30.22,28.3,1.92,6.78,52201.68,155165.8036
002335.SZ,20150311,30.25,32.45,29.1,31.5,30.22,1.28,4.24,63706.69,198141.785
002335.SZ,20150312,30.97,31.3,28.35,29.3,31.5,-2.2,-6.98,68952.31,204679.807
002335.SZ,20150313,29.4,30.1,28.12,29.85,29.3,0.55,1.88,53975.05,156306.7743
002335.SZ,20150316,29.66,31.5,29.5,30.18,29.85,0.33,1.11,45109.95,137883.108
002335.SZ,20150317,30.3,30.3,29.21,29.66,30.18,-0.52,-1.72,47484.57,141121.0701
002335.SZ,20150318,30.0,30.85,29.9,30.11,29.66,0.45,1.52,34481.72,104510.5279
002335.SZ,20150319,29.79,30.19,29.59,29.8,30.11,-0.31,-1.03,24468.27,72911.4619
002335.SZ,20150320,29.9,31.13,29.66,30.7,29.8,0.9,3.02,30239.5,92482.7575
002335.SZ,20150323,31.2,33.77,31.2,33.77,30.7,3.07,10.0,43917.13,141469.8585
002335.SZ,20150324,34.2,37.15,34.2,36.69,33.77,2.92,8.65,70111.52,251909.5339
002335.SZ,20150325,36.68,36.68,35.0,36.22,36.69,-0.47,-1.28,51198.28,182515.9925
002335.SZ,20150326,35.67,35.67,32.64,34.52,36.22,-1.7,-4.69,49646.59,169696.5729
002335.SZ,20150327,33.99,34.9,33.0,34.3,34.52,-0.22,-0.64,22362.93,76287.004
002335.SZ,20150330,34.32,35.7,33.71,33.94,34.3,-0.36,-1.05,26379.26,91630.9468
002335.SZ,20150331,33.71,33.8,32.66,33.29,33.94,-0.65,-1.92,37250.88,123563.3616
002335.SZ,20150401,33.39,35.27,32.77,34.65,33.29,1.36,4.09,33149.77,114303.0794
002335.SZ,20150402,35.01,35.25,34.2,34.64,34.65,-0.01,-0.03,37487.0,129665.0075
002335.SZ,20150403,34.3,34.63,33.18,34.43,34.64,-0.21,-0.61,27760.92,94149.0067
002335.SZ,20150407,34.73,34.84,33.7,34.5,34.43,0.07,0.2,32829.75,112224.3468
002335.SZ,20150408,34.57,35.97,33.8,34.42,34.5,-0.08,-0.23,49388.93,171999.5433
002335.SZ,20150409,34.5,34.7,30.98,32.0,34.42,-2.42,-7.03,59015.78,188518.5679
002335.SZ,20150410,32.0,32.47,31.15,32.19,32.0,0.19,0.59,27797.11,89078.6096
002335.SZ,20150413,31.6,35.41,31.6,35.41,32.19,3.22,10.0,63681.1,216751.7415
002335.SZ,20150414,37.0,38.54,35.92,36.9,35.41,1.49,4.21,69739.48,258718.0995
002335.SZ,20150415,36.33,36.8,34.5,35.4,36.9,-1.5,-4.07,51825.98,186487.581
002335.SZ,20150416,34.84,38.94,33.5,38.3,35.4,2.9,8.19,92389.23,351098.9315
002335.SZ,20150417,39.3,42.0,39.3,40.58,38.3,2.28,5.95,90224.51,365291.0379
002335.SZ,20150420,40.18,40.2,37.01,37.7,40.58,-2.88,-7.1,45629.06,177033.8909
002335.SZ,20150421,36.9,41.47,36.82,41.47,37.7,3.77,10.0,48138.17,193629.4043
002335.SZ,20150422,42.88,45.62,42.45,44.1,41.47,2.63,6.34,57839.2,254622.9123
002335.SZ,20150423,43.6,47.8,42.13,46.76,44.1,2.66,6.03,45572.62,205472.2304
002335.SZ,20150424,45.75,48.7,44.7,48.08,46.76,1.32,2.82,37765.21,175161.5736
002335.SZ,20150427,48.8,48.84,45.6,46.68,48.08,-1.4,-2.91,44439.88,209941.5187
002335.SZ,20150428,47.34,47.63,42.55,43.0,46.68,-3.68,-7.88,50363.24,221379.5824
002335.SZ,20150429,42.9,45.4,40.78,43.87,43.0,0.87,2.02,27523.89,119912.2938
002335.SZ,20150430,44.62,44.65,42.81,43.33,43.87,-0.54,-1.23,33418.06,145522.1696
002335.SZ,20150504,44.3,45.66,42.0,42.67,43.33,-0.66,-1.52,33763.37,147726.6685
002335.SZ,20150505,42.1,42.6,40.5,40.51,42.67,-2.16,-5.06,28319.53,116486.4393
002335.SZ,20150506,40.66,42.86,40.4,40.9,40.51,0.39,0.96,30875.87,128475.5876
002335.SZ,20150507,40.9,41.18,39.98,40.2,40.9,-0.7,-1.71,14725.76,59517.2036
002335.SZ,20150508,40.5,43.35,40.5,43.18,40.2,2.98,7.41,36202.15,151436.4636
002335.SZ,20150511,43.0,47.0,42.16,45.45,43.18,2.27,5.26,54136.23,243572.5309
002335.SZ,20150512,50.0,50.0,50.0,50.0,45.45,4.55,10.01,13974.61,69873.05
002335.SZ,20150513,55.0,55.0,51.0,52.6,50.0,2.6,5.2,70734.21,370851.5943
002335.SZ,20150514,52.4,52.4,49.51,50.4,52.6,-2.2,-4.18,39890.01,202418.2374
002335.SZ,20150515,49.66,49.8,47.5,48.5,50.4,-1.9,-3.77,30603.08,149235.1386
002335.SZ,20150518,48.35,52.21,47.72,51.7,48.4,3.3,6.82,34786.91,175050.0065
002335.SZ,20150519,53.08,56.87,53.04,56.87,51.7,5.17,10.0,58851.34,327259.2221
002335.SZ,20150520,58.01,61.6,55.8,55.86,56.87,-1.01,-1.78,46293.12,271674.3866
002335.SZ,20150521,56.18,58.0,54.0,56.15,55.86,0.29,0.52,36739.85,205387.893
002335.SZ,20150522,56.6,56.99,54.0,55.32,56.15,-0.83,-1.48,34276.48,189712.2144
002335.SZ,20150525,54.0,56.56,52.8,54.55,55.32,-0.77,-1.39,36052.57,196912.9747
002335.SZ,20150526,54.6,60.01,54.56,60.01,54.55,5.46,10.01,52645.7,298016.8259
002335.SZ,20150527,60.23,64.66,57.2,62.03,60.01,2.02,3.37,52695.07,321417.0098
002335.SZ,20150528,61.82,67.9,56.9,57.39,62.03,-4.64,-7.48,42140.06,252647.2125
002335.SZ,20150529,57.3,59.8,51.99,57.05,57.39,-0.34,-0.59,35704.35,202564.6122
002335.SZ,20150601,56.46,60.7,56.25,59.59,57.05,2.54,4.45,35066.67,206379.9789
002335.SZ,20150602,60.0,61.0,57.2,58.65,59.59,-0.94,-1.58,50811.33,297318.6257
002335.SZ,20150603,58.97,59.38,55.6,57.05,58.65,-1.6,-2.73,45178.7,257508.2187
002335.SZ,20150604,57.05,57.07,51.97,54.95,57.05,-2.1,-3.68,40792.19,222362.1445
002335.SZ,20150605,56.6,57.67,54.95,57.61,54.95,2.66,4.84,48054.9,272952.8787
002335.SZ,20150608,57.66,61.59,57.66,58.5,57.61,0.89,1.54,67456.67,400798.6441
002335.SZ,20150609,59.3,63.38,57.77,61.2,58.5,2.7,4.62,86097.0,518477.7057
002335.SZ,20150610,60.33,65.66,58.1,65.05,61.2,3.85,6.29,78382.88,492707.3089
002335.SZ,20150611,65.0,67.8,62.4,63.0,65.05,-2.05,-3.15,42732.85,274505.5987
002335.SZ,20150612,62.51,63.23,60.58,62.68,63.0,-0.32,-0.51,33903.95,209958.3991
002335.SZ,20150615,62.31,62.31,57.2,58.62,62.68,-4.06,-6.48,31325.37,185632.2551
002335.SZ,20150616,56.99,60.2,53.13,59.0,58.62,0.38,0.65,62218.26,360902.7209
002335.SZ,20150617,60.1,60.2,55.25,58.8,59.0,-0.2,-0.34,56438.8,327562.2668
002335.SZ,20150618,58.5,58.5,52.92,52.92,58.8,-5.88,-10.0,48083.75,263855.4171
002335.SZ,20150619,49.8,51.4,47.63,50.0,52.92,-2.92,-5.52,39646.82,194746.435
002335.SZ,20150623,49.82,50.8,45.28,47.22,50.0,-2.78,-5.56,34160.05,162790.3377
002335.SZ,20150624,47.54,49.0,45.46,48.01,47.22,0.79,1.67,30287.59,143474.1473
002335.SZ,20150625,47.9,48.01,43.25,43.99,48.01,-4.02,-8.37,25183.08,116611.4481
002335.SZ,20150626,41.03,42.3,39.59,39.59,43.99,-4.4,-10.0,31174.48,124705.4763
002335.SZ,20150629,39.26,40.98,35.63,35.63,39.59,-3.96,-10.0,22488.23,82404.0482
002335.SZ,20150630,32.28,37.2,32.07,36.18,35.63,0.55,1.54,68751.21,240741.8421
002335.SZ,20150701,36.0,37.95,32.56,32.56,36.18,-3.62,-10.01,48275.52,171560.3741
002335.SZ,20150702,29.9,32.18,29.3,29.3,32.56,-3.26,-10.01,43369.18,129196.1909
002335.SZ,20150703,27.3,28.5,26.37,26.37,29.3,-2.93,-10.0,58594.88,158209.9873
002335.SZ,20150706,28.6,28.6,23.73,23.73,26.37,-2.64,-10.01,56001.92,140855.4618
002335.SZ,20150707,21.5,22.0,21.36,21.36,23.73,-2.37,-9.99,12284.0,26332.912
002335.SZ,20150714,23.5,23.5,23.5,23.5,21.36,2.14,10.02,2947.21,6925.9435
002335.SZ,20150715,25.85,25.85,24.31,25.27,23.5,1.77,7.53,144945.58,369141.1984
002335.SZ,20150716,25.18,27.4,22.74,25.94,25.27,0.67,2.65,107455.68,273699.101
002335.SZ,20150717,26.2,28.53,26.01,28.53,25.94,2.59,9.98,82200.5,226246.8662
002335.SZ,20150720,28.8,31.38,28.8,31.38,28.53,2.85,9.99,90116.03,271757.6841
002335.SZ,20150721,30.95,34.52,30.1,34.52,31.38,3.14,10.01,91463.19,303589.401
002335.SZ,20150722,36.0,36.8,33.0,34.72,34.52,0.2,0.58,78381.15,270320.0831
002335.SZ,20150723,35.33,38.1,35.28,37.3,34.72,2.58,7.43,59916.83,216779.245
