ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002340.SZ,20150105,12.92,13.29,12.71,13.25,12.92,0.33,2.55,188662.71,246596.6624
002340.SZ,20150106,13.13,13.39,12.91,13.35,13.25,0.1,0.75,216476.91,285180.127
002340.SZ,20150107,13.5,13.58,13.22,13.33,13.35,-0.02,-0.15,159151.09,213392.5807
002340.SZ,20150108,13.33,13.42,13.04,13.11,13.33,-0.22,-1.65,114208.65,150721.0155
002340.SZ,20150109,13.1,13.35,13.0,13.0,13.11,-0.11,-0.84,107610.2,141847.539
002340.SZ,20150112,12.91,13.16,12.73,12.78,13.0,-0.22,-1.69,106036.0,136875.658
002340.SZ,20150113,12.79,13.13,12.79,13.1,12.78,0.32,2.5,101722.93,132281.6177
002340.SZ,20150114,13.1,13.2,12.91,12.97,13.1,-0.13,-0.99,83721.87,109139.414
002340.SZ,20150115,12.94,13.09,12.86,13.0,12.97,0.03,0.23,83331.16,108222.5659
002340.SZ,20150116,13.05,13.39,12.98,13.39,13.0,0.39,3.0,171973.2,227667.9147
002340.SZ,20150119,13.13,13.74,13.0,13.22,13.39,-0.17,-1.27,288228.38,386750.7014
002340.SZ,20150120,13.23,13.8,13.23,13.75,13.22,0.53,4.01,259942.08,354644.2712
002340.SZ,20150121,13.82,14.32,13.7,14.0,13.75,0.25,1.82,319800.19,450858.7423
002340.SZ,20150122,14.03,14.28,13.93,14.0,14.0,0.0,0.0,222777.66,313363.6957
002340.SZ,20150123,14.11,14.6,14.02,14.23,14.0,0.23,1.64,318594.85,456894.3841
002340.SZ,20150126,14.25,14.75,14.22,14.53,14.18,0.35,2.47,272851.42,395086.4082
002340.SZ,20150127,14.62,14.99,14.34,14.6,14.53,0.07,0.48,289584.12,424937.3073
002340.SZ,20150128,14.67,15.15,14.62,15.02,14.6,0.42,2.88,214703.44,321440.6843
002340.SZ,20150217,16.0,16.52,15.3,16.52,15.02,1.5,9.99,167994.57,274051.1336
002340.SZ,20150225,17.0,17.29,15.99,16.28,16.52,-0.24,-1.45,442427.79,732563.0346
002340.SZ,20150226,16.27,16.63,15.95,16.18,16.28,-0.1,-0.61,245402.37,397882.781
