ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002353.SZ,20150105,30.56,32.07,29.81,31.74,30.57,1.17,3.83,177652.12,552540.9602
002353.SZ,20150106,31.01,32.3,30.86,32.03,31.74,0.29,0.91,152239.79,482069.1842
002353.SZ,20150107,31.8,31.86,31.2,31.29,32.03,-0.74,-2.31,104870.63,329825.3565
002353.SZ,20150108,31.33,32.9,31.31,32.45,31.29,1.16,3.71,213214.44,688950.6623
002353.SZ,20150109,32.39,33.7,32.26,33.0,32.45,0.55,1.69,259459.47,863497.798
002353.SZ,20150112,32.7,34.38,32.6,33.85,33.0,0.85,2.58,187804.54,633530.1498
002353.SZ,20150113,33.63,34.48,33.11,34.09,33.85,0.24,0.71,197955.36,671005.779
002353.SZ,20150114,34.12,34.54,33.57,33.87,34.09,-0.22,-0.65,134572.93,457976.7341
002353.SZ,20150115,34.11,34.64,33.7,33.78,33.87,-0.09,-0.27,141922.98,483749.4692
002353.SZ,20150116,33.85,34.08,33.18,33.78,33.78,0.0,0.0,141975.61,477255.8772
002353.SZ,20150119,33.2,34.75,33.0,33.98,33.78,0.2,0.59,260640.39,892379.1526
002353.SZ,20150120,34.1,36.99,34.05,36.62,33.98,2.64,7.77,363907.35,1289247.0889
002353.SZ,20150121,36.54,36.95,36.1,36.56,36.62,-0.06,-0.16,235068.84,855515.1057
002353.SZ,20150122,36.25,38.34,36.25,37.76,36.56,1.2,3.28,303957.07,1142405.2201
002353.SZ,20150123,37.85,38.08,36.8,36.85,37.76,-0.91,-2.41,203794.88,757845.2252
002353.SZ,20150126,36.93,37.36,36.13,36.86,36.85,0.01,0.03,148274.97,543003.8454
002353.SZ,20150127,36.77,37.35,36.34,36.8,36.86,-0.06,-0.16,145209.13,533639.755
002353.SZ,20150128,36.72,36.97,35.77,36.0,36.8,-0.8,-2.17,140904.7,511201.6689
002353.SZ,20150129,35.75,35.75,34.7,34.79,36.0,-1.21,-3.36,177573.3,621833.0977
002353.SZ,20150130,34.76,35.55,34.61,35.15,34.79,0.36,1.03,122147.27,428403.4673
002353.SZ,20150202,34.5,35.54,34.35,34.66,35.15,-0.49,-1.39,118085.68,413480.2185
002353.SZ,20150203,35.01,36.08,35.01,35.97,34.66,1.31,3.78,163133.96,584776.0807
002353.SZ,20150204,36.36,37.09,35.36,35.38,35.97,-0.59,-1.64,183974.34,666264.3342
002353.SZ,20150205,35.4,35.45,34.3,34.45,35.38,-0.93,-2.63,132967.33,462083.3706
002353.SZ,20150206,34.49,34.94,34.01,34.31,34.45,-0.14,-0.41,75354.23,258906.7918
002353.SZ,20150209,34.38,34.77,34.04,34.2,34.31,-0.11,-0.32,60107.44,206845.0247
002353.SZ,20150210,34.44,34.68,33.9,34.59,34.2,0.39,1.14,85186.06,292118.5118
002353.SZ,20150211,34.5,34.7,34.12,34.3,34.59,-0.29,-0.84,84302.05,290421.3235
002353.SZ,20150212,34.15,34.58,34.03,34.46,34.3,0.16,0.47,79041.41,271448.919
002353.SZ,20150213,34.73,35.36,34.67,35.12,34.46,0.66,1.92,128955.23,451782.193
002353.SZ,20150216,35.41,35.68,35.0,35.23,35.12,0.11,0.31,109305.97,385500.3958
002353.SZ,20150217,35.2,35.35,33.96,34.1,35.23,-1.13,-3.21,271169.18,931861.6944
002353.SZ,20150225,34.03,34.03,33.01,33.12,34.1,-0.98,-2.87,200272.06,667556.1989
002353.SZ,20150226,33.4,34.01,33.13,34.01,33.12,0.89,2.69,167045.93,560187.6832
002353.SZ,20150227,34.01,34.18,33.8,33.95,34.01,-0.06,-0.18,175849.76,597073.1635
002353.SZ,20150302,34.15,34.81,33.93,34.8,33.95,0.85,2.5,249278.55,860407.1262
002353.SZ,20150303,34.68,35.05,33.9,33.95,34.8,-0.85,-2.44,259404.0,894072.1733
002353.SZ,20150304,34.02,35.38,34.02,35.36,33.95,1.41,4.15,296702.95,1035597.8329
002353.SZ,20150305,35.55,36.07,35.22,35.97,35.36,0.61,1.73,279280.93,996123.4404
002353.SZ,20150306,35.99,36.13,35.25,35.34,35.97,-0.63,-1.75,175522.99,623278.0743
002353.SZ,20150309,35.2,35.23,34.34,35.03,35.34,-0.31,-0.88,155933.48,541684.4205
002353.SZ,20150310,35.03,35.67,34.85,35.24,35.03,0.21,0.6,161436.09,570471.8069
002353.SZ,20150311,35.08,35.18,34.65,34.91,35.24,-0.33,-0.94,141114.85,492017.7817
002353.SZ,20150312,34.95,35.73,34.94,35.35,34.91,0.44,1.26,196308.88,694657.1441
002353.SZ,20150313,35.47,35.75,35.3,35.6,35.35,0.25,0.71,171439.04,609017.8622
002353.SZ,20150316,35.61,36.56,35.61,36.49,35.6,0.89,2.5,345555.35,1245595.4487
002353.SZ,20150317,36.51,36.85,36.01,36.33,36.49,-0.16,-0.44,339587.96,1235201.202
002353.SZ,20150318,36.28,37.57,36.07,37.49,36.33,1.16,3.19,386138.9,1427632.6484
002353.SZ,20150319,37.52,37.83,36.84,37.42,37.49,-0.07,-0.19,324055.2,1209450.0954
002353.SZ,20150320,37.43,37.67,36.9,37.03,37.42,-0.39,-1.04,301132.67,1119058.3177
002353.SZ,20150323,37.21,38.52,37.21,38.5,37.03,1.47,3.97,415749.4,1580915.5243
002353.SZ,20150324,38.75,38.79,37.01,38.05,38.5,-0.45,-1.17,391961.02,1489333.6064
002353.SZ,20150325,38.09,39.5,37.53,39.09,38.05,1.04,2.73,400842.53,1533924.8193
002353.SZ,20150326,39.1,41.28,38.59,40.49,39.09,1.4,3.58,555970.03,2227906.5532
002353.SZ,20150327,41.38,41.98,40.08,40.3,40.49,-0.19,-0.47,367239.97,1497171.0241
002353.SZ,20150330,40.2,41.41,39.7,40.35,40.3,0.05,0.12,348192.76,1410054.4479
002353.SZ,20150331,39.07,39.6,38.1,38.45,40.35,-1.9,-4.71,550020.29,2132931.9452
002353.SZ,20150401,38.29,38.77,38.11,38.65,38.45,0.2,0.52,359207.18,1381708.8476
002353.SZ,20150402,38.98,39.17,38.5,39.13,38.65,0.48,1.24,356652.87,1384973.3857
002353.SZ,20150403,38.86,39.29,38.61,38.99,39.13,-0.14,-0.36,302779.33,1179907.3129
002353.SZ,20150407,39.38,40.49,39.07,40.4,38.99,1.41,3.62,469205.02,1864960.6969
002353.SZ,20150408,40.79,40.85,39.03,39.45,40.4,-0.95,-2.35,381135.12,1515596.3467
002353.SZ,20150409,39.22,39.4,37.48,38.18,39.45,-1.27,-3.22,345378.38,1321214.3388
002353.SZ,20150410,38.15,38.93,37.65,38.76,38.18,0.58,1.52,226199.2,872818.2324
002353.SZ,20150413,38.82,39.98,38.45,39.61,38.76,0.85,2.19,389267.33,1526950.8076
002353.SZ,20150414,39.5,40.0,39.02,39.18,39.61,-0.43,-1.09,290200.68,1145506.3025
002353.SZ,20150415,39.1,39.1,37.36,37.85,39.18,-1.33,-3.39,275722.09,1051790.5256
002353.SZ,20150416,37.92,39.17,37.91,38.56,37.85,0.71,1.88,256574.5,990858.9558
002353.SZ,20150417,38.92,40.36,38.66,39.69,38.56,1.13,2.93,486461.98,1929677.8089
002353.SZ,20150420,39.62,40.8,38.8,39.44,39.69,-0.25,-0.63,458059.68,1826474.0335
