ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002361.SZ,20150512,9.14,9.14,9.14,9.14,8.31,0.83,9.99,530.52,484.8953
002361.SZ,20150513,10.05,10.05,10.05,10.05,9.14,0.91,9.96,581.9,584.8095
002361.SZ,20150514,11.06,11.06,11.06,11.06,10.05,1.01,10.05,740.32,818.7939
002361.SZ,20150515,12.17,12.17,12.17,12.17,11.06,1.11,10.04,757.6,921.9992
002361.SZ,20150518,13.39,13.39,13.39,13.39,12.17,1.22,10.02,1526.5,2043.9835
002361.SZ,20150519,14.73,14.73,14.73,14.73,13.39,1.34,10.01,744.21,1096.2213
002361.SZ,20150520,16.2,16.2,16.2,16.2,14.73,1.47,9.98,637.16,1032.1992
002361.SZ,20150521,17.82,17.82,17.82,17.82,16.2,1.62,10.0,471.15,839.5893
002361.SZ,20150522,19.6,19.6,19.6,19.6,17.82,1.78,9.99,1294.25,2536.73
002361.SZ,20150525,21.56,21.56,21.56,21.56,19.6,1.96,10.0,4178.92,9009.7515
002361.SZ,20150526,23.72,23.72,23.72,23.72,21.56,2.16,10.02,9814.11,23279.0689
002361.SZ,20150527,26.09,26.09,26.09,26.09,23.72,2.37,9.99,2946.78,7688.149
002361.SZ,20150528,28.7,28.7,28.7,28.7,26.09,2.61,10.0,3487.19,10008.2353
002361.SZ,20150529,31.57,31.57,26.0,31.57,28.7,2.87,10.0,543853.43,1664241.9273
002361.SZ,20150601,31.87,34.0,30.8,32.11,31.57,0.54,1.71,387508.41,1251954.6101
002361.SZ,20150602,31.22,33.98,30.85,32.9,32.11,0.79,2.46,317319.05,1020612.3475
002361.SZ,20150603,32.38,34.69,32.0,33.05,32.9,0.15,0.46,234407.26,778832.3744
002361.SZ,20150604,31.8,32.8,29.75,29.93,33.05,-3.12,-9.44,214158.65,658324.207
002361.SZ,20150605,30.21,31.49,29.95,30.61,29.93,0.68,2.27,152533.29,466805.2245
002361.SZ,20150608,30.1,30.1,27.55,27.7,30.61,-2.91,-9.51,186807.63,527628.1552
002361.SZ,20150609,27.2,28.49,26.5,28.13,27.7,0.43,1.55,109124.92,302710.0993
002361.SZ,20150610,28.0,29.41,27.4,28.75,28.13,0.62,2.2,109616.48,313360.1034
002361.SZ,20150611,28.79,29.07,27.87,28.67,28.75,-0.08,-0.28,96703.49,275497.9023
002361.SZ,20150612,28.62,30.68,28.51,29.9,28.67,1.23,4.29,141480.53,421178.6372
002361.SZ,20150615,29.9,30.68,28.88,29.44,29.9,-0.46,-1.54,113693.8,338125.5881
002361.SZ,20150616,28.9,28.9,26.7,26.73,29.44,-2.71,-9.21,107352.2,297139.4383
002361.SZ,20150617,26.68,27.15,24.8,26.54,26.73,-0.19,-0.71,87444.37,227981.2113
002361.SZ,20150618,26.5,27.15,25.0,25.17,26.54,-1.37,-5.16,63061.68,166526.4435
002361.SZ,20150619,24.5,24.5,22.65,22.65,25.17,-2.52,-10.01,78410.36,182859.0837
002361.SZ,20150623,22.18,22.85,20.39,21.68,22.65,-0.97,-4.28,98391.9,211393.2454
002361.SZ,20150624,22.02,22.47,21.27,22.29,21.68,0.61,2.81,111107.45,244663.9535
002361.SZ,20150625,22.33,22.4,20.47,20.76,22.29,-1.53,-6.86,125557.71,268306.7472
002361.SZ,20150626,19.95,20.18,18.68,18.68,20.76,-2.08,-10.02,77812.99,150659.9669
002361.SZ,20150629,18.99,19.09,16.81,16.81,18.68,-1.87,-10.01,118282.54,207248.0927
002361.SZ,20150630,16.59,18.49,15.13,18.49,16.81,1.68,9.99,174723.24,295464.3361
002361.SZ,20150701,18.55,20.34,18.3,19.85,18.49,1.36,7.36,248348.94,494379.2135
002361.SZ,20150702,19.0,20.49,17.87,18.65,19.85,-1.2,-6.05,239310.48,460833.6073
002361.SZ,20150703,17.0,19.98,16.79,17.99,18.65,-0.66,-3.54,165037.2,299053.9431
002361.SZ,20150706,19.79,19.79,16.19,16.4,17.99,-1.59,-8.84,213832.0,378903.4868
002361.SZ,20150707,14.95,15.55,14.76,14.76,16.4,-1.64,-10.0,54350.3,80760.9856
002361.SZ,20150714,16.24,16.24,16.24,16.24,14.76,1.48,10.03,778.57,1264.3977
002361.SZ,20150715,17.86,17.86,15.49,16.12,16.24,-0.12,-0.74,236701.37,404668.1177
002361.SZ,20150716,16.08,16.85,14.6,15.89,16.12,-0.23,-1.43,153929.26,247286.7248
002361.SZ,20150717,15.96,17.48,15.96,17.48,15.89,1.59,10.01,141384.94,242129.7876
002361.SZ,20150720,17.88,19.15,17.88,18.82,17.48,1.34,7.67,218344.62,403706.945
002361.SZ,20150721,18.55,19.27,18.0,18.95,18.82,0.13,0.69,168507.87,316698.5427
002361.SZ,20150722,18.65,19.95,18.65,19.7,18.95,0.75,3.96,178283.85,346964.6498
002361.SZ,20150723,19.68,21.12,19.3,20.6,19.7,0.9,4.57,218152.1,439094.5688
002361.SZ,20150724,20.62,21.8,19.99,20.49,20.6,-0.11,-0.53,299596.72,620419.0861
002361.SZ,20150727,19.49,20.36,18.44,18.44,20.49,-2.05,-10.0,166925.26,323546.8078
002361.SZ,20150728,17.0,18.45,16.6,16.63,18.44,-1.81,-9.82,170676.27,291573.9215
002361.SZ,20150729,17.2,17.5,15.33,17.5,16.63,0.87,5.23,168958.27,282532.3043
002361.SZ,20150730,17.3,17.99,16.5,16.5,17.5,-1.0,-5.71,156321.6,272835.0142
002361.SZ,20150731,16.02,16.4,15.0,15.6,16.5,-0.9,-5.45,99236.82,157427.5616
002361.SZ,20150803,15.01,16.1,14.8,14.92,15.6,-0.68,-4.36,98803.42,151606.6029
002361.SZ,20150804,14.92,16.39,14.9,16.39,14.92,1.47,9.85,100074.22,156479.0028
002361.SZ,20150805,16.39,16.77,15.71,15.85,16.39,-0.54,-3.29,98346.85,159502.0396
002361.SZ,20150806,15.2,15.98,15.01,15.55,15.85,-0.3,-1.89,64809.8,100862.8622
002361.SZ,20150807,15.71,16.54,15.71,16.45,15.55,0.9,5.79,117998.87,190527.3332
002361.SZ,20150810,16.88,17.82,16.51,17.53,16.45,1.08,6.57,134208.34,230703.1727
002361.SZ,20150811,17.49,18.47,17.26,17.62,17.53,0.09,0.51,144634.76,257920.4854
002361.SZ,20150812,17.6,18.32,17.41,17.88,17.62,0.26,1.48,140754.09,253042.4208
002361.SZ,20150813,17.7,19.38,17.32,19.27,17.88,1.39,7.77,182850.64,333597.5942
002361.SZ,20150814,19.26,20.13,19.08,19.8,19.27,0.53,2.75,203268.25,401152.1526
002361.SZ,20150817,19.55,19.6,17.92,18.79,19.8,-1.01,-5.1,241680.38,448528.867
002361.SZ,20150818,18.51,18.68,16.91,16.91,18.79,-1.88,-10.01,151813.67,271074.0111
002361.SZ,20150819,16.06,17.29,15.34,17.22,16.91,0.31,1.83,121118.39,196839.9491
002361.SZ,20150820,18.48,18.94,17.8,18.93,17.22,1.71,9.93,303753.33,570565.1732
002361.SZ,20150821,18.0,18.35,17.04,17.04,18.93,-1.89,-9.98,213093.65,371304.2343
002361.SZ,20150824,15.66,16.2,15.34,15.34,17.04,-1.7,-9.98,85616.53,132032.2293
002361.SZ,20150825,13.81,14.2,13.81,13.81,15.34,-1.53,-9.97,86075.57,119222.0763
002361.SZ,20150826,13.88,14.2,12.51,12.53,13.81,-1.28,-9.27,140942.21,188345.6606
002361.SZ,20150908,13.0,13.48,12.55,13.3,12.53,0.77,6.15,105597.37,137321.0026
002361.SZ,20150909,13.13,14.03,13.06,13.87,13.3,0.57,4.29,121523.95,165442.6893
002361.SZ,20150910,13.5,13.81,13.06,13.1,13.87,-0.77,-5.55,85852.52,115693.9327
002361.SZ,20150911,13.1,13.46,12.91,13.25,13.1,0.15,1.15,63081.64,83193.8481
002361.SZ,20150914,13.26,13.42,11.93,11.93,13.25,-1.32,-9.96,64937.42,81610.4529
002361.SZ,20150915,11.37,11.45,10.74,10.74,11.93,-1.19,-9.97,65070.29,71396.0499
002361.SZ,20150916,10.66,11.81,10.32,11.71,10.74,0.97,9.03,83043.05,92255.5244
002361.SZ,20150917,11.5,12.17,11.17,11.17,11.71,-0.54,-4.61,88605.73,104176.4107
002361.SZ,20150918,11.31,11.49,10.9,11.36,11.17,0.19,1.7,62962.68,70863.5733
002361.SZ,20150921,11.26,12.02,11.1,11.99,11.36,0.63,5.55,71770.43,84006.4603
002361.SZ,20150922,12.06,12.33,11.81,12.09,11.99,0.1,0.83,88025.76,106917.8924
002361.SZ,20150923,11.8,12.13,11.68,11.94,12.09,-0.15,-1.24,62239.88,74042.0519
002361.SZ,20150924,12.0,12.45,12.0,12.37,11.94,0.43,3.6,72393.96,88648.9944
002361.SZ,20150925,12.3,13.14,11.99,12.14,12.37,-0.23,-1.86,120793.51,152278.8057
002361.SZ,20150928,12.06,12.43,11.6,12.4,12.14,0.26,2.14,71705.61,86312.365
002361.SZ,20150929,12.0,12.12,11.65,11.71,12.4,-0.69,-5.56,55026.37,65441.4182
002361.SZ,20150930,11.88,12.08,11.8,11.92,11.71,0.21,1.79,35170.6,42038.9261
002361.SZ,20151008,12.48,12.68,12.23,12.5,11.92,0.58,4.87,74462.09,92792.5544
002361.SZ,20151009,12.42,13.06,12.42,13.0,12.5,0.5,4.0,90953.25,116633.8595
002361.SZ,20151012,13.2,13.89,13.19,13.73,13.0,0.73,5.62,103811.85,141091.9129
002361.SZ,20151013,13.6,13.89,13.5,13.89,13.73,0.16,1.17,78999.41,108025.8716
002361.SZ,20151014,13.88,14.58,13.7,13.8,13.89,-0.09,-0.65,101953.13,143290.9351
002361.SZ,20151015,13.73,14.99,13.62,14.8,13.8,1.0,7.25,124680.34,177938.9768
002361.SZ,20151016,15.01,16.28,14.88,16.28,14.8,1.48,10.0,228324.69,357041.8663
002361.SZ,20151019,16.58,17.38,15.65,15.87,16.28,-0.41,-2.52,206608.37,340564.5023
002361.SZ,20151020,16.06,16.16,15.5,15.96,15.87,0.09,0.57,122642.7,194352.6961
002361.SZ,20151021,15.95,16.7,14.48,14.52,15.96,-1.44,-9.02,149386.32,234314.1175
002361.SZ,20151022,14.51,15.76,14.51,15.75,14.52,1.23,8.47,122045.99,183856.4434
002361.SZ,20151023,15.7,16.49,15.5,16.24,15.75,0.49,3.11,114639.26,182035.6059
002361.SZ,20151026,16.4,16.53,15.63,16.05,16.24,-0.19,-1.17,98898.42,158673.2946
002361.SZ,20151027,16.18,16.3,15.15,16.2,16.05,0.15,0.93,96437.19,152870.6281
002361.SZ,20151028,16.15,17.12,16.0,16.3,16.2,0.1,0.62,139617.41,230895.9454
002361.SZ,20151029,16.21,16.54,15.65,16.0,16.3,-0.3,-1.84,86985.17,140254.3443
002361.SZ,20151030,15.98,15.98,15.21,15.52,16.0,-0.48,-3.0,90279.26,140635.8035
002361.SZ,20151102,15.21,15.83,14.98,15.07,15.52,-0.45,-2.9,53701.49,81911.5943
002361.SZ,20151103,15.07,15.23,14.75,14.84,15.07,-0.23,-1.53,48750.25,73115.2624
002361.SZ,20151104,14.96,15.74,14.96,15.74,14.84,0.9,6.06,69425.79,107459.784
002361.SZ,20151105,15.74,16.19,15.4,16.16,15.74,0.42,2.67,111147.36,175351.1297
002361.SZ,20151106,16.18,16.55,16.1,16.34,16.16,0.18,1.11,93124.76,152544.9912
002361.SZ,20151109,16.05,16.97,15.98,16.91,16.34,0.57,3.49,135618.4,225357.9645
002361.SZ,20151110,16.8,17.1,16.36,16.69,16.91,-0.22,-1.3,123991.56,207763.8703
002361.SZ,20151111,16.65,17.55,16.51,17.51,16.69,0.82,4.91,117587.55,200212.1797
002361.SZ,20151112,17.55,17.97,16.86,17.08,17.51,-0.43,-2.46,111636.29,192524.707
002361.SZ,20151113,16.8,16.8,16.16,16.28,17.08,-0.8,-4.68,88931.0,146297.0943
002361.SZ,20151116,15.77,16.96,15.73,16.88,16.28,0.6,3.69,67091.58,110402.0105
002361.SZ,20151117,17.27,18.57,17.27,17.57,16.88,0.69,4.09,224311.21,403543.4241
002361.SZ,20151118,17.89,18.46,17.47,17.6,17.57,0.03,0.17,177739.68,319290.8024
002361.SZ,20151119,17.3,18.0,17.3,18.0,17.6,0.4,2.27,106268.19,187877.5237
002361.SZ,20151120,18.11,19.58,18.11,18.84,18.0,0.84,4.67,157870.49,298278.8324
002361.SZ,20151123,19.1,20.09,18.9,19.73,18.84,0.89,4.72,192541.99,377141.8891
002361.SZ,20151124,19.8,19.99,18.95,19.46,19.73,-0.27,-1.37,117582.52,227754.6588
002361.SZ,20151125,19.34,20.15,19.23,19.65,19.46,0.19,0.98,118406.93,232675.3397
002361.SZ,20151126,19.41,19.74,19.02,19.11,19.65,-0.54,-2.75,104271.37,201404.6003
002361.SZ,20151127,19.18,19.48,17.2,17.4,19.11,-1.71,-8.95,100320.84,185147.7665
002361.SZ,20151130,17.36,17.6,15.67,16.83,17.4,-0.57,-3.28,104916.1,174552.5565
002361.SZ,20151201,16.8,17.05,16.31,16.93,16.83,0.1,0.59,59488.54,99500.0516
002361.SZ,20151202,16.9,17.0,15.88,16.41,16.93,-0.52,-3.07,51074.68,83660.1086
002361.SZ,20151203,16.66,17.28,16.6,17.18,16.41,0.77,4.69,75973.56,128993.6198
002361.SZ,20151204,17.1,17.29,16.9,16.99,17.18,-0.19,-1.11,56303.32,96181.7021
002361.SZ,20151207,16.96,17.2,16.51,17.13,16.99,0.14,0.82,57001.08,96448.8873
002361.SZ,20151208,17.2,18.79,17.19,18.12,17.13,0.99,5.78,138525.82,248791.6301
002361.SZ,20151209,17.8,18.73,17.4,18.33,18.12,0.21,1.16,107696.14,193507.499
002361.SZ,20151210,17.95,18.63,17.37,17.39,18.33,-0.94,-5.13,74508.92,133383.6686
002361.SZ,20151211,17.39,17.39,16.44,16.53,17.39,-0.86,-4.95,66920.25,111787.5084
002361.SZ,20151214,16.18,17.06,16.0,16.99,16.53,0.46,2.78,47674.87,79273.514
002361.SZ,20151215,17.03,17.56,16.8,17.17,16.99,0.18,1.06,43266.46,74739.7656
002361.SZ,20151216,17.06,17.66,17.06,17.25,17.17,0.08,0.47,49451.41,86171.5282
002361.SZ,20151217,17.38,17.95,17.25,17.94,17.25,0.69,4.0,75136.97,133305.8351
002361.SZ,20151218,17.9,18.34,17.65,17.82,17.94,-0.12,-0.67,68392.16,122654.9741
002361.SZ,20151221,17.69,17.81,17.2,17.66,17.82,-0.16,-0.9,62615.0,109501.8423
002361.SZ,20151222,17.6,18.09,17.56,17.99,17.66,0.33,1.87,70470.34,126165.071
002361.SZ,20151223,17.9,17.93,16.8,17.02,17.99,-0.97,-5.39,138294.32,239029.4565
002361.SZ,20151224,16.83,17.34,16.41,16.68,17.02,-0.34,-2.0,129284.61,214609.7487
002361.SZ,20151225,16.68,17.2,16.53,16.91,16.68,0.23,1.38,82136.06,138541.9101
002361.SZ,20151228,16.91,17.17,16.3,16.31,16.91,-0.6,-3.55,73201.42,122380.3056
002361.SZ,20151229,16.3,16.51,15.88,16.49,16.31,0.18,1.1,65667.23,106138.2008
002361.SZ,20151230,16.45,16.58,16.22,16.45,16.49,-0.04,-0.24,80966.09,133176.3514
002361.SZ,20151231,16.5,16.74,16.23,16.26,16.45,-0.19,-1.16,60247.05,99130.8427
002361.SZ,20160104,16.32,16.32,14.63,14.63,16.26,-1.63,-10.02,76869.16,116381.8935
002361.SZ,20160105,13.88,14.63,13.33,14.09,14.63,-0.54,-3.69,101660.71,142131.7203
002361.SZ,20160106,14.18,14.51,13.98,14.34,14.09,0.25,1.77,62299.02,88813.2079
002361.SZ,20160107,14.1,14.1,12.91,12.91,14.34,-1.43,-9.97,16817.0,22645.9817
002361.SZ,20160108,13.3,13.78,12.04,13.0,12.91,0.09,0.7,68407.53,89150.0125
002361.SZ,20160111,12.52,13.38,12.2,12.48,13.0,-0.52,-4.0,84902.18,109771.8499
002361.SZ,20160112,12.7,12.92,12.11,12.73,12.48,0.25,2.0,43365.65,54919.6127
002361.SZ,20160113,12.72,13.0,11.8,11.8,12.73,-0.93,-7.31,42689.17,53691.3418
002361.SZ,20160114,11.6,12.56,11.38,12.42,11.8,0.62,5.25,48088.16,57377.3907
002361.SZ,20160115,12.42,12.84,12.06,12.19,12.42,-0.23,-1.85,71066.01,89135.3059
002361.SZ,20160118,12.1,12.62,11.94,12.45,12.19,0.26,2.13,50929.56,63017.7826
002361.SZ,20160119,12.52,13.09,12.36,13.01,12.45,0.56,4.5,58124.33,74110.7435
002361.SZ,20160120,13.1,13.3,12.65,13.06,13.01,0.05,0.38,75789.07,98593.9736
002361.SZ,20160121,12.95,13.11,12.45,12.48,13.06,-0.58,-4.44,51520.72,66136.7947
