ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002388.SZ,20150105,13.45,13.5,13.1,13.49,13.38,0.11,0.82,25924.03,34644.8006
002388.SZ,20150106,13.5,14.13,13.3,14.06,13.49,0.57,4.23,38162.06,52666.1298
002388.SZ,20150107,14.07,14.13,13.81,13.9,14.06,-0.16,-1.14,22125.51,30731.9401
002388.SZ,20150108,13.9,14.16,13.82,13.99,13.9,0.09,0.65,22075.05,30909.3699
002388.SZ,20150109,13.9,14.06,13.7,13.71,13.99,-0.28,-2.0,20533.52,28580.9979
002388.SZ,20150112,13.66,13.66,13.29,13.3,13.71,-0.41,-2.99,17051.09,22819.2249
002388.SZ,20150113,13.36,13.58,13.29,13.56,13.3,0.26,1.95,15468.1,20842.8626
002388.SZ,20150114,13.58,14.0,13.51,13.83,13.56,0.27,1.99,23156.88,31944.7527
002388.SZ,20150115,13.87,14.07,13.7,13.81,13.83,-0.02,-0.14,21019.83,29123.7821
002388.SZ,20150116,13.83,14.0,13.77,13.94,13.81,0.13,0.94,16932.85,23548.3923
002388.SZ,20150119,13.74,14.55,13.31,14.19,13.94,0.25,1.79,52224.2,73734.3892
002388.SZ,20150120,14.11,14.8,14.05,14.8,14.19,0.61,4.3,52745.38,77001.9555
002388.SZ,20150121,14.92,15.14,14.68,14.99,14.8,0.19,1.28,43583.6,64959.3268
002388.SZ,20150122,14.99,15.38,14.8,15.24,14.99,0.25,1.67,37285.68,56704.8583
002388.SZ,20150123,15.22,15.41,15.1,15.19,15.24,-0.05,-0.33,39185.63,59596.2369
002388.SZ,20150126,14.9,16.64,14.79,16.29,15.19,1.1,7.24,109475.07,174576.1587
002388.SZ,20150127,16.29,16.51,15.89,16.25,16.29,-0.04,-0.25,49648.07,80441.6223
002388.SZ,20150128,16.24,16.6,15.92,16.29,16.25,0.04,0.25,41518.42,67595.9546
002388.SZ,20150129,16.27,17.2,16.27,16.93,16.29,0.64,3.93,73356.79,123216.9243
002388.SZ,20150130,16.95,17.2,16.81,16.98,16.93,0.05,0.3,51215.35,87035.9058
002388.SZ,20150202,16.98,17.25,16.55,17.1,16.98,0.12,0.71,52037.09,88033.1917
002388.SZ,20150203,17.1,17.38,16.93,17.18,17.1,0.08,0.47,39669.32,68198.6706
002388.SZ,20150204,17.1,17.87,17.01,17.71,17.18,0.53,3.09,54182.04,95187.6664
002388.SZ,20150205,17.7,18.16,17.5,18.05,17.71,0.34,1.92,48301.03,86746.4207
002388.SZ,20150206,18.05,18.47,16.48,16.83,18.05,-1.22,-6.76,91632.86,160211.4782
002388.SZ,20150209,16.7,17.46,16.58,17.03,16.83,0.2,1.19,31074.76,53173.1704
002388.SZ,20150210,17.03,17.44,16.93,17.43,17.03,0.4,2.35,31674.49,54809.1348
002388.SZ,20150211,17.25,17.81,17.25,17.66,17.43,0.23,1.32,20207.73,35679.9781
002388.SZ,20150212,17.71,17.82,17.41,17.73,17.66,0.07,0.4,54182.69,95770.9885
002388.SZ,20150213,17.72,18.4,17.72,18.35,17.73,0.62,3.5,60354.65,110185.5492
002388.SZ,20150216,18.39,18.8,18.12,18.56,18.35,0.21,1.14,40226.03,74496.5188
002388.SZ,20150217,18.48,18.48,17.8,18.2,18.56,-0.36,-1.94,31038.72,56393.0738
002388.SZ,20150225,19.1,19.1,17.31,17.84,18.2,-0.36,-1.98,24640.09,44509.749
002388.SZ,20150226,17.79,18.0,17.4,17.66,17.84,-0.18,-1.01,20609.24,36394.206
002388.SZ,20150227,17.13,17.92,17.13,17.57,17.66,-0.09,-0.51,49859.6,87923.9867
002388.SZ,20150302,17.59,17.91,17.38,17.91,17.57,0.34,1.94,34578.5,60901.177
002388.SZ,20150303,17.84,17.84,17.45,17.59,17.91,-0.32,-1.79,35838.5,62949.3493
002388.SZ,20150304,18.12,18.12,17.57,17.69,17.59,0.1,0.57,23871.82,42323.0379
002388.SZ,20150305,17.15,17.68,17.15,17.3,17.69,-0.39,-2.2,29194.36,50817.0332
002388.SZ,20150306,17.44,17.57,16.97,17.0,17.3,-0.3,-1.73,25139.0,43141.7494
002388.SZ,20150309,17.0,17.9,17.0,17.7,17.0,0.7,4.12,21197.43,36972.7267
002388.SZ,20150310,17.8,18.1,17.6,18.02,17.7,0.32,1.81,36425.41,65139.6339
002388.SZ,20150311,17.98,18.1,17.53,17.68,18.02,-0.34,-1.89,21996.12,38974.0698
002388.SZ,20150312,17.68,18.0,17.46,17.95,17.68,0.27,1.53,30105.61,53547.8886
002388.SZ,20150313,17.99,18.48,17.95,18.4,17.95,0.45,2.51,37394.22,68260.0424
002388.SZ,20150316,18.46,19.0,18.35,18.88,18.4,0.48,2.61,52450.31,98079.8895
002388.SZ,20150317,18.88,19.0,18.48,18.7,18.88,-0.18,-0.95,62112.26,116647.0836
002388.SZ,20150318,18.7,19.2,18.66,19.0,18.7,0.3,1.6,97000.46,183854.6711
002388.SZ,20150319,19.0,19.2,18.83,19.07,19.0,0.07,0.37,45453.72,86486.4593
002388.SZ,20150320,19.15,19.96,18.91,18.91,19.07,-0.16,-0.84,61867.93,119872.107
002388.SZ,20150323,18.9,20.8,18.7,20.8,18.91,1.89,9.99,93539.75,187741.9956
002388.SZ,20150324,21.5,22.88,21.5,22.88,20.8,2.08,10.0,212671.29,474626.1413
002388.SZ,20150325,22.68,23.0,22.01,22.49,22.88,-0.39,-1.7,103453.04,232778.9079
002388.SZ,20150326,22.5,22.5,21.0,21.6,22.49,-0.89,-3.96,74010.66,160013.1536
002388.SZ,20150327,21.59,21.95,21.1,21.81,21.6,0.21,0.97,37934.84,81550.0039
002388.SZ,20150330,21.81,21.86,21.22,21.53,21.81,-0.28,-1.28,37179.99,80225.352
002388.SZ,20150331,21.49,22.58,21.1,21.91,21.53,0.38,1.77,56129.37,122469.2771
002388.SZ,20150401,22.02,22.8,21.8,22.6,21.91,0.69,3.15,51944.28,116038.3347
002388.SZ,20150402,22.65,23.38,22.22,22.39,22.6,-0.21,-0.93,69754.6,158737.7754
002388.SZ,20150403,22.42,23.19,21.66,22.53,22.39,0.14,0.63,61596.83,138622.3828
002388.SZ,20150407,22.54,23.38,22.48,22.78,22.53,0.25,1.11,66309.33,151410.5749
002388.SZ,20150408,22.63,22.78,21.3,21.47,22.78,-1.31,-5.75,76272.99,167008.812
002388.SZ,20150409,21.3,21.3,19.89,21.0,21.47,-0.47,-2.19,67731.07,139730.1217
002388.SZ,20150410,20.87,21.98,20.49,21.75,21.0,0.75,3.57,64670.33,137015.3381
002388.SZ,20150413,21.75,22.36,21.55,22.01,21.75,0.26,1.2,54610.01,119866.1951
002388.SZ,20150414,22.35,22.35,21.1,21.59,22.01,-0.42,-1.91,50544.77,109283.051
002388.SZ,20150415,21.42,21.54,20.28,20.4,21.59,-1.19,-5.51,35769.24,74519.5056
002388.SZ,20150416,20.3,21.0,19.65,20.44,20.4,0.04,0.2,28433.39,57952.8782
002388.SZ,20150417,20.45,21.2,20.45,20.5,20.44,0.06,0.29,33484.31,69135.7446
002388.SZ,20150420,20.34,20.39,19.38,19.39,20.5,-1.11,-5.41,49550.36,97967.0175
002388.SZ,20150421,19.39,19.97,19.39,19.93,19.39,0.54,2.78,31191.92,61613.6221
