ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002393.SZ,20150105,32.05,32.66,31.91,32.55,32.03,0.52,1.62,14027.29,45332.7448
002393.SZ,20150106,32.54,33.33,32.28,33.3,32.55,0.75,2.3,22236.22,73391.2112
002393.SZ,20150107,33.21,33.3,32.69,32.89,33.3,-0.41,-1.23,14928.7,49232.74
002393.SZ,20150108,32.88,33.29,32.79,33.09,32.89,0.2,0.61,11054.68,36601.2882
002393.SZ,20150109,33.19,33.32,33.0,33.08,33.09,-0.01,-0.03,13774.61,45720.5229
002393.SZ,20150112,33.1,33.12,32.62,32.95,33.08,-0.13,-0.39,12048.11,39571.7143
002393.SZ,20150113,32.95,33.11,32.81,33.11,32.95,0.16,0.49,10071.3,33238.9017
002393.SZ,20150114,33.08,33.48,33.0,33.43,33.11,0.32,0.97,16163.18,53792.9155
002393.SZ,20150115,33.42,33.56,33.18,33.39,33.43,-0.04,-0.12,11626.75,38728.1661
002393.SZ,20150116,33.58,33.6,33.33,33.55,33.39,0.16,0.48,11944.36,40003.2826
002393.SZ,20150119,33.13,33.77,32.51,32.71,33.55,-0.84,-2.5,22745.46,75646.5789
002393.SZ,20150120,32.89,33.8,32.8,33.65,32.71,0.94,2.87,17480.38,58568.2963
002393.SZ,20150121,33.7,34.4,33.7,34.34,33.65,0.69,2.05,28711.45,98191.0038
002393.SZ,20150122,34.35,34.41,34.0,34.35,34.34,0.01,0.03,20034.35,68634.247
002393.SZ,20150123,34.36,34.67,34.18,34.45,34.35,0.1,0.29,24789.59,85373.4308
002393.SZ,20150126,34.5,35.07,34.32,35.06,34.45,0.61,1.77,25357.51,87978.551
002393.SZ,20150127,35.0,35.19,34.51,34.82,35.06,-0.24,-0.68,21367.06,74467.1516
002393.SZ,20150128,34.7,34.93,34.39,34.91,34.82,0.09,0.26,19635.01,68076.0732
002393.SZ,20150129,34.69,35.17,34.51,34.77,34.91,-0.14,-0.4,15698.05,54796.3737
002393.SZ,20150130,34.71,35.0,34.29,34.29,34.77,-0.48,-1.38,13227.54,45791.4851
002393.SZ,20150202,34.0,34.43,33.9,34.22,34.29,-0.07,-0.2,10682.48,36506.4805
002393.SZ,20150203,34.14,34.39,34.05,34.32,34.22,0.1,0.29,12458.68,42634.6545
002393.SZ,20150204,34.3,34.38,33.96,33.98,34.32,-0.34,-0.99,12589.84,43013.1472
002393.SZ,20150205,34.16,34.19,33.8,33.8,33.98,-0.18,-0.53,13563.96,46092.2262
002393.SZ,20150206,33.7,33.75,32.77,32.83,33.8,-0.97,-2.87,19906.83,66142.3664
002393.SZ,20150209,32.88,33.04,32.75,32.8,32.83,-0.03,-0.09,13084.86,43041.1078
002393.SZ,20150210,32.79,32.93,32.65,32.78,32.8,-0.02,-0.06,14306.78,46901.3663
002393.SZ,20150211,32.8,33.18,32.8,33.17,32.78,0.39,1.19,7975.18,26318.95
002393.SZ,20150212,33.11,33.29,33.0,33.22,33.17,0.05,0.15,9686.36,32150.6187
002393.SZ,20150213,33.22,33.77,33.22,33.57,33.22,0.35,1.05,17520.71,58862.6116
002393.SZ,20150216,33.59,33.94,33.52,33.85,33.57,0.28,0.83,14261.16,48222.6807
002393.SZ,20150217,33.92,34.2,33.8,33.8,33.85,-0.05,-0.15,14288.27,48501.5706
002393.SZ,20150225,33.9,34.3,33.75,34.28,33.8,0.48,1.42,19065.09,64895.2158
002393.SZ,20150226,34.25,34.35,34.07,34.3,34.28,0.02,0.06,15524.45,53148.7678
002393.SZ,20150227,34.29,34.45,34.18,34.33,34.3,0.03,0.09,16876.78,57913.9191
002393.SZ,20150302,34.02,34.54,33.9,34.5,34.33,0.17,0.5,32442.46,110939.1294
002393.SZ,20150303,34.48,34.52,34.11,34.35,34.5,-0.15,-0.43,26063.08,89516.8121
002393.SZ,20150304,34.3,34.87,34.16,34.8,34.35,0.45,1.31,31667.61,109508.2839
002393.SZ,20150305,34.8,35.34,34.64,35.16,34.8,0.36,1.03,29984.88,105057.6212
002393.SZ,20150306,35.15,35.3,34.32,34.37,35.16,-0.79,-2.25,27585.44,95669.5528
002393.SZ,20150309,34.33,34.98,34.21,34.79,34.37,0.42,1.22,20682.48,71656.6825
002393.SZ,20150310,34.79,35.39,34.7,35.0,34.79,0.21,0.6,31468.71,110507.6983
002393.SZ,20150311,35.04,35.75,35.01,35.55,35.0,0.55,1.57,28378.14,100395.0011
002393.SZ,20150312,35.57,36.68,35.43,36.36,35.55,0.81,2.28,48115.0,174244.4501
002393.SZ,20150313,36.2,36.41,36.03,36.1,36.36,-0.26,-0.72,24518.21,88702.697
002393.SZ,20150316,36.2,37.02,36.2,36.85,36.1,0.75,2.08,25783.16,94820.2171
002393.SZ,20150317,36.85,37.1,36.57,36.91,36.85,0.06,0.16,29996.04,110518.8904
002393.SZ,20150318,36.9,37.36,36.0,37.12,36.91,0.21,0.57,29928.98,110766.4184
002393.SZ,20150319,37.09,37.48,36.86,37.03,37.12,-0.09,-0.24,34305.98,127279.548
002393.SZ,20150320,37.02,38.95,36.99,38.2,37.03,1.17,3.16,44731.66,170506.4554
002393.SZ,20150323,38.2,39.96,38.0,39.68,38.2,1.48,3.87,56020.77,218497.9814
002393.SZ,20150324,39.6,40.0,38.31,39.04,39.68,-0.64,-1.61,47334.12,185246.5241
002393.SZ,20150325,39.38,39.9,39.02,39.8,39.04,0.76,1.95,37172.02,146794.8876
002393.SZ,20150326,39.48,40.78,38.83,39.02,39.8,-0.78,-1.96,44006.39,174899.2545
002393.SZ,20150327,38.89,39.29,38.71,39.17,39.02,0.15,0.38,28570.66,111350.6707
002393.SZ,20150330,39.18,39.77,39.0,39.46,39.17,0.29,0.74,28857.23,113693.5104
002393.SZ,20150331,38.74,38.74,37.8,38.15,39.46,-1.31,-3.32,82933.36,317483.564
002393.SZ,20150401,38.06,38.88,38.02,38.7,38.15,0.55,1.44,42599.64,164079.2051
002393.SZ,20150402,38.71,39.74,38.71,39.5,38.7,0.8,2.07,46650.02,183510.9687
002393.SZ,20150403,39.29,40.1,39.1,39.91,39.5,0.41,1.04,49626.67,197440.5905
002393.SZ,20150407,40.01,40.68,39.92,40.37,39.91,0.46,1.15,42111.24,169757.1313
002393.SZ,20150408,40.37,42.07,40.08,41.3,40.37,0.93,2.3,70641.87,289954.0141
002393.SZ,20150409,41.03,41.2,39.05,40.27,41.3,-1.03,-2.49,39121.58,156774.5136
002393.SZ,20150410,40.3,41.0,40.0,40.98,40.27,0.71,1.76,42256.24,172085.9186
002393.SZ,20150413,40.98,44.98,40.98,43.81,40.98,2.83,6.91,67847.06,293197.4078
002393.SZ,20150414,43.7,44.5,42.96,43.08,43.81,-0.73,-1.67,47768.88,208320.3823
002393.SZ,20150415,43.0,43.26,41.22,41.59,43.08,-1.49,-3.46,44102.37,185691.0025
002393.SZ,20150416,41.21,44.2,40.66,42.74,41.59,1.15,2.77,47924.84,204226.2344
002393.SZ,20150417,42.8,43.25,41.96,42.23,42.74,-0.51,-1.19,36165.75,153678.3482
002393.SZ,20150420,41.99,41.99,40.28,40.5,42.23,-1.73,-4.1,45479.57,186890.2369
002393.SZ,20150421,40.54,41.69,40.54,41.66,40.5,1.16,2.86,29682.76,122523.1373
002393.SZ,20150422,41.8,42.58,41.8,42.37,41.66,0.71,1.7,32655.43,138182.0515
002393.SZ,20150423,42.42,42.7,41.9,42.7,42.37,0.33,0.78,41001.36,173633.5046
002393.SZ,20150424,42.2,42.58,41.72,42.3,42.7,-0.4,-0.94,41190.37,173816.5967
002393.SZ,20150427,42.33,43.58,42.33,43.0,42.3,0.7,1.65,44409.73,190949.6061
002393.SZ,20150428,43.09,43.36,40.88,41.4,43.0,-1.6,-3.72,34459.3,144974.6452
002393.SZ,20150429,41.39,42.07,41.21,41.81,41.4,0.41,0.99,22051.06,92009.5885
002393.SZ,20150430,42.2,43.7,42.12,42.21,41.81,0.4,0.96,30403.6,130206.7799
002393.SZ,20150504,42.06,43.32,42.06,43.0,42.21,0.79,1.87,30481.76,130615.095
002393.SZ,20150505,43.14,43.28,41.01,41.3,43.0,-1.7,-3.95,30888.76,130161.9076
002393.SZ,20150506,41.15,41.94,40.31,40.49,41.3,-0.81,-1.96,28022.22,116121.4375
002393.SZ,20150507,40.3,40.58,38.66,38.9,40.49,-1.59,-3.93,47834.74,188096.4591
002393.SZ,20150508,39.2,39.98,39.06,39.98,38.9,1.08,2.78,30524.84,120195.9284
002393.SZ,20150511,40.1,41.76,40.04,41.6,39.98,1.62,4.05,39089.52,160305.4053
