ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002400.SZ,20150105,21.67,21.9,20.85,21.37,21.67,-0.3,-1.38,112645.7,240357.0416
002400.SZ,20150106,21.25,23.51,21.0,23.1,21.37,1.73,8.1,183671.72,415875.6229
002400.SZ,20150107,22.91,23.21,22.48,22.61,23.1,-0.49,-2.12,72717.97,165601.1254
002400.SZ,20150108,22.56,23.19,22.22,22.75,22.61,0.14,0.62,99523.97,227620.4264
002400.SZ,20150109,22.63,24.3,22.61,23.2,22.75,0.45,1.98,167115.69,394617.0347
002400.SZ,20150112,23.12,25.0,23.08,24.75,23.2,1.55,6.68,201267.56,492281.4701
002400.SZ,20150113,24.79,27.2,24.75,25.98,24.75,1.23,4.97,219909.19,568330.4551
002400.SZ,20150114,26.0,26.81,25.4,25.97,25.98,-0.01,-0.04,105141.14,272861.77
002400.SZ,20150115,25.8,25.8,25.01,25.56,25.97,-0.41,-1.58,62798.02,159298.6296
002400.SZ,20150116,25.44,26.81,25.1,26.43,25.56,0.87,3.4,103910.61,271437.2972
002400.SZ,20150119,25.59,29.07,25.18,27.44,26.43,1.01,3.82,287988.22,802311.0855
002400.SZ,20150120,27.71,28.45,27.2,28.14,27.44,0.7,2.55,164342.37,457595.0118
002400.SZ,20150121,28.45,28.6,27.46,28.01,28.14,-0.13,-0.46,152756.69,425156.9759
002400.SZ,20150122,28.0,28.65,27.37,27.47,28.01,-0.54,-1.93,156139.55,434805.0205
002400.SZ,20150123,27.62,28.0,26.68,26.72,27.47,-0.75,-2.73,124702.0,341337.6454
002400.SZ,20150126,26.8,27.66,26.8,27.24,26.72,0.52,1.95,82271.99,224373.6498
002400.SZ,20150127,27.22,27.43,25.78,26.56,27.24,-0.68,-2.5,199479.41,528570.4191
002400.SZ,20150128,26.49,27.18,25.9,26.78,26.56,0.22,0.83,130031.22,346463.5322
002400.SZ,20150129,26.83,27.1,26.1,26.1,26.78,-0.68,-2.54,88580.47,235854.4605
002400.SZ,20150130,26.22,26.56,25.75,26.09,26.1,-0.01,-0.04,79763.84,207801.8955
002400.SZ,20150202,25.81,26.34,25.7,26.09,26.09,0.0,0.0,96991.99,252265.3515
002400.SZ,20150203,26.31,28.1,26.31,27.88,26.09,1.79,6.86,209174.25,576645.7229
002400.SZ,20150204,27.66,28.32,27.6,27.9,27.88,0.02,0.07,131184.95,367524.6135
002400.SZ,20150205,27.8,28.59,27.5,27.6,27.9,-0.3,-1.08,136003.1,382412.4322
002400.SZ,20150206,27.6,29.16,27.12,27.82,27.6,0.22,0.8,102199.16,286363.0755
002400.SZ,20150209,27.7,28.96,26.58,26.61,27.82,-1.21,-4.35,93615.91,261083.9099
002400.SZ,20150210,26.3,28.0,26.2,27.86,26.61,1.25,4.7,58871.5,160758.9168
002400.SZ,20150211,28.38,29.16,28.3,28.68,27.86,0.82,2.94,105401.63,303108.7726
002400.SZ,20150212,29.0,29.3,28.3,29.3,28.68,0.62,2.16,86581.5,250776.2852
002400.SZ,20150213,29.4,32.23,29.39,30.78,29.3,1.48,5.05,194665.87,602545.6836
002400.SZ,20150216,31.4,32.0,30.72,31.8,30.78,1.02,3.31,141776.22,446224.6221
002400.SZ,20150217,31.83,31.9,30.3,30.8,31.8,-1.0,-3.14,80474.1,248375.8621
002400.SZ,20150225,30.83,31.0,29.6,29.88,30.8,-0.92,-2.99,69948.91,209548.7119
002400.SZ,20150226,29.7,30.19,29.2,29.66,29.88,-0.22,-0.74,72489.4,214491.9931
002400.SZ,20150227,29.75,30.88,29.68,30.71,29.66,1.05,3.54,82636.67,251499.103
002400.SZ,20150302,30.72,30.73,29.58,30.09,30.71,-0.62,-2.02,114382.31,342926.2104
002400.SZ,20150303,29.92,29.92,28.54,29.0,30.09,-1.09,-3.62,166903.45,485277.3874
002400.SZ,20150304,28.99,30.2,28.83,29.82,29.0,0.82,2.83,134420.85,398527.6505
002400.SZ,20150305,29.83,30.48,28.88,29.16,29.82,-0.66,-2.21,117198.84,345877.4604
002400.SZ,20150306,29.32,29.32,28.33,28.42,29.16,-0.74,-2.54,78660.63,225229.4626
002400.SZ,20150309,28.2,28.98,28.03,28.91,28.42,0.49,1.72,74200.76,211188.3315
002400.SZ,20150310,28.7,29.48,28.61,29.19,28.91,0.28,0.97,92603.56,269168.8226
002400.SZ,20150311,29.16,29.3,28.63,28.68,29.19,-0.51,-1.75,81958.47,236467.8171
