ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002419.SZ,20150105,13.4,13.44,12.23,12.84,13.59,-0.75,-5.52,149426.3,190462.367
002419.SZ,20150106,12.6,12.96,12.41,12.85,12.84,0.01,0.08,73522.29,93740.905
002419.SZ,20150107,12.8,12.99,12.65,12.78,12.85,-0.07,-0.54,48815.3,62535.8987
002419.SZ,20150108,12.78,12.84,12.36,12.51,12.78,-0.27,-2.11,64163.88,80411.0897
002419.SZ,20150109,12.51,12.65,12.38,12.38,12.51,-0.13,-1.04,41619.84,52117.7271
002419.SZ,20150112,12.3,12.38,12.1,12.35,12.38,-0.03,-0.24,32482.79,39797.7298
002419.SZ,20150113,12.33,12.6,12.32,12.58,12.35,0.23,1.86,27159.4,33973.9335
002419.SZ,20150114,12.65,12.69,11.32,11.85,12.58,-0.73,-5.8,73819.24,88817.128
002419.SZ,20150115,11.8,11.85,11.5,11.84,11.85,-0.01,-0.08,62102.83,72542.4475
002419.SZ,20150116,11.77,12.06,11.76,12.01,11.84,0.17,1.44,46133.77,54810.2756
002419.SZ,20150119,11.9,12.08,11.48,11.6,12.01,-0.41,-3.41,39874.98,46865.7336
002419.SZ,20150120,11.71,11.98,11.63,11.94,11.6,0.34,2.93,34744.99,41158.3132
002419.SZ,20150121,11.98,12.23,11.96,12.19,11.94,0.25,2.09,43152.08,52457.2796
002419.SZ,20150122,12.2,12.47,12.13,12.33,12.19,0.14,1.15,45425.36,55832.5307
002419.SZ,20150123,12.34,12.42,12.12,12.18,12.33,-0.15,-1.22,34537.24,42245.1241
002419.SZ,20150126,12.19,12.5,12.15,12.48,12.18,0.3,2.46,48925.25,60550.4396
002419.SZ,20150127,12.48,12.89,12.42,12.64,12.48,0.16,1.28,60211.65,75936.2692
002419.SZ,20150128,12.6,12.69,12.34,12.43,12.64,-0.21,-1.66,35442.38,44270.7451
002419.SZ,20150129,12.31,12.48,12.24,12.39,12.43,-0.04,-0.32,38543.9,47510.0223
002419.SZ,20150130,12.28,12.42,12.02,12.2,12.39,-0.19,-1.53,29633.57,36159.7267
002419.SZ,20150202,12.1,12.28,11.91,12.25,12.2,0.05,0.41,18224.45,22171.7162
002419.SZ,20150203,12.26,12.47,12.21,12.42,12.25,0.17,1.39,28010.12,34584.9518
002419.SZ,20150204,12.41,12.5,12.26,12.28,12.42,-0.14,-1.13,23926.16,29658.5831
002419.SZ,20150205,12.4,12.48,12.25,12.31,12.28,0.03,0.24,49233.24,61031.3615
002419.SZ,20150206,12.26,12.29,11.83,11.86,12.31,-0.45,-3.66,29044.07,34805.7146
002419.SZ,20150209,11.83,12.0,11.76,11.81,11.86,-0.05,-0.42,17163.57,20392.751
002419.SZ,20150210,11.81,12.15,11.81,12.11,11.81,0.3,2.54,22055.82,26493.0676
002419.SZ,20150211,12.11,12.3,12.09,12.3,12.11,0.19,1.57,18717.57,22842.3
002419.SZ,20150212,12.3,12.39,12.2,12.31,12.3,0.01,0.08,21283.29,26212.1899
002419.SZ,20150213,12.32,12.49,12.32,12.43,12.31,0.12,0.97,34720.47,43183.8948
002419.SZ,20150216,12.42,12.77,12.35,12.64,12.43,0.21,1.69,39154.91,49218.7515
002419.SZ,20150217,12.64,12.64,12.49,12.51,12.64,-0.13,-1.03,38611.7,48435.5199
002419.SZ,20150225,12.51,12.6,12.36,12.52,12.51,0.01,0.08,27751.54,34672.1163
002419.SZ,20150226,12.5,12.74,12.45,12.72,12.52,0.2,1.6,44120.48,55784.8327
002419.SZ,20150227,12.72,12.79,12.6,12.67,12.72,-0.05,-0.39,36531.18,46324.3366
002419.SZ,20150302,12.67,12.99,12.61,12.95,12.67,0.28,2.21,63325.73,80976.6667
002419.SZ,20150303,12.88,13.07,12.75,12.82,12.95,-0.13,-1.0,57070.89,73673.2207
002419.SZ,20150304,12.82,13.05,12.73,12.94,12.82,0.12,0.94,42626.65,55181.4935
002419.SZ,20150305,12.9,13.16,12.85,13.16,12.94,0.22,1.7,54658.46,71087.9938
002419.SZ,20150306,13.16,13.32,12.93,13.06,13.16,-0.1,-0.76,53783.87,70478.5112
002419.SZ,20150309,13.06,13.35,12.83,13.31,13.06,0.25,1.91,62767.66,82468.0427
002419.SZ,20150310,13.32,13.69,13.28,13.39,13.31,0.08,0.6,79509.86,107174.7838
002419.SZ,20150311,13.38,13.99,13.31,13.9,13.39,0.51,3.81,94776.99,129760.128
002419.SZ,20150312,13.99,14.02,13.58,13.63,13.9,-0.27,-1.94,59599.07,81938.4679
002419.SZ,20150313,13.71,13.98,13.56,13.76,13.63,0.13,0.95,40504.68,55615.5532
002419.SZ,20150316,13.88,14.78,13.88,14.45,13.76,0.69,5.01,98201.33,139570.7252
002419.SZ,20150317,14.54,14.8,14.17,14.5,14.45,0.05,0.35,72298.62,104882.4889
002419.SZ,20150318,14.45,14.82,14.35,14.73,14.5,0.23,1.59,73411.8,107733.0211
002419.SZ,20150319,14.72,14.94,14.6,14.84,14.73,0.11,0.75,63831.31,94323.6017
002419.SZ,20150320,14.84,14.9,14.6,14.69,14.84,-0.15,-1.01,56117.96,82678.9338
002419.SZ,20150323,14.68,14.9,14.4,14.88,14.69,0.19,1.29,85030.93,124595.1809
002419.SZ,20150324,14.92,15.93,14.92,15.76,14.88,0.88,5.91,126295.47,196371.4061
002419.SZ,20150325,15.5,15.88,15.33,15.56,15.76,-0.2,-1.27,87232.78,135776.5886
002419.SZ,20150326,15.54,15.8,15.27,15.57,15.56,0.01,0.06,66263.08,103207.3367
002419.SZ,20150327,15.57,15.57,15.3,15.36,15.57,-0.21,-1.35,93567.58,144175.7792
002419.SZ,20150330,15.35,15.96,15.17,15.2,15.36,-0.16,-1.04,243648.98,374018.0485
002419.SZ,20150331,15.15,15.27,14.76,14.95,15.2,-0.25,-1.64,115343.34,172387.494
002419.SZ,20150401,15.03,15.27,15.03,15.14,14.95,0.19,1.27,109394.05,165387.2367
002419.SZ,20150402,15.21,15.57,15.21,15.57,15.14,0.43,2.84,126607.7,194986.7235
002419.SZ,20150403,15.56,17.1,15.38,16.74,15.57,1.17,7.51,147264.29,242166.7017
002419.SZ,20150407,16.75,17.23,16.49,16.84,16.74,0.1,0.6,116018.51,195816.4899
002419.SZ,20150408,16.86,17.05,16.27,16.56,16.84,-0.28,-1.66,107698.55,179136.1289
002419.SZ,20150409,16.39,16.59,15.0,15.88,16.56,-0.68,-4.11,115755.35,182826.4869
002419.SZ,20150410,15.87,16.4,15.5,16.32,15.88,0.44,2.77,80027.03,129772.493
002419.SZ,20150413,16.33,17.06,16.33,16.75,16.32,0.43,2.63,106487.75,179718.9928
