ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002463.SZ,20150105,4.74,4.87,4.69,4.82,4.79,0.03,0.63,171358.98,81953.929
002463.SZ,20150106,4.82,5.05,4.74,5.05,4.82,0.23,4.77,254579.38,125824.1206
002463.SZ,20150107,5.05,5.14,4.92,4.99,5.05,-0.06,-1.19,163541.33,81679.9014
002463.SZ,20150108,5.0,5.02,4.9,4.93,4.99,-0.06,-1.2,102657.36,50710.531
002463.SZ,20150109,4.92,4.96,4.81,4.83,4.93,-0.1,-2.03,120124.6,58772.5808
002463.SZ,20150112,4.82,4.82,4.67,4.68,4.83,-0.15,-3.11,115174.74,54395.2861
002463.SZ,20150113,4.67,4.74,4.66,4.71,4.68,0.03,0.64,74907.29,35239.7654
002463.SZ,20150114,4.71,4.72,4.66,4.68,4.71,-0.03,-0.64,68807.41,32278.8114
002463.SZ,20150115,4.68,4.73,4.66,4.72,4.68,0.04,0.85,84504.53,39696.6811
002463.SZ,20150116,4.7,4.76,4.64,4.65,4.72,-0.07,-1.48,168907.48,79271.3262
002463.SZ,20150119,4.59,4.63,4.3,4.48,4.65,-0.17,-3.66,317590.87,141933.3388
002463.SZ,20150120,4.46,4.6,4.43,4.59,4.48,0.11,2.46,190542.13,85871.0855
002463.SZ,20150121,4.57,4.7,4.55,4.7,4.59,0.11,2.4,152934.82,71067.3616
002463.SZ,20150122,4.73,4.81,4.68,4.77,4.7,0.07,1.49,227622.43,107887.9877
002463.SZ,20150123,4.75,4.78,4.65,4.68,4.77,-0.09,-1.89,190729.44,89901.8615
002463.SZ,20150126,4.68,4.78,4.63,4.76,4.68,0.08,1.71,205447.18,96853.3647
002463.SZ,20150127,4.79,5.09,4.76,4.99,4.76,0.23,4.83,499023.55,248055.0221
002463.SZ,20150128,5.0,5.01,4.87,4.93,4.99,-0.06,-1.2,194637.47,96063.4693
002463.SZ,20150129,4.89,4.99,4.85,4.95,4.93,0.02,0.41,178588.16,88367.3806
002463.SZ,20150130,4.96,4.98,4.82,4.83,4.95,-0.12,-2.42,145009.54,70880.0645
002463.SZ,20150202,4.79,4.88,4.72,4.84,4.83,0.01,0.21,128577.74,61672.1884
002463.SZ,20150203,4.86,4.91,4.83,4.87,4.84,0.03,0.62,119311.92,57969.5173
002463.SZ,20150204,4.87,4.88,4.73,4.73,4.87,-0.14,-2.87,132393.73,63685.0858
002463.SZ,20150205,4.8,4.81,4.57,4.6,4.73,-0.13,-2.75,163503.27,76749.0217
002463.SZ,20150206,4.6,4.75,4.55,4.56,4.6,-0.04,-0.87,133251.56,61660.5043
002463.SZ,20150209,4.56,4.64,4.51,4.57,4.56,0.01,0.22,59086.06,27070.4102
002463.SZ,20150210,4.57,4.59,4.49,4.59,4.57,0.02,0.44,93132.96,42172.7886
002463.SZ,20150211,4.6,4.63,4.55,4.61,4.59,0.02,0.44,71663.1,32949.7938
002463.SZ,20150212,4.61,4.87,4.58,4.81,4.61,0.2,4.34,191953.83,91290.1232
002463.SZ,20150213,4.82,4.9,4.78,4.82,4.81,0.01,0.21,145062.05,70109.446
002463.SZ,20150216,4.81,4.92,4.81,4.87,4.82,0.05,1.04,126058.76,61256.9675
002463.SZ,20150217,4.85,4.92,4.83,4.86,4.87,-0.01,-0.21,103143.69,50235.1079
002463.SZ,20150225,4.87,5.03,4.87,4.92,4.86,0.06,1.23,253375.24,125811.8953
002463.SZ,20150226,4.93,4.99,4.87,4.94,4.92,0.02,0.41,179564.83,88428.5318
002463.SZ,20150227,4.95,4.99,4.91,4.94,4.94,0.0,0.0,197517.48,97893.3921
002463.SZ,20150302,4.97,5.03,4.91,5.03,4.94,0.09,1.82,320121.5,159133.286
002463.SZ,20150303,5.03,5.53,4.97,5.4,5.03,0.37,7.36,874433.84,469098.6546
002463.SZ,20150304,5.34,5.48,5.27,5.43,5.4,0.03,0.56,441111.06,236175.4248
002463.SZ,20150305,5.4,5.61,5.36,5.49,5.43,0.06,1.11,316193.4,173977.8214
002463.SZ,20150306,5.52,5.6,5.33,5.33,5.49,-0.16,-2.91,237909.24,128861.7784
002463.SZ,20150309,5.27,5.41,5.16,5.36,5.33,0.03,0.56,189658.72,100622.8659
002463.SZ,20150310,5.35,5.58,5.32,5.45,5.36,0.09,1.68,263848.2,144543.4167
002463.SZ,20150311,5.42,5.6,5.42,5.54,5.45,0.09,1.65,201092.09,110766.523
002463.SZ,20150312,5.54,5.56,5.35,5.47,5.54,-0.07,-1.26,185034.15,100948.5821
