ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002478.SZ,20150105,11.2,11.49,11.18,11.42,11.2,0.22,1.96,26027.97,29527.7827
002478.SZ,20150106,11.38,11.59,11.2,11.58,11.42,0.16,1.4,33733.13,38552.0435
002478.SZ,20150107,11.58,11.75,11.52,11.69,11.58,0.11,0.95,32811.32,38228.7106
002478.SZ,20150108,11.65,11.69,11.51,11.51,11.69,-0.18,-1.54,17981.08,20839.1419
002478.SZ,20150109,11.48,11.67,11.42,11.44,11.51,-0.07,-0.61,21399.03,24716.8746
002478.SZ,20150112,11.43,11.43,10.98,11.0,11.44,-0.44,-3.85,25217.69,28157.4715
002478.SZ,20150113,10.99,11.18,10.96,11.16,11.0,0.16,1.45,12361.12,13734.8621
002478.SZ,20150114,11.22,11.3,11.11,11.17,11.16,0.01,0.09,14661.67,16450.2303
002478.SZ,20150115,11.22,11.31,11.18,11.26,11.17,0.09,0.81,11687.13,13159.8894
002478.SZ,20150116,11.34,11.8,11.3,11.61,11.26,0.35,3.11,30502.36,35362.1201
002478.SZ,20150119,11.55,11.76,11.25,11.32,11.61,-0.29,-2.5,38178.5,43995.2394
002478.SZ,20150120,11.37,11.84,11.36,11.8,11.32,0.48,4.24,40087.92,46821.2546
002478.SZ,20150121,11.81,12.02,11.81,11.95,11.8,0.15,1.27,41420.04,49380.6287
002478.SZ,20150122,12.05,12.05,11.92,11.99,11.95,0.04,0.33,30809.02,36899.1327
002478.SZ,20150123,11.94,12.03,11.88,11.99,11.99,0.0,0.0,34035.77,40736.6198
002478.SZ,20150126,11.99,12.14,11.95,12.14,11.99,0.15,1.25,34123.65,41100.4259
002478.SZ,20150127,12.14,12.2,11.93,12.08,12.14,-0.06,-0.49,26322.9,31808.0137
002478.SZ,20150128,12.07,12.2,11.98,12.1,12.08,0.02,0.17,31021.1,37588.5808
002478.SZ,20150129,12.04,12.1,11.95,11.95,12.1,-0.15,-1.24,22222.84,26750.8983
002478.SZ,20150130,12.0,12.05,11.81,11.85,11.95,-0.1,-0.84,16384.45,19533.9265
002478.SZ,20150202,11.7,11.84,11.65,11.74,11.85,-0.11,-0.93,13468.6,15841.2222
002478.SZ,20150203,11.78,11.94,11.77,11.91,11.74,0.17,1.45,15489.72,18391.6419
002478.SZ,20150204,11.91,11.99,11.81,11.81,11.91,-0.1,-0.84,16299.01,19434.8883
002478.SZ,20150205,11.95,11.95,11.71,11.74,11.81,-0.07,-0.59,17052.35,20154.3574
002478.SZ,20150206,11.65,11.75,11.21,11.26,11.74,-0.48,-4.09,21326.31,24535.0497
002478.SZ,20150209,11.29,11.75,11.16,11.4,11.26,0.14,1.24,16386.23,18776.6834
002478.SZ,20150210,11.4,11.56,11.35,11.51,11.4,0.11,0.96,9658.71,11068.9655
002478.SZ,20150211,11.5,11.63,11.47,11.58,11.51,0.07,0.61,9744.33,11270.5313
002478.SZ,20150212,11.59,11.72,11.59,11.7,11.58,0.12,1.04,10981.66,12826.6555
002478.SZ,20150213,11.77,11.91,11.73,11.88,11.7,0.18,1.54,18294.08,21691.1132
002478.SZ,20150216,11.89,12.05,11.88,12.04,11.88,0.16,1.35,20098.72,24083.8697
002478.SZ,20150217,12.05,12.08,11.97,12.0,12.04,-0.04,-0.33,13755.52,16518.001
002478.SZ,20150225,12.0,12.06,11.86,12.0,12.0,0.0,0.0,15715.12,18801.8037
002478.SZ,20150226,11.96,12.19,11.93,12.18,12.0,0.18,1.5,24773.45,29980.0584
002478.SZ,20150227,12.2,12.44,12.2,12.35,12.18,0.17,1.4,38879.72,47854.6911
