ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002491.SZ,20150105,20.5,20.68,18.8,19.77,20.5,-0.73,-3.56,47792.11,94134.8891
002491.SZ,20150106,19.6,20.28,19.18,20.12,19.77,0.35,1.77,23169.1,45841.985
002491.SZ,20150107,20.1,20.45,19.6,20.45,20.12,0.33,1.64,22721.95,45597.6364
002491.SZ,20150108,20.45,21.0,20.3,20.4,20.45,-0.05,-0.24,29721.69,61243.67
002491.SZ,20150109,20.38,20.6,20.0,20.06,20.4,-0.34,-1.67,21868.41,44314.1173
002491.SZ,20150112,19.95,20.11,19.38,19.74,20.06,-0.32,-1.6,22429.22,44371.5757
002491.SZ,20150113,19.74,20.4,19.56,20.4,19.74,0.66,3.34,35119.87,70323.736
002491.SZ,20150114,20.4,20.42,19.88,20.0,20.4,-0.4,-1.96,29622.95,59595.3184
002491.SZ,20150115,19.95,20.1,19.65,19.86,20.0,-0.14,-0.7,20040.44,39754.0086
002491.SZ,20150116,19.65,19.89,18.85,18.85,19.86,-1.01,-5.09,88871.01,171688.8403
002491.SZ,20150428,20.74,20.74,20.74,20.74,18.85,1.89,10.03,708.93,1470.3208
002491.SZ,20150429,22.81,22.81,22.81,22.81,20.74,2.07,9.98,305.13,696.0015
002491.SZ,20150430,25.09,25.09,25.09,25.09,22.81,2.28,10.0,1227.58,3079.9982
002491.SZ,20150504,27.6,27.6,27.6,27.6,25.09,2.51,10.0,2218.6,6123.336
002491.SZ,20150505,30.36,30.36,30.36,30.36,27.6,2.76,10.0,23306.15,70757.4714
002491.SZ,20150506,33.4,33.4,33.4,33.4,30.36,3.04,10.01,13730.13,45858.6342
002491.SZ,20150507,36.74,36.74,35.74,36.74,33.4,3.34,10.0,261296.66,958567.0187
002491.SZ,20150508,39.98,40.41,37.45,40.41,36.74,3.67,9.99,429825.66,1684842.9397
002491.SZ,20150511,42.83,44.45,42.43,44.45,40.41,4.04,10.0,74685.71,325500.2369
002491.SZ,20150512,48.9,48.9,48.9,48.9,44.45,4.45,10.01,19202.27,93899.1003
002491.SZ,20150513,53.79,53.79,53.79,53.79,48.9,4.89,10.0,6760.53,36364.8909
002491.SZ,20150514,59.17,59.17,59.17,59.17,53.79,5.38,10.0,3990.87,23613.9778
002491.SZ,20150515,65.09,65.09,61.2,65.09,59.17,5.92,10.01,296770.3,1922205.1237
002491.SZ,20150518,66.44,71.6,64.94,71.6,65.09,6.51,10.0,250988.78,1718804.8875
002491.SZ,20150519,77.5,78.76,75.0,78.76,71.6,7.16,10.0,258584.57,2008706.197
002491.SZ,20150520,26.88,28.84,26.0,28.84,26.22,2.62,9.99,348557.11,982454.0763
002491.SZ,20150521,31.72,31.72,31.72,31.72,28.84,2.88,9.99,38088.64,120817.1661
002491.SZ,20150522,34.89,34.89,30.53,34.89,31.72,3.17,9.99,1093686.19,3736275.5785
002491.SZ,20150525,33.0,34.15,31.4,31.45,34.89,-3.44,-9.86,1395809.69,4461911.1303
002491.SZ,20150526,30.0,31.28,29.02,31.14,31.45,-0.31,-0.99,880104.48,2688833.0482
002491.SZ,20150527,31.22,34.25,31.22,34.25,31.14,3.11,9.99,1174431.06,3919187.6508
002491.SZ,20150528,35.0,35.0,30.83,30.83,34.25,-3.42,-9.99,1203576.58,3894318.9215
002491.SZ,20150529,28.03,30.26,27.75,28.95,30.83,-1.88,-6.1,673760.84,1947112.9192
002491.SZ,20150601,29.01,30.49,28.3,29.61,28.95,0.66,2.28,623429.56,1817722.5332
002491.SZ,20150602,29.61,30.52,28.6,30.16,29.61,0.55,1.86,597897.39,1766096.6278
002491.SZ,20150603,30.0,32.25,29.47,31.8,30.16,1.64,5.44,741323.15,2310802.631
002491.SZ,20150604,31.7,31.7,28.62,29.58,31.8,-2.22,-6.98,612522.5,1818264.8267
002491.SZ,20150605,29.8,30.3,28.4,29.04,29.58,-0.54,-1.83,450705.43,1325674.1678
002491.SZ,20150608,28.92,30.3,28.49,29.57,29.04,0.53,1.83,477823.58,1418895.4472
002491.SZ,20150609,29.0,29.64,28.58,28.72,29.57,-0.85,-2.87,326356.8,941898.5808
002491.SZ,20150610,28.5,29.4,28.0,28.85,28.72,0.13,0.45,306641.05,881389.4975
002491.SZ,20150611,29.55,30.38,28.9,29.18,28.85,0.33,1.14,333867.2,984514.5679
002491.SZ,20150612,29.2,29.33,28.32,28.51,29.18,-0.67,-2.3,379524.42,1086074.0874
