ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002520.SZ,20150105,27.17,27.3,24.68,25.56,26.9,-1.34,-4.98,59916.58,152079.6094
002520.SZ,20150106,25.2,27.82,25.05,27.51,25.56,1.95,7.63,41147.83,109489.6434
002520.SZ,20150107,27.7,28.48,27.57,27.71,27.51,0.2,0.73,30665.51,85523.3875
002520.SZ,20150108,27.8,28.05,26.5,27.8,27.71,0.09,0.32,29310.95,80491.9343
002520.SZ,20150109,27.2,28.5,27.2,27.23,27.8,-0.57,-2.05,24792.62,68851.4623
002520.SZ,20150112,26.95,26.95,25.99,26.0,27.23,-1.23,-4.52,15510.78,40922.9455
002520.SZ,20150113,25.9,27.47,25.0,27.4,26.0,1.4,5.38,64608.45,168061.9574
002520.SZ,20150114,27.1,28.6,27.0,27.91,27.4,0.51,1.86,45626.25,126982.9892
002520.SZ,20150115,27.87,28.58,27.51,27.94,27.91,0.03,0.11,29033.6,80918.4376
002520.SZ,20150116,27.7,28.59,27.51,28.32,27.94,0.38,1.36,27361.25,77229.5295
002520.SZ,20150119,27.4,30.45,26.51,28.68,28.32,0.36,1.27,50689.92,145519.5614
002520.SZ,20150120,28.5,31.55,28.5,31.54,28.68,2.86,9.97,61249.41,186114.7935
002520.SZ,20150121,31.4,32.6,31.02,31.85,31.54,0.31,0.98,47936.86,152588.0409
002520.SZ,20150122,31.86,33.55,30.6,32.5,31.85,0.65,2.04,44819.47,143909.5502
002520.SZ,20150123,32.39,33.33,31.7,31.91,32.5,-0.59,-1.82,27899.06,90170.1275
002520.SZ,20150126,31.91,32.48,31.01,31.74,31.91,-0.17,-0.53,20256.87,64267.0768
002520.SZ,20150127,31.6,31.85,30.6,31.2,31.74,-0.54,-1.7,25799.97,80368.9527
002520.SZ,20150128,31.48,31.48,29.73,30.19,31.2,-1.01,-3.24,38993.53,119143.2608
002520.SZ,20150129,30.19,30.19,29.01,29.6,30.19,-0.59,-1.95,27005.72,79752.3087
002520.SZ,20150130,29.72,30.77,29.34,29.7,29.6,0.1,0.34,33616.37,100665.8052
002520.SZ,20150202,29.38,30.19,29.3,30.06,29.7,0.36,1.21,23878.15,71181.9098
002520.SZ,20150203,30.08,30.77,29.84,30.45,30.06,0.39,1.3,24807.45,75026.2247
002520.SZ,20150204,30.65,31.59,30.3,30.85,30.45,0.4,1.31,32992.84,102098.0309
002520.SZ,20150205,30.8,31.22,30.51,30.67,30.85,-0.18,-0.58,26370.55,81398.7035
002520.SZ,20150206,30.04,30.59,28.13,28.18,30.67,-2.49,-8.12,35682.47,102752.7631
002520.SZ,20150209,27.7,28.74,27.51,27.86,28.18,-0.32,-1.14,13435.12,37636.7326
002520.SZ,20150210,28.1,29.66,27.18,29.6,27.86,1.74,6.25,32963.23,93098.9068
002520.SZ,20150211,29.51,30.57,29.32,29.85,29.6,0.25,0.84,17538.28,52647.1197
002520.SZ,20150212,29.89,31.07,29.8,30.8,29.85,0.95,3.18,27114.68,82759.3033
002520.SZ,20150213,30.95,31.48,30.61,30.7,30.8,-0.1,-0.32,20993.14,65270.3981
002520.SZ,20150216,30.75,31.3,30.75,30.97,30.7,0.27,0.88,15708.08,48681.7038
002520.SZ,20150217,30.98,31.19,30.0,30.19,30.97,-0.78,-2.52,25539.4,77622.2662
002520.SZ,20150225,30.22,30.48,29.86,30.32,30.19,0.13,0.43,12647.29,38148.5402
002520.SZ,20150226,30.33,31.55,29.6,31.25,30.32,0.93,3.07,26112.73,79349.9461
002520.SZ,20150227,31.0,33.5,31.0,32.78,31.25,1.53,4.9,46185.85,150791.1594
002520.SZ,20150302,32.77,33.7,32.27,33.56,32.78,0.78,2.38,43123.62,142882.0266
002520.SZ,20150303,33.49,35.0,33.14,34.58,33.56,1.02,3.04,53282.75,183110.0781
002520.SZ,20150304,34.2,34.96,33.89,34.5,34.58,-0.08,-0.23,27956.91,95782.3753
002520.SZ,20150305,34.44,36.19,32.91,33.2,34.5,-1.3,-3.77,41207.58,140907.4568
002520.SZ,20150306,33.22,33.79,32.28,33.0,33.2,-0.2,-0.6,23811.1,78448.8038
002520.SZ,20150309,32.67,34.01,32.55,33.75,33.0,0.75,2.27,34463.36,115564.3729
002520.SZ,20150310,33.75,34.1,33.32,33.6,33.75,-0.15,-0.44,23240.87,78120.1974
002520.SZ,20150311,33.58,34.35,32.55,33.0,33.6,-0.6,-1.79,34188.66,115161.0188
002520.SZ,20150312,32.98,33.04,32.18,33.02,33.0,0.02,0.06,22400.26,73058.6056
002520.SZ,20150313,33.02,35.91,33.02,35.8,33.02,2.78,8.42,70787.43,245655.57
002520.SZ,20150316,35.9,37.5,35.19,36.96,35.8,1.16,3.24,106842.38,386778.0716
002520.SZ,20150317,36.9,37.28,35.8,36.98,36.96,0.02,0.05,57939.49,211871.8942
002520.SZ,20150318,38.98,39.09,37.38,38.24,36.98,1.26,3.41,78421.19,299049.196
002520.SZ,20150319,38.37,40.2,38.25,38.4,38.24,0.16,0.42,89084.51,349383.9852
002520.SZ,20150320,38.22,38.95,37.01,37.46,38.4,-0.94,-2.45,80255.43,302070.4809
002520.SZ,20150323,37.0,37.99,36.66,37.84,37.46,0.38,1.01,69103.97,257230.1684
002520.SZ,20150324,37.84,38.4,36.22,37.1,37.84,-0.74,-1.96,95390.82,354171.9543
002520.SZ,20150325,37.9,39.6,37.28,38.92,37.1,1.82,4.91,136237.91,528689.4678
002520.SZ,20150326,39.0,39.6,36.5,37.1,38.92,-1.82,-4.68,112670.17,424547.7506
002520.SZ,20150327,37.09,37.5,36.16,36.81,37.1,-0.29,-0.78,45193.69,166240.2295
002520.SZ,20150330,36.78,37.26,36.17,36.96,36.81,0.15,0.41,45498.21,166929.6609
002520.SZ,20150422,40.6,40.66,39.9,40.66,36.96,3.7,10.01,20016.63,81278.4048
002520.SZ,20150423,44.6,44.6,39.18,40.9,40.66,0.24,0.59,148614.29,609825.0257
002520.SZ,20150424,40.46,40.46,38.99,39.37,40.9,-1.53,-3.74,62671.29,247407.0598
002520.SZ,20150427,39.1,39.1,37.88,38.4,39.37,-0.97,-2.46,75642.05,291254.3946
002520.SZ,20150428,38.38,39.61,36.42,36.61,38.4,-1.79,-4.66,62572.14,238625.973
002520.SZ,20150429,36.0,37.46,36.0,37.27,36.61,0.66,1.8,34008.44,125979.4275
002520.SZ,20150430,37.8,37.98,36.4,36.4,37.27,-0.87,-2.33,51676.35,190053.376
002520.SZ,20150504,36.45,37.26,36.33,36.95,36.4,0.55,1.51,37275.88,137510.5568
002520.SZ,20150505,36.95,38.31,36.4,36.62,36.95,-0.33,-0.89,56579.22,211108.5742
002520.SZ,20150506,37.18,37.8,36.5,36.78,36.62,0.16,0.44,45422.63,169011.7624
002520.SZ,20150507,36.99,36.99,34.01,34.11,36.78,-2.67,-7.26,38650.6,137262.3478
002520.SZ,20150508,34.71,35.36,33.98,34.81,34.11,0.7,2.05,56127.43,194008.1682
002520.SZ,20150511,35.2,37.49,35.2,37.32,34.81,2.51,7.21,62106.36,226346.7201
