ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002549.SZ,20150105,14.23,14.46,14.05,14.06,14.5,-0.44,-3.03,32759.42,46379.1006
002549.SZ,20150106,14.1,14.1,13.8,13.93,14.06,-0.13,-0.92,28399.83,39554.3897
002549.SZ,20150107,13.89,13.95,13.71,13.72,13.93,-0.21,-1.51,23771.05,32821.0697
002549.SZ,20150108,13.75,13.88,13.6,13.6,13.72,-0.12,-0.87,14296.17,19572.2867
002549.SZ,20150109,13.73,13.73,13.54,13.55,13.6,-0.05,-0.37,8784.4,11983.2664
002549.SZ,20150112,13.55,13.62,13.45,13.49,13.55,-0.06,-0.44,9021.38,12211.7854
002549.SZ,20150113,13.55,13.75,13.47,13.71,13.49,0.22,1.63,15831.58,21477.4926
002549.SZ,20150114,13.62,13.75,13.41,13.45,13.71,-0.26,-1.9,8991.96,12179.8469
002549.SZ,20150115,13.45,13.69,13.34,13.46,13.45,0.01,0.07,6734.61,9126.6829
002549.SZ,20150116,13.47,13.56,13.43,13.54,13.46,0.08,0.59,8924.88,12032.4304
002549.SZ,20150119,13.0,13.47,12.75,13.06,13.54,-0.48,-3.55,11290.55,14907.576
002549.SZ,20150120,13.06,13.36,13.06,13.34,13.06,0.28,2.14,12182.79,16188.205
002549.SZ,20150121,13.39,13.64,13.3,13.58,13.34,0.24,1.8,21587.11,29248.1218
002549.SZ,20150122,13.63,13.81,13.5,13.78,13.58,0.2,1.47,18097.68,24761.7954
002549.SZ,20150123,13.81,13.83,13.52,13.6,13.78,-0.18,-1.31,17676.47,24135.4397
002549.SZ,20150126,13.56,13.75,13.54,13.75,13.6,0.15,1.1,13912.0,18968.8875
002549.SZ,20150127,13.82,13.82,13.58,13.72,13.75,-0.03,-0.22,16923.39,23166.6929
002549.SZ,20150128,13.72,14.12,13.61,14.0,13.72,0.28,2.04,27704.27,38540.85
002549.SZ,20150129,14.0,14.09,13.83,13.86,14.0,-0.14,-1.0,15844.52,22119.7088
002549.SZ,20150130,13.86,14.07,13.8,13.87,13.86,0.01,0.07,14590.74,20286.4875
002549.SZ,20150202,13.68,14.25,13.61,14.08,13.87,0.21,1.51,21026.16,29391.2125
002549.SZ,20150203,14.25,14.32,14.01,14.23,14.08,0.15,1.07,31036.71,44082.001
002549.SZ,20150204,14.16,14.25,13.81,13.84,14.23,-0.39,-2.74,19920.61,28010.4086
002549.SZ,20150205,13.83,14.19,13.7,13.72,13.84,-0.12,-0.87,17733.96,24745.2266
002549.SZ,20150206,13.8,13.8,13.44,13.45,13.72,-0.27,-1.97,13611.91,18470.9644
002549.SZ,20150209,13.45,13.46,13.14,13.22,13.45,-0.23,-1.71,12260.75,16279.9078
002549.SZ,20150210,13.22,13.78,13.22,13.51,13.22,0.29,2.19,9823.35,13214.5163
002549.SZ,20150211,13.39,13.57,13.31,13.36,13.51,-0.15,-1.11,9951.56,13322.4429
002549.SZ,20150212,13.37,13.69,13.37,13.66,13.36,0.3,2.25,9231.07,12535.4218
002549.SZ,20150213,13.66,14.1,13.66,14.06,13.66,0.4,2.93,17684.38,24726.0727
002549.SZ,20150216,14.1,14.18,13.85,14.05,14.06,-0.01,-0.07,18057.33,25346.0128
002549.SZ,20150217,14.05,14.2,13.91,14.2,14.05,0.15,1.07,20581.46,29046.758
002549.SZ,20150225,14.2,14.9,14.06,14.76,14.2,0.56,3.94,37306.13,54620.241
002549.SZ,20150226,14.76,14.93,14.54,14.7,14.76,-0.06,-0.41,25389.65,37406.8009
002549.SZ,20150227,14.8,14.88,14.6,14.77,14.7,0.07,0.48,18844.11,27724.9877
002549.SZ,20150302,15.1,16.25,15.06,15.66,14.77,0.89,6.03,88867.96,140540.0138
002549.SZ,20150303,15.68,16.25,15.6,16.11,15.66,0.45,2.87,75409.08,120200.7746
002549.SZ,20150304,16.11,16.11,15.46,15.72,16.11,-0.39,-2.42,56129.68,87752.0159
002549.SZ,20150305,15.53,15.68,15.13,15.46,15.72,-0.26,-1.65,38753.49,59480.5773
002549.SZ,20150306,15.5,15.53,15.19,15.23,15.46,-0.23,-1.49,24267.49,37085.3261
002549.SZ,20150309,15.29,15.29,14.85,15.08,15.23,-0.15,-0.98,37881.24,56841.2211
002549.SZ,20150310,15.08,15.24,14.97,15.1,15.08,0.02,0.13,23364.58,35336.3321
002549.SZ,20150311,15.1,15.25,14.93,14.98,15.1,-0.12,-0.79,19557.0,29476.3911
002549.SZ,20150312,14.96,15.15,14.8,15.06,14.98,0.08,0.53,20691.62,31029.0789
002549.SZ,20150313,15.19,15.25,14.92,15.03,15.06,-0.03,-0.2,18429.7,27671.5303
002549.SZ,20150316,15.11,15.46,15.07,15.46,15.03,0.43,2.86,39883.18,60883.806
002549.SZ,20150317,15.52,15.54,15.0,15.35,15.46,-0.11,-0.71,83491.86,127404.6521
002549.SZ,20150318,15.32,15.46,15.21,15.43,15.35,0.08,0.52,65579.85,100775.7664
002549.SZ,20150319,15.6,16.23,15.57,15.98,15.43,0.55,3.56,117663.8,186257.9066
002549.SZ,20150320,15.98,15.99,15.65,15.75,15.98,-0.23,-1.44,60557.67,95294.5958
002549.SZ,20150323,15.85,15.98,15.72,15.94,15.75,0.19,1.21,69509.5,110112.3103
002549.SZ,20150324,15.94,15.96,15.25,15.64,15.94,-0.3,-1.88,70061.32,109641.8021
002549.SZ,20150325,15.68,17.2,15.53,17.2,15.64,1.56,9.97,182355.69,305861.1095
002549.SZ,20150326,17.24,17.24,16.49,16.82,17.2,-0.38,-2.21,100786.68,170054.1899
002549.SZ,20150327,16.82,17.9,16.82,17.7,16.82,0.88,5.23,135926.11,236091.1202
002549.SZ,20150330,17.71,19.47,17.68,18.95,17.7,1.25,7.06,123841.28,232784.0508
002549.SZ,20150331,18.95,20.8,18.52,20.79,18.95,1.84,9.71,140220.79,280278.634
002549.SZ,20150401,20.8,22.78,20.8,22.61,20.79,1.82,8.75,88392.36,192387.134
002549.SZ,20150902,14.54,14.54,14.54,14.54,16.15,-1.61,-9.97,1203.0,1749.162
002549.SZ,20150907,13.09,13.09,13.09,13.09,14.54,-1.45,-9.97,1617.0,2116.653
002549.SZ,20150908,11.78,11.78,11.78,11.78,13.09,-1.31,-10.01,6183.0,7283.574
002549.SZ,20150909,10.6,12.72,10.6,11.7,11.78,-0.08,-0.68,383952.86,430222.3157
002549.SZ,20150910,10.83,11.35,10.53,10.53,11.7,-1.17,-10.0,214903.78,234689.9476
002549.SZ,20150911,10.15,10.7,9.91,10.46,10.53,-0.07,-0.66,191285.03,197956.7184
002549.SZ,20150914,10.46,10.56,9.41,9.41,10.46,-1.05,-10.04,121334.34,120432.9383
002549.SZ,20150915,8.79,8.79,8.47,8.47,9.41,-0.94,-9.99,109414.08,93179.0918
002549.SZ,20150916,8.13,9.26,7.84,8.95,8.47,0.48,5.67,166221.66,140123.1328
002549.SZ,20150917,8.7,8.98,8.06,8.06,8.95,-0.89,-9.94,194336.97,166675.1543
002549.SZ,20150918,7.98,8.87,7.98,8.87,8.06,0.81,10.05,125694.55,108300.7522
002549.SZ,20150921,9.51,9.76,9.2,9.76,8.87,0.89,10.03,376908.51,358095.8201
002549.SZ,20150922,9.29,9.61,9.2,9.43,9.76,-0.33,-3.38,257347.76,242693.6068
002549.SZ,20150923,9.13,9.28,8.91,9.11,9.43,-0.32,-3.39,163810.58,148618.9196
002549.SZ,20150924,9.28,10.02,8.97,10.02,9.11,0.91,9.99,231756.28,219762.6567
002549.SZ,20150925,9.95,10.74,9.62,10.1,10.02,0.08,0.8,322918.71,330614.211
002549.SZ,20150928,10.29,10.69,9.76,10.02,10.1,-0.08,-0.79,235884.85,238873.4319
002549.SZ,20150929,9.68,9.83,9.3,9.34,10.02,-0.68,-6.79,145087.58,138301.7791
002549.SZ,20150930,9.45,9.97,9.44,9.48,9.34,0.14,1.5,128030.08,123924.242
002549.SZ,20151008,9.86,9.9,9.5,9.78,9.48,0.3,3.16,120280.49,117582.2219
002549.SZ,20151009,9.78,9.78,9.44,9.61,9.78,-0.17,-1.74,107980.79,103432.9813
002549.SZ,20151012,9.66,10.29,9.66,10.22,9.61,0.61,6.35,179956.35,179634.6653
002549.SZ,20151013,10.05,10.37,9.95,10.23,10.22,0.01,0.1,148626.32,150660.768
002549.SZ,20151014,10.25,11.25,10.13,11.25,10.23,1.02,9.97,277234.21,296771.9453
002549.SZ,20151015,11.08,11.57,10.79,11.3,11.25,0.05,0.44,249006.29,278462.5327
002549.SZ,20151016,11.48,11.48,10.81,11.18,11.3,-0.12,-1.06,200037.82,223322.9925
002549.SZ,20151019,11.26,11.8,10.95,11.24,11.18,0.06,0.54,184887.27,210559.7671
002549.SZ,20151020,11.23,11.38,10.73,11.36,11.24,0.12,1.07,150182.05,166831.2742
002549.SZ,20151021,11.34,11.65,10.22,10.22,11.36,-1.14,-10.04,172060.3,187840.509
002549.SZ,20151022,9.98,10.85,9.98,10.65,10.22,0.43,4.21,135855.4,141073.2258
002549.SZ,20151023,10.65,11.18,10.37,11.03,10.65,0.38,3.57,136119.97,146495.4229
002549.SZ,20151026,11.22,11.7,11.05,11.34,11.03,0.31,2.81,179297.81,204046.5126
002549.SZ,20151027,11.55,11.93,11.07,11.77,11.34,0.43,3.79,214703.14,249225.8665
002549.SZ,20151028,11.48,11.72,11.08,11.35,11.77,-0.42,-3.57,157029.25,179845.7925
002549.SZ,20151029,11.55,12.26,11.35,11.99,11.35,0.64,5.64,204471.28,242083.0071
002549.SZ,20151030,11.79,13.19,11.46,12.95,11.99,0.96,8.01,250910.22,304125.6419
002549.SZ,20151102,12.33,12.88,12.01,12.16,12.95,-0.79,-6.1,162131.65,202672.7811
002549.SZ,20151103,10.99,11.6,10.94,10.96,12.16,-1.2,-9.87,296825.37,328762.9936
002549.SZ,20151104,10.9,11.51,10.8,11.48,10.96,0.52,4.74,214852.25,239810.0105
002549.SZ,20151105,11.3,11.66,11.05,11.4,11.48,-0.08,-0.7,203665.75,229972.1584
002549.SZ,20151106,11.35,11.51,11.3,11.41,11.4,0.01,0.09,148058.07,168865.2742
002549.SZ,20151109,11.34,11.84,10.94,11.66,11.41,0.25,2.19,183320.04,208967.1961
002549.SZ,20151110,11.64,11.99,11.44,11.89,11.66,0.23,1.97,195073.53,229283.2655
002549.SZ,20151111,11.98,12.29,11.75,12.15,11.89,0.26,2.19,156226.56,186803.428
002549.SZ,20151112,12.16,13.01,12.04,12.66,12.15,0.51,4.2,223029.1,281235.8706
002549.SZ,20151113,12.3,13.03,12.3,12.4,12.66,-0.26,-2.05,188821.58,239401.2855
002549.SZ,20151116,12.1,12.79,11.88,12.57,12.4,0.17,1.37,133838.47,163693.2
002549.SZ,20151117,12.56,13.5,12.38,13.18,12.57,0.61,4.85,300794.02,385810.0774
002549.SZ,20151118,13.22,13.3,12.4,12.64,13.18,-0.54,-4.1,179344.87,232128.697
002549.SZ,20151119,12.61,12.83,12.43,12.82,12.64,0.18,1.42,113943.03,144261.4069
002549.SZ,20151120,12.81,13.37,12.73,13.19,12.82,0.37,2.89,149247.01,195322.0298
002549.SZ,20151123,13.0,13.7,12.93,13.03,13.19,-0.16,-1.21,130218.38,173252.175
002549.SZ,20151124,12.81,14.33,12.69,14.33,13.03,1.3,9.98,251708.69,344174.6986
002549.SZ,20151125,14.28,14.74,13.9,14.38,14.33,0.05,0.35,236046.56,337416.0975
002549.SZ,20151126,14.34,15.09,13.9,14.05,14.38,-0.33,-2.29,211744.6,307177.2177
002549.SZ,20151127,14.08,14.28,12.69,13.05,14.05,-1.0,-7.12,158849.58,214665.2204
002549.SZ,20151130,13.3,13.66,12.2,13.53,13.05,0.48,3.68,165911.65,217705.4075
002549.SZ,20151201,13.53,14.1,13.0,13.88,13.53,0.35,2.59,171125.64,232533.4924
002549.SZ,20151202,13.66,13.76,12.85,13.06,13.88,-0.82,-5.91,122654.84,161495.8823
002549.SZ,20151203,13.2,13.41,13.02,13.27,13.06,0.21,1.61,85316.5,112818.6802
002549.SZ,20151204,13.16,13.38,12.85,13.06,13.27,-0.21,-1.58,99370.55,130385.6044
002549.SZ,20151207,13.12,13.38,13.03,13.3,13.06,0.24,1.84,83426.73,110395.1682
002549.SZ,20151208,13.25,13.3,12.5,12.54,13.3,-0.76,-5.71,104658.0,134689.5163
002549.SZ,20151209,12.31,12.59,12.25,12.38,12.54,-0.16,-1.28,62632.97,77331.3681
002549.SZ,20151210,12.41,12.72,12.4,12.41,12.38,0.03,0.24,49919.47,62434.6495
002549.SZ,20151211,12.47,12.6,12.32,12.42,12.41,0.01,0.08,51772.28,64411.3524
002549.SZ,20151214,12.37,12.85,12.11,12.75,12.42,0.33,2.66,61741.61,78206.295
002549.SZ,20151215,12.6,13.0,12.6,12.81,12.75,0.06,0.47,52616.44,67577.6211
002549.SZ,20151216,12.72,12.97,12.64,12.86,12.81,0.05,0.39,78055.05,99928.1446
002549.SZ,20151217,12.86,13.34,12.8,13.32,12.86,0.46,3.58,104092.83,136262.4361
002549.SZ,20151218,13.32,13.82,13.2,13.74,13.32,0.42,3.15,144580.45,195560.8437
002549.SZ,20151221,13.6,13.96,13.5,13.54,13.74,-0.2,-1.46,89814.48,122678.0595
002549.SZ,20151222,13.53,13.63,13.21,13.6,13.54,0.06,0.44,90873.73,121846.8356
002549.SZ,20151223,13.65,13.7,13.05,13.1,13.6,-0.5,-3.68,75152.83,100631.5731
002549.SZ,20151224,13.1,13.11,12.4,12.69,13.1,-0.41,-3.13,74764.17,94716.2096
002549.SZ,20151225,12.78,12.93,12.65,12.86,12.69,0.17,1.34,45046.97,57648.0845
002549.SZ,20151228,12.85,12.99,12.5,12.5,12.86,-0.36,-2.8,58394.82,74114.7407
002549.SZ,20151229,12.32,12.65,12.31,12.62,12.5,0.12,0.96,37452.93,46738.2963
002549.SZ,20151230,12.65,12.73,12.5,12.62,12.62,0.0,0.0,38289.48,48219.8118
002549.SZ,20151231,12.6,12.85,12.53,12.6,12.62,-0.02,-0.16,49760.47,63181.9501
002549.SZ,20160104,12.6,12.6,11.34,11.35,12.6,-1.25,-9.92,40472.03,48360.1777
002549.SZ,20160105,11.0,11.2,10.22,10.61,11.35,-0.74,-6.52,62956.98,67470.2414
002549.SZ,20160106,10.77,10.92,10.6,10.89,10.61,0.28,2.64,41052.51,44129.037
002549.SZ,20160107,10.66,10.76,9.8,9.82,10.89,-1.07,-9.83,10302.0,10535.7442
002549.SZ,20160108,10.1,10.8,9.12,10.38,9.82,0.56,5.7,66236.87,67933.7222
002549.SZ,20160111,10.2,10.84,9.7,9.96,10.38,-0.42,-4.05,58333.26,60831.4472
002549.SZ,20160112,10.1,10.25,9.68,9.96,9.96,0.0,0.0,39920.36,40055.6725
002549.SZ,20160113,10.05,10.28,9.79,9.84,9.96,-0.12,-1.2,35141.34,35329.314
002549.SZ,20160114,9.41,10.37,9.29,10.37,9.84,0.53,5.39,38161.61,38003.2205
002549.SZ,20160115,10.37,11.2,10.37,10.53,10.37,0.16,1.54,88044.43,94903.1329
002549.SZ,20160118,10.05,10.9,10.05,10.65,10.53,0.12,1.14,56474.66,59505.5707
002549.SZ,20160119,10.6,10.95,10.47,10.9,10.65,0.25,2.35,64107.79,68673.3245
002549.SZ,20160120,10.88,10.88,10.37,10.45,10.9,-0.45,-4.13,51083.6,54108.3849
002549.SZ,20160121,10.21,10.45,9.68,9.69,10.45,-0.76,-7.27,41899.36,42345.2156
002549.SZ,20160122,9.76,9.96,9.38,9.83,9.69,0.14,1.44,35174.02,34171.34
002549.SZ,20160125,9.88,10.15,9.8,9.96,9.83,0.13,1.32,24014.78,23901.4282
002549.SZ,20160126,9.84,9.89,8.96,8.96,9.96,-1.0,-10.04,36706.87,34621.4464
002549.SZ,20160127,9.41,9.41,8.06,8.44,8.96,-0.52,-5.8,40937.22,34628.0296
002549.SZ,20160128,8.27,8.37,7.98,8.09,8.44,-0.35,-4.15,43218.5,35438.7446
002549.SZ,20160129,8.09,8.5,8.0,8.31,8.09,0.22,2.72,44959.23,37057.0143
002549.SZ,20160201,8.35,8.35,7.85,8.03,8.31,-0.28,-3.37,37883.05,30770.0172
002549.SZ,20160202,8.06,8.38,8.03,8.34,8.03,0.31,3.86,47797.72,39487.3633
002549.SZ,20160203,8.25,8.35,8.09,8.33,8.34,-0.01,-0.12,35085.52,28841.3502
002549.SZ,20160204,8.25,8.62,8.25,8.5,8.33,0.17,2.04,48347.78,41076.6003
