ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002560.SZ,20150105,18.06,18.08,17.24,17.6,18.08,-0.48,-2.65,12543.2,21991.1997
002560.SZ,20150106,17.6,18.2,17.36,18.18,17.6,0.58,3.3,13276.93,23722.4984
002560.SZ,20150107,18.09,18.18,17.8,18.0,18.18,-0.18,-0.99,9024.6,16190.2797
002560.SZ,20150108,18.0,18.39,17.89,18.14,18.0,0.14,0.78,13441.8,24427.9215
002560.SZ,20150109,18.18,18.37,17.75,17.79,18.14,-0.35,-1.93,10659.49,19316.6714
002560.SZ,20150112,17.62,17.64,17.2,17.21,17.79,-0.58,-3.26,8834.89,15345.9956
002560.SZ,20150113,17.21,17.64,17.21,17.61,17.21,0.4,2.32,4202.18,7340.1249
002560.SZ,20150114,17.89,17.89,17.35,17.59,17.61,-0.02,-0.11,4958.44,8681.2824
002560.SZ,20150115,17.46,17.79,17.46,17.55,17.59,-0.04,-0.23,5095.86,8980.1875
002560.SZ,20150116,17.65,17.93,17.59,17.89,17.55,0.34,1.94,7913.32,14050.4758
002560.SZ,20150119,17.76,19.06,17.36,18.5,17.89,0.61,3.41,39922.27,73761.5956
002560.SZ,20150120,18.0,19.19,17.99,19.15,18.5,0.65,3.51,31828.36,59878.8399
002560.SZ,20150121,19.02,19.3,18.9,19.12,19.15,-0.03,-0.16,26501.88,50501.9354
002560.SZ,20150122,19.01,19.33,19.0,19.17,19.12,0.05,0.26,17456.21,33498.3467
002560.SZ,20150123,19.23,19.24,18.72,18.72,19.17,-0.45,-2.35,17987.55,33935.5669
002560.SZ,20150126,18.71,18.98,18.71,18.98,18.72,0.26,1.39,8998.59,17003.1536
002560.SZ,20150127,18.97,19.19,18.72,19.1,18.98,0.12,0.63,12597.1,23891.8684
002560.SZ,20150128,19.1,19.48,18.91,19.38,19.1,0.28,1.47,18152.48,34990.3411
002560.SZ,20150313,19.4,20.2,18.56,19.48,19.38,0.1,0.52,96966.05,186810.0904
002560.SZ,20150316,19.39,20.15,19.28,19.99,19.48,0.51,2.62,92045.04,182352.1666
002560.SZ,20150317,20.0,20.5,19.82,20.17,19.99,0.18,0.9,72964.73,147200.5639
002560.SZ,20150318,20.25,20.62,20.18,20.39,20.17,0.22,1.09,66970.23,136609.8522
002560.SZ,20150319,20.4,20.8,20.31,20.66,20.39,0.27,1.32,57114.95,117570.736
002560.SZ,20150320,20.7,22.13,20.56,21.5,20.66,0.84,4.07,70287.32,148156.5642
002560.SZ,20150323,21.55,21.76,21.31,21.65,21.5,0.15,0.7,63697.91,137359.0471
002560.SZ,20150324,21.7,21.7,20.5,21.35,21.65,-0.3,-1.39,69363.82,146943.7577
002560.SZ,20150325,20.8,21.2,20.49,21.0,21.35,-0.35,-1.64,78847.85,163802.2174
