ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002563.SZ,20150105,33.29,34.49,33.28,34.03,33.25,0.78,2.35,13748.8,46453.5197
002563.SZ,20150106,34.03,34.43,33.8,34.34,34.03,0.31,0.91,14386.33,49005.2916
002563.SZ,20150107,34.3,35.19,34.07,34.9,34.34,0.56,1.63,14060.6,48572.0746
002563.SZ,20150108,34.9,36.0,34.46,34.63,34.9,-0.27,-0.77,14335.36,50304.8189
002563.SZ,20150109,34.63,35.39,34.5,34.92,34.63,0.29,0.84,8292.91,29034.6728
002563.SZ,20150112,34.9,34.9,33.5,33.65,34.92,-1.27,-3.64,9497.12,32276.2051
002563.SZ,20150113,34.0,34.78,33.55,34.25,33.65,0.6,1.78,9776.82,33381.7504
002563.SZ,20150114,34.64,34.96,34.0,34.64,34.25,0.39,1.14,5835.55,20159.0365
002563.SZ,20150115,34.64,35.69,34.27,35.6,34.64,0.96,2.77,10585.65,37560.9185
002563.SZ,20150116,35.6,35.98,35.3,35.58,35.6,-0.02,-0.06,8833.25,31422.0566
002563.SZ,20150119,35.39,35.8,34.8,35.41,35.58,-0.17,-0.48,9674.35,34196.5321
002563.SZ,20150120,35.1,36.39,35.1,36.36,35.41,0.95,2.68,13029.8,47053.5104
002563.SZ,20150121,36.55,37.98,36.55,37.28,36.36,0.92,2.53,25253.62,94545.6387
002563.SZ,20150122,37.29,38.18,37.29,38.07,37.28,0.79,2.12,9803.2,37234.248
002563.SZ,20150123,38.06,38.5,36.93,37.3,38.07,-0.77,-2.02,14430.52,54304.447
002563.SZ,20150126,37.85,38.0,37.33,37.72,37.3,0.42,1.13,7483.31,28223.3804
002563.SZ,20150127,37.73,39.54,37.73,39.54,37.72,1.82,4.83,23904.96,93088.5652
002563.SZ,20150128,39.07,39.8,38.88,39.0,39.54,-0.54,-1.37,11238.74,44196.5442
002563.SZ,20150129,39.1,39.37,38.3,39.12,39.0,0.12,0.31,8210.57,31926.9507
002563.SZ,20150130,39.08,39.3,38.4,38.67,39.12,-0.45,-1.15,7901.98,30611.5128
002563.SZ,20150202,38.6,38.95,37.99,38.45,38.67,-0.22,-0.57,5397.57,20815.0967
002563.SZ,20150203,38.27,38.7,38.0,38.5,38.45,0.05,0.13,6211.59,23784.9487
002563.SZ,20150204,38.1,39.01,38.06,38.69,38.5,0.19,0.49,6844.0,26487.7989
002563.SZ,20150205,38.85,38.98,37.9,38.15,38.69,-0.54,-1.4,6016.5,22994.2294
002563.SZ,20150206,38.0,38.11,37.3,37.36,38.15,-0.79,-2.07,4575.09,17201.0805
