ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002578.SZ,20150105,18.62,19.5,18.5,19.48,18.65,0.83,4.45,24502.13,46774.9702
002578.SZ,20150106,21.43,21.43,20.9,21.0,19.48,1.52,7.8,118754.47,253741.4443
002578.SZ,20150107,21.0,21.0,19.4,19.94,21.0,-1.06,-5.05,112744.36,224270.8775
002578.SZ,20150108,19.88,19.88,18.88,19.0,19.94,-0.94,-4.71,63923.84,122568.8799
002578.SZ,20150109,18.93,19.23,18.66,18.66,19.0,-0.34,-1.79,50227.1,94942.9757
002578.SZ,20150112,18.48,18.66,17.71,18.59,18.66,-0.07,-0.38,44657.84,80877.2847
002578.SZ,20150113,18.37,18.89,18.11,18.81,18.59,0.22,1.18,29348.71,54262.8789
002578.SZ,20150114,18.65,19.58,18.41,19.22,18.81,0.41,2.18,68051.14,130432.6994
002578.SZ,20150115,19.23,20.5,19.23,19.62,19.22,0.4,2.08,84839.97,168073.5933
002578.SZ,20150116,19.5,20.03,19.17,19.64,19.62,0.02,0.1,56280.46,110868.8589
002578.SZ,20150119,18.9,19.86,17.7,18.7,19.64,-0.94,-4.79,57060.71,109541.8738
002578.SZ,20150120,18.55,19.55,18.55,19.52,18.7,0.82,4.39,58467.84,111569.9662
002578.SZ,20150121,19.48,19.85,19.4,19.66,19.52,0.14,0.72,53006.14,103992.3662
002578.SZ,20150122,19.68,20.5,19.67,20.02,19.66,0.36,1.83,85593.0,172522.8003
002578.SZ,20150123,20.09,20.21,19.37,19.43,20.02,-0.59,-2.95,63048.95,123661.4382
002578.SZ,20150126,19.3,19.45,18.94,19.37,19.43,-0.06,-0.31,58387.49,112014.4091
002578.SZ,20150127,19.35,19.36,18.87,19.1,19.37,-0.27,-1.39,36353.16,69414.2569
002578.SZ,20150128,18.88,19.05,18.78,18.85,19.1,-0.25,-1.31,28030.91,53013.9411
002578.SZ,20150129,18.6,18.75,18.49,18.6,18.85,-0.25,-1.33,22505.56,41869.0521
002578.SZ,20150130,18.6,18.75,18.3,18.33,18.6,-0.27,-1.45,15997.77,29583.5257
002578.SZ,20150202,18.32,18.63,18.2,18.52,18.33,0.19,1.04,14691.82,27133.8481
002578.SZ,20150203,18.56,18.82,18.55,18.66,18.52,0.14,0.76,15451.88,28794.5735
