ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002585.SZ,20150105,12.72,13.03,12.72,12.99,12.79,0.2,1.56,33502.04,43107.8321
002585.SZ,20150106,12.9,13.24,12.83,13.22,12.99,0.23,1.77,37176.16,48548.9134
002585.SZ,20150107,13.15,13.27,13.01,13.1,13.22,-0.12,-0.91,27313.71,35804.0947
002585.SZ,20150108,13.08,13.19,12.91,12.93,13.1,-0.17,-1.3,24513.31,32044.2829
002585.SZ,20150109,12.85,13.08,12.81,12.84,12.93,-0.09,-0.7,23121.46,29991.3858
002585.SZ,20150112,12.79,12.9,12.66,12.66,12.84,-0.18,-1.4,24217.71,30902.6783
002585.SZ,20150113,12.7,13.1,12.7,13.07,12.66,0.41,3.24,30316.23,39231.3508
002585.SZ,20150114,13.01,13.15,12.96,13.0,13.07,-0.07,-0.54,28937.34,37791.4579
002585.SZ,20150115,13.09,13.22,13.05,13.09,13.0,0.09,0.69,25470.82,33431.6294
002585.SZ,20150116,13.09,13.27,13.06,13.21,13.09,0.12,0.92,30751.72,40522.7967
002585.SZ,20150119,13.01,13.37,12.8,12.91,13.21,-0.3,-2.27,44752.3,58502.0624
002585.SZ,20150120,12.9,13.29,12.9,13.27,12.91,0.36,2.79,38915.52,51263.798
002585.SZ,20150121,13.33,13.52,13.25,13.46,13.27,0.19,1.43,45338.32,60894.8926
002585.SZ,20150122,13.49,13.53,13.32,13.52,13.46,0.06,0.45,45218.6,60851.1708
002585.SZ,20150123,13.52,13.68,13.4,13.46,13.52,-0.06,-0.44,43812.25,59209.6561
002585.SZ,20150126,13.47,13.64,13.43,13.62,13.46,0.16,1.19,34323.64,46587.912
002585.SZ,20150127,13.62,13.7,13.25,13.57,13.62,-0.05,-0.37,44080.17,59547.0812
002585.SZ,20150128,13.54,13.55,13.39,13.41,13.57,-0.16,-1.18,42169.31,56743.0364
002585.SZ,20150129,13.33,13.48,13.23,13.31,13.41,-0.1,-0.75,38288.9,51093.3421
002585.SZ,20150130,13.35,13.4,13.2,13.27,13.31,-0.04,-0.3,25812.34,34334.007
002585.SZ,20150202,13.14,13.32,13.03,13.15,13.27,-0.12,-0.9,19997.55,26364.0791
002585.SZ,20150203,13.17,13.41,13.17,13.4,13.15,0.25,1.9,28349.8,37779.4692
002585.SZ,20150204,13.46,13.47,13.24,13.24,13.4,-0.16,-1.19,21903.16,29262.0216
002585.SZ,20150205,13.36,13.56,13.25,13.36,13.24,0.12,0.91,37852.66,50718.0304
002585.SZ,20150206,13.38,13.7,13.38,13.7,13.36,0.34,2.54,79779.33,108346.3484
002585.SZ,20150209,13.7,14.12,13.67,13.68,13.7,-0.02,-0.15,85104.78,118374.2416
002585.SZ,20150210,13.6,13.6,13.38,13.51,13.68,-0.17,-1.24,42493.88,57235.926
002585.SZ,20150211,13.5,14.09,13.5,14.07,13.51,0.56,4.15,67769.33,93742.2993
002585.SZ,20150212,14.0,14.15,13.93,14.12,14.07,0.05,0.36,52335.76,73582.8133
002585.SZ,20150213,14.2,14.31,14.1,14.17,14.12,0.05,0.35,68558.55,97400.4005
002585.SZ,20150216,14.1,14.34,14.08,14.24,14.17,0.07,0.49,61044.68,86832.7586
002585.SZ,20150217,14.21,14.31,14.13,14.22,14.24,-0.02,-0.14,38510.3,54660.3145
002585.SZ,20150225,14.22,14.68,14.11,14.47,14.22,0.25,1.76,103940.38,149806.6066
002585.SZ,20150226,14.45,14.68,14.4,14.65,14.47,0.18,1.24,85651.77,124604.7979
002585.SZ,20150227,14.75,14.78,14.55,14.68,14.65,0.03,0.2,58376.42,85433.2981
002585.SZ,20150302,14.63,14.68,14.35,14.66,14.68,-0.02,-0.14,70759.96,102972.7893
002585.SZ,20150303,14.55,14.66,14.38,14.4,14.66,-0.26,-1.77,56548.83,82031.3134
002585.SZ,20150304,14.44,14.55,14.4,14.55,14.4,0.15,1.04,47227.57,68400.9101
002585.SZ,20150305,14.55,14.75,14.48,14.7,14.55,0.15,1.03,59662.8,87007.4628
002585.SZ,20150306,14.68,15.47,14.62,15.09,14.7,0.39,2.65,126415.76,188925.8089
002585.SZ,20150309,14.92,15.38,14.78,14.89,15.09,-0.2,-1.33,92749.84,138735.0706
002585.SZ,20150310,14.9,15.18,14.78,14.89,14.89,0.0,0.0,72774.18,108724.7884
002585.SZ,20150311,14.81,15.1,14.81,15.06,14.89,0.17,1.14,63078.23,94508.1637
002585.SZ,20150312,15.08,15.16,14.51,14.59,15.06,-0.47,-3.12,66964.61,98744.0841
002585.SZ,20150313,14.58,14.85,14.54,14.75,14.59,0.16,1.1,46181.37,67732.7524
002585.SZ,20150316,14.78,15.08,14.78,15.06,14.75,0.31,2.1,68704.16,102930.2638
002585.SZ,20150317,15.08,15.3,14.97,15.26,15.06,0.2,1.33,100208.99,151741.9615
002585.SZ,20150318,15.21,15.55,15.17,15.55,15.26,0.29,1.9,99927.3,153980.2359
002585.SZ,20150319,15.55,15.75,15.33,15.5,15.55,-0.05,-0.32,101853.11,158538.7699
002585.SZ,20150320,15.53,15.74,15.43,15.72,15.5,0.22,1.42,89778.08,139844.187
002585.SZ,20150323,15.76,16.09,15.75,15.95,15.72,0.23,1.46,91753.03,146200.8165
002585.SZ,20150324,15.92,16.01,15.05,15.57,15.95,-0.38,-2.38,109885.41,171140.9015
002585.SZ,20150325,15.47,16.1,15.27,16.03,15.57,0.46,2.95,105195.57,164779.9491
002585.SZ,20150326,16.0,16.26,15.53,15.72,16.03,-0.31,-1.93,94396.53,150033.9244
002585.SZ,20150327,15.65,16.27,15.61,16.22,15.72,0.5,3.18,89421.91,142871.2883
002585.SZ,20150330,16.28,16.7,16.18,16.27,16.22,0.05,0.31,102496.58,168232.663
002585.SZ,20150331,16.21,16.66,16.11,16.37,16.27,0.1,0.61,99255.7,162852.1178
002585.SZ,20150401,16.44,16.87,16.3,16.82,16.37,0.45,2.75,94629.44,157420.9664
002585.SZ,20150402,16.86,17.58,16.71,17.4,16.82,0.58,3.45,121751.79,209898.7558
002585.SZ,20150403,17.26,17.98,17.17,17.76,17.4,0.36,2.07,97048.97,170886.4375
002585.SZ,20150407,17.8,18.1,17.7,17.98,17.76,0.22,1.24,93125.1,166716.5673
002585.SZ,20150408,18.01,18.2,17.25,17.51,17.98,-0.47,-2.61,105351.64,185576.6059
002585.SZ,20150409,17.51,17.51,16.33,16.83,17.51,-0.68,-3.88,104730.5,176311.9999
002585.SZ,20150410,16.75,17.4,16.75,17.4,16.83,0.57,3.39,78639.52,135021.5967
002585.SZ,20150413,17.53,18.33,17.53,18.19,17.4,0.79,4.54,110083.36,197353.9544
002585.SZ,20150414,18.12,18.78,17.81,18.19,18.19,0.0,0.0,85803.88,157555.5889
002585.SZ,20150415,18.07,18.35,17.01,17.25,18.19,-0.94,-5.17,80274.61,142109.2938
002585.SZ,20150416,16.86,17.67,16.6,17.26,17.25,0.01,0.06,65273.8,112113.5332
002585.SZ,20150417,17.31,17.75,17.3,17.51,17.26,0.25,1.45,94287.02,165296.1731
002585.SZ,20150420,17.49,17.5,16.66,16.71,17.51,-0.8,-4.57,93173.06,159180.9906
002585.SZ,20150421,16.7,17.46,16.68,17.45,16.71,0.74,4.43,72747.09,124228.1523
002585.SZ,20150422,17.52,17.93,17.5,17.83,17.45,0.38,2.18,88205.63,156703.9134
002585.SZ,20150423,17.84,18.37,17.84,17.99,17.83,0.16,0.9,99982.77,180797.9549
002585.SZ,20150424,17.7,18.51,17.58,18.51,17.99,0.52,2.89,100140.37,181329.5929
002585.SZ,20150427,18.65,19.78,18.65,19.03,18.51,0.52,2.81,122936.73,235977.1104
002585.SZ,20150428,18.51,18.58,17.38,17.59,19.03,-1.44,-7.57,156626.26,281069.6557
002585.SZ,20150429,17.61,17.97,17.31,17.85,17.59,0.26,1.48,65046.69,115523.786
002585.SZ,20150430,17.96,17.96,17.5,17.51,17.85,-0.34,-1.9,60167.1,106808.0517
002585.SZ,20150504,17.1,17.43,17.0,17.33,17.51,-0.18,-1.03,71044.6,122539.6649
002585.SZ,20150505,17.34,17.48,16.8,16.92,17.33,-0.41,-2.37,66352.04,113793.3571
002585.SZ,20150506,16.92,17.3,15.95,16.23,16.92,-0.69,-4.08,64679.21,108553.5559
002585.SZ,20150507,16.27,16.44,16.02,16.3,16.23,0.07,0.43,52418.2,85359.0245
002585.SZ,20150508,16.46,16.97,16.4,16.92,16.3,0.62,3.8,65062.47,108269.6342
002585.SZ,20150511,17.09,17.5,16.91,17.48,16.92,0.56,3.31,71639.54,123819.9196
002585.SZ,20150512,17.55,17.95,17.28,17.63,17.48,0.15,0.86,87393.71,153610.7651
002585.SZ,20150513,17.55,17.95,17.3,17.87,17.63,0.24,1.36,97206.91,172167.273
002585.SZ,20150514,17.89,18.26,17.64,18.23,17.87,0.36,2.01,94412.97,169962.8062
002585.SZ,20150515,18.24,18.24,17.61,17.7,18.23,-0.53,-2.91,75774.23,135036.4207
