ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002598.SZ,20150105,8.76,8.89,8.73,8.85,8.67,0.18,2.08,41582.86,36660.6851
002598.SZ,20150106,8.8,9.07,8.68,9.05,8.85,0.2,2.26,72242.96,64407.9046
002598.SZ,20150107,9.05,9.06,8.88,8.96,9.05,-0.09,-0.99,36748.72,32920.5032
002598.SZ,20150108,8.91,9.06,8.86,8.93,8.96,-0.03,-0.33,33046.71,29636.9583
002598.SZ,20150109,8.9,9.02,8.87,8.87,8.93,-0.06,-0.67,27739.96,24837.7202
002598.SZ,20150112,8.8,8.86,8.66,8.66,8.87,-0.21,-2.37,34291.1,29979.9742
002598.SZ,20150113,8.65,8.86,8.6,8.86,8.66,0.2,2.31,30238.83,26527.1268
002598.SZ,20150114,8.9,9.13,8.85,9.11,8.86,0.25,2.82,63596.73,57294.099
002598.SZ,20150427,10.02,10.02,10.02,10.02,9.11,0.91,9.99,5456.32,5467.2326
002598.SZ,20150428,11.02,11.02,11.02,11.02,10.02,1.0,9.98,3977.72,4383.4474
002598.SZ,20150429,12.12,12.12,11.57,12.12,11.02,1.1,9.98,341806.59,408245.7008
002598.SZ,20150430,12.2,12.49,11.78,11.79,12.12,-0.33,-2.72,374181.87,450805.3034
002598.SZ,20150504,11.66,11.79,11.43,11.48,11.79,-0.31,-2.63,217439.43,251126.6103
002598.SZ,20150505,11.45,11.98,11.31,11.82,11.48,0.34,2.96,217791.02,252524.3865
002598.SZ,20150506,11.75,11.87,11.1,11.12,11.82,-0.7,-5.92,161917.51,186693.7173
002598.SZ,20150507,11.13,11.41,11.01,11.15,11.12,0.03,0.27,124691.95,139640.9761
002598.SZ,20150508,11.35,11.64,11.2,11.64,11.15,0.49,4.39,130317.48,148865.2073
002598.SZ,20150511,11.7,11.97,11.53,11.9,11.64,0.26,2.23,227094.36,267687.6348
002598.SZ,20150512,11.9,11.92,11.58,11.92,11.9,0.02,0.17,178370.53,209701.0968
002598.SZ,20150513,11.88,12.88,11.72,12.33,11.92,0.41,3.44,255805.97,317081.4599
002598.SZ,20150514,12.35,12.65,12.05,12.44,12.33,0.11,0.89,159338.53,196895.4993
002598.SZ,20150515,12.35,12.42,11.91,12.02,12.44,-0.42,-3.38,129072.04,156125.0169
002598.SZ,20150518,11.92,12.7,11.92,12.58,12.02,0.56,4.66,166901.7,206126.7855
002598.SZ,20150519,12.6,13.2,12.6,13.06,12.58,0.48,3.82,187772.95,241467.1635
002598.SZ,20150520,13.01,13.88,12.86,12.9,13.06,-0.16,-1.23,229206.18,308056.3618
002598.SZ,20150521,12.91,13.7,12.91,13.6,12.9,0.7,5.43,174466.59,233450.706
002598.SZ,20150522,13.99,14.32,13.61,13.95,13.6,0.35,2.57,194401.58,272125.977
002598.SZ,20150525,13.94,15.35,13.75,15.35,13.95,1.4,10.04,194031.58,284650.4492
002598.SZ,20150526,15.8,16.89,15.8,16.77,15.35,1.42,9.25,331924.94,548836.1475
002598.SZ,20150527,16.4,16.7,15.64,16.26,16.77,-0.51,-3.04,238500.67,387647.5914
002598.SZ,20150528,16.28,16.29,14.66,14.7,16.26,-1.56,-9.59,201735.68,318282.8835
002598.SZ,20150529,14.6,15.4,13.98,15.11,14.7,0.41,2.79,183752.14,272325.0974
002598.SZ,20150601,14.93,16.19,14.93,16.06,15.11,0.95,6.29,152826.15,242155.5807
002598.SZ,20150602,16.06,17.67,15.8,17.67,16.06,1.61,10.02,188423.1,314101.2964
002598.SZ,20150603,18.4,19.15,16.88,18.01,17.67,0.34,1.92,221504.66,402075.3289
002598.SZ,20150604,17.9,18.38,16.21,17.5,18.01,-0.51,-2.83,177244.89,305893.5951
002598.SZ,20150605,17.81,18.05,17.02,17.78,17.5,0.28,1.6,165424.47,292932.5284
002598.SZ,20150608,17.74,17.75,16.38,16.85,17.78,-0.93,-5.23,194874.94,330855.3468
002598.SZ,20150609,16.71,17.54,16.66,17.03,16.85,0.18,1.07,143490.39,245545.6218
002598.SZ,20150610,16.9,17.45,16.61,17.24,17.03,0.21,1.23,128596.89,220376.5371
002598.SZ,20150611,17.14,18.3,17.08,18.19,17.14,1.05,6.13,169671.65,300127.7578
002598.SZ,20150612,18.28,19.4,17.7,18.38,18.19,0.19,1.04,186157.37,345097.9816
002598.SZ,20150615,18.45,19.0,17.99,18.11,18.38,-0.27,-1.47,125916.33,232453.9983
