ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002606.SZ,20150105,14.82,14.91,14.3,14.88,14.86,0.02,0.13,59513.43,87089.3937
002606.SZ,20150106,14.81,16.08,14.73,15.91,14.88,1.03,6.92,83023.93,128660.4129
002606.SZ,20150107,15.76,15.82,15.41,15.55,15.91,-0.36,-2.26,31522.46,49081.6319
002606.SZ,20150108,15.5,16.02,15.45,15.61,15.55,0.06,0.39,42596.7,67199.777
002606.SZ,20150109,15.58,15.78,15.25,15.29,15.61,-0.32,-2.05,34781.37,54043.8549
002606.SZ,20150112,15.29,15.29,14.4,14.47,15.29,-0.82,-5.36,36501.89,53467.0402
002606.SZ,20150113,14.49,15.4,14.48,15.2,14.47,0.73,5.04,33235.93,49900.6998
002606.SZ,20150114,15.2,15.33,15.03,15.3,15.2,0.1,0.66,17937.76,27240.6608
002606.SZ,20150115,15.31,15.4,14.8,15.05,15.3,-0.25,-1.63,26392.38,39974.0105
002606.SZ,20150116,14.95,16.3,14.89,16.0,15.05,0.95,6.31,74712.05,117632.7625
002606.SZ,20150119,15.65,17.11,15.55,16.34,16.0,0.34,2.13,102528.47,169191.2284
002606.SZ,20150120,16.34,17.14,16.34,17.04,16.34,0.7,4.28,76726.38,129527.3065
002606.SZ,20150121,17.03,17.11,16.72,17.01,17.04,-0.03,-0.18,52507.28,88702.4267
002606.SZ,20150122,16.98,17.3,16.78,17.18,17.01,0.17,1.0,34679.81,59077.6239
002606.SZ,20150123,17.26,17.7,16.35,16.67,17.18,-0.51,-2.97,46728.39,80094.0674
002606.SZ,20150126,16.68,17.09,16.46,17.03,16.67,0.36,2.16,42103.61,70981.8615
002606.SZ,20150127,17.1,17.17,16.19,16.5,17.03,-0.53,-3.11,70905.16,117058.6389
002606.SZ,20150128,16.4,16.75,16.21,16.48,16.5,-0.02,-0.12,33401.88,55219.857
002606.SZ,20150129,16.3,16.43,16.1,16.26,16.48,-0.22,-1.34,24639.52,40003.3676
002606.SZ,20150130,16.35,16.48,16.19,16.24,16.26,-0.02,-0.12,20362.53,33260.183
002606.SZ,20150202,16.28,16.51,15.75,16.51,16.24,0.27,1.66,23026.96,37629.7513
002606.SZ,20150203,16.5,16.56,16.1,16.4,16.51,-0.11,-0.67,39023.58,63758.1098
002606.SZ,20150204,16.39,16.39,15.96,16.02,16.4,-0.38,-2.32,33013.15,53311.5862
002606.SZ,20150205,16.18,16.25,15.85,15.85,16.02,-0.17,-1.06,26883.61,43168.3585
002606.SZ,20150206,15.7,16.2,15.3,15.93,15.85,0.08,0.5,29131.28,46630.6222
002606.SZ,20150209,15.71,15.8,15.17,15.3,15.93,-0.63,-3.95,28910.7,44771.4222
002606.SZ,20150210,15.2,15.48,15.18,15.41,15.3,0.11,0.72,19299.82,29607.8663
002606.SZ,20150211,15.4,15.68,15.39,15.4,15.41,-0.01,-0.06,15909.54,24649.1313
002606.SZ,20150212,15.42,15.99,15.42,15.8,15.4,0.4,2.6,29914.81,47359.0051
